N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev
2mer-0+5,-25.75205898,2,-25.75205898,-25.75205898,0.01787525,4.663,2.024,2.024,1.0483622550964355,-25.75205898,-24.703696724903565,-77.25617694,-24.703696724903565,-25.75205898
2mer-0+3,-55.47633365,1,-27.73816682,-53.49022581,0.01694217,3.315,2.06,2.06,1.0707166194915771,-27.738166825,-27.202808515254212,-166.42900095,-51.90650524015778,-53.490225805
2mer-0+16,-21.80546159,1,-10.90273079,-64.3929566,0.008112176,4.15,2.634,2.634,1.1296647787094116,-10.902730795,-10.337898405645294,-65.41638477000001,-62.244403645803075,-64.3929566
2mer-0+4,-2.29900821,2,-2.29900821,-66.69196481,0.007412925,5.126,2.714,2.714,0.4392372965812683,-2.29900821,-1.859770913418732,-6.897024630000001,-64.1041745592218,-66.69196481
2mer-0+7,1.45120196,2,1.45120196,-65.24076285,0.005227882,5.557,3.049,3.049,0.2839997708797455,1.45120196,1.7352017308797454,4.35360588,-62.36897282834206,-65.24076285
2mer-0+14,-7.71794568,1,-3.85897284,-69.09973569,0.004957854,5.366,3.103,3.103,0.2223967313766479,-3.85897284,-3.747774474311676,-23.15383704,-66.11674730265374,-69.09973568999999
2mer-0+2,2.88746967,2,2.88746967,-66.21226603,0.004949507,3.604,3.105,3.105,0.9992892742156982,2.88746967,3.8867589442156985,8.662409010000001,-62.229988358438035,-66.21226601999999
2mer-0+1,-17.00202495,1,-8.50101248,-74.7132785,0.004229618,3.657,3.272,3.272,0.8884981870651245,-8.501012475,-8.056763381467437,-51.00607485,-70.28675173990547,-74.71327849499998
2mer-0+19,-6.97393283,2,-6.97393283,-81.68721133,0.003894318,5.268,3.363,3.363,0.3419027924537658,-6.97393283,-6.632030037546234,-20.92179849,-76.9187817774517,-81.68721132499998
2mer-0+10,2.62435253,2,2.62435253,-79.06285879,0.001796747,6.994,4.353,4.353,0.0500543639063835,2.62435253,2.6744068939063834,7.87305759,-74.24437488354532,-79.06285879499998
