N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),dAPNet2
2mer-0+5,-6.78224242,6,-20.34672727,-20.34672727,0.007344023,7.021,2.722,2.722,0.43966859579086304
2mer-0+1,-16.22070881,8,-64.88283524,-85.22956252,0.006181186,6.08,2.883,2.883,0.5546844005584717
2mer-0+15,-0.16312832,12,-0.9787699,-86.20833241,0.0007600164,9.929,5.799,5.799,0.041455257683992386
2mer-0+27,-0.14320365,24,-1.71844383,-87.92677624,0.0003877338,11.643,7.257,7.257,0.0031976383179426193
2mer-0+51,-0.15364759,8,-0.61459034,-88.54136658,0.0002230476,12.161,8.726,8.726,0
2mer-0+59,-0.04989503,6,-0.14968509,-88.69105168,0.0001714962,14.042,9.525,9.525,0
2mer-0+68,-0.01502979,24,-0.18035745,-88.87140913,0.0001092099,15.699,11.071,11.071,0
2mer-0+65,-0.018334,24,-0.22000794,-89.09141707,0.0001021218,15.302,11.321,11.321,0
2mer-0+113,-0.01211879,24,-0.14542554,-89.23684261,6.577324e-05,17.198,13.109,13.109,0
2mer-0+131,-0.00815765,24,-0.09789181,-89.33473442,5.876381e-05,18.241,13.611,13.611,0
2mer-0+152,-0.01071255,8,-0.0428502,-89.37758463,4.606856e-05,18.241,14.762,14.762,0
2mer-0+169,-0.00265411,12,-0.01592466,-89.39350929,3.808868e-05,19.858,15.728,15.728,0
2mer-0+178,-0.00290842,48,-0.06980208,-89.46331137,3.407931e-05,20.768,16.322,16.322,0
2mer-0+205,-0.00381557,6,-0.01144672,-89.47475809,3.292131e-05,21.063,16.511,16.511,0
2mer-0+214,-0.00340265,24,-0.04083184,-89.51558993,2.900121e-05,21.063,17.224,17.224,0
2mer-0+247,-0.00235663,24,-0.02827959,-89.54386952,2.789383e-05,22.202,17.449,17.449,0
2mer-0+289,-0.00184049,24,-0.02208592,-89.56595544,2.227156e-05,23.286,18.808,18.808,0
2mer-0+283,-0.00224834,24,-0.02698013,-89.59293557,2.125082e-05,23.02,19.105,19.105,0
