N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev,ccsd(t)_le
2mer-0+5,-6.78224242,6,-20.34672727,-20.34672727,0.007344023,7.021,2.722,2.722,0.439668595790863,-20.34672726,-19.027721472627412,-20.34672726,-19.027721472627412,-20.34672727,-19.94207909
2mer-0+1,-16.22070881,8,-64.88283524,-85.22956252,0.006181186,6.08,2.883,2.883,0.5546844005584717,-64.88283524,-62.66409763776612,-48.66212643,-81.69181911039354,-85.22956251000001,0.0
2mer-0+15,-0.16312832,12,-0.9787699,-86.20833241,0.0007600164,9.929,5.799,5.799,0.0414552576839923,-0.97876992,-0.7300383738960461,-0.48938496,-82.42185748428959,-86.20833243000001,0.0
2mer-0+27,-0.14320365,24,-1.71844383,-87.92677624,0.0003877338,11.643,7.257,7.257,0.0031976383179426,-1.7184437999999997,-1.6800721401846888,-0.42961094999999994,-84.10192962447428,-87.92677623000002,0.0
2mer-0+51,-0.15364759,8,-0.61459034,-88.54136658,0.0002230476,12.161,8.726,8.726,0.0,-0.61459036,-0.61459036,-0.46094277,-84.71651998447427,-88.54136659000001,0.0
2mer-0+59,-0.04989503,6,-0.14968509,-88.69105168,0.0001714962,14.042,9.525,9.525,0.0,-0.14968509,-0.14968509,-0.14968509,-84.86620507447428,-88.69105168000002,0.0
2mer-0+68,-0.01502979,24,-0.18035745,-88.87140913,0.0001092099,15.699,11.071,11.071,0.0,-0.18035748,-0.18035748,-0.04508937,-85.04656255447428,-88.87140916000001,0.0
2mer-0+65,-0.018334,24,-0.22000794,-89.09141707,0.0001021218,15.302,11.321,11.321,0.0,-0.22000799999999998,-0.22000799999999998,-0.055001999999999995,-85.26657055447427,-89.09141716000002,0.0
2mer-0+113,-0.01211879,24,-0.14542554,-89.23684261,6.577324e-05,17.198,13.109,13.109,0.0,-0.14542548,-0.14542548,-0.03635637,-85.41199603447427,-89.23684264000002,0.0
2mer-0+131,-0.00815765,24,-0.09789181,-89.33473442,5.876381e-05,18.241,13.611,13.611,0.0,-0.0978918,-0.0978918,-0.02447295,-85.50988783447427,-89.33473444000002,0.0
2mer-0+152,-0.01071255,8,-0.0428502,-89.37758463,4.606856e-05,18.241,14.762,14.762,0.0,-0.0428502,-0.0428502,-0.03213765,-85.55273803447427,-89.37758464000002,0.0
2mer-0+169,-0.00265411,12,-0.01592466,-89.39350929,3.808868e-05,19.858,15.728,15.728,0.0,-0.01592466,-0.01592466,-0.00796233,-85.56866269447427,-89.39350930000002,0.0
2mer-0+178,-0.00290842,48,-0.06980208,-89.46331137,3.407931e-05,20.768,16.322,16.322,0.0,-0.06980208,-0.06980208,-0.00872526,-85.63846477447427,-89.46331138000002,0.0
2mer-0+205,-0.00381557,6,-0.01144672,-89.47475809,3.292131e-05,21.063,16.511,16.511,0.0,-0.011446709999999999,-0.011446709999999999,-0.011446709999999999,-85.64991148447427,-89.47475809000002,0.0
2mer-0+214,-0.00340265,24,-0.04083184,-89.51558993,2.900121e-05,21.063,17.224,17.224,0.0,-0.0408318,-0.0408318,-0.01020795,-85.69074328447428,-89.51558989000003,0.0
2mer-0+247,-0.00235663,24,-0.02827959,-89.54386952,2.789383e-05,22.202,17.449,17.449,0.0,-0.028279560000000002,-0.028279560000000002,-0.0070698900000000005,-85.71902284447428,-89.54386945000003,0.0
2mer-0+289,-0.00184049,24,-0.02208592,-89.56595544,2.227156e-05,23.286,18.808,18.808,0.0,-0.02208588,-0.02208588,-0.00552147,-85.74110872447429,-89.56595533000004,0.0
2mer-0+283,-0.00224834,24,-0.02698013,-89.59293557,2.125082e-05,23.02,19.105,19.105,0.0,-0.026980080000000004,-0.026980080000000004,-0.006745020000000001,-85.76808880447429,-89.59293541000004,-87.12983335
