N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),dAPNet2
2mer-0+5,-6.03948077,6,-18.1184423,-18.1184423,0.007344023,7.021,2.722,2.722,0.17564982175827026
2mer-0+1,-15.04536393,8,-60.18145572,-78.29989802,0.006181186,6.08,2.883,2.883,-0.03553665056824684
2mer-0+15,-0.15358302,12,-0.92149812,-79.22139615,0.0007600164,9.929,5.799,5.799,0.024875955656170845
2mer-0+27,-0.15113334,24,-1.81360004,-81.03499619,0.0003877338,11.643,7.257,7.257,0.0011380846844986081
2mer-0+51,-0.16683641,8,-0.66734563,-81.70234182,0.0002230476,12.161,8.726,8.726,0
2mer-0+59,-0.05396897,6,-0.16190691,-81.86424873,0.0001714962,14.042,9.525,9.525,0
2mer-0+68,-0.016314,24,-0.19576796,-82.06001669,0.0001092099,15.699,11.071,11.071,0
2mer-0+65,-0.01999852,24,-0.23998227,-82.29999896,0.0001021218,15.302,11.321,11.321,0
2mer-0+113,-0.01327007,24,-0.15924088,-82.45923985,6.577324e-05,17.198,13.109,13.109,0
2mer-0+131,-0.00893514,24,-0.10722164,-82.56646148,5.876381e-05,18.241,13.611,13.611,0
2mer-0+152,-0.01176998,8,-0.04707992,-82.6135414,4.606856e-05,18.241,14.762,14.762,0
2mer-0+169,-0.00288144,12,-0.01728861,-82.63083001,3.808868e-05,19.858,15.728,15.728,0
2mer-0+178,-0.00316505,48,-0.0759611,-82.70679111,3.407931e-05,20.768,16.322,16.322,0
2mer-0+205,-0.004151,6,-0.01245301,-82.71924411,3.292131e-05,21.063,16.511,16.511,0
2mer-0+214,-0.00371178,24,-0.04454137,-82.76378548,2.900121e-05,21.063,17.224,17.224,0
2mer-0+247,-0.00252587,24,-0.03031042,-82.7940959,2.789383e-05,22.202,17.449,17.449,0
2mer-0+289,-0.00195822,24,-0.02349865,-82.81759455,2.227156e-05,23.286,18.808,18.808,0
2mer-0+283,-0.00241472,24,-0.02897668,-82.84657123,2.125082e-05,23.02,19.105,19.105,0
