N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev,ccsd(t)_le
2mer-0+5,-6.03948077,6,-18.1184423,-18.1184423,0.007344023,7.021,2.722,2.722,0.1756498217582702,-18.11844231,-17.591492844725188,-18.11844231,-17.591492844725188,-18.1184423,-19.94207909
2mer-0+1,-15.04536393,8,-60.18145572,-78.29989802,0.006181186,6.08,2.883,2.883,-0.0355366505682468,-60.18145572,-60.32360232227299,-45.13609179,-77.91509516699819,-78.29989802,0.0
2mer-0+15,-0.15358302,12,-0.92149812,-79.22139615,0.0007600164,9.929,5.799,5.799,0.0248759556561708,-0.9214981199999999,-0.7722423860629752,-0.46074905999999993,-78.68733755306116,-79.22139614,0.0
2mer-0+27,-0.15113334,24,-1.81360004,-81.03499619,0.0003877338,11.643,7.257,7.257,0.0011380846844986,-1.81360008,-1.7999430637860168,-0.45340002,-80.48728061684717,-81.03499622,0.0
2mer-0+51,-0.16683641,8,-0.66734563,-81.70234182,0.0002230476,12.161,8.726,8.726,0.0,-0.66734564,-0.66734564,-0.50050923,-81.15462625684717,-81.70234185999999,0.0
2mer-0+59,-0.05396897,6,-0.16190691,-81.86424873,0.0001714962,14.042,9.525,9.525,0.0,-0.16190691,-0.16190691,-0.16190691,-81.31653316684717,-81.86424876999999,0.0
2mer-0+68,-0.016314,24,-0.19576796,-82.06001669,0.0001092099,15.699,11.071,11.071,0.0,-0.195768,-0.195768,-0.048942,-81.51230116684717,-82.06001676999999,0.0
2mer-0+65,-0.01999852,24,-0.23998227,-82.29999896,0.0001021218,15.302,11.321,11.321,0.0,-0.23998223999999999,-0.23998223999999999,-0.059995559999999996,-81.75228340684717,-82.29999901,0.0
2mer-0+113,-0.01327007,24,-0.15924088,-82.45923985,6.577324e-05,17.198,13.109,13.109,0.0,-0.15924084,-0.15924084,-0.03981021,-81.91152424684716,-82.45923984999999,0.0
2mer-0+131,-0.00893514,24,-0.10722164,-82.56646148,5.876381e-05,18.241,13.611,13.611,0.0,-0.10722167999999999,-0.10722167999999999,-0.026805419999999996,-82.01874592684716,-82.56646152999998,0.0
2mer-0+152,-0.01176998,8,-0.04707992,-82.6135414,4.606856e-05,18.241,14.762,14.762,0.0,-0.04707992,-0.04707992,-0.03530994,-82.06582584684716,-82.61354144999999,0.0
2mer-0+169,-0.00288144,12,-0.01728861,-82.63083001,3.808868e-05,19.858,15.728,15.728,0.0,-0.01728864,-0.01728864,-0.00864432,-82.08311448684717,-82.63083008999999,0.0
2mer-0+178,-0.00316505,48,-0.0759611,-82.70679111,3.407931e-05,20.768,16.322,16.322,0.0,-0.0759612,-0.0759612,-0.00949515,-82.15907568684716,-82.70679128999998,0.0
2mer-0+205,-0.004151,6,-0.01245301,-82.71924411,3.292131e-05,21.063,16.511,16.511,0.0,-0.012453,-0.012453,-0.012453,-82.17152868684715,-82.71924428999998,0.0
2mer-0+214,-0.00371178,24,-0.04454137,-82.76378548,2.900121e-05,21.063,17.224,17.224,0.0,-0.04454136,-0.04454136,-0.01113534,-82.21607004684715,-82.76378564999997,0.0
2mer-0+247,-0.00252587,24,-0.03031042,-82.7940959,2.789383e-05,22.202,17.449,17.449,0.0,-0.03031044,-0.03031044,-0.00757761,-82.24638048684714,-82.79409608999997,0.0
2mer-0+289,-0.00195822,24,-0.02349865,-82.81759455,2.227156e-05,23.286,18.808,18.808,0.0,-0.02349864,-0.02349864,-0.00587466,-82.26987912684714,-82.81759472999997,0.0
2mer-0+283,-0.00241472,24,-0.02897668,-82.84657123,2.125082e-05,23.02,19.105,19.105,0.0,-0.028976639999999998,-0.028976639999999998,-0.0072441599999999995,-82.29885576684714,-82.84657136999996,-87.12983335
