N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev,ccsd(t)_le
2mer-0+2,-15.13624174,2,-15.13624174,-15.13624174,0.02170997,2.765,1.897,1.897,-0.1069348379969596,-15.13624174,-15.243176577996959,-45.408725219999994,-15.243176577996959,-15.13624174,-13.93703407
2mer-0+1,-14.07681714,1,-7.03840857,-22.17465031,0.02149779,2.765,1.903,1.903,-0.019647154957056,-7.03840857,-7.048232147478528,-42.230451419999994,-22.291408725475485,-22.174650309999997,0.0
2mer-0+3,-15.74069552,1,-7.87034776,-30.04499807,0.02031553,2.762,1.939,1.939,-0.0457752682268619,-7.87034776,-7.893235394113431,-47.222086559999994,-30.184644119588917,-30.04499807,0.0
2mer-0+6,2.48464856,2,2.48464856,-27.56034951,0.005031491,4.435,3.088,3.088,-0.0479261577129364,2.48464856,2.4367224022870637,7.45394568,-27.747921717301853,-27.560349509999998,0.0
2mer-0+8,-2.61015414,4,-5.22030829,-32.78065779,0.002692835,4.483,3.804,3.804,-0.0391468368470668,-5.22030828,-5.298601953694134,-7.83046242,-33.04652367099599,-32.78065779,0.0
2mer-0+4,-2.74255265,4,-5.48510531,-38.2657631,0.002624978,4.555,3.836,3.836,-0.0382875837385654,-5.4851053,-5.561680467477131,-8.22765795,-38.60820413847312,-38.26576309,0.0
2mer-0+13,-3.02937271,1,-1.51468636,-39.78044946,0.001867041,4.601,4.298,4.298,-0.0306893493980169,-1.514686355,-1.5300310296990085,-9.08811813,-40.13823516817213,-39.780449445,0.0
2mer-0+20,1.06879614,2,1.06879614,-38.71165331,0.001717347,5.292,4.419,4.419,-0.0239411275833845,1.06879614,1.0448550124166154,3.2063884199999997,-39.09338015575551,-38.711653305,0.0
2mer-0+11,0.16282231,2,0.16282231,-38.548831,0.001714617,5.258,4.421,4.421,-0.0244925804436206,0.16282231,0.1383297295563794,0.48846692999999997,-38.95505042619913,-38.548830994999996,0.0
2mer-0+14,0.67747289,2,0.67747289,-37.87135812,0.0016157,4.564,4.51,4.51,-0.0295887626707553,0.67747289,0.6478841273292447,2.03241867,-38.30716629886989,-37.871358105,0.0
2mer-0+9,-1.37394948,2,-1.37394948,-39.2453076,0.001488705,5.295,4.634,4.634,-0.0229562502354383,-1.37394948,-1.3969057302354384,-4.12184844,-39.704072029105326,-39.245307585,0.0
2mer-0+26,-1.4969143,1,-0.74845715,-39.99376475,0.001263349,5.293,4.895,4.895,-0.0200620274990797,-0.74845715,-0.7584881637495399,-4.4907429,-40.462560192854866,-39.993764735,0.0
2mer-0+15,0.13891435,2,0.13891435,-39.8548504,0.001248965,5.326,4.914,4.914,-0.0218790378421545,0.13891435,0.11703531215784549,0.41674305,-40.34552488069702,-39.854850385,0.0
2mer-0+21,0.58172472,2,0.58172472,-39.27312568,0.001116157,6.418,5.101,5.101,-0.0096486434340476,0.58172472,0.5720760765659524,1.74517416,-39.77344880413107,-39.273125665,0.0
2mer-0+29,0.80246835,2,0.80246835,-38.47065734,0.0009488755,6.88,5.385,5.385,-0.007001219317317,0.80246835,0.795467130682683,2.4074050500000004,-38.97798167344839,-38.470657315000004,0.0
2mer-0+36,0.0251468,2,0.0251468,-38.44551054,0.0007892674,6.306,5.726,5.726,-0.0109835984185338,0.0251468,0.0141632015814662,0.0754404,-38.96381847186692,-38.445510515,0.0
2mer-0+22,0.62491604,4,1.24983209,-37.19567845,0.0007867942,6.419,5.732,5.732,-0.0123766269534826,1.24983208,1.2250788260930348,1.87474812,-37.73873964577389,-37.195678435000005,0.0
2mer-0+34,-1.14190745,2,-1.14190745,-38.3375859,0.0007705943,6.445,5.772,5.772,-0.0117735490202903,-1.14190745,-1.1536809990202903,-3.42572235,-38.89242064479418,-38.337585885,0.0
2mer-0+25,0.61292665,2,0.61292665,-37.72465925,0.0006624279,6.474,6.07,6.07,-0.011090743355453,0.61292665,0.601835906644547,1.8387799500000002,-38.29058473814963,-37.724659235000004,0.0
2mer-0+35,-0.23677628,2,-0.23677628,-37.96143554,0.000634129,6.948,6.159,6.159,-0.0101075731217861,-0.23677628,-0.2468838531217861,-0.7103288400000001,-38.53746859127142,-37.961435515000005,0.0
2mer-0+31,0.09044602,2,0.09044602,-37.87098952,0.0006339603,6.958,6.16,6.16,-0.0101897241547703,0.09044602,0.0802562958452297,0.27133806,-38.45721229542619,-37.870989495,0.0
2mer-0+42,-0.83575954,1,-0.41787977,-38.28886929,0.0006234168,6.948,6.195,6.195,-0.0109433960169553,-0.41787977,-0.4233514680084776,-2.50727862,-38.880563763434665,-38.288869265,0.0
2mer-0+38,-0.17053149,4,-0.34106299,-38.62993228,0.0005368451,7.802,6.511,6.511,-0.0060314475558698,-0.34106298,-0.3531258751117396,-0.51159447,-39.2336896385464,-38.629932245,0.0
2mer-0+32,0.1592467,4,0.3184934,-38.31143888,0.0005092469,7.82,6.627,6.627,-0.0057891705073416,0.3184934,0.3069150589853168,0.4777401,-38.926774579561084,-38.311438845,0.0
2mer-0+40,0.78070423,2,0.78070423,-37.53073465,0.000439955,7.035,6.958,6.958,-0.0084263095632195,0.78070423,0.7722779204367805,2.34211269,-38.154496659124305,-37.530734615,0.0
2mer-0+44,-0.66754201,4,-1.33508402,-38.86581867,0.0004307326,7.825,7.007,7.007,-0.0049121547490358,-1.33508402,-1.3449083294980717,-2.00262603,-39.49940498862237,-38.865818635,0.0
2mer-0+55,0.06127128,2,0.06127128,-38.80454739,0.0004085514,7.36,7.132,7.132,-0.0086313979700207,0.06127128,0.052639882029979296,0.18381384,-39.446765106592395,-38.804547355,0.0
2mer-0+45,0.10359284,4,0.20718569,-38.5973617,0.0003823113,7.825,7.291,7.291,-0.0048625776544213,0.20718568,0.1974605246911574,0.31077852,-39.249304581901235,-38.597361674999995,0.0
2mer-0+59,0.06338535,2,0.06338535,-38.53397635,0.0003747401,8.25,7.34,7.34,-0.002874900586903,0.06338535,0.060510449413096995,0.19015604999999997,-39.18879413248814,-38.533976325,0.0
2mer-0+73,0.26329382,1,0.13164691,-38.40232943,0.0003649593,8.206,7.405,7.405,-0.002910733455792,0.13164691,0.130191543272104,0.78988146,-39.05860258921604,-38.402329415,0.0
2mer-0+54,-0.36435098,2,-0.36435098,-38.76668042,0.0003589442,7.82,7.446,7.446,-0.0058021135628223,-0.36435098,-0.3701530935628223,-1.09305294,-39.428755682778856,-38.766680394999995,0.0
2mer-0+57,0.12411963,4,0.24823926,-38.51844116,0.0003368618,8.99,7.605,7.605,-0.0006087775109335,0.24823926,0.247021704978133,0.37235889,-39.181733977800725,-38.518441134999996,0.0
2mer-0+77,0.28193998,1,0.14096999,-38.37747117,0.0003328696,8.285,7.636,7.636,-0.0027077649720013,0.14096999,0.13961610751399933,0.8458199399999999,-39.042117870286724,-38.377471144999994,0.0
2mer-0+56,-0.42050459,2,-0.42050459,-38.79797576,0.0003325178,8.286,7.638,7.638,-0.0018055709078907,-0.42050459,-0.4223101609078907,-1.26151377,-39.464428031194615,-38.797975734999994,0.0
2mer-0+52,0.05643233,2,0.05643233,-38.74154343,0.0003161852,8.337,7.768,7.768,-0.000845416681841,0.05643233,0.055586913318159,0.16929699,-39.408841117876456,-38.741543404999994,0.0
2mer-0+89,0.28132184,1,0.14066092,-38.60088251,0.0003160106,8.993,7.769,7.769,-0.0008148510241881,0.14066092,0.14025349448790594,0.84396552,-39.26858762338855,-38.60088248499999,0.0
2mer-0+64,-0.10580829,2,-0.10580829,-38.7066908,0.0003160106,9.033,7.769,7.769,-0.0004981844685971,-0.10580829,-0.1063064744685971,-0.31742486999999997,-39.374894097857144,-38.70669077499999,0.0
2mer-0+82,-0.2251831,4,-0.45036621,-39.15705701,0.0002914261,8.593,7.982,7.982,-0.0007444077054969,-0.4503662,-0.4518550154109938,-0.6755493,-39.826749113268136,-39.15705697499999,0.0
