N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),dAPNet2
2mer-0+2,-16.06437152,2,-16.06437152,-16.06437152,0.02170997,2.765,1.897,1.897,2.6578423976898193
2mer-0+1,-13.44126461,1,-6.7206323,-22.78500383,0.02149779,2.765,1.903,1.903,2.618311882019043
2mer-0+3,-17.29793089,1,-8.64896545,-31.43396927,0.02031553,2.762,1.939,1.939,2.525165319442749
2mer-0+6,3.6963542,2,3.6963542,-27.73761507,0.005031491,4.435,3.088,3.088,1.1287939548492432
2mer-0+8,-2.42610626,4,-4.85221252,-32.58982759,0.002692835,4.483,3.804,3.804,0.2754826545715332
2mer-0+4,-2.8034427,4,-5.6068854,-38.19671299,0.002624978,4.555,3.836,3.836,0.3462037742137909
2mer-0+13,-3.48230748,1,-1.74115374,-39.93786673,0.001867041,4.601,4.298,4.298,0.22927570343017578
2mer-0+20,1.45858404,2,1.45858404,-38.47928269,0.001717347,5.292,4.419,4.419,0.3356756865978241
2mer-0+11,0.28663734,2,0.28663734,-38.19264534,0.001714617,5.258,4.421,4.421,0.3228783905506134
2mer-0+14,1.112796,2,1.112796,-37.07984934,0.0016157,4.564,4.51,4.51,0.21152812242507935
2mer-0+9,-1.44664626,2,-1.44664626,-38.5264956,0.001488705,5.295,4.634,4.634,0.21606488525867462
2mer-0+26,-1.94652309,1,-0.97326154,-39.49975714,0.001263349,5.293,4.895,4.895,0.2186586856842041
2mer-0+15,0.26184318,2,0.26184318,-39.23791396,0.001248965,5.326,4.914,4.914,0.19870105385780334
2mer-0+21,0.77872309,2,0.77872309,-38.45919088,0.001116157,6.418,5.101,5.101,0.3204728662967682
2mer-0+29,1.1243484,2,1.1243484,-37.33484248,0.0009488755,6.88,5.385,5.385,0.31252792477607727
2mer-0+36,0.16504721,2,0.16504721,-37.16979527,0.0007892674,6.306,5.726,5.726,0.10764625668525696
2mer-0+22,0.83891316,4,1.67782632,-35.49196895,0.0007867942,6.419,5.732,5.732,0.10953651368618011
2mer-0+34,-1.53900737,2,-1.53900737,-37.03097632,0.0007705943,6.445,5.772,5.772,0.14581045508384705
