N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev,ccsd(t)_le
2mer-0+1,-44.5705357,2,-44.5705357,-44.5705357,0.02520049,5.142,1.805,1.805,0.2331556379795074,-44.5705357,-44.33738006202049,-133.7116071,-44.33738006202049,-44.5705357,-42.77755936
2mer-0+8,-1.34149579,2,-1.34149579,-45.91203149,0.01203584,6.194,2.309,2.309,0.1536975353956222,-1.34149579,-1.1877982546043777,-4.02448737,-45.525178316624874,-45.912031490000004,0.0
2mer-0+4,-2.416061,1,-1.2080305,-47.12006199,0.009190412,5.775,2.526,2.526,0.5674079060554504,-1.2080305,-0.9243265469722748,-7.248183,-46.44950486359715,-47.12006199,0.0
2mer-0+14,-11.17373125,2,-11.17373125,-58.29379324,0.008282639,4.961,2.615,2.615,0.2891586124897003,-11.17373125,-10.8845726375103,-33.521193749999995,-57.334077501107444,-58.29379324,0.0
2mer-0+2,-15.54952169,2,-15.54952169,-73.84331492,0.006341256,4.47,2.859,2.859,0.5888642072677612,-15.54952169,-14.96065748273224,-46.648565070000004,-72.29473498383969,-73.84331493,0.0
2mer-0+16,-7.54702828,1,-3.77351414,-77.61682906,0.006014628,5.307,2.91,2.91,0.1925778836011886,-3.77351414,-3.6772251981994057,-22.64108484,-75.9719601820391,-77.61682907000001,0.0
2mer-0+3,-3.24331798,2,-3.24331798,-80.86014704,0.005459376,5.371,3.005,3.005,0.2845502197742462,-3.24331798,-2.958767760225754,-9.72995394,-78.93072794226485,-80.86014705000001,0.0
2mer-0+10,-20.89890902,1,-10.44945451,-91.30960155,0.003717661,4.053,3.416,3.416,0.6834065318107605,-10.44945451,-10.10775124409462,-62.69672706,-89.03847918635947,-91.30960156,0.0
2mer-0+5,0.55889561,1,0.27944781,-91.03015374,0.002965861,6.911,3.683,3.683,0.0503436848521232,0.279447805,0.30461964742606157,1.67668683,-88.7338595389334,-91.030153755,0.0
2mer-0+50,-0.97663921,1,-0.48831961,-91.51847334,0.002402648,8.303,3.951,3.951,-0.0105125121772289,-0.488319605,-0.49357586108861445,-2.92991763,-89.22743540002202,-91.51847336,0.0
2mer-0+19,1.44868098,2,1.44868098,-90.06979237,0.001294784,6.926,4.855,4.855,0.0352246761322021,1.44868098,1.4839056561322022,4.34604294,-87.74352974388981,-90.06979238,0.0
2mer-0+9,1.48862036,2,1.48862036,-88.581172,0.001283554,8.253,4.869,4.869,0.045390035957098,1.48862036,1.534010395957098,4.46586108,-86.20951934793271,-88.58117202,0.0
2mer-0+37,0.08456463,1,0.04228232,-88.53888969,0.001212229,9.409,4.963,4.963,-0.0204274728894233,0.042282315,0.03206857855528835,0.25369389,-86.17745076937743,-88.538889705,0.0
2mer-0+6,-0.04596021,1,-0.02298011,-88.56186979,0.001070709,8.042,5.173,5.173,0.049168225377798,-0.022980105,0.001604007688898998,-0.13788063,-86.17584676168853,-88.56186981,0.0
2mer-0+7,-0.2216871,2,-0.2216871,-88.78355689,0.001037861,8.498,5.227,5.227,0.0203325636684894,-0.2216871,-0.2013545363315106,-0.6650613,-86.37720129802004,-88.78355691,0.0
