N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),dAPNet2
2mer-0+1,-42.41183509,2,-42.41183509,-42.41183509,0.02520049,5.142,1.805,1.805,0.6114455461502075
2mer-0+8,-1.96319466,2,-1.96319466,-44.37502976,0.01203584,6.194,2.309,2.309,-0.004141548182815313
2mer-0+4,-3.31088442,1,-1.65544221,-46.03047197,0.009190412,5.775,2.526,2.526,-0.2351730316877365
2mer-0+14,-11.07578192,2,-11.07578192,-57.10625388,0.008282639,4.961,2.615,2.615,0.26420262455940247
2mer-0+2,-15.81994938,2,-15.81994938,-72.92620327,0.006341256,4.47,2.859,2.859,0.09498625248670578
2mer-0+16,-8.07539448,1,-4.03769724,-76.96390051,0.006014628,5.307,2.91,2.91,0.10336047410964966
2mer-0+3,-4.18047265,2,-4.18047265,-81.14437316,0.005459376,5.371,3.005,3.005,0.0032632658258080482
2mer-0+10,-21.28894657,1,-10.64447328,-91.78884644,0.003717661,4.053,3.416,3.416,0.4397999942302704
2mer-0+5,-0.26875978,1,-0.13437989,-91.92322633,0.002965861,6.911,3.683,3.683,0.0538121722638607
2mer-0+50,-1.15217413,1,-0.57608707,-92.4993134,0.002402648,8.303,3.951,3.951,-0.026064036414027214
2mer-0+19,1.13458387,2,1.13458387,-91.36472952,0.001294784,6.926,4.855,4.855,0.01581401936709881
2mer-0+9,1.33984083,2,1.33984083,-90.0248887,0.001283554,8.253,4.869,4.869,0.035335298627614975
2mer-0+37,0.02460558,1,0.01230279,-90.01258591,0.001212229,9.409,4.963,4.963,-0.02408733032643795
2mer-0+6,-0.11488662,1,-0.05744331,-90.07002922,0.001070709,8.042,5.173,5.173,0.02619905211031437
2mer-0+7,-0.27780814,2,-0.27780814,-90.34783736,0.001037861,8.498,5.227,5.227,0.008239834569394588
2mer-0+38,0.45377217,2,0.45377217,-89.89406518,0.0009028009,9.292,5.475,5.475,-0.012832495383918285
2mer-0+24,-0.23283407,1,-0.11641703,-90.01048222,0.0008425211,6.715,5.603,5.603,0.05175881087779999
2mer-0+34,-1.04299624,2,-1.04299624,-91.05347846,0.0008322436,9.073,5.626,5.626,-0.0071722641587257385
2mer-0+13,0.49985008,2,0.49985008,-90.55362838,0.0007461262,7.582,5.834,5.834,0.010978159494698048
2mer-0+12,-1.02617073,2,-1.02617073,-91.57979911,0.000725228,8.814,5.89,5.89,-0.013196131214499474
2mer-0+33,0.7719969,2,0.7719969,-90.80780222,0.0006495233,7.739,6.11,6.11,-0.007353741209954023
2mer-0+70,2.84435268,1,1.42217634,-89.38562588,0.0006283345,8.293,6.178,6.178,0.0248937476426363
2mer-0+43,-1.73759529,1,-0.86879765,-90.25442352,0.0006052052,7.563,6.256,6.256,-0.0007865872466936707
2mer-0+23,-0.5245,1,-0.26225,-90.51667352,0.0005629168,10.391,6.409,6.409,-0.01329336129128933
2mer-0+61,0.26260222,2,0.26260222,-90.2540713,0.0005384115,10.392,6.505,6.505,-0.008958791382610798
2mer-0+35,-0.3916783,2,-0.3916783,-90.6457496,0.0005231535,9.022,6.567,6.567,-0.0021123732440173626
2mer-0+25,-2.3976017,2,-2.3976017,-93.0433513,0.0005131624,9.79,6.61,6.61,0.01013246737420559
2mer-0+74,0.82876047,2,0.82876047,-92.21459083,0.0004537087,9.81,6.887,6.887,-0.00030194141436368227
2mer-0+27,0.00782441,2,0.00782441,-92.20676642,0.0004509496,10.5,6.901,6.901,-0.007613303139805794
2mer-0+65,1.25326252,1,0.62663126,-91.58013516,0.0004424465,9.257,6.945,6.945,0.009710540063679218
2mer-0+22,-0.92975386,2,-0.92975386,-92.50988903,0.0003971009,11.167,7.199,7.199,-0.001959623536095023
2mer-0+29,0.70566604,2,0.70566604,-91.80422299,0.0003580707,9.682,7.452,7.452,-0.0034643318504095078
2mer-0+36,0.47804839,2,0.47804839,-91.3261746,0.0003313513,10.742,7.647,7.647,-0.0018834656802937388
2mer-0+116,0.25661711,1,0.12830856,-91.19786604,0.0003240218,10.466,7.704,7.704,-0.0011061098193749785
2mer-0+73,-0.91080511,1,-0.45540256,-91.6532686,0.0003127281,10.816,7.796,7.796,-0.0008523901924490929
2mer-0+30,0.82748234,2,0.82748234,-90.82578626,0.000304378,11.637,7.867,7.867,-0.001474568503908813
2mer-0+32,0.00899299,2,0.00899299,-90.81679327,0.0002919045,11.217,7.977,7.977,-0.0013400741154327989
2mer-0+57,-0.72041904,2,-0.72041904,-91.53721231,0.0002677737,11.167,8.21,8.21,0
2mer-0+28,0.32459948,2,0.32459948,-91.21261282,0.0002588983,9.292,8.303,8.303,0
2mer-0+54,-0.63213741,1,-0.31606871,-91.52868153,0.0002445731,10.127,8.462,8.462,0
2mer-0+39,-0.63022169,2,-0.63022169,-92.15890322,0.000237848,10.95,8.541,8.541,0
2mer-0+60,-0.5012267,2,-0.5012267,-92.66012992,0.0002378111,11.482,8.541,8.541,0
2mer-0+55,0.67832008,1,0.33916004,-92.32096988,0.0002220439,12.481,8.739,8.739,0
2mer-0+62,-0.6347232,2,-0.6347232,-92.95569309,0.0002199059,10.761,8.767,8.767,0
2mer-0+51,-0.37767451,2,-0.37767451,-93.3333676,0.0002192317,11.416,8.776,8.776,0
2mer-0+45,0.83422273,1,0.41711136,-92.91625623,0.0002142753,13.142,8.843,8.843,0
2mer-0+59,-0.60219845,1,-0.30109923,-93.21735546,0.0002092252,10.941,8.914,8.914,0
2mer-0+96,-0.35752594,1,-0.17876297,-93.39611843,0.0002081369,11.972,8.929,8.929,0
2mer-0+84,0.29323567,2,0.29323567,-93.10288276,0.0002054989,13.149,8.967,8.967,0
2mer-0+155,-0.24964989,1,-0.12482494,-93.2277077,0.0002053478,12.939,8.97,8.97,0
2mer-0+99,0.33607995,2,0.33607995,-92.89162775,0.0001998587,11.381,9.051,9.051,0
2mer-0+85,-0.18776248,2,-0.18776248,-93.07939023,0.0001970755,11.604,9.093,9.093,0
2mer-0+88,-0.67863639,1,-0.3393182,-93.41870843,0.0001939131,10.003,9.143,9.143,0
2mer-0+68,0.24210997,2,0.24210997,-93.17659846,0.0001861548,10.5,9.268,9.268,0
2mer-0+93,0.01697817,2,0.01697817,-93.15962029,0.0001851374,12.407,9.285,9.285,0
2mer-0+40,-0.13143859,1,-0.06571929,-93.22533959,0.000184867,11.803,9.289,9.289,0
2mer-0+113,-0.1882535,1,-0.09412675,-93.31946634,0.0001730604,12.662,9.496,9.496,0
2mer-0+136,-0.12239258,1,-0.06119629,-93.38066262,0.0001694531,13.675,9.563,9.563,0
2mer-0+47,-0.10867458,2,-0.10867458,-93.48933721,0.0001625299,12.871,9.697,9.697,0
2mer-0+64,-0.43424441,2,-0.43424441,-93.92358161,0.0001610506,12.951,9.726,9.726,0
2mer-0+104,-0.43466045,1,-0.21733022,-94.14091184,0.0001604568,13.842,9.738,9.738,0
2mer-0+49,0.2645289,2,0.2645289,-93.87638293,0.0001570226,13.897,9.809,9.809,0
2mer-0+53,0.26750583,2,0.26750583,-93.6088771,0.0001553139,13.255,9.845,9.845,0
2mer-0+78,-0.13658492,2,-0.13658492,-93.74546202,0.0001545029,13.404,9.862,9.862,0
2mer-0+71,0.12982992,2,0.12982992,-93.6156321,0.000151055,14.029,9.936,9.936,0
2mer-0+137,0.0479077,2,0.0479077,-93.5677244,0.0001477739,12.009,10.009,10.009,0
2mer-0+146,-0.34482598,1,-0.17241299,-93.74013739,0.0001358706,12.477,10.293,10.293,0
2mer-0+106,-0.27753149,2,-0.27753149,-94.01766888,0.0001285354,14.061,10.486,10.486,0
2mer-0+98,-0.14771129,1,-0.07385564,-94.09152452,0.0001255395,12.942,10.568,10.568,0
2mer-0+86,0.03144658,1,0.01572329,-94.07580123,0.0001225083,13.58,10.655,10.655,0
2mer-0+76,-0.26077522,2,-0.26077522,-94.33657644,0.0001217818,13.895,10.676,10.676,0
2mer-0+58,-0.14234601,2,-0.14234601,-94.47892245,0.0001217099,14.534,10.678,10.678,0
2mer-0+140,-0.08171789,2,-0.08171789,-94.56064034,0.0001210706,14.193,10.697,10.697,0
2mer-0+182,0.73275521,2,0.73275521,-93.82788514,0.0001201319,13.146,10.725,10.725,0
2mer-0+80,0.04941579,1,0.02470789,-93.80317724,0.0001186294,13.931,10.77,10.77,0
2mer-0+67,-0.55181953,1,-0.27590976,-94.07908701,0.0001180951,10.93,10.786,10.786,0
2mer-0+83,0.32981089,2,0.32981089,-93.74927612,0.0001149657,14.043,10.883,10.883,0
2mer-0+119,-0.37839836,2,-0.37839836,-94.12767448,0.0001111048,13.172,11.008,11.008,0
2mer-0+107,0.15737188,1,0.07868594,-94.04898854,0.0001102522,14.02,11.036,11.036,0
2mer-0+72,-0.20836488,2,-0.20836488,-94.25735342,0.0001080966,13.712,11.109,11.109,0
2mer-0+234,-0.04008657,1,-0.02004329,-94.27739671,0.0001070562,14.423,11.145,11.145,0
2mer-0+134,0.0253061,1,0.01265305,-94.26474366,0.0001059014,15.325,11.185,11.185,0
2mer-0+185,0.05249837,1,0.02624918,-94.23849448,0.0001031157,14.238,11.285,11.285,0
2mer-0+216,0.43417684,1,0.21708842,-94.02140606,0.0001022651,14.152,11.316,11.316,0
2mer-0+147,-0.02291485,2,-0.02291485,-94.04432091,0.0001022154,14.534,11.318,11.318,0
2mer-0+118,0.29163373,2,0.29163373,-93.75268718,0.0001020963,13.582,11.322,11.322,0
2mer-0+75,0.18085788,2,0.18085788,-93.57182929,9.795143e-05,13.149,11.48,11.48,0
2mer-0+91,-0.59901788,2,-0.59901788,-94.17084717,9.726932e-05,14.77,11.506,11.506,0
2mer-0+103,-0.21481115,1,-0.10740558,-94.27825275,9.679811e-05,15.501,11.525,11.525,0
2mer-0+144,0.21666479,2,0.21666479,-94.06158796,9.628764e-05,14.518,11.545,11.545,0
