N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev,ccsd(t)_le
2mer-0+1,-42.41183509,2,-42.41183509,-42.41183509,0.02520049,5.142,1.805,1.805,0.6114455461502075,-42.41183509,-41.80038954384979,-127.23550526999999,-41.80038954384979,-42.41183509,-42.77755936
2mer-0+8,-1.96319466,2,-1.96319466,-44.37502976,0.01203584,6.194,2.309,2.309,-0.0041415481828153,-1.96319466,-1.9673362081828154,-5.88958398,-43.767725752032604,-44.375029749999996,0.0
2mer-0+4,-3.31088442,1,-1.65544221,-46.03047197,0.009190412,5.775,2.526,2.526,-0.2351730316877365,-1.65544221,-1.7730287258438682,-9.932653259999999,-45.54075447787647,-46.03047195999999,0.0
2mer-0+14,-11.07578192,2,-11.07578192,-57.10625388,0.008282639,4.961,2.615,2.615,0.2642026245594024,-11.07578192,-10.811579295440598,-33.227345760000006,-56.35233377331707,-57.10625388,0.0
2mer-0+2,-15.81994938,2,-15.81994938,-72.92620327,0.006341256,4.47,2.859,2.859,0.0949862524867057,-15.81994938,-15.724963127513295,-47.459848140000005,-72.07729690083036,-72.92620326,0.0
2mer-0+16,-8.07539448,1,-4.03769724,-76.96390051,0.006014628,5.307,2.91,2.91,0.1033604741096496,-4.03769724,-3.986017002945175,-24.22618344,-76.06331390377554,-76.9639005,0.0
2mer-0+3,-4.18047265,2,-4.18047265,-81.14437316,0.005459376,5.371,3.005,3.005,0.003263265825808,-4.18047265,-4.1772093841741915,-12.54141795,-80.24052328794973,-81.14437314999999,0.0
2mer-0+10,-21.28894657,1,-10.64447328,-91.78884644,0.003717661,4.053,3.416,3.416,0.4397999942302704,-10.644473285,-10.424573287884865,-63.86683971,-90.6650965758346,-91.788846435,0.0
2mer-0+5,-0.26875978,1,-0.13437989,-91.92322633,0.002965861,6.911,3.683,3.683,0.0538121722638607,-0.13437989,-0.10747380386806965,-0.80627934,-90.77257037970267,-91.923226325,0.0
2mer-0+50,-1.15217413,1,-0.57608707,-92.4993134,0.002402648,8.303,3.951,3.951,-0.0260640364140272,-0.576087065,-0.5891190832070136,-3.45652239,-91.36168946290968,-92.49931339,0.0
2mer-0+19,1.13458387,2,1.13458387,-91.36472952,0.001294784,6.926,4.855,4.855,0.0158140193670988,1.13458387,1.1503978893670987,3.4037516099999996,-90.21129157354258,-91.36472952,0.0
2mer-0+9,1.33984083,2,1.33984083,-90.0248887,0.001283554,8.253,4.869,4.869,0.0353352986276149,1.33984083,1.375176128627615,4.01952249,-88.83611544491497,-90.02488869,0.0
2mer-0+37,0.02460558,1,0.01230279,-90.01258591,0.001212229,9.409,4.963,4.963,-0.0240873303264379,0.01230279,0.00025912483678104843,0.07381673999999999,-88.83585632007818,-90.01258589999999,0.0
