N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev,ccsd(t)_le
2mer-0+1,-42.20687691,2,-42.20687691,-42.20687691,0.02520049,5.142,1.805,1.805,0.4282271265983581,-42.20687691,-41.77864978340164,-126.62063072999999,-41.77864978340164,-42.20687691,-42.77755936
2mer-0+8,-1.14958845,2,-1.14958845,-43.35646535,0.01203584,6.194,2.309,2.309,0.0975240543484687,-1.14958845,-1.0520643956515312,-3.44876535,-42.830714179053174,-43.35646536,0.0
2mer-0+4,-2.05674609,1,-1.02837304,-44.3848384,0.009190412,5.775,2.526,2.526,0.165448397397995,-1.028373045,-0.9456488463010024,-6.17023827,-43.77636302535418,-44.384838405,0.0
2mer-0+14,-11.86364704,2,-11.86364704,-56.24848543,0.008282639,4.961,2.615,2.615,-0.0063614351674914,-11.86364704,-11.870008475167491,-35.59094112,-55.64637150052167,-56.248485445,0.0
2mer-0+2,-17.02786159,2,-17.02786159,-73.27634702,0.006341256,4.47,2.859,2.859,-0.3129876255989074,-17.02786159,-17.340849215598908,-51.08358477,-72.98722071612058,-73.276347035,0.0
2mer-0+16,-8.46846179,1,-4.2342309,-77.51057792,0.006014628,5.307,2.91,2.91,-0.0252816472202539,-4.234230895,-4.246871718610127,-25.405385369999998,-77.2340924347307,-77.51057793,0.0
2mer-0+3,-3.25237335,2,-3.25237335,-80.76295127,0.005459376,5.371,3.005,3.005,-0.1276251524686813,-3.25237335,-3.3799985024686814,-9.757120050000001,-80.61409093719938,-80.76295128,0.0
2mer-0+10,-23.75552598,1,-11.87776299,-92.64071426,0.003717661,4.053,3.416,3.416,-0.4509192109107971,-11.87776299,-12.1032225954554,-71.26657794,-92.71731353265477,-92.64071426999999,0.0
2mer-0+5,0.57763784,1,0.28881892,-92.35189534,0.002965861,6.911,3.683,3.683,0.0389243364334106,0.28881892,0.3082810882167053,1.7329135199999999,-92.40903244443807,-92.35189534999999,0.0
2mer-0+50,-1.13404235,1,-0.56702117,-92.91891651,0.002402648,8.303,3.951,3.951,0.0064452048391103,-0.567021175,-0.5637985725804449,-3.4021270500000003,-92.9728310170185,-92.91891652499999,0.0
2mer-0+19,1.45673839,2,1.45673839,-91.46217813,0.001294784,6.926,4.855,4.855,-0.0195626690983772,1.45673839,1.4371757209016227,4.37021517,-91.53565529611689,-91.46217813499999,0.0
2mer-0+9,1.51281806,2,1.51281806,-89.94936007,0.001283554,8.253,4.869,4.869,0.1675041913986206,1.51281806,1.6803222513986207,4.5384541800000004,-89.85533304471826,-89.94936007499999,0.0
2mer-0+37,0.10041872,1,0.05020936,-89.89915071,0.001212229,9.409,4.963,4.963,0.0062249186448752,0.05020936,0.053321819322437604,0.30125616,-89.80201122539583,-89.89915071499999,0.0
2mer-0+6,-0.13738142,1,-0.06869071,-89.96784142,0.001070709,8.042,5.173,5.173,0.0744580775499343,-0.06869071,-0.03146167122503285,-0.41214426000000004,-89.83347289662086,-89.96784142499999,0.0
2mer-0+7,-0.27477483,2,-0.27477483,-90.24261624,0.001037861,8.498,5.227,5.227,0.0418759398162364,-0.27477483,-0.23289889018376364,-0.8243244900000001,-90.06637178680462,-90.24261625499999,0.0
2mer-0+38,0.4824645,2,0.4824645,-89.76015175,0.0009028009,9.292,5.475,5.475,0.0082601234316825,0.4824645,0.4907246234316825,1.4473935,-89.57564716337293,-89.76015175499998,0.0
2mer-0+24,-0.02641793,1,-0.01320896,-89.77336071,0.0008425211,6.715,5.603,5.603,-0.0087290108203887,-0.013208965,-0.01757347041019435,-0.07925378999999999,-89.59322063378313,-89.77336071999999,0.0
