N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev
2mer-0+1,-9.4941358,4,-18.9882716,-18.9882716,0.01038414,7.745,2.426,2.426,-0.1829308271408081,-18.9882716,-19.354133254281617,-28.4824074,-19.354133254281617,-18.9882716
2mer-0+5,-7.23618716,2,-7.23618716,-26.22445876,0.008569363,8.634,2.586,2.586,-0.1568836867809295,-7.23618716,-7.39307084678093,-21.70856148,-26.747204101062547,-26.22445876
2mer-0+7,-18.45696921,2,-18.45696921,-44.68142797,0.006364136,5.938,2.856,2.856,-0.1993813663721084,-18.45696921,-18.65635057637211,-55.370907630000005,-45.403554677434656,-44.68142797
2mer-0+3,-24.98702443,4,-49.97404885,-94.65547682,0.006294937,5.015,2.866,2.866,0.0195746943354606,-49.97404886,-49.93489947132908,-74.96107329,-95.33845414876373,-94.65547683
2mer-0+11,-1.03004298,2,-1.03004298,-95.68551979,0.003228275,10.478,3.581,3.581,-0.0341663844883441,-1.03004298,-1.0642093644883441,-3.0901289399999996,-96.40266351325208,-95.68551981
2mer-0+10,-0.61867004,2,-0.61867004,-96.30418984,0.001237557,9.785,4.929,4.929,-0.0194917060434818,-0.61867004,-0.6381617460434819,-1.85601012,-97.04082525929556,-96.30418985
2mer-0+6,-2.72172039,2,-2.72172039,-99.02591023,0.001067028,7.777,5.179,5.179,-0.0491982102394104,-2.72172039,-2.7709186002394106,-8.165161170000001,-99.81174385953497,-99.02591024
2mer-0+15,-0.6144878,2,-0.6144878,-99.64039803,0.000821434,10.478,5.65,5.65,-0.0260895546525716,-0.6144878,-0.6405773546525716,-1.8434634,-100.45232121418755,-99.64039804000001
2mer-0+18,-0.68344697,2,-0.68344697,-100.323845,0.0007985891,10.031,5.704,5.704,-0.0229555647820234,-0.68344697,-0.7064025347820234,-2.05034091,-101.15872374896958,-100.32384501000001
2mer-0+21,-0.56902056,4,-1.13804112,-101.46188612,0.0007340187,9.781,5.866,5.866,-0.0175382774323225,-1.13804112,-1.173117674864645,-1.70706168,-102.33184142383422,-101.46188613000001
2mer-0+19,-0.30721989,4,-0.61443977,-102.07632589,0.0006778374,11.807,6.024,6.024,-0.006987131666392,-0.61443978,-0.628414043332784,-0.9216596699999999,-102.960255467167,-102.07632591000001
2mer-0+17,-0.16315732,4,-0.32631465,-102.40264053,0.0006518769,11.423,6.103,6.103,-0.0125104421749711,-0.32631464,-0.3513355243499422,-0.48947196,-103.31159099151695,-102.40264055000002
2mer-0+13,-1.0175207,2,-1.0175207,-103.42016123,0.0004867948,8.085,6.727,6.727,-0.0259711593389511,-1.0175207,-1.043491859338951,-3.0525621,-104.35508285085591,-103.42016125000002
2mer-0+44,-0.17840438,2,-0.17840438,-103.59856562,0.0003293969,11.875,7.662,7.662,-0.0015122932381927,-0.17840438,-0.17991667323819271,-0.53521314,-104.5349995240941,-103.59856563000002
2mer-0+22,-0.05523513,2,-0.05523513,-103.65380075,0.0003245849,14.307,7.7,7.7,-0.0012526500504463,-0.05523513,-0.0564877800504463,-0.16570539,-104.59148730414455,-103.65380076000002
2mer-0+14,-0.35557724,2,-0.35557724,-104.00937799,0.0003204969,9.785,7.733,7.733,-0.0056209098547697,-0.35557724,-0.3611981498547697,-1.06673172,-104.95268545399932,-104.00937800000003
2mer-0+16,-0.12654122,4,-0.25308243,-104.26246042,0.0002646354,10.549,8.242,8.242,0.0,-0.25308244,-0.25308244,-0.37962366000000003,-105.20576789399932,-104.26246044000003
2mer-0+56,-0.03250949,2,-0.03250949,-104.29496991,0.0002187867,14.682,8.782,8.782,0.0,-0.03250949,-0.03250949,-0.09752847,-105.23827738399932,-104.29496993000002
2mer-0+37,-0.01874509,4,-0.03749018,-104.3324601,0.0002157206,15.617,8.823,8.823,0.0,-0.03749018,-0.03749018,-0.05623527,-105.27576756399932,-104.33246011000003
2mer-0+47,-0.05345394,4,-0.10690787,-104.43936797,0.0002005443,14.488,9.041,9.041,0.0,-0.10690788,-0.10690788,-0.16036182,-105.38267544399932,-104.43936799000002
2mer-0+70,-0.01065042,2,-0.01065042,-104.45001839,0.000195909,14.366,9.111,9.111,0.0,-0.01065042,-0.01065042,-0.03195126,-105.39332586399932,-104.45001841000003
2mer-0+34,-0.09484744,2,-0.09484744,-104.54486583,0.0001877436,10.031,9.242,9.242,0.0,-0.09484744,-0.09484744,-0.28454232,-105.48817330399932,-104.54486585000002
2mer-0+38,-0.00834186,2,-0.00834186,-104.55320768,0.00018622,15.49,9.267,9.267,0.0,-0.00834186,-0.00834186,-0.02502558,-105.49651516399932,-104.55320771000002
2mer-0+49,-0.0077505,2,-0.0077505,-104.56095818,0.0001838029,14.195,9.307,9.307,0.0,-0.0077505,-0.0077505,-0.023251499999999998,-105.50426566399932,-104.56095821000002
2mer-0+32,-0.05658959,4,-0.11317917,-104.67413736,0.0001736464,14.689,9.485,9.485,0.0,-0.11317918,-0.11317918,-0.16976877,-105.61744484399932,-104.67413739000003
2mer-0+46,-0.03856003,4,-0.07712005,-104.75125741,0.0001683269,12.485,9.584,9.584,0.0,-0.07712006,-0.07712006,-0.11568009000000001,-105.69456490399932,-104.75125745000003
2mer-0+75,-0.03003572,2,-0.03003572,-104.78129313,0.0001594845,15.955,9.758,9.758,0.0,-0.03003572,-0.03003572,-0.09010715999999999,-105.72460062399932,-104.78129317000003
2mer-0+41,-0.04707512,2,-0.04707512,-104.82836825,0.0001572655,15.49,9.804,9.804,0.0,-0.04707512,-0.04707512,-0.14122536,-105.77167574399932,-104.82836829000003
2mer-0+66,-0.06774826,2,-0.06774826,-104.89611651,0.0001469979,14.809,10.027,10.027,0.0,-0.06774826,-0.06774826,-0.20324478,-105.83942400399933,-104.89611655000003
2mer-0+64,-0.04909473,2,-0.04909473,-104.94521124,0.0001384989,14.682,10.228,10.228,0.0,-0.04909473,-0.04909473,-0.14728419,-105.88851873399932,-104.94521128000002
2mer-0+42,-0.08599673,4,-0.17199347,-105.11720471,0.0001290053,13.483,10.473,10.473,0.0,-0.17199346,-0.17199346,-0.25799019,-106.06051219399932,-105.11720474000002
2mer-0+67,-0.00640626,2,-0.00640626,-105.12361096,0.0001241274,17.267,10.608,10.608,0.0,-0.00640626,-0.00640626,-0.01921878,-106.06691845399932,-105.12361100000003
