N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev
2mer-0+1,-8.3343131,4,-16.6686262,-16.6686262,0.01038414,7.745,2.426,2.426,-0.0488353967666626,-16.6686262,-16.766296993533324,-25.002939299999998,-16.766296993533324,-16.6686262
2mer-0+5,-6.01005506,2,-6.01005506,-22.67868127,0.008569363,8.634,2.586,2.586,0.1147895753383636,-6.01005506,-5.895265484661636,-18.03016518,-22.66156247819496,-22.678681259999998
2mer-0+7,-16.91933311,2,-16.91933311,-39.59801437,0.006364136,5.938,2.856,2.856,-0.3911919593811035,-16.91933311,-17.310525069381104,-50.757999330000004,-39.972087547576066,-39.59801437
2mer-0+3,-25.81299664,4,-51.62599328,-91.22400765,0.006294937,5.015,2.866,2.866,-1.3356739282608032,-51.62599328,-54.29734113652161,-77.43898992000001,-94.26942868409768,-91.22400765
2mer-0+11,-0.78581102,2,-0.78581102,-92.00981867,0.003228275,10.478,3.581,3.581,0.0670904591679573,-0.78581102,-0.7187205608320427,-2.35743306,-94.98814924492972,-92.00981867
2mer-0+10,-0.64575022,2,-0.64575022,-92.65556889,0.001237557,9.785,4.929,4.929,0.0520021021366119,-0.64575022,-0.5937481178633881,-1.9372506600000001,-95.5818973627931,-92.65556889
2mer-0+6,-2.74665874,2,-2.74665874,-95.40222763,0.001067028,7.777,5.179,5.179,-0.1154579669237136,-2.74665874,-2.8621167069237137,-8.239976219999999,-98.44401406971681,-95.40222763
2mer-0+15,-0.68177895,2,-0.68177895,-96.08400658,0.000821434,10.478,5.65,5.65,0.0248750802129507,-0.68177895,-0.6569038697870493,-2.04533685,-99.10091793950386,-96.08400658
2mer-0+18,-0.74681915,2,-0.74681915,-96.83082573,0.0007985891,10.031,5.704,5.704,0.0344749987125396,-0.74681915,-0.7123441512874604,-2.24045745,-99.81326209079131,-96.83082572999999
2mer-0+21,-0.62829453,4,-1.25658906,-98.08741479,0.0007340187,9.781,5.866,5.866,0.0314262695610523,-1.25658906,-1.1937365208778954,-1.88488359,-101.0069986116692,-98.08741478999998
2mer-0+19,-0.36782306,4,-0.73564612,-98.82306091,0.0006778374,11.807,6.024,6.024,0.0116204461082816,-0.73564612,-0.7124052277834367,-1.1034691799999998,-101.71940383945264,-98.82306090999998
2mer-0+17,-0.19771536,4,-0.39543071,-99.21849163,0.0006518769,11.423,6.103,6.103,0.0168505534529685,-0.39543072,-0.36172961309406304,-0.59314608,-102.08113345254671,-99.21849162999997
2mer-0+13,-1.07604755,2,-1.07604755,-100.29453918,0.0004867948,8.085,6.727,6.727,-0.0725780725479126,-1.07604755,-1.1486256225479126,-3.2281426499999997,-103.22975907509462,-100.29453917999997
2mer-0+44,-0.2149653,2,-0.2149653,-100.50950448,0.0003293969,11.875,7.662,7.662,0.0016869169194251,-0.2149653,-0.2132783830805749,-0.6448959,-103.4430374581752,-100.50950447999998
2mer-0+22,-0.07761224,2,-0.07761224,-100.58711671,0.0003245849,14.307,7.7,7.7,0.0015793347265571,-0.07761224,-0.0760329052734429,-0.23283672,-103.51907036344863,-100.58711671999997
2mer-0+14,-0.41244899,2,-0.41244899,-100.99956571,0.0003204969,9.785,7.733,7.733,-0.0058179395273327,-0.41244899,-0.41826692952733274,-1.23734697,-103.93733729297597,-100.99956570999997
2mer-0+16,-0.14902557,4,-0.29805114,-101.29761685,0.0002646354,10.549,8.242,8.242,0.0,-0.29805114,-0.29805114,-0.44707671,-104.23538843297597,-101.29761684999997
2mer-0+56,-0.04720104,2,-0.04720104,-101.34481789,0.0002187867,14.682,8.782,8.782,0.0,-0.04720104,-0.04720104,-0.14160312,-104.28258947297597,-101.34481788999997
2mer-0+37,-0.03129531,4,-0.06259062,-101.40740851,0.0002157206,15.617,8.823,8.823,0.0,-0.06259062,-0.06259062,-0.09388593,-104.34518009297597,-101.40740850999997
2mer-0+47,-0.07089684,4,-0.14179369,-101.5492022,0.0002005443,14.488,9.041,9.041,0.0,-0.14179368,-0.14179368,-0.21269052,-104.48697377297597,-101.54920218999997
2mer-0+70,-0.02220547,2,-0.02220547,-101.57140768,0.000195909,14.366,9.111,9.111,0.0,-0.02220547,-0.02220547,-0.06661641,-104.50917924297597,-101.57140765999998
2mer-0+34,-0.10851088,2,-0.10851088,-101.67991856,0.0001877436,10.031,9.242,9.242,0.0,-0.10851088,-0.10851088,-0.32553264000000004,-104.61769012297597,-101.67991853999997
2mer-0+38,-0.0178419,2,-0.0178419,-101.69776045,0.00018622,15.49,9.267,9.267,0.0,-0.0178419,-0.0178419,-0.0535257,-104.63553202297597,-101.69776043999997
2mer-0+49,-0.01902172,2,-0.01902172,-101.71678218,0.0001838029,14.195,9.307,9.307,0.0,-0.01902172,-0.01902172,-0.05706516,-104.65455374297596,-101.71678215999997
2mer-0+32,-0.07469057,4,-0.14938113,-101.86616331,0.0001736464,14.689,9.485,9.485,0.0,-0.14938114,-0.14938114,-0.22407170999999998,-104.80393488297597,-101.86616329999997
2mer-0+46,-0.0507115,4,-0.101423,-101.96758631,0.0001683269,12.485,9.584,9.584,0.0,-0.101423,-0.101423,-0.1521345,-104.90535788297596,-101.96758629999997
2mer-0+75,-0.04194737,2,-0.04194737,-102.00953368,0.0001594845,15.955,9.758,9.758,0.0,-0.04194737,-0.04194737,-0.12584211,-104.94730525297597,-102.00953366999997
2mer-0+41,-0.06406229,2,-0.06406229,-102.07359597,0.0001572655,15.49,9.804,9.804,0.0,-0.06406229,-0.06406229,-0.19218686999999998,-105.01136754297596,-102.07359595999996
2mer-0+66,-0.08770658,2,-0.08770658,-102.16130255,0.0001469979,14.809,10.027,10.027,0.0,-0.08770658,-0.08770658,-0.26311974000000005,-105.09907412297596,-102.16130253999997
2mer-0+64,-0.06267018,2,-0.06267018,-102.22397273,0.0001384989,14.682,10.228,10.228,0.0,-0.06267018,-0.06267018,-0.18801054,-105.16174430297596,-102.22397271999996
2mer-0+42,-0.1020437,4,-0.2040874,-102.42806013,0.0001290053,13.483,10.473,10.473,0.0,-0.2040874,-0.2040874,-0.3061311,-105.36583170297597,-102.42806011999997
2mer-0+67,-0.01358315,2,-0.01358315,-102.44164328,0.0001241274,17.267,10.608,10.608,0.0,-0.01358315,-0.01358315,-0.04074945,-105.37941485297597,-102.44164326999997
2mer-0+90,-0.01839518,4,-0.03679035,-102.47843363,0.000112514,15.384,10.961,10.961,0.0,-0.03679036,-0.03679036,-0.055185540000000005,-105.41620521297597,-102.47843362999997
2mer-0+62,-0.07345148,2,-0.07345148,-102.55188511,0.0001095832,14.195,11.058,11.058,0.0,-0.07345148,-0.07345148,-0.22035443999999998,-105.48965669297597,-102.55188510999997
2mer-0+73,-0.00916926,4,-0.01833852,-102.57022363,0.0001044382,17.731,11.237,11.237,0.0,-0.01833852,-0.01833852,-0.027507780000000003,-105.50799521297597,-102.57022362999997
2mer-0+61,-0.06848828,2,-0.06848828,-102.63871191,0.0001009054,14.574,11.367,11.367,0.0,-0.06848828,-0.06848828,-0.20546483999999998,-105.57648349297597,-102.63871190999997
2mer-0+80,-0.00364343,2,-0.00364343,-102.64235535,9.805815e-05,18.259,11.476,11.476,0.0,-0.00364343,-0.00364343,-0.01093029,-105.58012692297596,-102.64235533999997
2mer-0+84,-0.00656821,4,-0.01313642,-102.65549177,9.361977e-05,16.478,11.654,11.654,0.0,-0.01313642,-0.01313642,-0.01970463,-105.59326334297596,-102.65549175999996
2mer-0+51,-0.04834238,2,-0.04834238,-102.70383415,9.264641e-05,15.554,11.695,11.695,0.0,-0.04834238,-0.04834238,-0.14502714,-105.64160572297595,-102.70383413999996
2mer-0+87,-0.04423905,2,-0.04423905,-102.74807321,9.158646e-05,15.955,11.74,11.74,0.0,-0.04423905,-0.04423905,-0.13271715,-105.68584477297595,-102.74807318999996
2mer-0+81,-0.014627,2,-0.014627,-102.76270021,9.030899e-05,18.259,11.795,11.795,0.0,-0.014627,-0.014627,-0.043880999999999996,-105.70047177297596,-102.76270018999996
2mer-0+77,-0.05442378,4,-0.10884756,-102.87154776,8.659354e-05,15.046,11.961,11.961,0.0,-0.10884756,-0.10884756,-0.16327134,-105.80931933297596,-102.87154774999996
2mer-0+55,-0.0310931,2,-0.0310931,-102.90264087,8.638344e-05,13.31,11.971,11.971,0.0,-0.0310931,-0.0310931,-0.0932793,-105.84041243297597,-102.90264084999997
2mer-0+68,-0.02850368,4,-0.05700737,-102.95964824,8.603025e-05,16.92,11.987,11.987,0.0,-0.05700736,-0.05700736,-0.08551104,-105.89741979297597,-102.95964820999997
2mer-0+65,-0.03074003,2,-0.03074003,-102.99038826,8.114036e-05,16.649,12.223,12.223,0.0,-0.03074003,-0.03074003,-0.09222009,-105.92815982297597,-102.99038823999997
2mer-0+85,-0.04134148,2,-0.04134148,-103.03172974,7.92572e-05,14.366,12.319,12.319,0.0,-0.04134148,-0.04134148,-0.12402444,-105.96950130297597,-103.03172971999997
2mer-0+131,-0.00383033,2,-0.00383033,-103.03556008,7.354779e-05,18.982,12.63,12.63,0.0,-0.00383033,-0.00383033,-0.01149099,-105.97333163297597,-103.03556004999997
2mer-0+92,-0.02096661,2,-0.02096661,-103.05652669,6.998009e-05,18.593,12.841,12.841,0.0,-0.02096661,-0.02096661,-0.06289983,-105.99429824297597,-103.05652665999997
2mer-0+97,-0.00292349,2,-0.00292349,-103.05945018,6.409616e-05,18.593,13.223,13.223,0.0,-0.00292349,-0.00292349,-0.008770469999999999,-105.99722173297597,-103.05945014999998
2mer-0+116,-0.03012895,2,-0.03012895,-103.08957913,6.231601e-05,17.225,13.348,13.348,0.0,-0.03012895,-0.03012895,-0.09038685,-106.02735068297598,-103.08957909999998
2mer-0+144,-0.01849656,2,-0.01849656,-103.1080757,6.151296e-05,17.813,13.405,13.405,0.0,-0.01849656,-0.01849656,-0.05548968,-106.04584724297598,-103.10807565999998
2mer-0+76,-0.02347673,2,-0.02347673,-103.13155242,6.100794e-05,16.649,13.442,13.442,0.0,-0.02347673,-0.02347673,-0.07043019,-106.06932397297598,-103.13155238999998
2mer-0+106,-0.01505439,2,-0.01505439,-103.14660681,5.941218e-05,17.837,13.562,13.562,0.0,-0.01505439,-0.01505439,-0.04516317,-106.08437836297598,-103.14660677999998
2mer-0+109,-0.02086426,2,-0.02086426,-103.16747107,5.845362e-05,16.169,13.635,13.635,0.0,-0.02086426,-0.02086426,-0.06259278,-106.10524262297598,-103.16747103999998
2mer-0+121,-0.00880201,4,-0.01760402,-103.18507509,5.841128e-05,18.733,13.639,13.639,0.0,-0.01760402,-0.01760402,-0.026406030000000004,-106.12284664297597,-103.18507505999997
2mer-0+135,-0.01476085,4,-0.02952169,-103.21459679,5.736353e-05,18.696,13.721,13.721,0.0,-0.0295217,-0.0295217,-0.044282550000000004,-106.15236834297598,-103.21459675999998
2mer-0+120,-0.00865084,4,-0.01730168,-103.23189847,5.732354e-05,20.068,13.724,13.724,0.0,-0.01730168,-0.01730168,-0.02595252,-106.16967002297598,-103.23189843999998
2mer-0+140,-0.00101248,2,-0.00101248,-103.23291095,5.400654e-05,20.956,14.0,14.0,0.0,-0.00101248,-0.00101248,-0.00303744,-106.17068250297598,-103.23291091999998
2mer-0+114,-0.02001488,4,-0.04002975,-103.2729407,5.148921e-05,17.967,14.224,14.224,0.0,-0.04002976,-0.04002976,-0.060044639999999996,-106.21071226297597,-103.27294067999998
2mer-0+180,-0.00045873,2,-0.00045873,-103.27339944,5.085434e-05,19.561,14.283,14.283,0.0,-0.00045873,-0.00045873,-0.00137619,-106.21117099297598,-103.27339940999998
2mer-0+86,0.02627491,2,0.02627491,-103.24712453,4.945482e-05,14.574,14.417,14.417,0.0,0.02627491,0.02627491,0.07882473,-106.18489608297598,-103.24712449999998
2mer-0+115,-0.00547426,2,-0.00547426,-103.25259879,4.80953e-05,19.569,14.551,14.551,0.0,-0.00547426,-0.00547426,-0.016422779999999998,-106.19037034297598,-103.25259875999998
2mer-0+164,-0.00718603,2,-0.00718603,-103.25978482,4.802817e-05,19.795,14.558,14.558,0.0,-0.00718603,-0.00718603,-0.021558090000000002,-106.19755637297598,-103.25978478999998
2mer-0+96,-0.0064126,4,-0.01282519,-103.27261001,4.684075e-05,17.844,14.68,14.68,0.0,-0.0128252,-0.0128252,-0.0192378,-106.21038157297598,-103.27260998999998
2mer-0+148,-0.00186029,2,-0.00186029,-103.2744703,4.592849e-05,19.436,14.777,14.777,0.0,-0.00186029,-0.00186029,-0.00558087,-106.21224186297597,-103.27447027999997
2mer-0+123,-0.00511151,4,-0.01022302,-103.28469332,4.368243e-05,21.664,15.026,15.026,0.0,-0.01022302,-0.01022302,-0.015334529999999999,-106.22246488297597,-103.28469329999997
2mer-0+112,0.00848616,4,0.01697232,-103.267721,4.320556e-05,17.127,15.081,15.081,0.0,0.01697232,0.01697232,0.02545848,-106.20549256297598,-103.26772097999998
2mer-0+119,-0.00760685,2,-0.00760685,-103.27532785,4.170248e-05,21.349,15.26,15.26,0.0,-0.00760685,-0.00760685,-0.022820550000000002,-106.21309941297598,-103.27532782999998
