N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev
2mer-0+1,-27.52209438,4,-55.04418876,-55.04418876,0.02207662,4.964,1.886,1.886,2.543567419052124,-55.04418876,-49.95705392189575,-82.56628314,-49.95705392189575,-55.04418876
2mer-0+4,-12.4511585,4,-24.90231701,-79.94650577,0.006209984,4.47,2.879,2.879,3.0345654487609863,-24.902317,-18.833186102478027,-37.3534755,-68.79024002437377,-79.94650576
2mer-0+7,-4.92636031,4,-9.85272061,-89.79922638,0.005771491,5.109,2.95,2.95,1.994284749031067,-9.85272062,-5.864151121937866,-14.77908093,-74.65439114631164,-89.79922638
2mer-0+2,-4.05330848,2,-4.05330848,-93.85253486,0.002599329,6.087,3.849,3.849,0.9154800176620485,-4.05330848,-3.1378284623379518,-12.15992544,-77.79221960864959,-93.85253485999999
2mer-0+20,-3.28479601,2,-3.28479601,-97.13733087,0.002065251,7.845,4.155,4.155,0.4693667888641357,-3.28479601,-2.8154292211358642,-9.854388029999999,-80.60764882978545,-97.13733086999999
2mer-0+6,-2.11559805,4,-4.23119609,-101.36852696,0.00171823,7.947,4.418,4.418,0.4533852636814117,-4.2311961,-3.3244255726371765,-6.34679415,-83.93207440242263,-101.36852696999999
2mer-0+29,0.44446718,4,0.88893436,-100.4795926,0.001239319,9.029,4.927,4.927,0.2472467273473739,0.88893436,1.3834278146947478,1.33340154,-82.54864658772789,-100.47959261
2mer-0+19,-1.16477113,2,-1.16477113,-101.64436373,0.0009852087,6.549,5.318,5.318,0.4803429543972015,-1.16477113,-0.6844281756027986,-3.4943133900000003,-83.23307476333069,-101.64436374
2mer-0+17,0.19003744,2,0.19003744,-101.45432629,0.0008621196,8.94,5.56,5.56,0.1336198300123214,0.19003744,0.32365727001232136,0.57011232,-82.90941749331837,-101.4543263
2mer-0+23,0.89430212,2,0.89430212,-100.56002416,0.0008504524,9.929,5.585,5.585,0.1455829441547393,0.89430212,1.0398850641547392,2.68290636,-81.86953242916363,-100.56002418
2mer-0+22,-0.92205779,4,-1.84411557,-102.40413974,0.0007419148,8.218,5.845,5.845,0.2311706393957138,-1.84411558,-1.3817743012085724,-2.7661733699999997,-83.25130673037219,-102.40413975999999
2mer-0+30,0.27299639,4,0.54599279,-101.85814695,0.0006016886,8.218,6.268,6.268,0.114429622888565,0.54599278,0.77485202577713,0.8189891699999999,-82.47645470459506,-101.85814697999999
2mer-0+13,-0.27413011,4,-0.54826022,-102.40640718,0.0005703824,7.947,6.381,6.381,0.2016036361455917,-0.54826022,-0.14505294770881655,-0.82239033,-82.62150765230388,-102.40640719999999
2mer-0+24,-0.80871483,4,-1.61742965,-104.02383683,0.0005627542,9.029,6.41,6.41,0.0950061231851577,-1.61742966,-1.4274174136296847,-2.42614449,-84.04892506593356,-104.02383685999999
2mer-0+48,0.22005215,2,0.22005215,-103.80378468,0.0004985042,10.219,6.674,6.674,0.0527199320495128,0.22005215,0.2727720820495128,0.66015645,-83.77615298388405,-103.80378470999999
2mer-0+18,-0.02281605,4,-0.0456321,-103.84941678,0.0004335611,9.937,6.992,6.992,0.0305849276483058,-0.0456321,0.015537755296611597,-0.06844815,-83.76061522858744,-103.84941681
2mer-0+16,-0.16723222,4,-0.33446444,-104.18388122,0.000413512,9.699,7.103,7.103,0.019958583638072,-0.33446444,-0.29454727272385595,-0.5016966599999999,-84.0551625013113,-104.18388125
2mer-0+45,-0.04776835,2,-0.04776835,-104.23164957,0.0003314414,11.894,7.647,7.647,0.0178860630840063,-0.04776835,-0.029882286915993702,-0.14330505,-84.0850447882273,-104.2316496
2mer-0+36,-0.29796017,2,-0.29796017,-104.52960975,0.0003015289,9.929,7.891,7.891,0.0233968272805213,-0.29796017,-0.27456334271947874,-0.89388051,-84.35960813094677,-104.52960977
2mer-0+72,0.06798016,4,0.13596032,-104.39364942,0.0002779358,12.154,8.109,8.109,0.0,0.13596032,0.13596032,0.20394047999999998,-84.22364781094677,-104.39364945
2mer-0+86,0.25933134,4,0.51866269,-103.87498673,0.0002776894,12.214,8.111,8.111,0.0,0.51866268,0.51866268,0.7779940200000001,-83.70498513094677,-103.87498676999999
2mer-0+60,-0.45056492,2,-0.45056492,-104.32555165,0.0002641565,10.219,8.247,8.247,0.0,-0.45056492,-0.45056492,-1.35169476,-84.15555005094677,-104.32555169
2mer-0+52,0.20170338,4,0.40340676,-103.92214489,0.0002543423,10.283,8.352,8.352,0.0,0.40340676,0.40340676,0.60511014,-83.75214329094678,-103.92214493
2mer-0+44,-0.02883404,4,-0.05766808,-103.97981297,0.0002270312,12.474,8.674,8.674,0.0,-0.05766808,-0.05766808,-0.08650211999999999,-83.80981137094678,-103.97981301
2mer-0+80,-0.10789878,4,-0.21579757,-104.19561054,0.0002244982,10.577,8.707,8.707,0.0,-0.21579756,-0.21579756,-0.32369634,-84.02560893094677,-104.19561057
2mer-0+37,0.18732331,2,0.18732331,-104.00828723,0.0002161752,8.94,8.817,8.817,0.0,0.18732331,0.18732331,0.56196993,-83.83828562094678,-104.00828726
2mer-0+69,0.03408501,4,0.06817002,-103.94011721,0.0001921689,12.203,9.17,9.17,0.0,0.06817002,0.06817002,0.10225503,-83.77011560094678,-103.94011724
2mer-0+47,-0.08090099,4,-0.16180198,-104.10191919,0.0001852187,11.9,9.283,9.283,0.0,-0.16180198,-0.16180198,-0.24270297000000002,-83.93191758094679,-104.10191922000001
2mer-0+73,-0.01095423,2,-0.01095423,-104.11287342,0.0001744611,11.894,9.47,9.47,0.0,-0.01095423,-0.01095423,-0.03286269,-83.94287181094678,-104.11287345000001
2mer-0+75,0.17415546,2,0.17415546,-103.93871796,0.0001703628,11.894,9.546,9.546,0.0,0.17415546,0.17415546,0.52246638,-83.76871635094679,-103.93871799000001
2mer-0+42,-0.10754512,2,-0.10754512,-104.04626308,0.0001692082,12.173,9.567,9.567,0.0,-0.10754512,-0.10754512,-0.32263536,-83.87626147094679,-104.04626311000001
2mer-0+110,0.08959347,4,0.17918693,-103.86707615,0.0001651595,13.806,9.645,9.645,0.0,0.17918694,0.17918694,0.26878040999999997,-83.6970745309468,-103.86707617000002
2mer-0+43,0.02506677,4,0.05013355,-103.8169426,0.0001544812,11.9,9.862,9.862,0.0,0.05013354,0.05013354,0.07520030999999999,-83.64694099094679,-103.81694263000001
2mer-0+85,-0.14152969,4,-0.28305938,-104.10000198,0.0001488981,13.646,9.984,9.984,0.0,-0.28305938,-0.28305938,-0.42458907,-83.93000037094679,-104.10000201000001
2mer-0+66,-0.06995215,2,-0.06995215,-104.16995414,0.0001449168,11.894,10.075,10.075,0.0,-0.06995215,-0.06995215,-0.20985645000000003,-83.99995252094679,-104.16995416000002
2mer-0+55,0.04240584,4,0.08481168,-104.08514246,0.0001440777,13.202,10.094,10.094,0.0,0.08481168,0.08481168,0.12721752,-83.91514084094679,-104.08514248000002
2mer-0+94,0.05474578,4,0.10949157,-103.97565089,0.0001420974,13.646,10.141,10.141,0.0,0.10949156,0.10949156,0.16423734,-83.8056492809468,-103.97565092000002
2mer-0+68,0.11814917,4,0.23629833,-103.73935256,0.0001374538,12.474,10.254,10.254,0.0,0.23629834,0.23629834,0.35444750999999997,-83.56935094094679,-103.73935258000002
2mer-0+96,-0.11423871,4,-0.22847743,-103.96782999,0.0001364525,12.934,10.279,10.279,0.0,-0.22847742,-0.22847742,-0.34271613,-83.7978283609468,-103.96783000000002
2mer-0+74,-0.01237462,2,-0.01237462,-103.9802046,0.0001326973,13.823,10.375,10.375,0.0,-0.01237462,-0.01237462,-0.037123859999999995,-83.8102029809468,-103.98020462000002
2mer-0+103,-0.04134994,4,-0.08269988,-104.06290448,0.0001324033,12.934,10.382,10.382,0.0,-0.08269988,-0.08269988,-0.12404982,-83.8929028609468,-104.06290450000003
2mer-0+87,-0.03335151,2,-0.03335151,-104.09625599,0.0001138413,14.482,10.919,10.919,0.0,-0.03335151,-0.03335151,-0.10005453,-83.92625437094681,-104.09625601000003
2mer-0+123,0.00671667,4,0.01343333,-104.08282265,0.0001104522,13.806,11.029,11.029,0.0,0.01343334,0.01343334,0.02015001,-83.9128210309468,-104.08282267000003
2mer-0+71,-0.01422889,4,-0.02845778,-104.11128043,0.0001085142,13.202,11.094,11.094,0.0,-0.02845778,-0.02845778,-0.042686669999999996,-83.9412788109468,-104.11128045000002
