N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev
2mer-0+1,-11.55804178,8,-46.2321671,-46.2321671,0.00818554,5.812,2.626,2.626,1.768894910812378,-46.23216712,-39.15658747675049,-34.67412534,-39.15658747675049,-46.2321671
2mer-0+4,-4.92948536,2,-4.92948536,-51.16165246,0.007507568,5.85,2.703,2.703,1.7062019109725952,-4.92948536,-3.223283449027405,-14.78845608,-42.379870925777894,-51.16165246
2mer-0+11,-0.63301313,2,-0.63301313,-51.7946656,0.004402235,6.94,3.229,3.229,0.7785414457321167,-0.63301313,0.14552831573211666,-1.89903939,-42.23434261004578,-51.79466559
2mer-0+2,-12.75499372,2,-12.75499372,-64.54965931,0.003443976,3.733,3.504,3.504,5.558122634887695,-12.75499372,-7.1968710851123046,-38.26498116,-49.431213695158085,-64.54965931
2mer-0+15,-0.72835828,8,-2.91343312,-67.46309243,0.0009314991,7.852,5.418,5.418,0.2092003524303436,-2.91343312,-2.0766317102786256,-2.18507484,-51.50784540543671,-67.46309242999999
2mer-0+16,-0.94331815,2,-0.94331815,-68.40641058,0.0008165455,6.94,5.662,5.662,0.4370684325695038,-0.94331815,-0.5062497174304962,-2.82995445,-52.01409512286721,-68.40641057999999
2mer-0+24,-0.11888192,8,-0.47552766,-68.88193825,0.0006926405,10.111,5.981,5.981,0.0375764816999435,-0.47552768,-0.325221753200226,-0.35664576000000003,-52.339316876067436,-68.88193825999998
2mer-0+31,-0.0662062,2,-0.0662062,-68.94814445,0.0005559094,9.485,6.436,6.436,0.0532352626323699,-0.0662062,-0.012970937367630109,-0.19861860000000003,-52.35228781343507,-68.94814445999998
2mer-0+25,0.75352355,2,0.75352355,-68.1946209,0.0005324558,9.325,6.529,6.529,0.0744403004646301,0.75352355,0.8279638504646302,2.26057065,-51.52432396297044,-68.19462090999998
2mer-0+20,-0.33137753,2,-0.33137753,-68.52599843,0.0004542158,7.466,6.884,6.884,0.2478768825531005,-0.33137753,-0.08350064744689947,-0.99413259,-51.60782461041734,-68.52599843999998
2mer-0+36,-0.25633098,4,-0.51266196,-69.03866039,0.000358971,11.009,7.446,7.446,0.0082950564101338,-0.51266196,-0.49607184717973235,-0.76899294,-52.103896457597074,-69.03866039999998
2mer-0+33,0.20287938,4,0.40575875,-68.63290164,0.0003483452,10.045,7.521,7.521,0.0131585784256458,0.40575876,0.4320759168512916,0.60863814,-51.671820540745784,-68.63290163999999
2mer-0+45,-0.23964497,4,-0.47928994,-69.11219158,0.0003306545,11.624,7.653,7.653,0.003087855875492,-0.47928994,-0.473114228249016,-0.71893491,-52.1449347689948,-69.11219157999999
2mer-0+39,-0.10029567,8,-0.4011827,-69.51337428,0.0002918618,11.406,7.978,7.978,0.0023396401666104,-0.40118268,-0.39182411933355843,-0.30088701,-52.53675888832836,-69.51337425999999
2mer-0+53,0.06850308,2,0.06850308,-69.4448712,0.000262966,11.7,8.26,8.26,0.0,0.06850308,0.06850308,0.20550923999999998,-52.46825580832836,-69.44487117999999
2mer-0+61,0.12831625,2,0.12831625,-69.31655495,0.0002458973,12.282,8.447,8.447,0.0,0.12831625,0.12831625,0.38494874999999995,-52.33993955832836,-69.31655493
2mer-0+44,-0.04583347,8,-0.18333387,-69.49988882,0.0002241174,10.835,8.712,8.712,0.0,-0.18333388,-0.18333388,-0.13750041000000002,-52.52327343832836,-69.49988881
2mer-0+49,-0.07100047,4,-0.14200095,-69.64188977,0.0002063543,11.624,8.955,8.955,0.0,-0.14200094,-0.14200094,-0.21300141,-52.66527437832836,-69.64188975
2mer-0+42,-0.04144736,2,-0.04144736,-69.68333713,0.0001936668,9.485,9.146,9.146,0.0,-0.04144736,-0.04144736,-0.12434208000000001,-52.70672173832836,-69.68333711000001
2mer-0+79,-0.09824103,4,-0.19648206,-69.87981919,0.0001748477,13.302,9.463,9.463,0.0,-0.19648206,-0.19648206,-0.29472308999999997,-52.90320379832836,-69.87981917
2mer-0+70,-0.01721839,2,-0.01721839,-69.89703757,0.000165295,12.282,9.642,9.642,0.0,-0.01721839,-0.01721839,-0.05165517,-52.92042218832836,-69.89703756
2mer-0+62,-0.00934641,4,-0.01869283,-69.9157304,0.0001626537,11.946,9.694,9.694,0.0,-0.01869282,-0.01869282,-0.02803923,-52.93911500832836,-69.91573038
2mer-0+86,-0.01795696,2,-0.01795696,-69.93368737,0.0001475539,12.635,10.014,10.014,0.0,-0.01795696,-0.01795696,-0.05387088,-52.95707196832836,-69.93368734
2mer-0+92,0.06490183,2,0.06490183,-69.86878554,0.0001431332,13.88,10.116,10.116,0.0,0.06490183,0.06490183,0.19470548999999998,-52.89217013832836,-69.86878551000001
2mer-0+72,-0.0237013,2,-0.0237013,-69.89248684,0.0001323698,11.199,10.383,10.383,0.0,-0.0237013,-0.0237013,-0.0711039,-52.91587143832836,-69.89248681000001
2mer-0+96,-0.05090892,4,-0.10181783,-69.99430467,0.0001180571,14.962,10.787,10.787,0.0,-0.10181784,-0.10181784,-0.15272676000000002,-53.01768927832836,-69.99430465
2mer-0+82,-0.03567499,8,-0.14269998,-70.13700465,0.000113597,13.633,10.926,10.926,0.0,-0.14269996,-0.14269996,-0.10702497,-53.160389238328364,-70.13700461
2mer-0+106,-0.0400918,4,-0.08018359,-70.21718824,0.0001134608,15.421,10.931,10.931,0.0,-0.0801836,-0.0801836,-0.12027539999999999,-53.24057283832836,-70.21718821
2mer-0+90,-0.00524893,4,-0.01049786,-70.2276861,0.0001011926,13.302,11.356,11.356,0.0,-0.01049786,-0.01049786,-0.01574679,-53.25107069832836,-70.22768607
2mer-0+110,0.01541997,8,0.06167989,-70.16600621,9.892689e-05,15.464,11.442,11.442,0.0,0.06167988,0.06167988,0.04625991,-53.18939081832836,-70.16600619
