N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev,ccsd(t)_le
2mer-0+19,-23.5593217,1,-11.77966085,-11.77966085,0.01902328,4.965,1.982,1.982,0.342714786529541,-11.77966085,-11.60830345673523,-70.67796510000001,-11.60830345673523,-11.77966085,-12.41761095
2mer-0+18,-18.55435759,1,-9.27717879,-21.05683965,0.01860105,5.097,1.997,1.997,0.3242201805114746,-9.277178795,-9.115068704744262,-55.66307277,-20.723372161479492,-21.056839645,0.0
2mer-0+1,-8.97156714,2,-8.97156714,-30.02840679,0.00707979,5.21,2.756,2.756,0.029160302132368,-8.97156714,-8.942406837867631,-26.91470142,-29.665778999347125,-30.028406785,0.0
2mer-0+8,-10.2862352,2,-10.2862352,-40.31464199,0.006914117,4.616,2.778,2.778,-0.0295600667595863,-10.2862352,-10.315795266759586,-30.8587056,-39.98157426610671,-40.314641985,0.0
2mer-0+7,-12.20674996,1,-6.10337498,-46.41801697,0.006794476,4.608,2.794,2.794,-0.1110524982213974,-6.10337498,-6.158901229110699,-36.62024988,-46.14047549521741,-46.418016965,0.0
2mer-0+2,-5.53132723,1,-2.76566361,-49.18368058,0.006668211,5.033,2.811,2.811,-0.1015930026769638,-2.765663615,-2.8164601163384817,-16.59398169,-48.95693561155589,-49.18368058,0.0
2mer-0+5,-7.49335632,1,-3.74667816,-52.93035874,0.006640356,5.162,2.815,2.815,-0.0779788717627525,-3.74667816,-3.7856675958813764,-22.48006896,-52.74260320743727,-52.93035874,0.0
2mer-0+4,-6.87196371,1,-3.43598185,-56.36634059,0.006089562,5.691,2.898,2.898,-0.0904539227485656,-3.435981855,-3.481208816374283,-20.61589113,-56.223812023811554,-56.366340595000004,0.0
2mer-0+3,-9.17857486,1,-4.58928743,-60.95562802,0.005626276,4.78,2.975,2.975,0.1220533177256584,-4.58928743,-4.5282607711371705,-27.53572458,-60.752072794948724,-60.955628025,0.0
2mer-0+22,-7.04052019,1,-3.52026009,-64.47588811,0.003084965,5.631,3.635,3.635,0.0744884982705116,-3.520260095,-3.483015845864744,-21.12156057,-64.23508864081347,-64.47588812000001,0.0
2mer-0+6,-3.9385646,1,-1.9692823,-66.44517041,0.002227933,6.203,4.052,4.052,0.0164334513247013,-1.9692823,-1.9610655743376493,-11.8156938,-66.19615421515113,-66.44517042000001,0.0
2mer-0+31,-2.76719506,1,-1.38359753,-67.82876794,0.002195047,6.388,4.072,4.072,0.0292869843542575,-1.38359753,-1.3689540378228713,-8.30158518,-67.565108252974,-67.82876795000001,0.0
2mer-0+14,0.49521573,2,0.49521573,-67.33355222,0.001926127,8.021,4.253,4.253,0.0021736971102654,0.49521573,0.4973894271102654,1.4856471900000001,-67.06771882586374,-67.33355222000002,0.0
2mer-0+13,-2.11380401,2,-2.11380401,-69.44735623,0.001192758,7.995,4.99,4.99,-0.0062691499479115,-2.11380401,-2.1200731599479115,-6.34141203,-69.18779198581164,-69.44735623000001,0.0
2mer-0+11,-0.28364456,2,-0.28364456,-69.73100079,0.001191686,8.19,4.991,4.991,0.0164019055664539,-0.28364456,-0.2672426544335461,-0.85093368,-69.45503464024519,-69.73100079000001,0.0
2mer-0+16,-2.05133374,2,-2.05133374,-71.78233452,0.001176714,6.773,5.012,5.012,0.0007219117833301,-2.05133374,-2.05061182821667,-6.15400122,-71.50564646846186,-71.78233453000001,0.0
2mer-0+29,0.96967432,1,0.48483716,-71.29749736,0.001161744,9.095,5.034,5.034,-0.0272503700107336,0.48483716,0.4712119749946332,2.9090229599999997,-71.03443449346723,-71.29749737000002,0.0
2mer-0+21,-0.14594109,1,-0.07297054,-71.37046791,0.0009054665,8.921,5.47,5.47,-0.0246857646852731,-0.072970545,-0.08531342734263656,-0.43782327,-71.11974792080987,-71.37046791500002,0.0
2mer-0+9,-0.10554609,2,-0.10554609,-71.47601399,0.0008360245,8.521,5.617,5.617,0.0144598493352532,-0.10554609,-0.0910862406647468,-0.31663827,-71.21083416147462,-71.47601400500002,0.0
2mer-0+51,-0.19628654,1,-0.09814327,-71.57415726,0.0008253675,9.397,5.641,5.641,0.0002952470676973,-0.09814327,-0.09799564646615136,-0.58885962,-71.30882980794077,-71.57415727500002,0.0
2mer-0+27,-0.69044302,2,-0.69044302,-72.26460029,0.0008142065,7.995,5.667,5.667,-0.0061807935126125,-0.69044302,-0.6966238135126125,-2.07132906,-72.00545362145338,-72.26460029500002,0.0
2mer-0+12,-0.03295796,1,-0.01647898,-72.28107927,0.0007337449,9.433,5.867,5.867,-0.0033116750419139,-0.01647898,-0.018134817520956952,-0.09887388,-72.02358843897434,-72.28107927500002,0.0
2mer-0+15,-0.24313831,1,-0.12156916,-72.40264842,0.0007130476,9.519,5.923,5.923,-0.0018052887171506,-0.121569155,-0.1224717993585753,-0.72941493,-72.14606023833292,-72.40264843000003,0.0
2mer-0+54,0.73252818,1,0.36626409,-72.03638433,0.0006703362,8.05,6.046,6.046,0.0089553175494074,0.36626409,0.37074174877470367,2.19758454,-71.77531848955822,-72.03638434000003,0.0
2mer-0+33,-0.05792753,2,-0.05792753,-72.09431186,0.0006197606,8.521,6.207,6.207,-0.0117606222629547,-0.05792753,-0.0696881522629547,-0.17378259,-71.84500664182117,-72.09431187000003,0.0
2mer-0+52,-0.9350944,1,-0.4675472,-72.56185906,0.0005989168,8.883,6.278,6.278,0.0020231616217643,-0.4675472,-0.46653561918911785,-2.8052832,-72.31154226101029,-72.56185907000003,0.0
2mer-0+30,-0.34334823,2,-0.34334823,-72.90520729,0.0005904304,9.401,6.308,6.308,0.000623234314844,-0.34334823,-0.34272499568515596,-1.03004469,-72.65426725669545,-72.90520730000003,0.0
2mer-0+69,-0.46536616,1,-0.23268308,-73.13789037,0.0005222903,9.361,6.571,6.571,-0.0008055727230384,-0.23268308,-0.23308586636151918,-1.39609848,-72.88735312305697,-73.13789038000003,0.0
2mer-0+28,0.19808977,2,0.19808977,-72.9398006,0.000461699,10.628,6.847,6.847,-0.0044413683935999,0.19808977,0.1936484016064001,0.59426931,-72.69370472145057,-72.93980061000003,0.0
2mer-0+32,-0.31601164,2,-0.31601164,-73.25581225,0.0004369541,9.401,6.974,6.974,0.0003419766435399,-0.31601164,-0.3156696633564601,-0.94803492,-73.00937438480703,-73.25581225000003,0.0
2mer-0+25,0.23214986,2,0.23214986,-73.02366238,0.0004259554,10.039,7.033,7.033,-0.0039032625500112,0.23214986,0.22824659744998882,0.69644958,-72.78112778735704,-73.02366239000003,0.0
2mer-0+61,-0.54583415,1,-0.27291708,-73.29657946,0.0004183404,10.241,7.076,7.076,-0.0047034271992743,-0.272917075,-0.27526878859963716,-1.63750245,-73.05639657595667,-73.29657946500002,0.0
2mer-0+72,-0.57586022,1,-0.28793011,-73.58450957,0.0004042283,9.894,7.157,7.157,-0.0010436445008963,-0.28793011,-0.2884519322504482,-1.72758066,-73.34484850820712,-73.58450957500003,0.0
2mer-0+20,-0.12645073,1,-0.06322536,-73.64773493,0.0003923295,10.307,7.229,7.229,-0.0053585353307425,-0.063225365,-0.06590463266537125,-0.37935219000000003,-73.41075314087249,-73.64773494000002,0.0
2mer-0+41,-0.16860023,1,-0.08430012,-73.73203504,0.0003753932,10.419,7.336,7.336,-0.0052584609948098,-0.084300115,-0.0869293454974049,-0.5058006899999999,-73.4976824863699,-73.73203505500003,0.0
2mer-0+80,-0.04783578,1,-0.02391789,-73.75595294,0.0003734767,9.975,7.348,7.348,-0.0045532444491982,-0.02391789,-0.0261945122245991,-0.14350734,-73.5238769985945,-73.75595294500003,0.0
2mer-0+26,-0.07550883,2,-0.07550883,-73.83146177,0.0003643697,9.038,7.409,7.409,-0.0027951295487582,-0.07550883,-0.0783039595487582,-0.22652649,-73.60218095814326,-73.83146177500004,0.0
2mer-0+23,-0.0549018,1,-0.0274509,-73.85891267,0.0003600079,10.414,7.439,7.439,-0.005166535731405,-0.0274509,-0.0300341678657025,-0.1647054,-73.63221512600897,-73.85891267500004,0.0
2mer-0+74,0.24346436,1,0.12173218,-73.73718049,0.0003583991,9.447,7.45,7.45,0.0035028057172894,0.12173218,0.12348358285864469,0.73039308,-73.50873154315033,-73.73718049500005,0.0
2mer-0+39,-0.01796168,1,-0.00898084,-73.74616133,0.0003494859,8.091,7.513,7.513,-0.006079233251512,-0.00898084,-0.012020456625756001,-0.05388504,-73.5207519997761,-73.74616133500005,0.0
2mer-0+63,0.19828329,2,0.19828329,-73.54787804,0.0003074647,10.302,7.84,7.84,0.000850862765219,0.19828329,0.199134152765219,0.59484987,-73.32161784701087,-73.54787804500005,0.0
2mer-0+53,-0.17866476,1,-0.08933238,-73.63721042,0.0002995302,10.489,7.909,7.909,-0.0011667618528008,-0.08933238,-0.0899157609264004,-0.53599428,-73.41153360793727,-73.63721042500005,0.0
2mer-0+43,-0.06494378,1,-0.03247189,-73.6696823,0.0002974733,12.136,7.927,7.927,-0.0011362286750227,-0.03247189,-0.03304000433751135,-0.19483134000000002,-73.44457361227478,-73.66968231500005,0.0
2mer-0+93,-0.69161911,1,-0.34580955,-74.01549186,0.0002908666,10.457,7.987,7.987,0.0020386385731399,-0.345809555,-0.34479023571343004,-2.07485733,-73.78936384798821,-74.01549187000005,0.0
2mer-0+70,0.20012026,1,0.10006013,-73.91543173,0.0002882706,10.552,8.011,8.011,0.0,0.10006013,0.10006013,0.6003607799999999,-73.68930371798821,-73.91543174000005,0.0
2mer-0+65,-0.21168787,2,-0.21168787,-74.1271196,0.0002758886,10.633,8.129,8.129,0.0,-0.21168787,-0.21168787,-0.63506361,-73.90099158798822,-74.12711961000005,0.0
2mer-0+82,-0.29120738,1,-0.14560369,-74.27272329,0.0002691638,9.223,8.196,8.196,0.0,-0.14560369,-0.14560369,-0.87362214,-74.04659527798822,-74.27272330000005,0.0
2mer-0+121,0.37439809,1,0.18719904,-74.08552425,0.0002615345,10.354,8.275,8.275,0.0,0.187199045,0.187199045,1.12319427,-73.85939623298822,-74.08552425500005,0.0
2mer-0+36,-0.23237824,1,-0.11618912,-74.20171337,0.0002602277,9.272,8.289,8.289,0.0,-0.11618912,-0.11618912,-0.69713472,-73.97558535298822,-74.20171337500005,0.0
2mer-0+59,-0.0741842,1,-0.0370921,-74.23880547,0.0002471891,10.382,8.432,8.432,0.0,-0.0370921,-0.0370921,-0.22255260000000002,-74.01267745298821,-74.23880547500005,0.0
2mer-0+60,-0.10251151,1,-0.05125575,-74.29006122,0.0002443155,11.454,8.465,8.465,0.0,-0.051255755,-0.051255755,-0.30753453,-74.06393320798821,-74.29006123000005,0.0
2mer-0+57,0.04648816,1,0.02324408,-74.26681714,0.0002414284,10.781,8.498,8.498,0.0,0.02324408,0.02324408,0.13946448,-74.04068912798822,-74.26681715000005,0.0
2mer-0+109,0.22499249,1,0.11249624,-74.1543209,0.0002390681,12.212,8.526,8.526,0.0,0.112496245,0.112496245,0.67497747,-73.92819288298821,-74.15432090500005,0.0
2mer-0+40,0.11356501,1,0.0567825,-74.0975384,0.0002305856,12.267,8.63,8.63,0.0,0.056782505,0.056782505,0.34069503,-73.87141037798821,-74.09753840000005,0.0
2mer-0+44,0.01610279,1,0.0080514,-74.089487,0.0002235771,12.931,8.719,8.719,0.0,0.008051395,0.008051395,0.048308369999999996,-73.86335898298822,-74.08948700500005,0.0
2mer-0+47,-0.04165932,2,-0.04165932,-74.13114632,0.0002189446,10.628,8.78,8.78,0.0,-0.04165932,-0.04165932,-0.12497796,-73.90501830298821,-74.13114632500005,0.0
2mer-0+76,0.01457582,2,0.01457582,-74.1165705,0.0002089454,12.124,8.918,8.918,0.0,0.01457582,0.01457582,0.043727459999999996,-73.8904424829882,-74.11657050500004,0.0
2mer-0+91,-0.36402959,1,-0.1820148,-74.2985853,0.0002073483,12.108,8.941,8.941,0.0,-0.182014795,-0.182014795,-1.0920887700000002,-74.0724572779882,-74.29858530000004,0.0
2mer-0+98,0.14474431,2,0.14474431,-74.15384099,0.000201321,12.676,9.029,9.029,0.0,0.14474431,0.14474431,0.43423292999999996,-73.92771296798821,-74.15384099000005,0.0
2mer-0+56,0.0481487,1,0.02407435,-74.12976664,0.000199997,12.707,9.049,9.049,0.0,0.02407435,0.02407435,0.14444610000000002,-73.90363861798821,-74.12976664000004,0.0
2mer-0+49,-0.00151686,1,-0.00075843,-74.13052507,0.0001972455,12.655,9.091,9.091,0.0,-0.00075843,-0.00075843,-0.00455058,-73.90439704798821,-74.13052507000005,0.0
2mer-0+67,-0.0755104,1,-0.0377552,-74.16828027,0.0001949931,12.492,9.126,9.126,0.0,-0.0377552,-0.0377552,-0.22653120000000002,-73.94215224798822,-74.16828027000005,0.0
2mer-0+45,-0.14502539,2,-0.14502539,-74.31330566,0.0001924843,12.7,9.165,9.165,0.0,-0.14502539,-0.14502539,-0.43507617,-74.08717763798822,-74.31330566000005,0.0
2mer-0+102,-0.28547805,1,-0.14273902,-74.45604468,0.0001828761,11.424,9.323,9.323,0.0,-0.142739025,-0.142739025,-0.8564341499999999,-74.22991666298822,-74.45604468500005,0.0
2mer-0+170,-0.01016981,1,-0.00508491,-74.46112959,0.0001708391,12.575,9.537,9.537,0.0,-0.005084905,-0.005084905,-0.030509429999999997,-74.23500156798822,-74.46112959000006,0.0
2mer-0+155,0.24760754,1,0.12380377,-74.33732582,0.0001684239,12.627,9.582,9.582,0.0,0.12380377,0.12380377,0.74282262,-74.11119779798823,-74.33732582000006,0.0
2mer-0+64,-0.07596433,2,-0.07596433,-74.41329015,0.0001537486,12.588,9.878,9.878,0.0,-0.07596433,-0.07596433,-0.22789299,-74.18716212798823,-74.41329015000007,0.0
2mer-0+161,-0.35619455,1,-0.17809728,-74.59138743,0.0001514074,12.818,9.929,9.929,0.0,-0.178097275,-0.178097275,-1.0685836499999999,-74.36525940298823,-74.59138742500006,0.0
