N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev,ccsd(t)_le
2mer-0+1,-70.27160584,2,-70.27160584,-70.27160584,0.02886518,7.616,1.725,1.725,0.5031940937042236,-70.27160584,-69.76841174629578,-210.81481752000002,-69.76841174629578,-70.27160584,-66.90057062
2mer-0+5,-12.79831429,4,-25.59662858,-95.86823441,0.007929366,5.052,2.654,2.654,0.613065779209137,-25.59662858,-24.370497021581727,-38.39494287,-94.13890876787751,-95.86823442000001,0.0
2mer-0+2,-7.53073711,2,-7.53073711,-103.39897153,0.007578736,5.466,2.694,2.694,0.9566917419433594,-7.53073711,-6.57404536805664,-22.592211329999998,-100.71295413593415,-103.39897153000001,0.0
2mer-0+4,-22.44407034,2,-22.44407034,-125.84304187,0.006383027,5.021,2.853,2.853,1.000377535820007,-22.44407034,-21.443692804179992,-67.33221102,-122.15664694011414,-125.84304187000001,0.0
2mer-0+3,0.1416271,4,0.2832542,-125.55978766,0.005129321,7.54,3.068,3.068,0.1897997111082077,0.2832542,0.6628536222164154,0.4248813,-121.49379331789773,-125.55978767,0.0
2mer-0+12,-1.33602292,4,-2.67204583,-128.2318335,0.00140947,7.345,4.72,4.72,0.0789462551474571,-2.67204584,-2.5141533297050858,-4.0080687600000005,-124.00794664760281,-128.23183351,0.0
2mer-0+10,-2.0663725,4,-4.132745,-132.3645785,0.00138247,10.497,4.75,4.75,0.0313707217574119,-4.132745,-4.070003556485176,-6.1991175,-128.07795020408798,-132.36457851,0.0
2mer-0+18,-0.73409272,2,-0.73409272,-133.09867121,0.001052027,7.223,5.203,5.203,0.0958842411637306,-0.73409272,-0.6382084788362694,-2.20227816,-128.71615868292426,-133.09867123,0.0
2mer-0+13,0.09278414,2,0.09278414,-133.00588708,0.0008270637,12.27,5.638,5.638,0.0194908790290355,0.09278414,0.1122750190290355,0.27835242,-128.60388366389523,-133.00588709000002,0.0
2mer-0+21,-0.67132658,4,-1.34265317,-134.34854025,0.0007808023,8.714,5.747,5.747,0.0477999001741409,-1.34265316,-1.2470533596517182,-2.01397974,-129.85093702354695,-134.34854025,0.0
2mer-0+26,-0.62853868,2,-0.62853868,-134.97707892,0.0006534362,8.768,6.098,6.098,0.0031845995690673,-0.62853868,-0.6253540804309328,-1.88561604,-130.47629110397787,-134.97707893,0.0
2mer-0+19,-1.243656,2,-1.243656,-136.22073492,0.0005754055,11.685,6.362,6.362,0.0174923110753297,-1.243656,-1.2261636889246703,-3.7309680000000003,-131.70245479290253,-136.22073493,0.0
2mer-0+20,0.11567076,2,0.11567076,-136.10506416,0.0005258101,10.932,6.556,6.556,0.0192218702286481,0.11567076,0.13489263022864809,0.34701228,-131.56756216267388,-136.10506417,0.0
2mer-0+35,-0.18727168,2,-0.18727168,-136.29233585,0.0004754857,11.614,6.78,6.78,0.0063280365429818,-0.18727168,-0.1809436434570182,-0.5618150399999999,-131.7485058061309,-136.29233585,0.0
2mer-0+17,-0.14004606,4,-0.28009211,-136.57242796,0.0004713587,12.164,6.8,6.8,0.0086863562464714,-0.28009212,-0.2627194075070572,-0.42013818,-132.01122521363797,-136.57242797,0.0
