N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),dAPNet2
2mer-0+1,-57.11622318,2,-57.11622318,-57.11622318,0.02886518,7.616,1.725,1.725,2.338468074798584
2mer-0+5,-10.75128578,4,-21.50257157,-78.61879475,0.007929366,5.052,2.654,2.654,0.7901994585990906
2mer-0+2,-5.23010401,2,-5.23010401,-83.84889876,0.007578736,5.466,2.694,2.694,0.8732810616493225
2mer-0+4,-19.86376727,2,-19.86376727,-103.71266603,0.006383027,5.021,2.853,2.853,0.7035475969314575
2mer-0+3,0.26554917,4,0.53109835,-103.18156768,0.005129321,7.54,3.068,3.068,0.5014315247535706
2mer-0+12,-1.27784098,4,-2.55568197,-105.73724965,0.00140947,7.345,4.72,4.72,0.21285967528820038
2mer-0+10,-2.02982076,4,-4.05964152,-109.79689116,0.00138247,10.497,4.75,4.75,0.3329605460166931
2mer-0+18,-0.64193204,2,-0.64193204,-110.43882321,0.001052027,7.223,5.203,5.203,0.16062578558921814
2mer-0+13,0.14443599,2,0.14443599,-110.29438721,0.0008270637,12.27,5.638,5.638,0.29514825344085693
2mer-0+21,-0.6056528,4,-1.2113056,-111.50569282,0.0007808023,8.714,5.747,5.747,0.09918828308582306
2mer-0+26,-0.54050485,2,-0.54050485,-112.04619766,0.0006534362,8.768,6.098,6.098,0.08753936737775803
2mer-0+19,-1.17941568,2,-1.17941568,-113.22561335,0.0005754055,11.685,6.362,6.362,0.23820741474628448
2mer-0+20,0.10248002,2,0.10248002,-113.12313333,0.0005258101,10.932,6.556,6.556,0.0840439721941948
2mer-0+35,-0.22098001,2,-0.22098001,-113.34411335,0.0004754857,11.614,6.78,6.78,0.05817379429936409
2mer-0+17,-0.1390478,4,-0.2780956,-113.62220895,0.0004713587,12.164,6.8,6.8,0.07248523831367493
2mer-0+40,-0.56636256,2,-0.56636256,-114.18857151,0.0004710394,10.332,6.801,6.801,0.06415629386901855
2mer-0+28,-0.35750269,2,-0.35750269,-114.5460742,0.000470996,10.041,6.801,6.801,0.034296914935112
2mer-0+43,-0.18087069,2,-0.18087069,-114.7269449,0.0003786257,10.104,7.315,7.315,0.00394682539626956
2mer-0+36,0.22519076,2,0.22519076,-114.50175413,0.0003328509,10.104,7.636,7.636,0.010338060557842255
