N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev,ccsd(t)_le
2mer-0+1,-69.98158891,2,-69.98158891,-69.98158891,0.02886518,7.616,1.725,1.725,-2.7334647178649902,-69.98158891,-72.71505362786499,-209.94476673,-72.71505362786499,-69.98158891,-66.90057062
2mer-0+5,-12.76701076,4,-25.53402152,-95.51561043,0.007929366,5.052,2.654,2.654,0.3476959764957428,-25.53402152,-24.838629567008514,-38.30103228,-97.5536831948735,-95.51561043,0.0
2mer-0+2,-6.68833485,2,-6.68833485,-102.20394527,0.007578736,5.466,2.694,2.694,0.1978326737880706,-6.68833485,-6.49050217621193,-20.06500455,-104.04418537108543,-102.20394528,0.0
2mer-0+4,-20.56526575,2,-20.56526575,-122.76921103,0.006383027,5.021,2.853,2.853,0.7025846242904663,-20.56526575,-19.862681125709532,-61.69579725,-123.90686649679496,-122.76921103,0.0
2mer-0+3,-0.88954929,4,-1.77909859,-124.54830961,0.005129321,7.54,3.068,3.068,0.2329767495393753,-1.77909858,-1.3131450809212495,-2.66864787,-125.2200115777162,-124.54830960999999,0.0
2mer-0+12,-1.36308655,4,-2.72617309,-127.2744827,0.00140947,7.345,4.72,4.72,0.0138539467006921,-2.7261731,-2.6984652065986157,-4.08925965,-127.91847678431482,-127.27448270999999,0.0
2mer-0+10,-2.07986784,4,-4.15973567,-131.43421838,0.00138247,10.497,4.75,4.75,0.5178588032722473,-4.15973568,-3.124018073455505,-6.239603519999999,-131.04249485777032,-131.43421838999998,0.0
2mer-0+18,-0.7106437,2,-0.7106437,-132.14486208,0.001052027,7.223,5.203,5.203,-0.0331313535571098,-0.7106437,-0.7437750535571098,-2.1319311,-131.78626991132742,-132.14486208999998,0.0
2mer-0+13,0.0740053,2,0.0740053,-132.07085678,0.0008270637,12.27,5.638,5.638,0.3280127942562103,0.0740053,0.4020180942562103,0.2220159,-131.3842518170712,-132.07085678999997,0.0
2mer-0+21,-0.63361142,4,-1.26722283,-133.33807961,0.0007808023,8.714,5.747,5.747,0.0664680525660514,-1.26722284,-1.1342867348678973,-1.90083426,-132.5185385519391,-133.33807962999995,0.0
2mer-0+26,-0.60730848,2,-0.60730848,-133.94538809,0.0006534362,8.768,6.098,6.098,-0.0065562715753912,-0.60730848,-0.6138647515753912,-1.8219254400000002,-133.13240330351448,-133.94538810999995,0.0
2mer-0+19,-1.20675833,2,-1.20675833,-135.15214641,0.0005754055,11.685,6.362,6.362,0.4711921513080597,-1.20675833,-0.7355661786919403,-3.62027499,-133.86796948220643,-135.15214643999997,0.0
2mer-0+20,0.08975663,2,0.08975663,-135.06238978,0.0005258101,10.932,6.556,6.556,0.0072568282485008,0.08975663,0.0970134582485008,0.26926989,-133.77095602395792,-135.06238980999996,0.0
2mer-0+35,-0.19088648,2,-0.19088648,-135.25327626,0.0004754857,11.614,6.78,6.78,-0.0047163451090455,-0.19088648,-0.1956028251090455,-0.57265944,-133.96655884906696,-135.25327628999995,0.0
2mer-0+17,-0.13681983,4,-0.27363965,-135.52691591,0.0004713587,12.164,6.8,6.8,0.0588191784918308,-0.27363966,-0.1560013030163384,-0.41045949000000004,-134.12256015208328,-135.52691594999993,0.0
2mer-0+40,-0.59080809,2,-0.59080809,-136.11772399,0.0004710394,10.332,6.801,6.801,-0.0077818622812628,-0.59080809,-0.5985899522812628,-1.7724242700000001,-134.72115010436454,-136.11772403999993,0.0
2mer-0+28,-0.35638329,2,-0.35638329,-136.47410728,0.000470996,10.041,6.801,6.801,0.0172479525208473,-0.35638329,-0.3391353374791527,-1.06914987,-135.0602854418437,-136.47410732999992,0.0
2mer-0+43,-0.17569093,2,-0.17569093,-136.64979821,0.0003786257,10.104,7.315,7.315,-0.0084418570622801,-0.17569093,-0.1841327870622801,-0.52707279,-135.24441822890597,-136.64979825999993,0.0
2mer-0+36,0.19937432,2,0.19937432,-136.45042388,0.0003328509,10.104,7.636,7.636,0.0076457122340798,0.19937432,0.2070200322340798,0.59812296,-135.0373981966719,-136.45042393999992,0.0
2mer-0+25,-0.051697,4,-0.103394,-136.55381789,0.000316962,14.29,7.761,7.761,0.0366617329418659,-0.103394,-0.0300705341162682,-0.155091,-135.06746873078816,-136.55381793999993,0.0
2mer-0+46,-0.1612142,4,-0.3224284,-136.87624629,0.000302886,10.072,7.88,7.88,-0.0008988809422589,-0.3224284,-0.3242261618845178,-0.48364260000000003,-135.3916948926727,-136.87624633999994,0.0
2mer-0+30,-0.22656735,2,-0.22656735,-137.10281364,0.0002990397,10.332,7.913,7.913,-0.0019713547080755,-0.22656735,-0.2285387047080755,-0.67970205,-135.62023359738077,-137.10281368999995,0.0
2mer-0+34,0.20887096,2,0.20887096,-136.89394268,0.0002895253,11.614,7.999,7.999,0.0111371921375393,0.20887096,0.2200081521375393,0.6266128799999999,-135.40022544524322,-136.89394272999994,0.0
2mer-0+38,-0.14181623,2,-0.14181623,-137.03575891,0.0002477477,15.232,8.426,8.426,0.0,-0.14181623,-0.14181623,-0.42544868999999996,-135.5420416752432,-137.03575895999992,0.0
2mer-0+52,0.04464503,2,0.04464503,-136.99111388,0.0002361462,15.081,8.561,8.561,0.0,0.04464503,0.04464503,0.13393509,-135.4973966452432,-136.99111392999993,0.0
2mer-0+63,-0.18392484,2,-0.18392484,-137.17503872,0.0002303463,11.36,8.633,8.633,0.0,-0.18392484,-0.18392484,-0.55177452,-135.68132148524322,-137.17503876999993,0.0
2mer-0+39,-0.1072082,4,-0.2144164,-137.38945512,0.0002134913,11.922,8.854,8.854,0.0,-0.2144164,-0.2144164,-0.32162460000000004,-135.89573788524322,-137.38945516999993,0.0
2mer-0+55,-0.01315712,2,-0.01315712,-137.40261224,0.0002106011,11.36,8.894,8.894,0.0,-0.01315712,-0.01315712,-0.03947136,-135.9088950052432,-137.40261228999992,0.0
2mer-0+59,-0.12679187,2,-0.12679187,-137.52940411,0.0001965312,14.014,9.102,9.102,0.0,-0.12679187,-0.12679187,-0.38037561,-136.03568687524321,-137.52940415999993,0.0
2mer-0+62,0.05745265,2,0.05745265,-137.47195146,0.0001951187,14.609,9.124,9.124,0.0,0.05745265,0.05745265,0.17235795,-135.97823422524323,-137.47195150999994,0.0
2mer-0+49,-0.06141343,4,-0.12282687,-137.59477833,0.0001881865,14.626,9.234,9.234,0.0,-0.12282686,-0.12282686,-0.18424029,-136.10106108524323,-137.59477836999994,0.0
2mer-0+64,-0.11466172,2,-0.11466172,-137.70944005,0.0001842489,11.175,9.3,9.3,0.0,-0.11466172,-0.11466172,-0.34398516,-136.21572280524322,-137.70944008999993,0.0
2mer-0+48,-0.0191898,2,-0.0191898,-137.72862985,0.000180587,11.785,9.362,9.362,0.0,-0.0191898,-0.0191898,-0.0575694,-136.2349126052432,-137.72862988999992,0.0
2mer-0+65,0.03292931,4,0.06585862,-137.66277123,0.000154427,13.295,9.863,9.863,0.0,0.06585862,0.06585862,0.09878793000000001,-136.1690539852432,-137.66277126999992,0.0
2mer-0+71,0.22095972,2,0.22095972,-137.44181151,0.0001501128,13.33,9.957,9.957,0.0,0.22095972,0.22095972,0.66287916,-135.9480942652432,-137.44181154999993,0.0
2mer-0+60,0.13496639,2,0.13496639,-137.30684512,0.0001423892,14.609,10.134,10.134,0.0,0.13496639,0.13496639,0.40489917,-135.81312787524323,-137.30684515999994,0.0
2mer-0+80,0.02732707,2,0.02732707,-137.27951805,0.0001369555,13.33,10.266,10.266,0.0,0.02732707,0.02732707,0.08198121,-135.7858008052432,-137.27951808999993,0.0
2mer-0+84,0.07260874,2,0.07260874,-137.20690931,0.0001241793,17.575,10.607,10.607,0.0,0.07260874,0.07260874,0.21782622000000001,-135.71319206524322,-137.20690934999993,0.0
2mer-0+88,0.09173456,4,0.18346912,-137.02344019,0.0001202946,13.39,10.72,10.72,0.0,0.18346912,0.18346912,0.27520368,-135.5297229452432,-137.02344022999992,0.0
2mer-0+74,0.02613131,2,0.02613131,-136.99730888,0.0001157674,17.403,10.858,10.858,0.0,0.02613131,0.02613131,0.07839393,-135.5035916352432,-136.9973089199999,0.0
2mer-0+86,0.0248837,4,0.04976741,-136.94754147,0.0001082269,14.513,11.104,11.104,0.0,0.0497674,0.0497674,0.0746511,-135.4538242352432,-136.9475415199999,0.0
2mer-0+67,-0.0616492,2,-0.0616492,-137.00919067,0.0001068216,15.081,11.153,11.153,0.0,-0.0616492,-0.0616492,-0.1849476,-135.5154734352432,-137.0091907199999,0.0
2mer-0+75,-0.00542302,4,-0.01084604,-137.02003671,0.000106478,17.631,11.165,11.165,0.0,-0.01084604,-0.01084604,-0.01626906,-135.52631947524318,-137.0200367599999,0.0
2mer-0+79,0.02524863,2,0.02524863,-136.99478808,0.0001045493,16.399,11.233,11.233,0.0,0.02524863,0.02524863,0.07574589000000001,-135.5010708452432,-136.9947881299999,0.0
2mer-0+81,-0.11394274,2,-0.11394274,-137.10873082,0.0001018587,16.293,11.331,11.331,0.0,-0.11394274,-0.11394274,-0.34182822,-135.6150135852432,-137.1087308699999,0.0
2mer-0+101,-0.10223647,2,-0.10223647,-137.21096729,0.0001007296,14.689,11.373,11.373,0.0,-0.10223647,-0.10223647,-0.30670940999999996,-135.7172500552432,-137.2109673399999,0.0
2mer-0+112,0.0505881,4,0.1011762,-137.10979109,9.948506e-05,14.412,11.42,11.42,0.0,0.1011762,0.1011762,0.1517643,-135.6160738552432,-137.1097911399999,0.0
2mer-0+78,0.01524054,4,0.03048108,-137.07931001,9.896066e-05,17.286,11.441,11.441,0.0,0.03048108,0.03048108,0.045721620000000004,-135.5855927752432,-137.07931005999993,0.0
2mer-0+82,-0.0562968,4,-0.1125936,-137.19190361,9.754002e-05,13.664,11.496,11.496,0.0,-0.1125936,-0.1125936,-0.1688904,-135.6981863752432,-137.19190365999992,0.0
2mer-0+93,-0.05106179,2,-0.05106179,-137.2429654,9.719563e-05,15.062,11.509,11.509,0.0,-0.05106179,-0.05106179,-0.15318537000000002,-135.74924816524322,-137.24296544999993,0.0
2mer-0+73,-0.04478535,2,-0.04478535,-137.28775075,9.642555e-05,14.014,11.54,11.54,0.0,-0.04478535,-0.04478535,-0.13435605,-135.79403351524323,-137.28775079999994,0.0
2mer-0+114,0.00691206,2,0.00691206,-137.28083869,9.560317e-05,14.204,11.573,11.573,0.0,0.00691206,0.00691206,0.02073618,-135.78712145524324,-137.28083873999995,0.0
2mer-0+128,0.02202619,2,0.02202619,-137.2588125,8.620192e-05,14.204,11.979,11.979,0.0,0.02202619,0.02202619,0.06607857,-135.76509526524325,-137.25881254999996,0.0
2mer-0+113,-0.00029469,4,-0.00058938,-137.25940188,8.498071e-05,14.119,12.036,12.036,0.0,-0.00058938,-0.00058938,-0.00088407,-135.76568464524325,-137.25940192999997,0.0
2mer-0+105,-0.04559052,4,-0.09118103,-137.35058291,8.344738e-05,16.246,12.11,12.11,0.0,-0.09118104,-0.09118104,-0.13677156000000001,-135.85686568524326,-137.35058296999998,0.0
2mer-0+92,0.02413946,4,0.04827893,-137.30230399,8.246677e-05,18.92,12.157,12.157,0.0,0.04827892,0.04827892,0.07241838,-135.80858676524326,-137.30230404999998,0.0
2mer-0+119,-0.0199786,2,-0.0199786,-137.32228259,8.041959e-05,14.446,12.26,12.26,0.0,-0.0199786,-0.0199786,-0.0599358,-135.82856536524326,-137.32228264999998,0.0
2mer-0+116,-0.00507907,4,-0.01015815,-137.33244074,7.969696e-05,15.156,12.297,12.297,0.0,-0.01015814,-0.01015814,-0.01523721,-135.83872350524325,-137.33244078999996,0.0
2mer-0+131,0.03389649,2,0.03389649,-137.29854425,7.362935e-05,19.487,12.626,12.626,0.0,0.03389649,0.03389649,0.10168947,-135.80482701524326,-137.29854429999997,0.0
2mer-0+109,-0.0038662,2,-0.0038662,-137.30241044,7.321022e-05,19.678,12.65,12.65,0.0,-0.0038662,-0.0038662,-0.0115986,-135.80869321524327,-137.30241049999998,0.0
