N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev,ccsd(t)_le
2mer-0+1,-13.31487719,6,-39.94463158,-39.94463158,0.006754971,5.7,2.799,2.799,0.2129511088132858,-39.94463157,-39.30577824356014,-39.94463157,-39.30577824356014,-39.94463158,-37.80182027
2mer-0+5,-0.57654113,6,-1.72962339,-41.67425497,0.005520925,6.076,2.994,2.994,0.1087739467620849,-1.72962339,-1.403301549713745,-1.72962339,-40.70907979327389,-41.67425497,0.0
2mer-0+3,-15.90647052,2,-15.90647052,-57.58072549,0.003068668,3.64,3.642,3.642,0.2647780478000641,-15.90647052,-15.641692472199935,-47.71941156,-56.35077226547382,-57.58072549,0.0
2mer-0+13,-0.45173515,6,-1.35520544,-58.93593093,0.001077982,7.388,5.161,5.161,0.0262154508382082,-1.35520545,-1.2765590974853753,-1.35520545,-57.6273313629592,-58.93593094,0.0
2mer-0+17,-0.41645965,6,-1.24937895,-60.18530989,0.0006569593,9.647,6.087,6.087,0.0002712324494495,-1.24937895,-1.2485652526516515,-1.24937895,-58.87589661561085,-60.18530989,0.0
2mer-0+28,0.01291959,6,0.03875878,-60.14655111,0.0005704221,10.311,6.381,6.381,-0.0013480491470545,0.03875877,0.034714622558836505,0.03875877,-58.84118199305201,-60.14655112,0.0
2mer-0+20,-0.29777737,6,-0.89333211,-61.03988322,0.0005222796,8.236,6.571,6.571,0.0151837170124053,-0.89333211,-0.847780958962784,-0.89333211,-59.6889629520148,-61.03988323,0.0
2mer-0+24,-0.24933211,2,-0.24933211,-61.28921533,0.0003839108,7.281,7.281,7.281,0.0160338636487722,-0.24933211,-0.23329824635122778,-0.74799633,-59.92226119836602,-61.28921534,0.0
2mer-0+41,0.02781231,6,0.08343693,-61.2057784,0.00032273,11.401,7.715,7.715,0.0013155208434909,0.08343692999999999,0.0873834925304727,0.08343692999999999,-59.83487770583555,-61.20577841,0.0
2mer-0+38,-0.1342094,6,-0.4026282,-61.6084066,0.000319207,11.205,7.743,7.743,0.0017463747644796,-0.4026282,-0.3973890757065612,-0.4026282,-60.232266781542116,-61.60840661,0.0
