N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev,ccsd(t)_le
2mer-0+2,-40.58376739,1,-20.29188369,-20.29188369,0.01864926,5.345,1.995,1.995,0.6650916934013367,-20.291883695,-19.95933784829933,-121.75130217,-19.95933784829933,-20.29188369,-19.58000577
2mer-0+5,-49.03739463,2,-49.03739463,-69.32927832,0.01759682,6.36,2.034,2.034,0.5070326924324036,-49.03739463,-48.5303619375676,-147.11218389,-68.48969978586693,-69.32927832,0.0
2mer-0+6,-15.12226842,2,-15.12226842,-84.45154675,0.01187262,6.837,2.32,2.32,0.3162664473056793,-15.12226842,-14.80600197269432,-45.36680526,-83.29570175856125,-84.45154674,0.0
2mer-0+4,-8.04759697,2,-8.04759697,-92.49914372,0.006396118,6.139,2.851,2.851,0.382477730512619,-8.04759697,-7.665119239487382,-24.142790910000002,-90.96082099804863,-92.49914371,0.0
2mer-0+20,-7.73901751,1,-3.86950875,-96.36865247,0.005145499,6.894,3.065,3.065,0.3223528265953064,-3.869508755,-3.708332341702347,-23.21705253,-94.66915333975098,-96.368652465,0.0
2mer-0+1,-16.05824826,1,-8.02912413,-104.3977766,0.004941318,5.122,3.107,3.107,0.5023002028465271,-8.02912413,-7.777974028576736,-48.17474478,-102.44712736832771,-104.397776595,0.0
2mer-0+3,-6.83542268,2,-6.83542268,-111.23319929,0.004060364,3.655,3.317,3.317,1.3114522695541382,-6.83542268,-5.523970410445862,-20.50626804,-107.97109777877357,-111.23319927499999,0.0
2mer-0+23,-0.44854412,1,-0.22427206,-111.45747135,0.003821146,7.956,3.385,3.385,0.1432378590106964,-0.22427206,-0.1526531304946518,-1.34563236,-108.12375090926822,-111.457471335,0.0
2mer-0+11,-11.84872215,2,-11.84872215,-123.3061935,0.003329493,6.862,3.544,3.544,0.1522262692451477,-11.84872215,-11.696495880754853,-35.54616645,-119.82024679002308,-123.306193485,0.0
2mer-0+9,-6.96182306,2,-6.96182306,-130.26801656,0.001894674,7.78,4.277,4.277,0.1074480190873146,-6.96182306,-6.854375040912686,-20.88546918,-126.67462183093576,-130.268016545,0.0
2mer-0+12,-0.22324805,1,-0.11162402,-130.37964059,0.001217273,7.591,4.956,4.956,0.0787142515182495,-0.111624025,-0.07226689924087526,-0.66974415,-126.74688873017664,-130.37964057,0.0
2mer-0+28,-1.76510757,2,-1.76510757,-132.14474816,0.0009316664,9.084,5.418,5.418,0.0308053586632013,-1.76510757,-1.7343022113367987,-5.295322710000001,-128.48119094151343,-132.14474814,0.0
2mer-0+48,0.8430262,1,0.4215131,-131.72323506,0.0008061675,10.54,5.686,5.686,0.0048106755129992,0.4215131,0.42391843775649957,2.5290786,-128.05727250375693,-131.72323504,0.0
2mer-0+37,-3.97434786,1,-1.98717393,-133.71040899,0.0007955879,7.647,5.711,5.711,0.0795407444238662,-1.98717393,-1.9474035577880668,-11.92304358,-130.004676061545,-133.71040897,0.0
2mer-0+16,0.29647034,2,0.29647034,-133.41393865,0.000741225,10.409,5.847,5.847,0.012219619937241,0.29647034,0.308689959937241,0.88941102,-129.69598610160776,-133.41393863,0.0
2mer-0+21,-0.6920838,2,-0.6920838,-134.10602244,0.0007058133,10.835,5.943,5.943,0.0043257311917841,-0.6920838,-0.6877580688082159,-2.0762514000000003,-130.38374417041598,-134.10602243,0.0
2mer-0+10,1.33610815,2,1.33610815,-132.76991429,0.000673112,7.44,6.038,6.038,0.0875817984342575,1.33610815,1.4236899484342576,4.00832445,-128.96005422198172,-132.76991428,0.0
2mer-0+42,-0.93582211,1,-0.46791105,-133.23782534,0.0006608288,10.428,6.075,6.075,0.0036982274614274,-0.467911055,-0.4660619412692863,-2.80746633,-129.426116163251,-133.237825335,0.0
2mer-0+15,-1.13054413,2,-1.13054413,-134.36836947,0.0006006165,10.538,6.272,6.272,0.0052166366949677,-1.13054413,-1.1253274933050323,-3.3916323900000003,-130.55144365655605,-134.368369465,0.0
2mer-0+44,0.17120749,1,0.08560375,-134.28276572,0.000580517,10.285,6.344,6.344,0.0104335965588688,0.085603745,0.0908205432794344,0.5136224699999999,-130.46062311327663,-134.28276572000001,0.0
2mer-0+8,-3.13938404,1,-1.56969202,-135.85245774,0.0005598004,7.115,6.421,6.421,0.0927345007658004,-1.56969202,-1.5233247696170997,-9.41815212,-131.98394788289372,-135.85245774,0.0
2mer-0+39,-1.58031117,2,-1.58031117,-137.43276892,0.0005368839,8.97,6.511,6.511,0.016352754086256,-1.58031117,-1.563958415913744,-4.7409335100000005,-133.54790629880745,-137.43276891,0.0
2mer-0+17,1.47407352,2,1.47407352,-135.95869539,0.0005129197,7.31,6.611,6.611,0.0898633748292923,1.47407352,1.5639368948292922,4.4222205599999995,-131.98396940397816,-135.95869539,0.0
2mer-0+85,0.18339399,1,0.091697,-135.8669984,0.0004502075,11.403,6.904,6.904,0.0112878438085317,0.091696995,0.09734091690426586,0.55018197,-131.8866284870739,-135.866998395,0.0
2mer-0+14,-0.52305038,2,-0.52305038,-136.39004877,0.0004402456,10.31,6.956,6.956,0.0050003891810774,-0.52305038,-0.5180499908189227,-1.5691511400000002,-132.40467847789282,-136.390048775,0.0
2mer-0+63,0.20964632,1,0.10482316,-136.28522561,0.0003686256,11.838,7.38,7.38,-0.0001546732237329,0.10482316,0.10474582338813355,0.6289389599999999,-132.2999326545047,-136.285225615,0.0
2mer-0+93,0.97964446,1,0.48982223,-135.79540338,0.0003654064,12.075,7.402,7.402,0.0091693866997957,0.48982223,0.4944069233498979,2.93893338,-131.8055257311548,-135.79540338500001,0.0
2mer-0+18,0.59273835,2,0.59273835,-135.20266503,0.0003645532,11.113,7.408,7.408,0.0013099203351885,0.59273835,0.5940482703351885,1.77821505,-131.21147746081962,-135.20266503500002,0.0
2mer-0+31,-1.13177929,2,-1.13177929,-136.33444432,0.0003594366,10.36,7.443,7.443,0.0041433796286582,-1.13177929,-1.1276359103713418,-3.3953378700000005,-132.33911337119096,-136.33444432500002,0.0
