N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),dAPNet2
2mer-0+1,-31.59977315,4,-63.19954631,-63.19954631,0.01813338,4.313,2.014,2.014,0.41487815976142883
2mer-0+3,-38.96152068,2,-38.96152068,-102.16106699,0.01668822,4.695,2.071,2.071,1.2747803926467896
2mer-0+5,-4.83943838,4,-9.67887675,-111.83994374,0.009147917,4.943,2.53,2.53,-0.39183682203292847
2mer-0+9,3.27810033,2,3.27810033,-108.56184341,0.002556938,7.904,3.87,3.87,0.00937491375952959
2mer-0+4,1.22167584,4,2.44335168,-106.11849173,0.002399124,5.589,3.953,3.953,-0.03249217942357063
2mer-0+6,-0.87328117,8,-3.49312467,-109.6116164,0.001085751,7.299,5.149,5.149,0.04775943607091904
2mer-0+35,2.18319954,4,4.36639908,-105.24521732,0.0009791764,8.622,5.329,5.329,0.008434596471488476
2mer-0+10,3.31397883,4,6.62795766,-98.61725966,0.0009024153,7.54,5.476,5.476,0.12293899059295654
2mer-0+16,0.37870551,4,0.75741101,-97.85984865,0.0007859423,9.193,5.734,5.734,0.018897969275712967
2mer-0+12,-1.6479671,8,-6.5918684,-104.45171705,0.000534934,9.004,6.519,6.519,0.0026165496092289686
2mer-0+31,-3.73920563,2,-3.73920563,-108.19092268,0.000532393,9.389,6.529,6.529,0.055480994284152985
2mer-0+23,-0.88203769,8,-3.52815075,-111.71907343,0.0005075125,9.322,6.634,6.634,-0.01292008813470602
2mer-0+26,2.17796199,2,2.17796199,-109.54111144,0.0003000851,7.904,7.904,7.904,-0.004991781897842884
2mer-0+34,-1.24309072,8,-4.9723629,-114.51347434,0.0002831232,10.927,8.059,8.059,0
2mer-0+29,0.60654079,4,1.21308158,-113.30039276,0.0002716435,9.193,8.171,8.171,0
2mer-0+61,0.21966742,8,0.87866968,-112.42172307,0.0002374358,11.697,8.546,8.546,0
2mer-0+50,0.6607225,4,1.32144501,-111.10027807,0.0002201675,12.497,8.764,8.764,0
2mer-0+45,0.73993206,4,1.47986413,-109.62041394,0.0002174028,11.178,8.801,8.801,0
2mer-0+37,-0.21178054,8,-0.84712217,-110.46753611,0.0002155932,10.924,8.825,8.825,0
2mer-0+51,-0.56826221,4,-1.13652441,-111.60406052,0.0001892028,12.273,9.218,9.218,0
2mer-0+62,1.55310345,4,3.1062069,-108.49785362,0.0001806795,11.797,9.36,9.36,0
2mer-0+131,0.92505057,4,1.85010113,-106.64775249,0.0001692183,12.974,9.567,9.567,0
2mer-0+48,0.34612414,8,1.38449658,-105.26325591,0.0001591414,12.124,9.765,9.765,0
2mer-0+56,-0.79884611,4,-1.59769222,-106.86094813,0.0001548252,11.981,9.855,9.855,0
2mer-0+60,0.34267246,8,1.37068984,-105.49025828,0.0001507975,13.35,9.942,9.942,0
