N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev,ccsd(t)_le
2mer-0+1,-30.44347263,4,-60.88694527,-60.88694527,0.01813338,4.313,2.014,2.014,0.7216290235519409,-60.88694526,-59.443687212896116,-91.33041788999999,-59.443687212896116,-60.88694527,-67.42821515
2mer-0+3,-41.35718974,2,-41.35718974,-102.24413501,0.01668822,4.695,2.071,2.071,1.0058776140213013,-41.35718974,-40.3513121259787,-124.07156922000001,-99.79499933887482,-102.24413501000001,0.0
2mer-0+5,-2.11527986,4,-4.23055973,-106.47469474,0.009147917,4.943,2.53,2.53,0.3965688049793243,-4.23055972,-3.437422110041351,-6.34583958,-103.23242144891617,-106.47469473000001,0.0
2mer-0+9,3.60768952,2,3.60768952,-102.86700522,0.002556938,7.904,3.87,3.87,0.4092253744602203,3.60768952,4.01691489446022,10.82306856,-99.21550655445596,-102.86700521000002,0.0
2mer-0+4,2.03719362,4,4.07438724,-98.79261799,0.002399124,5.589,3.953,3.953,0.2647633850574493,4.07438724,4.603914010114899,6.11158086,-94.61159254434105,-98.79261797000001,0.0
2mer-0+6,-0.71428119,8,-2.85712476,-101.64974275,0.001085751,7.299,5.149,5.149,0.2328839153051376,-2.85712476,-1.9255890987794495,-2.14284357,-96.5371816431205,-101.64974273000001,0.0
2mer-0+35,2.29361899,4,4.58723797,-97.06250478,0.0009791764,8.622,5.329,5.329,0.3373029232025146,4.58723798,5.26184382640503,6.88085697,-91.27533781671548,-97.06250475000002,0.0
2mer-0+10,3.32454924,4,6.64909848,-90.4134063,0.0009024153,7.54,5.476,5.476,0.1240522861480712,6.64909848,6.897203052296143,9.97364772,-84.37813476441933,-90.41340627000001,0.0
2mer-0+16,0.42763153,4,0.85526306,-89.55814324,0.0007859423,9.193,5.734,5.734,0.1429692655801773,0.85526306,1.1412015911603546,1.28289459,-83.23693317325898,-89.55814321000001,0.0
2mer-0+12,-1.62106152,8,-6.48424607,-96.04238931,0.000534934,9.004,6.519,6.519,0.0716885700821876,-6.48424608,-6.1974917996712495,-4.8631845600000005,-89.43442497293023,-96.04238929000002,0.0
2mer-0+31,-3.78620683,2,-3.78620683,-99.82859613,0.000532393,9.389,6.529,6.529,0.1378814280033111,-3.78620683,-3.6483254019966886,-11.35862049,-93.08275037492692,-99.82859612000001,0.0
2mer-0+23,-0.88805882,8,-3.55223527,-103.3808314,0.0005075125,9.322,6.634,6.634,0.0354551114141941,-3.55223528,-3.4104148343432237,-2.66417646,-96.49316520927015,-103.38083140000002,0.0
2mer-0+26,2.22013597,2,2.22013597,-101.16069543,0.0003000851,7.904,7.904,7.904,0.0177598837763071,2.22013597,2.237895853776307,6.66040791,-94.25526935549384,-101.16069543000002,0.0
2mer-0+34,-1.25101793,8,-5.00407173,-106.16476716,0.0002831232,10.927,8.059,8.059,0.0,-5.00407172,-5.00407172,-3.75305379,-99.25934107549384,-106.16476715000002,0.0
2mer-0+29,0.6321065,4,1.26421299,-104.90055416,0.0002716435,9.193,8.171,8.171,0.0,1.264213,1.264213,1.8963195000000002,-97.99512807549384,-104.90055415000002,0.0
2mer-0+61,0.21540279,8,0.86161118,-104.03894299,0.0002374358,11.697,8.546,8.546,0.0,0.86161116,0.86161116,0.6462083700000001,-97.13351691549384,-104.03894299000002,0.0
2mer-0+50,0.66499126,4,1.32998253,-102.70896046,0.0002201675,12.497,8.764,8.764,0.0,1.32998252,1.32998252,1.99497378,-95.80353439549384,-102.70896047000002,0.0
2mer-0+45,0.73672245,4,1.4734449,-101.23551556,0.0002174028,11.178,8.801,8.801,0.0,1.4734449,1.4734449,2.21016735,-94.33008949549384,-101.23551557000002,0.0
2mer-0+37,-0.19894192,8,-0.79576769,-102.03128326,0.0002155932,10.924,8.825,8.825,0.0,-0.79576768,-0.79576768,-0.59682576,-95.12585717549383,-102.03128325000002,0.0
2mer-0+51,-0.57028398,4,-1.14056796,-103.17185122,0.0001892028,12.273,9.218,9.218,0.0,-1.14056796,-1.14056796,-1.71085194,-96.26642513549383,-103.17185121000001,0.0
2mer-0+62,1.54112602,4,3.08225204,-100.08959918,0.0001806795,11.797,9.36,9.36,0.0,3.08225204,3.08225204,4.62337806,-93.18417309549383,-100.08959917000001,0.0
2mer-0+131,0.94561535,4,1.8912307,-98.19836848,0.0001692183,12.974,9.567,9.567,0.0,1.8912307,1.8912307,2.83684605,-91.29294239549384,-98.19836847000002,0.0
2mer-0+48,0.34639153,8,1.3855661,-96.81280238,0.0001591414,12.124,9.765,9.765,0.0,1.38556612,1.38556612,1.03917459,-89.90737627549385,-96.81280235000003,0.0
2mer-0+56,-0.80245009,4,-1.60490017,-98.41770255,0.0001548252,11.981,9.855,9.855,0.0,-1.60490018,-1.60490018,-2.4073502700000002,-91.51227645549385,-98.41770253000003,0.0
2mer-0+60,0.34579229,8,1.38316917,-97.03453338,0.0001507975,13.35,9.942,9.942,0.0,1.38316916,1.38316916,1.0373768700000001,-90.12910729549385,-97.03453337000003,0.0
2mer-0+72,-0.56560467,4,-1.13120934,-98.16574272,0.0001493824,12.222,9.973,9.973,0.0,-1.13120934,-1.13120934,-1.6968140100000002,-91.26031663549385,-98.16574271000003,0.0
2mer-0+68,-0.43455084,4,-0.86910169,-99.03484441,0.0001375211,12.273,10.252,10.252,0.0,-0.86910168,-0.86910168,-1.30365252,-92.12941831549385,-99.03484439000003,0.0
2mer-0+89,-0.29113454,4,-0.58226909,-99.61711349,0.0001067812,13.483,11.154,11.154,0.0,-0.58226908,-0.58226908,-0.8734036199999999,-92.71168739549385,-99.61711347000004,0.0
2mer-0+122,-1.0049023,2,-1.0049023,-100.62201579,0.0001059652,14.084,11.183,11.183,0.0,-1.0049023,-1.0049023,-3.0147068999999997,-93.71658969549385,-100.62201577000003,0.0
2mer-0+129,-0.04769273,4,-0.09538546,-100.71740125,9.710095e-05,14.117,11.513,11.513,0.0,-0.09538546,-0.09538546,-0.14307819,-93.81197515549385,-100.71740123000004,0.0
2mer-0+90,-0.40407991,8,-1.61631964,-102.33372089,9.388976e-05,14.354,11.643,11.643,0.0,-1.61631964,-1.61631964,-1.2122397299999998,-95.42829479549385,-102.33372087000004,0.0
2mer-0+165,0.34120024,8,1.36480095,-100.96891995,9.32635e-05,15.192,11.669,11.669,0.0,1.36480096,1.36480096,1.02360072,-94.06349383549386,-100.96891991000004,0.0
2mer-0+109,-0.31419401,8,-1.25677602,-102.22569597,9.081612e-05,14.555,11.773,11.773,0.0,-1.25677604,-1.25677604,-0.9425820300000001,-95.32026987549386,-102.22569595000004,0.0
2mer-0+132,0.35124298,2,0.35124298,-101.87445299,9.078946e-05,15.808,11.774,11.774,0.0,0.35124298,0.35124298,1.05372894,-94.96902689549387,-101.87445297000005,0.0
2mer-0+95,0.60684872,4,1.21369745,-100.66075554,8.890769e-05,12.497,11.856,11.856,0.0,1.21369744,1.21369744,1.8205461600000001,-93.75532945549386,-100.66075553000005,0.0
2mer-0+126,-0.6186819,8,-2.4747276,-103.13548313,8.283133e-05,15.153,12.14,12.14,0.0,-2.4747276,-2.4747276,-1.8560457000000001,-96.23005705549386,-103.13548313000004,0.0
2mer-0+94,-0.09402777,8,-0.3761111,-103.51159423,8.276972e-05,14.598,12.143,12.143,0.0,-0.37611108,-0.37611108,-0.28208331,-96.60616813549386,-103.51159421000004,0.0
2mer-0+104,0.35933854,8,1.43735417,-102.07424006,8.126235e-05,14.201,12.217,12.217,0.0,1.43735416,1.43735416,1.07801562,-95.16881397549386,-102.07424005000004,0.0
2mer-0+97,0.34503031,8,1.38012123,-100.69411884,7.949944e-05,13.35,12.307,12.307,0.0,1.38012124,1.38012124,1.03509093,-93.78869273549387,-100.69411881000005,0.0
2mer-0+116,-0.02781814,8,-0.11127255,-100.80539138,7.767971e-05,15.632,12.402,12.402,0.0,-0.11127256,-0.11127256,-0.08345442,-93.89996529549387,-100.80539137000005,0.0
2mer-0+144,0.23374498,4,0.46748995,-100.33790143,7.276361e-05,16.491,12.675,12.675,0.0,0.46748996,0.46748996,0.70123494,-93.43247533549388,-100.33790141000006,0.0
2mer-0+148,-0.41461702,4,-0.82923405,-101.16713548,6.704068e-05,16.151,13.026,13.026,0.0,-0.82923404,-0.82923404,-1.24385106,-94.26170937549388,-101.16713545000006,0.0
2mer-0+125,-0.20095744,8,-0.80382976,-101.97096524,6.314345e-05,15.629,13.289,13.289,0.0,-0.80382976,-0.80382976,-0.6028723199999999,-95.06553913549388,-101.97096521000006,0.0
2mer-0+166,-0.07433748,8,-0.29734993,-102.26831517,6.282983e-05,16.179,13.311,13.311,0.0,-0.29734992,-0.29734992,-0.22301243999999998,-95.36288905549388,-102.26831513000006,0.0
2mer-0+170,-0.3863315,4,-0.77266299,-103.04097816,5.770387e-05,16.151,13.694,13.694,0.0,-0.772663,-0.772663,-1.1589945,-96.13555205549387,-103.04097813000006,0.0
2mer-0+192,0.62536436,4,1.25072873,-101.79024943,5.688125e-05,16.297,13.76,13.76,0.0,1.25072872,1.25072872,1.87609308,-94.88482333549388,-101.79024941000006,0.0
2mer-0+146,-0.00366787,8,-0.01467149,-101.80492093,5.662787e-05,15.632,13.78,13.78,0.0,-0.01467148,-0.01467148,-0.01100361,-94.89949481549388,-101.80492089000006,0.0
2mer-0+177,0.08413618,4,0.16827236,-101.63664857,5.408963e-05,16.252,13.993,13.993,0.0,0.16827236,0.16827236,0.25240854,-94.73122245549388,-101.63664853000006,0.0
2mer-0+149,-0.2968761,8,-1.18750439,-102.82415297,5.317395e-05,16.386,14.072,14.072,0.0,-1.1875044,-1.1875044,-0.8906282999999999,-95.91872685549387,-102.82415293000005,0.0
2mer-0+253,0.13913862,4,0.27827724,-102.54587573,5.293074e-05,17.126,14.094,14.094,0.0,0.27827724,0.27827724,0.41741585999999997,-95.64044961549388,-102.54587569000006,0.0
2mer-0+326,0.42014284,4,0.84028569,-101.70559004,5.288794e-05,17.505,14.098,14.098,0.0,0.84028568,0.84028568,1.26042852,-94.80016393549388,-101.70559001000007,0.0
2mer-0+167,-0.24513258,8,-0.98053032,-102.68612036,5.256866e-05,16.563,14.126,14.126,0.0,-0.98053032,-0.98053032,-0.73539774,-95.78069425549388,-102.68612033000007,0.0
2mer-0+189,0.22832564,4,0.45665127,-102.22946909,5.196148e-05,17.674,14.181,14.181,0.0,0.45665128,0.45665128,0.68497692,-95.32404297549388,-102.22946905000006,0.0
2mer-0+168,0.25123238,4,0.50246476,-101.72700433,5.171067e-05,16.767,14.204,14.204,0.0,0.50246476,0.50246476,0.7536971399999999,-94.82157821549389,-101.72700429000007,0.0
2mer-0+222,0.04977733,4,0.09955465,-101.62744968,4.459997e-05,18.386,14.922,14.922,0.0,0.09955466,0.09955466,0.14933199,-94.72202355549389,-101.62744963000007,0.0
2mer-0+202,0.16646882,8,0.66587527,-100.96157441,4.445618e-05,18.287,14.938,14.938,0.0,0.66587528,0.66587528,0.49940646,-94.0561482754939,-100.96157435000008,0.0
2mer-0+190,0.17873787,8,0.71495147,-100.24662294,4.426272e-05,17.412,14.96,14.96,0.0,0.71495148,0.71495148,0.53621361,-93.3411967954939,-100.24662287000008,0.0
2mer-0+203,-0.18638918,8,-0.74555674,-100.99217968,4.189118e-05,17.981,15.237,15.237,0.0,-0.74555672,-0.74555672,-0.55916754,-94.0867535154939,-100.99217959000008,0.0
2mer-0+254,-0.08968784,8,-0.35875137,-101.35093105,4.176238e-05,18.007,15.252,15.252,0.0,-0.35875136,-0.35875136,-0.26906352,-94.4455048754939,-101.35093095000008,0.0
2mer-0+193,-0.17394898,8,-0.69579592,-102.04672697,4.15521e-05,17.514,15.278,15.278,0.0,-0.69579592,-0.69579592,-0.52184694,-95.14130079549389,-102.04672687000007,0.0
2mer-0+300,0.06007914,8,0.24031655,-101.80641042,3.905428e-05,18.862,15.597,15.597,0.0,0.24031656,0.24031656,0.18023742,-94.9009842354939,-101.80641031000008,0.0
2mer-0+374,0.23706515,8,0.94826062,-100.8581498,3.90285e-05,19.206,15.601,15.601,0.0,0.9482606,0.9482606,0.71119545,-93.9527236354939,-100.85814971000008,0.0
2mer-0+223,0.31951051,2,0.31951051,-100.53863929,3.751064e-05,15.808,15.808,15.808,0.0,0.31951051,0.31951051,0.9585315300000001,-93.6332131254939,-100.53863920000008,0.0
2mer-0+231,-0.13464001,8,-0.53856006,-101.07719935,3.749216e-05,18.83,15.811,15.811,0.0,-0.53856004,-0.53856004,-0.40392003,-94.17177316549389,-101.07719924000007,0.0
2mer-0+306,-0.40956504,2,-0.40956504,-101.4867644,3.714059e-05,18.779,15.861,15.861,0.0,-0.40956504,-0.40956504,-1.22869512,-94.58133820549389,-101.48676428000007,0.0
2mer-0+244,0.29700827,8,1.18803307,-100.29873133,3.708541e-05,18.113,15.868,15.868,0.0,1.18803308,1.18803308,0.89102481,-93.3933051254939,-100.29873120000008,0.0
2mer-0+229,0.22250578,4,0.44501156,-99.85371977,3.656546e-05,16.491,15.943,15.943,0.0,0.44501156,0.44501156,0.66751734,-92.9482935654939,-99.85371964000008,0.0
2mer-0+227,0.00788877,8,0.03155508,-99.82216469,3.570281e-05,18.072,16.071,16.071,0.0,0.03155508,0.03155508,0.02366631,-92.9167384854939,-99.82216456000008,0.0
2mer-0+294,0.16308147,4,0.32616293,-99.49600176,3.475779e-05,20.152,16.215,16.215,0.0,0.32616294,0.32616294,0.48924441,-92.59057554549389,-99.49600162000007,0.0
2mer-0+245,0.22099816,4,0.44199632,-99.05400544,3.437482e-05,17.674,16.275,16.275,0.0,0.44199632,0.44199632,0.66299448,-92.14857922549389,-99.05400530000007,0.0
2mer-0+273,-0.12207646,8,-0.48830583,-99.54231127,3.297516e-05,18.83,16.502,16.502,0.0,-0.48830584,-0.48830584,-0.36622938,-92.63688506549389,-99.54231114000007,0.0
2mer-0+315,-0.31256486,8,-1.25025946,-100.79257073,3.269486e-05,19.593,16.549,16.549,0.0,-1.25025944,-1.25025944,-0.93769458,-93.88714450549388,-100.79257058000006,0.0
2mer-0+256,0.05038038,8,0.20152153,-100.59104919,3.183812e-05,19.217,16.696,16.696,0.0,0.20152152,0.20152152,0.15114114,-93.68562298549388,-100.59104906000006,0.0
2mer-0+261,0.16380764,8,0.65523056,-99.93581863,3.116226e-05,18.287,16.816,16.816,0.0,0.65523056,0.65523056,0.49142292,-93.03039242549387,-99.93581850000005,0.0
