N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+5,-8.77767548,2,-8.77767548,-8.77767548,0.01281788,5.652,2.261,2.261
2mer-0+4,-4.72038686,2,-4.72038686,-13.49806234,0.0114914,6.65,2.345,2.345
2mer-0+1,-31.65251495,2,-31.65251495,-45.15057729,0.01025822,5.013,2.435,2.435
2mer-0+13,-24.28512629,2,-24.28512629,-69.43570358,0.009000085,5.74,2.544,2.544
2mer-0+2,-16.73128345,2,-16.73128345,-86.16698702,0.008967413,6.87,2.547,2.547
2mer-0+7,-3.32124902,2,-3.32124902,-89.48823604,0.007354513,6.459,2.721,2.721
2mer-0+8,-1.21649203,2,-1.21649203,-90.70472807,0.004076411,6.21,3.313,3.313
2mer-0+6,0.89691285,2,0.89691285,-89.80781522,0.00226209,8.708,4.031,4.031
2mer-0+23,-0.68457689,2,-0.68457689,-90.49239211,0.00130477,9.099,4.843,4.843
2mer-0+27,-1.91707816,2,-1.91707816,-92.40947027,0.0008960638,9.261,5.489,5.489
2mer-0+14,0.31132193,2,0.31132193,-92.09814834,0.0008510465,9.099,5.584,5.584
2mer-0+10,-0.82621295,2,-0.82621295,-92.92436129,0.0007557743,9.261,5.809,5.809
2mer-0+11,-1.50123053,2,-1.50123053,-94.42559182,0.0007477758,9.848,5.83,5.83
2mer-0+34,0.12786312,2,0.12786312,-94.2977287,0.0007204193,10.344,5.903,5.903
2mer-0+58,0.63370431,2,0.63370431,-93.66402439,0.0005879759,10.889,6.317,6.317
2mer-0+16,-0.21196014,2,-0.21196014,-93.87598453,0.0005830957,10.617,6.334,6.334
2mer-0+26,-0.1994725,2,-0.1994725,-94.07545703,0.0005533146,10.696,6.446,6.446
2mer-0+32,0.26969217,2,0.26969217,-93.80576486,0.0004672038,10.926,6.82,6.82
2mer-0+61,-0.60098646,2,-0.60098646,-94.40675132,0.0004496706,11.063,6.907,6.907
2mer-0+55,-0.40124137,2,-0.40124137,-94.80799269,0.0004282162,11.539,7.021,7.021
2mer-0+42,-0.53598054,2,-0.53598054,-95.34397323,0.0004258938,10.492,7.033,7.033
2mer-0+31,0.27870616,2,0.27870616,-95.06526706,0.0004193392,10.902,7.07,7.07
2mer-0+22,-0.12850447,2,-0.12850447,-95.19377153,0.000373775,10.112,7.346,7.346
2mer-0+33,-0.43804318,2,-0.43804318,-95.63181471,0.0003677421,12.037,7.386,7.386
2mer-0+29,0.06199492,2,0.06199492,-95.5698198,0.0003665355,10.444,7.394,7.394
2mer-0+19,-0.83244409,2,-0.83244409,-96.40226389,0.0003655276,10.696,7.401,7.401
2mer-0+56,0.29344539,2,0.29344539,-96.1088185,0.0002906819,12.114,7.988,7.988
2mer-0+28,0.43129513,2,0.43129513,-95.67752337,0.0002809681,12.999,8.079,8.079
2mer-0+43,0.23649667,2,0.23649667,-95.4410267,0.0002766333,12.065,8.121,8.121
2mer-0+51,-0.05119197,2,-0.05119197,-95.49221867,0.0002423795,12.065,8.487,8.487
2mer-0+50,-0.0414114,2,-0.0414114,-95.53363007,0.0002171679,13.3,8.804,8.804
2mer-0+45,0.37260141,2,0.37260141,-95.16102866,0.0001954588,14.207,9.118,9.118
2mer-0+48,-0.16457925,2,-0.16457925,-95.32560791,0.0001828357,13.74,9.324,9.324
2mer-0+113,0.12400553,2,0.12400553,-95.20160238,0.0001814965,13.872,9.346,9.346
2mer-0+54,0.03855844,2,0.03855844,-95.16304394,0.0001798973,12.42,9.374,9.374
2mer-0+38,-0.15900871,2,-0.15900871,-95.32205265,0.0001736654,13.195,9.485,9.485
2mer-0+46,-0.18748088,2,-0.18748088,-95.50953353,0.0001669422,13.89,9.61,9.61
2mer-0+107,-0.24993676,2,-0.24993676,-95.7594703,0.0001614951,13.989,9.717,9.717
2mer-0+84,-0.04103475,2,-0.04103475,-95.80050504,0.0001559373,14.678,9.831,9.831
2mer-0+70,0.07867384,2,0.07867384,-95.7218312,0.0001428376,14.018,10.123,10.123
2mer-0+82,-0.03595141,2,-0.03595141,-95.75778261,0.000135335,14.088,10.307,10.307
2mer-0+77,0.23846074,2,0.23846074,-95.51932187,0.0001312216,15.505,10.414,10.414
2mer-0+49,-0.22041111,2,-0.22041111,-95.73973299,0.0001279462,13.778,10.502,10.502
2mer-0+57,0.0252021,2,0.0252021,-95.71453089,0.00012539,14.193,10.573,10.573
2mer-0+111,-0.14123411,2,-0.14123411,-95.855765,0.000119921,14.125,10.731,10.731
2mer-0+93,-0.13456588,2,-0.13456588,-95.99033088,0.0001195519,14.501,10.742,10.742
2mer-0+85,-0.07404076,2,-0.07404076,-96.06437164,0.0001177879,15.078,10.795,10.795
2mer-0+81,-0.09645308,2,-0.09645308,-96.16082471,0.0001168018,15.215,10.826,10.826
2mer-0+76,0.01168219,2,0.01168219,-96.14914253,0.000116085,14.678,10.848,10.848
2mer-0+91,-0.18228118,2,-0.18228118,-96.33142371,0.00011297,14.193,10.947,10.947
2mer-0+102,0.09653708,2,0.09653708,-96.23488663,0.000112559,14.963,10.96,10.96
2mer-0+60,-0.14025288,2,-0.14025288,-96.37513951,0.0001124287,15.078,10.964,10.964
2mer-0+106,0.03930189,2,0.03930189,-96.33583762,0.0001111,15.368,11.008,11.008
2mer-0+66,0.0473817,2,0.0473817,-96.28845592,0.0001100819,14.088,11.042,11.042
2mer-0+79,-0.0774823,2,-0.0774823,-96.36593822,0.0001058909,14.9,11.185,11.185
2mer-0+98,-0.05636098,2,-0.05636098,-96.4222992,0.0001007274,16.254,11.373,11.373
2mer-0+68,-0.07418616,2,-0.07418616,-96.49648536,9.486744e-05,15.505,11.603,11.603
2mer-0+104,-0.14362637,2,-0.14362637,-96.64011173,9.269484e-05,15.169,11.693,11.693
2mer-0+83,-0.09217877,2,-0.09217877,-96.7322905,9.150401e-05,16.04,11.743,11.743
2mer-0+115,0.03992278,2,0.03992278,-96.69236772,9.051065e-05,16.294,11.786,11.786
2mer-0+71,-0.14569078,2,-0.14569078,-96.8380585,8.811695e-05,15.215,11.892,11.892
2mer-0+112,0.09311566,2,0.09311566,-96.74494284,8.753823e-05,15.977,11.918,11.918
2mer-0+67,-0.0641868,2,-0.0641868,-96.80912965,8.719906e-05,15.688,11.933,11.933
2mer-0+72,-0.06448404,2,-0.06448404,-96.87361369,8.147666e-05,15.169,12.206,12.206
2mer-0+103,0.06556427,2,0.06556427,-96.80804942,7.806072e-05,16.164,12.382,12.382
2mer-0+87,0.09237215,2,0.09237215,-96.71567727,7.613994e-05,17.417,12.485,12.485
2mer-0+180,-0.09398924,2,-0.09398924,-96.80966651,7.433386e-05,16.418,12.586,12.586
2mer-0+207,0.08555355,2,0.08555355,-96.72411296,7.263878e-05,17.28,12.683,12.683
2mer-0+116,-0.00904871,2,-0.00904871,-96.73316168,7.193427e-05,17.399,12.724,12.724
2mer-0+194,-0.02775694,2,-0.02775694,-96.76091862,7.185173e-05,17.329,12.729,12.729
2mer-0+92,-0.01448787,2,-0.01448787,-96.77540649,7.158647e-05,17.167,12.745,12.745
2mer-0+134,-0.03611258,2,-0.03611258,-96.81151907,7.110469e-05,16.258,12.773,12.773
2mer-0+118,-0.0284287,2,-0.0284287,-96.83994777,7.090649e-05,16.164,12.785,12.785
2mer-0+130,0.02201212,2,0.02201212,-96.81793564,6.868329e-05,17.183,12.922,12.922
2mer-0+149,0.0734284,2,0.0734284,-96.74450725,6.866851e-05,17.141,12.923,12.923
2mer-0+119,0.03232633,2,0.03232633,-96.71218091,6.834036e-05,16.526,12.943,12.943
2mer-0+99,0.11553698,2,0.11553698,-96.59664393,6.544487e-05,18.313,13.131,13.131
2mer-0+110,0.0039524,2,0.0039524,-96.59269153,6.466983e-05,16.227,13.184,13.184
2mer-0+157,-0.05419097,2,-0.05419097,-96.64688249,6.460062e-05,17.399,13.188,13.188
2mer-0+94,0.00924365,2,0.00924365,-96.63763884,6.383851e-05,16.016,13.241,13.241
2mer-0+142,0.04507582,2,0.04507582,-96.59256303,6.312445e-05,17.141,13.29,13.29
2mer-0+101,0.01009702,2,0.01009702,-96.582466,6.19391e-05,17.712,13.375,13.375
2mer-0+129,0.08494814,2,0.08494814,-96.49751787,6.076318e-05,18.491,13.46,13.46
2mer-0+219,-0.01043861,2,-0.01043861,-96.50795648,6.043879e-05,18.131,13.484,13.484
2mer-0+143,-0.07004907,2,-0.07004907,-96.57800555,5.665257e-05,18.505,13.778,13.778
2mer-0+255,0.09546488,2,0.09546488,-96.48254068,5.535373e-05,18.891,13.885,13.885
2mer-0+178,-0.01209143,2,-0.01209143,-96.49463211,5.529443e-05,18.197,13.89,13.89
2mer-0+159,0.01031935,2,0.01031935,-96.48431276,5.52268e-05,17.7,13.896,13.896
2mer-0+208,0.05002696,2,0.05002696,-96.43428579,5.496258e-05,18.446,13.918,13.918
2mer-0+124,-0.03574218,2,-0.03574218,-96.47002797,5.448667e-05,18.287,13.958,13.958
2mer-0+121,-0.02321216,2,-0.02321216,-96.49324013,4.950088e-05,18.491,14.412,14.412
2mer-0+179,-0.04356778,2,-0.04356778,-96.53680791,4.845289e-05,18.633,14.515,14.515
2mer-0+168,0.00086376,2,0.00086376,-96.53594415,4.839335e-05,18.871,14.521,14.521
2mer-0+172,0.02391584,2,0.02391584,-96.51202831,4.812293e-05,18.51,14.548,14.548
2mer-0+147,0.00551991,2,0.00551991,-96.5065084,4.762804e-05,18.197,14.599,14.599
2mer-0+264,-0.01667813,2,-0.01667813,-96.52318654,4.678379e-05,18.835,14.686,14.686
2mer-0+184,-0.04731049,2,-0.04731049,-96.57049702,4.646529e-05,18.521,14.719,14.719
2mer-0+221,-0.06728503,2,-0.06728503,-96.63778205,4.577507e-05,18.707,14.793,14.793
2mer-0+269,-0.01373075,2,-0.01373075,-96.65151281,4.474886e-05,19.383,14.905,14.905
2mer-0+174,0.01192551,2,0.01192551,-96.6395873,4.451637e-05,19.297,14.931,14.931
2mer-0+136,-0.01477604,2,-0.01477604,-96.65436334,4.447992e-05,18.121,14.935,14.935
2mer-0+140,-0.03001626,2,-0.03001626,-96.6843796,4.440808e-05,18.521,14.943,14.943
2mer-0+141,-0.050309,2,-0.050309,-96.7346886,4.146865e-05,18.871,15.288,15.288
2mer-0+170,0.01058783,2,0.01058783,-96.72410077,4.098213e-05,18.729,15.349,15.349
2mer-0+151,-0.03525108,2,-0.03525108,-96.75935185,4.085194e-05,19.283,15.365,15.365
