N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+5,-7.70178044,2,-7.70178044,-7.70178044,0.01281788,5.652,2.261,2.261
2mer-0+4,-3.9302208,2,-3.9302208,-11.63200124,0.0114914,6.65,2.345,2.345
2mer-0+1,-27.62780277,2,-27.62780277,-39.25980401,0.01025822,5.013,2.435,2.435
2mer-0+13,-21.57755536,2,-21.57755536,-60.83735937,0.009000085,5.74,2.544,2.544
2mer-0+2,-15.0205123,2,-15.0205123,-75.85787167,0.008967413,6.87,2.547,2.547
2mer-0+7,-3.05377396,2,-3.05377396,-78.91164562,0.007354513,6.459,2.721,2.721
2mer-0+8,-0.30714897,2,-0.30714897,-79.21879459,0.004076411,6.21,3.313,3.313
2mer-0+6,1.19425188,2,1.19425188,-78.02454271,0.00226209,8.708,4.031,4.031
2mer-0+23,-0.52897134,2,-0.52897134,-78.55351405,0.00130477,9.099,4.843,4.843
2mer-0+27,-1.61151238,2,-1.61151238,-80.16502643,0.0008960638,9.261,5.489,5.489
2mer-0+14,0.29274366,2,0.29274366,-79.87228277,0.0008510465,9.099,5.584,5.584
2mer-0+10,-0.63303719,2,-0.63303719,-80.50531996,0.0007557743,9.261,5.809,5.809
2mer-0+11,-1.21594131,2,-1.21594131,-81.72126127,0.0007477758,9.848,5.83,5.83
2mer-0+34,0.07956423,2,0.07956423,-81.64169704,0.0007204193,10.344,5.903,5.903
2mer-0+58,0.51663116,2,0.51663116,-81.12506589,0.0005879759,10.889,6.317,6.317
2mer-0+16,-0.21983832,2,-0.21983832,-81.34490421,0.0005830957,10.617,6.334,6.334
2mer-0+26,-0.21500431,2,-0.21500431,-81.55990852,0.0005533146,10.696,6.446,6.446
2mer-0+32,0.19257205,2,0.19257205,-81.36733648,0.0004672038,10.926,6.82,6.82
2mer-0+61,-0.4780364,2,-0.4780364,-81.84537287,0.0004496706,11.063,6.907,6.907
2mer-0+55,-0.34440523,2,-0.34440523,-82.1897781,0.0004282162,11.539,7.021,7.021
2mer-0+42,-0.43002334,2,-0.43002334,-82.61980145,0.0004258938,10.492,7.033,7.033
2mer-0+31,0.23404217,2,0.23404217,-82.38575928,0.0004193392,10.902,7.07,7.07
2mer-0+22,-0.09190908,2,-0.09190908,-82.47766835,0.000373775,10.112,7.346,7.346
2mer-0+33,-0.33361014,2,-0.33361014,-82.81127849,0.0003677421,12.037,7.386,7.386
2mer-0+29,0.08310776,2,0.08310776,-82.72817073,0.0003665355,10.444,7.394,7.394
2mer-0+19,-0.71310922,2,-0.71310922,-83.44127995,0.0003655276,10.696,7.401,7.401
2mer-0+56,0.19748124,2,0.19748124,-83.24379871,0.0002906819,12.114,7.988,7.988
2mer-0+28,0.35039291,2,0.35039291,-82.8934058,0.0002809681,12.999,8.079,8.079
2mer-0+43,0.17087757,2,0.17087757,-82.72252822,0.0002766333,12.065,8.121,8.121
2mer-0+51,-0.03521772,2,-0.03521772,-82.75774594,0.0002423795,12.065,8.487,8.487
2mer-0+50,-0.03957229,2,-0.03957229,-82.79731824,0.0002171679,13.3,8.804,8.804
2mer-0+45,0.30807881,2,0.30807881,-82.48923942,0.0001954588,14.207,9.118,9.118
2mer-0+48,-0.14556171,2,-0.14556171,-82.63480114,0.0001828357,13.74,9.324,9.324
2mer-0+113,0.10477021,2,0.10477021,-82.53003092,0.0001814965,13.872,9.346,9.346
2mer-0+54,0.04698607,2,0.04698607,-82.48304486,0.0001798973,12.42,9.374,9.374
2mer-0+38,-0.13147312,2,-0.13147312,-82.61451797,0.0001736654,13.195,9.485,9.485
2mer-0+46,-0.15736915,2,-0.15736915,-82.77188713,0.0001669422,13.89,9.61,9.61
2mer-0+107,-0.21433249,2,-0.21433249,-82.98621962,0.0001614951,13.989,9.717,9.717
2mer-0+84,-0.03979506,2,-0.03979506,-83.02601468,0.0001559373,14.678,9.831,9.831
2mer-0+70,0.06859651,2,0.06859651,-82.95741817,0.0001428376,14.018,10.123,10.123
2mer-0+82,-0.02929485,2,-0.02929485,-82.98671303,0.000135335,14.088,10.307,10.307
2mer-0+77,0.19606132,2,0.19606132,-82.7906517,0.0001312216,15.505,10.414,10.414
2mer-0+49,-0.19054586,2,-0.19054586,-82.98119756,0.0001279462,13.778,10.502,10.502
2mer-0+57,0.02770767,2,0.02770767,-82.95348989,0.00012539,14.193,10.573,10.573
2mer-0+111,-0.11636756,2,-0.11636756,-83.06985745,0.000119921,14.125,10.731,10.731
2mer-0+93,-0.10830451,2,-0.10830451,-83.17816196,0.0001195519,14.501,10.742,10.742
2mer-0+85,-0.06854184,2,-0.06854184,-83.2467038,0.0001177879,15.078,10.795,10.795
2mer-0+81,-0.08161211,2,-0.08161211,-83.32831591,0.0001168018,15.215,10.826,10.826
2mer-0+76,0.01250968,2,0.01250968,-83.31580623,0.000116085,14.678,10.848,10.848
2mer-0+91,-0.15226493,2,-0.15226493,-83.46807116,0.00011297,14.193,10.947,10.947
2mer-0+102,0.07305291,2,0.07305291,-83.39501826,0.000112559,14.963,10.96,10.96
2mer-0+60,-0.11740427,2,-0.11740427,-83.51242253,0.0001124287,15.078,10.964,10.964
2mer-0+106,0.02545973,2,0.02545973,-83.48696279,0.0001111,15.368,11.008,11.008
2mer-0+66,0.05320876,2,0.05320876,-83.43375404,0.0001100819,14.088,11.042,11.042
2mer-0+79,-0.05924805,2,-0.05924805,-83.49300209,0.0001058909,14.9,11.185,11.185
2mer-0+98,-0.04657841,2,-0.04657841,-83.53958049,0.0001007274,16.254,11.373,11.373
2mer-0+68,-0.07075629,2,-0.07075629,-83.61033678,9.486744e-05,15.505,11.603,11.603
2mer-0+104,-0.12555129,2,-0.12555129,-83.73588808,9.269484e-05,15.169,11.693,11.693
2mer-0+83,-0.07752208,2,-0.07752208,-83.81341016,9.150401e-05,16.04,11.743,11.743
2mer-0+115,0.02807004,2,0.02807004,-83.78534012,9.051065e-05,16.294,11.786,11.786
2mer-0+71,-0.12078607,2,-0.12078607,-83.90612619,8.811695e-05,15.215,11.892,11.892
2mer-0+112,0.06844616,2,0.06844616,-83.83768003,8.753823e-05,15.977,11.918,11.918
2mer-0+67,-0.06445824,2,-0.06445824,-83.90213827,8.719906e-05,15.688,11.933,11.933
2mer-0+72,-0.04647876,2,-0.04647876,-83.94861703,8.147666e-05,15.169,12.206,12.206
2mer-0+103,0.05197854,2,0.05197854,-83.89663849,7.806072e-05,16.164,12.382,12.382
2mer-0+87,0.07509147,2,0.07509147,-83.82154703,7.613994e-05,17.417,12.485,12.485
2mer-0+180,-0.08044014,2,-0.08044014,-83.90198717,7.433386e-05,16.418,12.586,12.586
2mer-0+207,0.06596506,2,0.06596506,-83.83602211,7.263878e-05,17.28,12.683,12.683
2mer-0+116,-0.00897139,2,-0.00897139,-83.8449935,7.193427e-05,17.399,12.724,12.724
2mer-0+194,-0.02525201,2,-0.02525201,-83.87024551,7.185173e-05,17.329,12.729,12.729
2mer-0+92,-0.01208442,2,-0.01208442,-83.88232993,7.158647e-05,17.167,12.745,12.745
2mer-0+134,-0.02337524,2,-0.02337524,-83.90570517,7.110469e-05,16.258,12.773,12.773
2mer-0+118,-0.01809037,2,-0.01809037,-83.92379554,7.090649e-05,16.164,12.785,12.785
2mer-0+130,0.01565581,2,0.01565581,-83.90813974,6.868329e-05,17.183,12.922,12.922
2mer-0+149,0.05288644,2,0.05288644,-83.85525329,6.866851e-05,17.141,12.923,12.923
2mer-0+119,0.03192881,2,0.03192881,-83.82332448,6.834036e-05,16.526,12.943,12.943
