N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+5,-3.2373838,2,-3.2373838,-3.2373838,0.01281788,5.652,2.261,2.261
2mer-0+4,-1.66430594,2,-1.66430594,-4.90168974,0.0114914,6.65,2.345,2.345
2mer-0+1,-23.81794747,2,-23.81794747,-28.7196372,0.01025822,5.013,2.435,2.435
2mer-0+13,-19.95975386,2,-19.95975386,-48.67939106,0.009000085,5.74,2.544,2.544
2mer-0+2,-12.97604117,2,-12.97604117,-61.65543223,0.008967413,6.87,2.547,2.547
2mer-0+7,-0.36626833,2,-0.36626833,-62.02170056,0.007354513,6.459,2.721,2.721
2mer-0+8,0.09131377,2,0.09131377,-61.93038678,0.004076411,6.21,3.313,3.313
2mer-0+6,1.08763363,2,1.08763363,-60.84275316,0.00226209,8.708,4.031,4.031
2mer-0+23,-0.51509037,2,-0.51509037,-61.35784353,0.00130477,9.099,4.843,4.843
2mer-0+27,-1.70393594,2,-1.70393594,-63.06177947,0.0008960638,9.261,5.489,5.489
2mer-0+14,0.33333856,2,0.33333856,-62.72844091,0.0008510465,9.099,5.584,5.584
2mer-0+10,-0.67899995,2,-0.67899995,-63.40744086,0.0007557743,9.261,5.809,5.809
2mer-0+11,-1.32031625,2,-1.32031625,-64.72775711,0.0007477758,9.848,5.83,5.83
2mer-0+34,0.14099258,2,0.14099258,-64.58676453,0.0007204193,10.344,5.903,5.903
2mer-0+58,0.57738715,2,0.57738715,-64.00937739,0.0005879759,10.889,6.317,6.317
2mer-0+16,-0.1926691,2,-0.1926691,-64.20204649,0.0005830957,10.617,6.334,6.334
2mer-0+26,-0.18703017,2,-0.18703017,-64.38907666,0.0005533146,10.696,6.446,6.446
2mer-0+32,0.25317046,2,0.25317046,-64.1359062,0.0004672038,10.926,6.82,6.82
2mer-0+61,-0.52956019,2,-0.52956019,-64.66546639,0.0004496706,11.063,6.907,6.907
2mer-0+55,-0.36339889,2,-0.36339889,-65.02886528,0.0004282162,11.539,7.021,7.021
2mer-0+42,-0.48422558,2,-0.48422558,-65.51309086,0.0004258938,10.492,7.033,7.033
2mer-0+31,0.26796416,2,0.26796416,-65.2451267,0.0004193392,10.902,7.07,7.07
2mer-0+22,-0.09436424,2,-0.09436424,-65.33949094,0.000373775,10.112,7.346,7.346
2mer-0+33,-0.38915808,2,-0.38915808,-65.72864902,0.0003677421,12.037,7.386,7.386
2mer-0+29,0.07428072,2,0.07428072,-65.6543683,0.0003665355,10.444,7.394,7.394
2mer-0+19,-0.75908721,2,-0.75908721,-66.41345551,0.0003655276,10.696,7.401,7.401
2mer-0+56,0.26626579,2,0.26626579,-66.14718973,0.0002906819,12.114,7.988,7.988
2mer-0+28,0.38334905,2,0.38334905,-65.76384068,0.0002809681,12.999,8.079,8.079
2mer-0+43,0.21808264,2,0.21808264,-65.54575805,0.0002766333,12.065,8.121,8.121
2mer-0+51,-0.03990411,2,-0.03990411,-65.58566215,0.0002423795,12.065,8.487,8.487
2mer-0+50,-0.03745142,2,-0.03745142,-65.62311357,0.0002171679,13.3,8.804,8.804
2mer-0+45,0.33488115,2,0.33488115,-65.28823242,0.0001954588,14.207,9.118,9.118
2mer-0+48,-0.149989,2,-0.149989,-65.43822143,0.0001828357,13.74,9.324,9.324
2mer-0+113,0.11186656,2,0.11186656,-65.32635487,0.0001814965,13.872,9.346,9.346
2mer-0+54,0.03979967,2,0.03979967,-65.2865552,0.0001798973,12.42,9.374,9.374
2mer-0+38,-0.14386588,2,-0.14386588,-65.43042108,0.0001736654,13.195,9.485,9.485
2mer-0+46,-0.16883846,2,-0.16883846,-65.59925954,0.0001669422,13.89,9.61,9.61
2mer-0+107,-0.23052668,2,-0.23052668,-65.82978622,0.0001614951,13.989,9.717,9.717
2mer-0+84,-0.03775942,2,-0.03775942,-65.86754564,0.0001559373,14.678,9.831,9.831
2mer-0+70,0.07365983,2,0.07365983,-65.79388582,0.0001428376,14.018,10.123,10.123
2mer-0+82,-0.03253008,2,-0.03253008,-65.82641589,0.000135335,14.088,10.307,10.307
2mer-0+77,0.21360381,2,0.21360381,-65.61281208,0.0001312216,15.505,10.414,10.414
2mer-0+49,-0.20280635,2,-0.20280635,-65.81561843,0.0001279462,13.778,10.502,10.502
2mer-0+57,0.02582865,2,0.02582865,-65.78978979,0.00012539,14.193,10.573,10.573
2mer-0+111,-0.1298843,2,-0.1298843,-65.91967409,0.000119921,14.125,10.731,10.731
2mer-0+93,-0.12147262,2,-0.12147262,-66.04114671,0.0001195519,14.501,10.742,10.742
2mer-0+85,-0.06914924,2,-0.06914924,-66.11029595,0.0001177879,15.078,10.795,10.795
2mer-0+81,-0.08571565,2,-0.08571565,-66.1960116,0.0001168018,15.215,10.826,10.826
2mer-0+76,0.01128184,2,0.01128184,-66.18472976,0.000116085,14.678,10.848,10.848
2mer-0+91,-0.16726555,2,-0.16726555,-66.35199531,0.00011297,14.193,10.947,10.947
2mer-0+102,0.08742213,2,0.08742213,-66.26457318,0.000112559,14.963,10.96,10.96
2mer-0+60,-0.12728385,2,-0.12728385,-66.39185703,0.0001124287,15.078,10.964,10.964
2mer-0+106,0.03483475,2,0.03483475,-66.35702228,0.0001111,15.368,11.008,11.008
2mer-0+66,0.04644104,2,0.04644104,-66.31058124,0.0001100819,14.088,11.042,11.042
2mer-0+79,-0.06816851,2,-0.06816851,-66.37874975,0.0001058909,14.9,11.185,11.185
2mer-0+98,-0.05126328,2,-0.05126328,-66.43001303,0.0001007274,16.254,11.373,11.373
2mer-0+68,-0.07055829,2,-0.07055829,-66.50057132,9.486744e-05,15.505,11.603,11.603
2mer-0+104,-0.13379827,2,-0.13379827,-66.6343696,9.269484e-05,15.169,11.693,11.693
2mer-0+83,-0.08347482,2,-0.08347482,-66.71784441,9.150401e-05,16.04,11.743,11.743
2mer-0+115,0.03571372,2,0.03571372,-66.68213069,9.051065e-05,16.294,11.786,11.786
2mer-0+71,-0.13369867,2,-0.13369867,-66.81582936,8.811695e-05,15.215,11.892,11.892
2mer-0+112,0.0834314,2,0.0834314,-66.73239796,8.753823e-05,15.977,11.918,11.918
2mer-0+67,-0.06277438,2,-0.06277438,-66.79517235,8.719906e-05,15.688,11.933,11.933
2mer-0+72,-0.05720457,2,-0.05720457,-66.85237691,8.147666e-05,15.169,12.206,12.206
2mer-0+103,0.05979262,2,0.05979262,-66.79258429,7.806072e-05,16.164,12.382,12.382
2mer-0+87,0.08307239,2,0.08307239,-66.7095119,7.613994e-05,17.417,12.485,12.485
2mer-0+180,-0.08753579,2,-0.08753579,-66.79704769,7.433386e-05,16.418,12.586,12.586
2mer-0+207,0.07714969,2,0.07714969,-66.719898,7.263878e-05,17.28,12.683,12.683
2mer-0+116,-0.00832373,2,-0.00832373,-66.72822173,7.193427e-05,17.399,12.724,12.724
2mer-0+194,-0.02505248,2,-0.02505248,-66.75327421,7.185173e-05,17.329,12.729,12.729
2mer-0+92,-0.01354277,2,-0.01354277,-66.76681698,7.158647e-05,17.167,12.745,12.745
2mer-0+134,-0.03270478,2,-0.03270478,-66.79952177,7.110469e-05,16.258,12.773,12.773
2mer-0+118,-0.0247645,2,-0.0247645,-66.82428627,7.090649e-05,16.164,12.785,12.785
2mer-0+130,0.01928842,2,0.01928842,-66.80499784,6.868329e-05,17.183,12.922,12.922
2mer-0+149,0.06551255,2,0.06551255,-66.73948529,6.866851e-05,17.141,12.923,12.923
2mer-0+119,0.03068364,2,0.03068364,-66.70880165,6.834036e-05,16.526,12.943,12.943
2mer-0+99,0.10344961,2,0.10344961,-66.60535205,6.544487e-05,18.313,13.131,13.131
2mer-0+110,0.0050385,2,0.0050385,-66.60031354,6.466983e-05,16.227,13.184,13.184
2mer-0+157,-0.04920891,2,-0.04920891,-66.64952245,6.460062e-05,17.399,13.188,13.188
2mer-0+94,0.01009082,2,0.01009082,-66.63943164,6.383851e-05,16.016,13.241,13.241
2mer-0+142,0.04098922,2,0.04098922,-66.59844242,6.312445e-05,17.141,13.29,13.29
2mer-0+101,0.00921182,2,0.00921182,-66.5892306,6.19391e-05,17.712,13.375,13.375
2mer-0+129,0.07718946,2,0.07718946,-66.51204115,6.076318e-05,18.491,13.46,13.46
2mer-0+219,-0.01028629,2,-0.01028629,-66.52232744,6.043879e-05,18.131,13.484,13.484
