N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+5,-5.37667492,2,-5.37667492,-5.37667492,0.01281788,5.652,2.261,2.261
2mer-0+4,-2.62691415,2,-2.62691415,-8.00358907,0.0114914,6.65,2.345,2.345
2mer-0+1,-28.84013322,2,-28.84013322,-36.84372228,0.01025822,5.013,2.435,2.435
2mer-0+13,-23.39639661,2,-23.39639661,-60.24011889,0.009000085,5.74,2.544,2.544
2mer-0+2,-15.55104262,2,-15.55104262,-75.79116151,0.008967413,6.87,2.547,2.547
2mer-0+7,-1.10153032,2,-1.10153032,-76.89269183,0.007354513,6.459,2.721,2.721
2mer-0+8,0.05138877,2,0.05138877,-76.84130306,0.004076411,6.21,3.313,3.313
2mer-0+6,1.06672004,2,1.06672004,-75.77458302,0.00226209,8.708,4.031,4.031
2mer-0+23,-0.551957,2,-0.551957,-76.32654002,0.00130477,9.099,4.843,4.843
2mer-0+27,-1.77399184,2,-1.77399184,-78.10053186,0.0008960638,9.261,5.489,5.489
2mer-0+14,0.35152867,2,0.35152867,-77.74900319,0.0008510465,9.099,5.584,5.584
2mer-0+10,-0.71807337,2,-0.71807337,-78.46707656,0.0007557743,9.261,5.809,5.809
2mer-0+11,-1.39216985,2,-1.39216985,-79.85924641,0.0007477758,9.848,5.83,5.83
2mer-0+34,0.15392657,2,0.15392657,-79.70531984,0.0007204193,10.344,5.903,5.903
2mer-0+58,0.60005934,2,0.60005934,-79.1052605,0.0005879759,10.889,6.317,6.317
2mer-0+16,-0.20436857,2,-0.20436857,-79.30962907,0.0005830957,10.617,6.334,6.334
2mer-0+26,-0.1857057,2,-0.1857057,-79.49533477,0.0005533146,10.696,6.446,6.446
2mer-0+32,0.26720596,2,0.26720596,-79.22812881,0.0004672038,10.926,6.82,6.82
2mer-0+61,-0.55931242,2,-0.55931242,-79.78744123,0.0004496706,11.063,6.907,6.907
2mer-0+55,-0.3789552,2,-0.3789552,-80.16639644,0.0004282162,11.539,7.021,7.021
2mer-0+42,-0.50201991,2,-0.50201991,-80.66841634,0.0004258938,10.492,7.033,7.033
2mer-0+31,0.28068678,2,0.28068678,-80.38772956,0.0004193392,10.902,7.07,7.07
2mer-0+22,-0.09914559,2,-0.09914559,-80.48687515,0.000373775,10.112,7.346,7.346
2mer-0+33,-0.41136154,2,-0.41136154,-80.89823669,0.0003677421,12.037,7.386,7.386
2mer-0+29,0.07653709,2,0.07653709,-80.8216996,0.0003665355,10.444,7.394,7.394
2mer-0+19,-0.78581328,2,-0.78581328,-81.60751289,0.0003655276,10.696,7.401,7.401
2mer-0+56,0.28406142,2,0.28406142,-81.32345146,0.0002906819,12.114,7.988,7.988
2mer-0+28,0.40464255,2,0.40464255,-80.91880891,0.0002809681,12.999,8.079,8.079
2mer-0+43,0.23178086,2,0.23178086,-80.68702806,0.0002766333,12.065,8.121,8.121
2mer-0+51,-0.04187489,2,-0.04187489,-80.72890294,0.0002423795,12.065,8.487,8.487
2mer-0+50,-0.0394892,2,-0.0394892,-80.76839215,0.0002171679,13.3,8.804,8.804
2mer-0+45,0.3499853,2,0.3499853,-80.41840685,0.0001954588,14.207,9.118,9.118
2mer-0+48,-0.1589121,2,-0.1589121,-80.57731895,0.0001828357,13.74,9.324,9.324
2mer-0+113,0.11741984,2,0.11741984,-80.45989911,0.0001814965,13.872,9.346,9.346
2mer-0+54,0.04094778,2,0.04094778,-80.41895133,0.0001798973,12.42,9.374,9.374
2mer-0+38,-0.15023494,2,-0.15023494,-80.56918627,0.0001736654,13.195,9.485,9.485
2mer-0+46,-0.17707674,2,-0.17707674,-80.74626301,0.0001669422,13.89,9.61,9.61
2mer-0+107,-0.23905481,2,-0.23905481,-80.98531782,0.0001614951,13.989,9.717,9.717
2mer-0+84,-0.03952851,2,-0.03952851,-81.02484633,0.0001559373,14.678,9.831,9.831
2mer-0+70,0.07631057,2,0.07631057,-80.94853576,0.0001428376,14.018,10.123,10.123
2mer-0+82,-0.03395385,2,-0.03395385,-80.98248961,0.000135335,14.088,10.307,10.307
2mer-0+77,0.22428683,2,0.22428683,-80.75820278,0.0001312216,15.505,10.414,10.414
2mer-0+49,-0.20988973,2,-0.20988973,-80.96809251,0.0001279462,13.778,10.502,10.502
2mer-0+57,0.02626022,2,0.02626022,-80.94183229,0.00012539,14.193,10.573,10.573
2mer-0+111,-0.13491059,2,-0.13491059,-81.07674288,0.000119921,14.125,10.731,10.731
2mer-0+93,-0.12726534,2,-0.12726534,-81.20400822,0.0001195519,14.501,10.742,10.742
2mer-0+85,-0.07189978,2,-0.07189978,-81.275908,0.0001177879,15.078,10.795,10.795
2mer-0+81,-0.09044487,2,-0.09044487,-81.36635287,0.0001168018,15.215,10.826,10.826
2mer-0+76,0.01133394,2,0.01133394,-81.35501892,0.000116085,14.678,10.848,10.848
2mer-0+91,-0.17349258,2,-0.17349258,-81.52851151,0.00011297,14.193,10.947,10.947
2mer-0+102,0.0923577,2,0.0923577,-81.4361538,0.000112559,14.963,10.96,10.96
2mer-0+60,-0.13326018,2,-0.13326018,-81.56941398,0.0001124287,15.078,10.964,10.964
2mer-0+106,0.03799149,2,0.03799149,-81.53142249,0.0001111,15.368,11.008,11.008
2mer-0+66,0.04716905,2,0.04716905,-81.48425343,0.0001100819,14.088,11.042,11.042
2mer-0+79,-0.07202904,2,-0.07202904,-81.55628248,0.0001058909,14.9,11.185,11.185
2mer-0+98,-0.05336809,2,-0.05336809,-81.60965056,0.0001007274,16.254,11.373,11.373
2mer-0+68,-0.07191478,2,-0.07191478,-81.68156534,9.486744e-05,15.505,11.603,11.603
2mer-0+104,-0.13765712,2,-0.13765712,-81.81922246,9.269484e-05,15.169,11.693,11.693
2mer-0+83,-0.08769059,2,-0.08769059,-81.90691305,9.150401e-05,16.04,11.743,11.743
