N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+5,-2.4548885,2,-2.4548885,-2.4548885,0.01281788,5.652,2.261,2.261
2mer-0+4,-1.43134546,2,-1.43134546,-3.88623396,0.0114914,6.65,2.345,2.345
2mer-0+1,-22.07519088,2,-22.07519088,-25.96142484,0.01025822,5.013,2.435,2.435
2mer-0+13,-19.33746073,2,-19.33746073,-45.29888557,0.009000085,5.74,2.544,2.544
2mer-0+2,-13.20877291,2,-13.20877291,-58.50765849,0.008967413,6.87,2.547,2.547
2mer-0+7,0.00921764,2,0.00921764,-58.49844084,0.007354513,6.459,2.721,2.721
2mer-0+8,0.43736749,2,0.43736749,-58.06107335,0.004076411,6.21,3.313,3.313
2mer-0+6,1.30557877,2,1.30557877,-56.75549458,0.00226209,8.708,4.031,4.031
2mer-0+23,-0.49275712,2,-0.49275712,-57.2482517,0.00130477,9.099,4.843,4.843
2mer-0+27,-1.72357928,2,-1.72357928,-58.97183099,0.0008960638,9.261,5.489,5.489
2mer-0+14,0.38020073,2,0.38020073,-58.59163025,0.0008510465,9.099,5.584,5.584
2mer-0+10,-0.67125921,2,-0.67125921,-59.26288946,0.0007557743,9.261,5.809,5.809
2mer-0+11,-1.3513805,2,-1.3513805,-60.61426996,0.0007477758,9.848,5.83,5.83
2mer-0+34,0.16987887,2,0.16987887,-60.44439109,0.0007204193,10.344,5.903,5.903
2mer-0+58,0.62327263,2,0.62327263,-59.82111846,0.0005879759,10.889,6.317,6.317
2mer-0+16,-0.18113365,2,-0.18113365,-60.00225211,0.0005830957,10.617,6.334,6.334
2mer-0+26,-0.1680384,2,-0.1680384,-60.17029051,0.0005533146,10.696,6.446,6.446
2mer-0+32,0.27775161,2,0.27775161,-59.8925389,0.0004672038,10.926,6.82,6.82
2mer-0+61,-0.54187316,2,-0.54187316,-60.43441205,0.0004496706,11.063,6.907,6.907
2mer-0+55,-0.36754307,2,-0.36754307,-60.80195513,0.0004282162,11.539,7.021,7.021
2mer-0+42,-0.48399753,2,-0.48399753,-61.28595266,0.0004258938,10.492,7.033,7.033
2mer-0+31,0.28948135,2,0.28948135,-60.99647131,0.0004193392,10.902,7.07,7.07
2mer-0+22,-0.0804557,2,-0.0804557,-61.076927,0.000373775,10.112,7.346,7.346
2mer-0+33,-0.40004211,2,-0.40004211,-61.47696912,0.0003677421,12.037,7.386,7.386
2mer-0+29,0.09148472,2,0.09148472,-61.3854844,0.0003665355,10.444,7.394,7.394
2mer-0+19,-0.77029791,2,-0.77029791,-62.15578231,0.0003655276,10.696,7.401,7.401
2mer-0+56,0.28680764,2,0.28680764,-61.86897468,0.0002906819,12.114,7.988,7.988
2mer-0+28,0.4097582,2,0.4097582,-61.45921648,0.0002809681,12.999,8.079,8.079
2mer-0+43,0.2361267,2,0.2361267,-61.22308978,0.0002766333,12.065,8.121,8.121
2mer-0+51,-0.03490843,2,-0.03490843,-61.25799821,0.0002423795,12.065,8.487,8.487
2mer-0+50,-0.0354212,2,-0.0354212,-61.2934194,0.0002171679,13.3,8.804,8.804
2mer-0+45,0.35349319,2,0.35349319,-60.93992622,0.0001954588,14.207,9.118,9.118
2mer-0+48,-0.15518384,2,-0.15518384,-61.09511005,0.0001828357,13.74,9.324,9.324
2mer-0+113,0.1206987,2,0.1206987,-60.97441135,0.0001814965,13.872,9.346,9.346
2mer-0+54,0.045846,2,0.045846,-60.92856536,0.0001798973,12.42,9.374,9.374
2mer-0+38,-0.14605509,2,-0.14605509,-61.07462045,0.0001736654,13.195,9.485,9.485
2mer-0+46,-0.17405362,2,-0.17405362,-61.24867407,0.0001669422,13.89,9.61,9.61
2mer-0+107,-0.23659855,2,-0.23659855,-61.48527262,0.0001614951,13.989,9.717,9.717
2mer-0+84,-0.03754054,2,-0.03754054,-61.52281316,0.0001559373,14.678,9.831,9.831
2mer-0+70,0.07872501,2,0.07872501,-61.44408814,0.0001428376,14.018,10.123,10.123
2mer-0+82,-0.03136342,2,-0.03136342,-61.47545157,0.000135335,14.088,10.307,10.307
2mer-0+77,0.22579756,2,0.22579756,-61.24965401,0.0001312216,15.505,10.414,10.414
2mer-0+49,-0.20733937,2,-0.20733937,-61.45699338,0.0001279462,13.778,10.502,10.502
2mer-0+57,0.02860781,2,0.02860781,-61.42838557,0.00012539,14.193,10.573,10.573
2mer-0+111,-0.13216958,2,-0.13216958,-61.56055515,0.000119921,14.125,10.731,10.731
2mer-0+93,-0.12476497,2,-0.12476497,-61.68532012,0.0001195519,14.501,10.742,10.742
2mer-0+85,-0.07055998,2,-0.07055998,-61.75588009,0.0001177879,15.078,10.795,10.795
2mer-0+81,-0.08885887,2,-0.08885887,-61.84473896,0.0001168018,15.215,10.826,10.826
2mer-0+76,0.01343512,2,0.01343512,-61.83130384,0.000116085,14.678,10.848,10.848
2mer-0+91,-0.17090946,2,-0.17090946,-62.00221329,0.00011297,14.193,10.947,10.947
2mer-0+102,0.09324511,2,0.09324511,-61.90896818,0.000112559,14.963,10.96,10.96
2mer-0+60,-0.13145454,2,-0.13145454,-62.04042272,0.0001124287,15.078,10.964,10.964
2mer-0+106,0.03869565,2,0.03869565,-62.00172707,0.0001111,15.368,11.008,11.008
2mer-0+66,0.0497399,2,0.0497399,-61.95198717,0.0001100819,14.088,11.042,11.042
2mer-0+79,-0.06977032,2,-0.06977032,-62.02175749,0.0001058909,14.9,11.185,11.185
2mer-0+98,-0.05225927,2,-0.05225927,-62.07401676,0.0001007274,16.254,11.373,11.373
2mer-0+68,-0.071311,2,-0.071311,-62.14532776,9.486744e-05,15.505,11.603,11.603
2mer-0+104,-0.13660009,2,-0.13660009,-62.28192785,9.269484e-05,15.169,11.693,11.693
2mer-0+83,-0.08648066,2,-0.08648066,-62.36840851,9.150401e-05,16.04,11.743,11.743
2mer-0+115,0.03903797,2,0.03903797,-62.32937054,9.051065e-05,16.294,11.786,11.786
2mer-0+71,-0.13738709,2,-0.13738709,-62.46675762,8.811695e-05,15.215,11.892,11.892
2mer-0+112,0.08894597,2,0.08894597,-62.37781165,8.753823e-05,15.977,11.918,11.918
2mer-0+67,-0.06232891,2,-0.06232891,-62.44014057,8.719906e-05,15.688,11.933,11.933
2mer-0+72,-0.05842582,2,-0.05842582,-62.49856639,8.147666e-05,15.169,12.206,12.206
2mer-0+103,0.06349993,2,0.06349993,-62.43506646,7.806072e-05,16.164,12.382,12.382
2mer-0+87,0.08791993,2,0.08791993,-62.34714652,7.613994e-05,17.417,12.485,12.485
2mer-0+180,-0.08956504,2,-0.08956504,-62.43671156,7.433386e-05,16.418,12.586,12.586
2mer-0+207,0.0811742,2,0.0811742,-62.35553736,7.263878e-05,17.28,12.683,12.683
2mer-0+116,-0.00773379,2,-0.00773379,-62.36327116,7.193427e-05,17.399,12.724,12.724
2mer-0+194,-0.02563288,2,-0.02563288,-62.38890404,7.185173e-05,17.329,12.729,12.729
2mer-0+92,-0.01403154,2,-0.01403154,-62.40293559,7.158647e-05,17.167,12.745,12.745
2mer-0+134,-0.03312957,2,-0.03312957,-62.43606515,7.110469e-05,16.258,12.773,12.773
2mer-0+118,-0.02500099,2,-0.02500099,-62.46106614,7.090649e-05,16.164,12.785,12.785
2mer-0+130,0.02099914,2,0.02099914,-62.440067,6.868329e-05,17.183,12.922,12.922
2mer-0+149,0.06970162,2,0.06970162,-62.37036538,6.866851e-05,17.141,12.923,12.923
2mer-0+119,0.03244181,2,0.03244181,-62.33792357,6.834036e-05,16.526,12.943,12.943
2mer-0+99,0.10912263,2,0.10912263,-62.22880094,6.544487e-05,18.313,13.131,13.131
2mer-0+110,0.00573026,2,0.00573026,-62.22307068,6.466983e-05,16.227,13.184,13.184
2mer-0+157,-0.05067143,2,-0.05067143,-62.27374211,6.460062e-05,17.399,13.188,13.188
2mer-0+94,0.01107704,2,0.01107704,-62.26266507,6.383851e-05,16.016,13.241,13.241
2mer-0+142,0.04362978,2,0.04362978,-62.21903529,6.312445e-05,17.141,13.29,13.29
2mer-0+101,0.01024647,2,0.01024647,-62.20878882,6.19391e-05,17.712,13.375,13.375
2mer-0+129,0.08124237,2,0.08124237,-62.12754645,6.076318e-05,18.491,13.46,13.46
2mer-0+219,-0.01003273,2,-0.01003273,-62.13757918,6.043879e-05,18.131,13.484,13.484
2mer-0+143,-0.06588729,2,-0.06588729,-62.20346647,5.665257e-05,18.505,13.778,13.778
2mer-0+255,0.0909336,2,0.0909336,-62.11253286,5.535373e-05,18.891,13.885,13.885
2mer-0+178,-0.01139416,2,-0.01139416,-62.12392703,5.529443e-05,18.197,13.89,13.89
2mer-0+159,0.01060639,2,0.01060639,-62.11332064,5.52268e-05,17.7,13.896,13.896
2mer-0+208,0.04733366,2,0.04733366,-62.06598697,5.496258e-05,18.446,13.918,13.918
2mer-0+124,-0.03362072,2,-0.03362072,-62.0996077,5.448667e-05,18.287,13.958,13.958
2mer-0+121,-0.02255789,2,-0.02255789,-62.12216558,4.950088e-05,18.491,14.412,14.412
2mer-0+179,-0.04118667,2,-0.04118667,-62.16335225,4.845289e-05,18.633,14.515,14.515
2mer-0+168,0.0001291,2,0.0001291,-62.16322315,4.839335e-05,18.871,14.521,14.521
2mer-0+172,0.02332422,2,0.02332422,-62.13989893,4.812293e-05,18.51,14.548,14.548
2mer-0+147,0.0061171,2,0.0061171,-62.13378183,4.762804e-05,18.197,14.599,14.599
2mer-0+264,-0.01510092,2,-0.01510092,-62.14888275,4.678379e-05,18.835,14.686,14.686
2mer-0+184,-0.04523869,2,-0.04523869,-62.19412144,4.646529e-05,18.521,14.719,14.719
2mer-0+221,-0.06373713,2,-0.06373713,-62.25785857,4.577507e-05,18.707,14.793,14.793
2mer-0+269,-0.01323642,2,-0.01323642,-62.27109498,4.474886e-05,19.383,14.905,14.905
2mer-0+174,0.01156451,2,0.01156451,-62.25953047,4.451637e-05,19.297,14.931,14.931
2mer-0+136,-0.01323237,2,-0.01323237,-62.27276284,4.447992e-05,18.121,14.935,14.935
2mer-0+140,-0.02770541,2,-0.02770541,-62.30046825,4.440808e-05,18.521,14.943,14.943
2mer-0+141,-0.04747619,2,-0.04747619,-62.34794444,4.146865e-05,18.871,15.288,15.288
2mer-0+170,0.01092004,2,0.01092004,-62.3370244,4.098213e-05,18.729,15.349,15.349
2mer-0+151,-0.03364453,2,-0.03364453,-62.37066894,4.085194e-05,19.283,15.365,15.365
2mer-0+188,-0.00129123,2,-0.00129123,-62.37196017,4.063368e-05,19.95,15.392,15.392
2mer-0+253,-0.01584245,2,-0.01584245,-62.38780262,4.006764e-05,19.427,15.465,15.465
2mer-0+230,-0.02659805,2,-0.02659805,-62.41440067,4.002667e-05,18.809,15.47,15.47
2mer-0+181,-0.00375608,2,-0.00375608,-62.41815675,3.982461e-05,18.63,15.496,15.496
2mer-0+150,-0.0323209,2,-0.0323209,-62.45047765,3.971755e-05,18.55,15.51,15.51
2mer-0+218,0.01883108,2,0.01883108,-62.43164657,3.944616e-05,19.446,15.545,15.545
2mer-0+212,-0.03156145,2,-0.03156145,-62.46320801,3.904468e-05,19.093,15.598,15.598
2mer-0+152,-0.0380998,2,-0.0380998,-62.50130782,3.891094e-05,18.633,15.616,15.616
2mer-0+173,0.04090445,2,0.04090445,-62.46040337,3.877631e-05,20.549,15.634,15.634
2mer-0+169,-0.02900744,2,-0.02900744,-62.48941081,3.854699e-05,19.961,15.665,15.665
2mer-0+155,-0.01648772,2,-0.01648772,-62.50589853,3.786073e-05,19.769,15.759,15.759
2mer-0+175,-0.00641639,2,-0.00641639,-62.51231492,3.778719e-05,19.398,15.77,15.77
2mer-0+158,0.01132252,2,0.01132252,-62.5009924,3.758718e-05,20.31,15.797,15.797
2mer-0+265,-0.02008852,2,-0.02008852,-62.52108091,3.749647e-05,20.146,15.81,15.81
2mer-0+232,-0.00148634,2,-0.00148634,-62.52256725,3.616175e-05,20.894,16.002,16.002
2mer-0+245,0.01434535,2,0.01434535,-62.5082219,3.545201e-05,20.688,16.108,16.108
2mer-0+191,-0.00929393,2,-0.00929393,-62.51751583,3.51472e-05,20.61,16.155,16.155
2mer-0+229,0.02791897,2,0.02791897,-62.48959685,3.499364e-05,20.236,16.178,16.178
2mer-0+186,0.00587412,2,0.00587412,-62.48372273,3.454008e-05,19.856,16.249,16.249
2mer-0+215,-0.01897031,2,-0.01897031,-62.50269304,3.443805e-05,20.905,16.265,16.265
2mer-0+270,0.02512505,2,0.02512505,-62.47756799,3.418248e-05,20.43,16.305,16.305
2mer-0+227,-0.00777284,2,-0.00777284,-62.48534083,3.414277e-05,19.781,16.312,16.312
2mer-0+193,-0.03360486,2,-0.03360486,-62.5189457,3.397133e-05,20.484,16.339,16.339
2mer-0+306,0.00260301,2,0.00260301,-62.51634269,3.353307e-05,21.151,16.41,16.41
2mer-0+214,0.04230267,2,0.04230267,-62.47404002,3.345103e-05,21.466,16.423,16.423
2mer-0+348,0.0045375,2,0.0045375,-62.46950252,3.341442e-05,20.833,16.429,16.429
2mer-0+226,0.00785612,2,0.00785612,-62.4616464,3.335457e-05,20.236,16.439,16.439
