N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+5,-5.64049861,2,-5.64049861,-5.64049861,0.01281788,5.652,2.261,2.261
2mer-0+4,-2.70898943,2,-2.70898943,-8.34948804,0.0114914,6.65,2.345,2.345
2mer-0+1,-28.95143939,2,-28.95143939,-37.30092743,0.01025822,5.013,2.435,2.435
2mer-0+13,-23.33246003,2,-23.33246003,-60.63338746,0.009000085,5.74,2.544,2.544
2mer-0+2,-15.24323953,2,-15.24323953,-75.87662699,0.008967413,6.87,2.547,2.547
2mer-0+7,-1.26725657,2,-1.26725657,-77.14388356,0.007354513,6.459,2.721,2.721
2mer-0+8,-0.15584254,2,-0.15584254,-77.2997261,0.004076411,6.21,3.313,3.313
2mer-0+6,0.8765558,2,0.8765558,-76.4231703,0.00226209,8.708,4.031,4.031
2mer-0+23,-0.55440044,2,-0.55440044,-76.97757074,0.00130477,9.099,4.843,4.843
2mer-0+27,-1.73987471,2,-1.73987471,-78.71744546,0.0008960638,9.261,5.489,5.489
2mer-0+14,0.32187366,2,0.32187366,-78.39557179,0.0008510465,9.099,5.584,5.584
2mer-0+10,-0.70960104,2,-0.70960104,-79.10517283,0.0007557743,9.261,5.809,5.809
2mer-0+11,-1.35209236,2,-1.35209236,-80.45726518,0.0007477758,9.848,5.83,5.83
2mer-0+34,0.13556013,2,0.13556013,-80.32170506,0.0007204193,10.344,5.903,5.903
2mer-0+58,0.56392821,2,0.56392821,-79.75777684,0.0005879759,10.889,6.317,6.317
2mer-0+16,-0.20845888,2,-0.20845888,-79.96623572,0.0005830957,10.617,6.334,6.334
2mer-0+26,-0.19726686,2,-0.19726686,-80.16350259,0.0005533146,10.696,6.446,6.446
2mer-0+32,0.25007564,2,0.25007564,-79.91342694,0.0004672038,10.926,6.82,6.82
2mer-0+61,-0.54173236,2,-0.54173236,-80.45515931,0.0004496706,11.063,6.907,6.907
2mer-0+55,-0.3710874,2,-0.3710874,-80.8262467,0.0004282162,11.539,7.021,7.021
2mer-0+42,-0.49543545,2,-0.49543545,-81.32168215,0.0004258938,10.492,7.033,7.033
2mer-0+31,0.26567998,2,0.26567998,-81.05600218,0.0004193392,10.902,7.07,7.07
2mer-0+22,-0.10415023,2,-0.10415023,-81.16015241,0.000373775,10.112,7.346,7.346
2mer-0+33,-0.39744564,2,-0.39744564,-81.55759805,0.0003677421,12.037,7.386,7.386
2mer-0+29,0.06693311,2,0.06693311,-81.49066494,0.0003665355,10.444,7.394,7.394
2mer-0+19,-0.76924249,2,-0.76924249,-82.25990743,0.0003655276,10.696,7.401,7.401
2mer-0+56,0.26791324,2,0.26791324,-81.99199419,0.0002906819,12.114,7.988,7.988
2mer-0+28,0.38217897,2,0.38217897,-81.60981523,0.0002809681,12.999,8.079,8.079
2mer-0+43,0.21806993,2,0.21806993,-81.39174529,0.0002766333,12.065,8.121,8.121
2mer-0+51,-0.04347099,2,-0.04347099,-81.43521628,0.0002423795,12.065,8.487,8.487
2mer-0+50,-0.0395429,2,-0.0395429,-81.47475919,0.0002171679,13.3,8.804,8.804
2mer-0+45,0.33411369,2,0.33411369,-81.14064549,0.0001954588,14.207,9.118,9.118
2mer-0+48,-0.15258871,2,-0.15258871,-81.29323421,0.0001828357,13.74,9.324,9.324
2mer-0+113,0.11064552,2,0.11064552,-81.18258869,0.0001814965,13.872,9.346,9.346
2mer-0+54,0.03755946,2,0.03755946,-81.14502923,0.0001798973,12.42,9.374,9.374
2mer-0+38,-0.14654981,2,-0.14654981,-81.29157904,0.0001736654,13.195,9.485,9.485
2mer-0+46,-0.17085352,2,-0.17085352,-81.46243256,0.0001669422,13.89,9.61,9.61
2mer-0+107,-0.23205226,2,-0.23205226,-81.69448482,0.0001614951,13.989,9.717,9.717
2mer-0+84,-0.03872614,2,-0.03872614,-81.73321095,0.0001559373,14.678,9.831,9.831
2mer-0+70,0.07277996,2,0.07277996,-81.660431,0.0001428376,14.018,10.123,10.123
2mer-0+82,-0.03388554,2,-0.03388554,-81.69431653,0.000135335,14.088,10.307,10.307
2mer-0+77,0.21373439,2,0.21373439,-81.48058214,0.0001312216,15.505,10.414,10.414
2mer-0+49,-0.20436844,2,-0.20436844,-81.68495059,0.0001279462,13.778,10.502,10.502
2mer-0+57,0.02473334,2,0.02473334,-81.66021724,0.00012539,14.193,10.573,10.573
2mer-0+111,-0.13158052,2,-0.13158052,-81.79179776,0.000119921,14.125,10.731,10.731
2mer-0+93,-0.12318475,2,-0.12318475,-81.91498251,0.0001195519,14.501,10.742,10.742
2mer-0+85,-0.06978375,2,-0.06978375,-81.98476626,0.0001177879,15.078,10.795,10.795
