N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+5,-2.56361272,2,-2.56361272,-2.56361272,0.01281788,5.652,2.261,2.261
2mer-0+4,-1.46143444,2,-1.46143444,-4.02504716,0.0114914,6.65,2.345,2.345
2mer-0+1,-21.44993886,2,-21.44993886,-25.47498602,0.01025822,5.013,2.435,2.435
2mer-0+13,-18.8616408,2,-18.8616408,-44.33662681,0.009000085,5.74,2.544,2.544
2mer-0+2,-12.74450479,2,-12.74450479,-57.0811316,0.008967413,6.87,2.547,2.547
2mer-0+7,-0.11507485,2,-0.11507485,-57.19620644,0.007354513,6.459,2.721,2.721
2mer-0+8,0.28121782,2,0.28121782,-56.91498862,0.004076411,6.21,3.313,3.313
2mer-0+6,1.14142063,2,1.14142063,-55.77356799,0.00226209,8.708,4.031,4.031
2mer-0+23,-0.48734026,2,-0.48734026,-56.26090825,0.00130477,9.099,4.843,4.843
2mer-0+27,-1.67610565,2,-1.67610565,-57.93701391,0.0008960638,9.261,5.489,5.489
2mer-0+14,0.35566591,2,0.35566591,-57.581348,0.0008510465,9.099,5.584,5.584
2mer-0+10,-0.65501438,2,-0.65501438,-58.23636238,0.0007557743,9.261,5.809,5.809
2mer-0+11,-1.30208448,2,-1.30208448,-59.53844686,0.0007477758,9.848,5.83,5.83
2mer-0+34,0.15342364,2,0.15342364,-59.38502321,0.0007204193,10.344,5.903,5.903
2mer-0+58,0.58881501,2,0.58881501,-58.7962082,0.0005879759,10.889,6.317,6.317
2mer-0+16,-0.17962552,2,-0.17962552,-58.97583372,0.0005830957,10.617,6.334,6.334
2mer-0+26,-0.17444178,2,-0.17444178,-59.1502755,0.0005533146,10.696,6.446,6.446
2mer-0+32,0.26156877,2,0.26156877,-58.88870673,0.0004672038,10.926,6.82,6.82
2mer-0+61,-0.52045697,2,-0.52045697,-59.4091637,0.0004496706,11.063,6.907,6.907
2mer-0+55,-0.35669773,2,-0.35669773,-59.76586143,0.0004282162,11.539,7.021,7.021
2mer-0+42,-0.47390175,2,-0.47390175,-60.23976318,0.0004258938,10.492,7.033,7.033
2mer-0+31,0.27588739,2,0.27588739,-59.96387579,0.0004193392,10.902,7.07,7.07
2mer-0+22,-0.08196975,2,-0.08196975,-60.04584554,0.000373775,10.112,7.346,7.346
2mer-0+33,-0.38402987,2,-0.38402987,-60.42987541,0.0003677421,12.037,7.386,7.386
2mer-0+29,0.08438057,2,0.08438057,-60.34549485,0.0003665355,10.444,7.394,7.394
2mer-0+19,-0.74902911,2,-0.74902911,-61.09452395,0.0003655276,10.696,7.401,7.401
2mer-0+56,0.27093912,2,0.27093912,-60.82358483,0.0002906819,12.114,7.988,7.988
