N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+5,-8.8561747,2,-8.8561747,-8.8561747,0.01281788,5.652,2.261,2.261
2mer-0+4,-4.6445318,2,-4.6445318,-13.5007065,0.0114914,6.65,2.345,2.345
2mer-0+1,-31.50178399,2,-31.50178399,-45.00249049,0.01025822,5.013,2.435,2.435
2mer-0+13,-24.56332392,2,-24.56332392,-69.56581441,0.009000085,5.74,2.544,2.544
2mer-0+2,-18.18898313,2,-18.18898313,-87.75479754,0.008967413,6.87,2.547,2.547
2mer-0+7,-3.12253269,2,-3.12253269,-90.87733022,0.007354513,6.459,2.721,2.721
2mer-0+8,-0.89592789,2,-0.89592789,-91.77325811,0.004076411,6.21,3.313,3.313
2mer-0+6,1.05194805,2,1.05194805,-90.72131006,0.00226209,8.708,4.031,4.031
2mer-0+23,-0.59234358,2,-0.59234358,-91.31365365,0.00130477,9.099,4.843,4.843
2mer-0+27,-1.70545015,2,-1.70545015,-93.01910379,0.0008960638,9.261,5.489,5.489
2mer-0+14,0.30377513,2,0.30377513,-92.71532866,0.0008510465,9.099,5.584,5.584
2mer-0+10,-0.74743,2,-0.74743,-93.46275866,0.0007557743,9.261,5.809,5.809
2mer-0+11,-1.36023521,2,-1.36023521,-94.82299387,0.0007477758,9.848,5.83,5.83
2mer-0+34,0.12165051,2,0.12165051,-94.70134336,0.0007204193,10.344,5.903,5.903
2mer-0+58,0.6013285,2,0.6013285,-94.10001486,0.0005879759,10.889,6.317,6.317
2mer-0+16,-0.16902901,2,-0.16902901,-94.26904387,0.0005830957,10.617,6.334,6.334
2mer-0+26,-0.1668954,2,-0.1668954,-94.43593927,0.0005533146,10.696,6.446,6.446
2mer-0+32,0.25309704,2,0.25309704,-94.18284223,0.0004672038,10.926,6.82,6.82
2mer-0+61,-0.55708063,2,-0.55708063,-94.73992286,0.0004496706,11.063,6.907,6.907
2mer-0+55,-0.37056758,2,-0.37056758,-95.11049044,0.0004282162,11.539,7.021,7.021
2mer-0+42,-0.48672579,2,-0.48672579,-95.59721623,0.0004258938,10.492,7.033,7.033
2mer-0+31,0.25732784,2,0.25732784,-95.33988839,0.0004193392,10.902,7.07,7.07
2mer-0+22,-0.11907305,2,-0.11907305,-95.45896144,0.000373775,10.112,7.346,7.346
2mer-0+33,-0.40356939,2,-0.40356939,-95.86253082,0.0003677421,12.037,7.386,7.386
2mer-0+29,0.0576317,2,0.0576317,-95.80489912,0.0003665355,10.444,7.394,7.394
2mer-0+19,-0.75633529,2,-0.75633529,-96.56123441,0.0003655276,10.696,7.401,7.401
2mer-0+56,0.27042964,2,0.27042964,-96.29080477,0.0002906819,12.114,7.988,7.988
2mer-0+28,0.39400045,2,0.39400045,-95.89680432,0.0002809681,12.999,8.079,8.079
2mer-0+43,0.21764599,2,0.21764599,-95.67915833,0.0002766333,12.065,8.121,8.121
2mer-0+51,-0.04926458,2,-0.04926458,-95.72842291,0.0002423795,12.065,8.487,8.487
2mer-0+50,-0.03810484,2,-0.03810484,-95.76652775,0.0002171679,13.3,8.804,8.804
2mer-0+45,0.34097025,2,0.34097025,-95.4255575,0.0001954588,14.207,9.118,9.118
2mer-0+48,-0.15505237,2,-0.15505237,-95.58060987,0.0001828357,13.74,9.324,9.324
2mer-0+113,0.1122988,2,0.1122988,-95.46831107,0.0001814965,13.872,9.346,9.346
2mer-0+54,0.03550545,2,0.03550545,-95.43280562,0.0001798973,12.42,9.374,9.374
2mer-0+38,-0.14671827,2,-0.14671827,-95.57952389,0.0001736654,13.195,9.485,9.485
2mer-0+46,-0.17506353,2,-0.17506353,-95.75458742,0.0001669422,13.89,9.61,9.61
2mer-0+107,-0.22721014,2,-0.22721014,-95.98179756,0.0001614951,13.989,9.717,9.717
2mer-0+84,-0.03829322,2,-0.03829322,-96.02009078,0.0001559373,14.678,9.831,9.831
2mer-0+70,0.07195079,2,0.07195079,-95.94813999,0.0001428376,14.018,10.123,10.123
2mer-0+82,-0.03326126,2,-0.03326126,-95.98140125,0.000135335,14.088,10.307,10.307
2mer-0+77,0.21864228,2,0.21864228,-95.76275896,0.0001312216,15.505,10.414,10.414
2mer-0+49,-0.20147964,2,-0.20147964,-95.96423861,0.0001279462,13.778,10.502,10.502
2mer-0+57,0.02263189,2,0.02263189,-95.94160671,0.00012539,14.193,10.573,10.573
2mer-0+111,-0.12944409,2,-0.12944409,-96.0710508,0.000119921,14.125,10.731,10.731
2mer-0+93,-0.12453533,2,-0.12453533,-96.19558614,0.0001195519,14.501,10.742,10.742
2mer-0+85,-0.06821728,2,-0.06821728,-96.26380341,0.0001177879,15.078,10.795,10.795
2mer-0+81,-0.0920207,2,-0.0920207,-96.35582411,0.0001168018,15.215,10.826,10.826
2mer-0+76,0.01077152,2,0.01077152,-96.34505258,0.000116085,14.678,10.848,10.848
2mer-0+91,-0.16652363,2,-0.16652363,-96.51157621,0.00011297,14.193,10.947,10.947
2mer-0+102,0.08866185,2,0.08866185,-96.42291436,0.000112559,14.963,10.96,10.96
2mer-0+60,-0.13036661,2,-0.13036661,-96.55328097,0.0001124287,15.078,10.964,10.964
2mer-0+106,0.03543157,2,0.03543157,-96.5178494,0.0001111,15.368,11.008,11.008
2mer-0+66,0.04373264,2,0.04373264,-96.47411676,0.0001100819,14.088,11.042,11.042
2mer-0+79,-0.0725914,2,-0.0725914,-96.54670816,0.0001058909,14.9,11.185,11.185
2mer-0+98,-0.0531796,2,-0.0531796,-96.59988777,0.0001007274,16.254,11.373,11.373
2mer-0+68,-0.06694112,2,-0.06694112,-96.66682889,9.486744e-05,15.505,11.603,11.603
2mer-0+104,-0.13132185,2,-0.13132185,-96.79815074,9.269484e-05,15.169,11.693,11.693
2mer-0+83,-0.08572639,2,-0.08572639,-96.88387713,9.150401e-05,16.04,11.743,11.743
2mer-0+115,0.0361202,2,0.0361202,-96.84775693,9.051065e-05,16.294,11.786,11.786
2mer-0+71,-0.13337236,2,-0.13337236,-96.98112928,8.811695e-05,15.215,11.892,11.892
2mer-0+112,0.08539519,2,0.08539519,-96.8957341,8.753823e-05,15.977,11.918,11.918
2mer-0+67,-0.05809555,2,-0.05809555,-96.95382965,8.719906e-05,15.688,11.933,11.933
2mer-0+72,-0.05902005,2,-0.05902005,-97.01284969,8.147666e-05,15.169,12.206,12.206
2mer-0+103,0.06012238,2,0.06012238,-96.95272731,7.806072e-05,16.164,12.382,12.382
2mer-0+87,0.08408133,2,0.08408133,-96.86864598,7.613994e-05,17.417,12.485,12.485
2mer-0+180,-0.08544902,2,-0.08544902,-96.954095,7.433386e-05,16.418,12.586,12.586
2mer-0+207,0.07745074,2,0.07745074,-96.87664426,7.263878e-05,17.28,12.683,12.683
2mer-0+116,-0.00913573,2,-0.00913573,-96.88577999,7.193427e-05,17.399,12.724,12.724
2mer-0+194,-0.02692218,2,-0.02692218,-96.91270217,7.185173e-05,17.329,12.729,12.729
2mer-0+92,-0.01368611,2,-0.01368611,-96.92638828,7.158647e-05,17.167,12.745,12.745
2mer-0+134,-0.03243604,2,-0.03243604,-96.95882433,7.110469e-05,16.258,12.773,12.773
2mer-0+118,-0.02625998,2,-0.02625998,-96.9850843,7.090649e-05,16.164,12.785,12.785
2mer-0+130,0.02036579,2,0.02036579,-96.96471852,6.868329e-05,17.183,12.922,12.922
2mer-0+149,0.06744226,2,0.06744226,-96.89727626,6.866851e-05,17.141,12.923,12.923
2mer-0+119,0.02988897,2,0.02988897,-96.86738729,6.834036e-05,16.526,12.943,12.943
2mer-0+99,0.10574666,2,0.10574666,-96.76164063,6.544487e-05,18.313,13.131,13.131
2mer-0+110,0.00378952,2,0.00378952,-96.75785111,6.466983e-05,16.227,13.184,13.184
2mer-0+157,-0.05055445,2,-0.05055445,-96.80840556,6.460062e-05,17.399,13.188,13.188
2mer-0+94,0.00850732,2,0.00850732,-96.79989824,6.383851e-05,16.016,13.241,13.241
2mer-0+142,0.04120181,2,0.04120181,-96.75869644,6.312445e-05,17.141,13.29,13.29
2mer-0+101,0.00770191,2,0.00770191,-96.75099453,6.19391e-05,17.712,13.375,13.375
2mer-0+129,0.07681811,2,0.07681811,-96.67417642,6.076318e-05,18.491,13.46,13.46
2mer-0+219,-0.01067886,2,-0.01067886,-96.68485529,6.043879e-05,18.131,13.484,13.484
