N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+5,-3.90574542,2,-3.90574542,-3.90574542,0.01281788,5.652,2.261,2.261
2mer-0+4,-1.7258119,2,-1.7258119,-5.63155732,0.0114914,6.65,2.345,2.345
2mer-0+1,-37.31502183,2,-37.31502183,-42.94657915,0.01025822,5.013,2.435,2.435
2mer-0+13,-29.61694063,2,-29.61694063,-72.56351978,0.009000085,5.74,2.544,2.544
2mer-0+2,-19.32975668,2,-19.32975668,-91.89327646,0.008967413,6.87,2.547,2.547
2mer-0+7,0.72993294,2,0.72993294,-91.16334352,0.007354513,6.459,2.721,2.721
2mer-0+8,1.20330457,2,1.20330457,-89.96003895,0.004076411,6.21,3.313,3.313
2mer-0+6,2.30293515,2,2.30293515,-87.6571038,0.00226209,8.708,4.031,4.031
2mer-0+23,-0.56140524,2,-0.56140524,-88.21850904,0.00130477,9.099,4.843,4.843
2mer-0+27,-2.28993616,2,-2.28993616,-90.5084452,0.0008960638,9.261,5.489,5.489
2mer-0+14,0.57404663,2,0.57404663,-89.93439857,0.0008510465,9.099,5.584,5.584
2mer-0+10,-0.88105005,2,-0.88105005,-90.81544862,0.0007557743,9.261,5.809,5.809
2mer-0+11,-1.82292229,2,-1.82292229,-92.63837091,0.0007477758,9.848,5.83,5.83
2mer-0+34,0.31243248,2,0.31243248,-92.32593843,0.0007204193,10.344,5.903,5.903
2mer-0+58,0.91507422,2,0.91507422,-91.41086421,0.0005879759,10.889,6.317,6.317
2mer-0+16,-0.20331804,2,-0.20331804,-91.61418225,0.0005830957,10.617,6.334,6.334
2mer-0+26,-0.15482183,2,-0.15482183,-91.76900408,0.0005533146,10.696,6.446,6.446
2mer-0+32,0.43002813,2,0.43002813,-91.33897595,0.0004672038,10.926,6.82,6.82
2mer-0+61,-0.74091474,2,-0.74091474,-92.07989069,0.0004496706,11.063,6.907,6.907
2mer-0+55,-0.47668535,2,-0.47668535,-92.55657604,0.0004282162,11.539,7.021,7.021
2mer-0+42,-0.63958991,2,-0.63958991,-93.19616595,0.0004258938,10.492,7.033,7.033
2mer-0+31,0.41381321,2,0.41381321,-92.78235274,0.0004193392,10.902,7.07,7.07
2mer-0+22,-0.10400072,2,-0.10400072,-92.88635346,0.000373775,10.112,7.346,7.346
2mer-0+33,-0.54427944,2,-0.54427944,-93.4306329,0.0003677421,12.037,7.386,7.386
2mer-0+29,0.13926228,2,0.13926228,-93.29137062,0.0003665355,10.444,7.394,7.394
2mer-0+19,-1.03673974,2,-1.03673974,-94.32811036,0.0003655276,10.696,7.401,7.401
2mer-0+56,0.42965994,2,0.42965994,-93.89845042,0.0002906819,12.114,7.988,7.988
2mer-0+28,0.59983911,2,0.59983911,-93.29861131,0.0002809681,12.999,8.079,8.079
2mer-0+43,0.3560711,2,0.3560711,-92.94254021,0.0002766333,12.065,8.121,8.121
2mer-0+51,-0.03782433,2,-0.03782433,-92.98036454,0.0002423795,12.065,8.487,8.487
2mer-0+50,-0.03877439,2,-0.03877439,-93.01913893,0.0002171679,13.3,8.804,8.804
2mer-0+45,0.50167432,2,0.50167432,-92.51746461,0.0001954588,14.207,9.118,9.118
2mer-0+48,-0.21674961,2,-0.21674961,-92.73421422,0.0001828357,13.74,9.324,9.324
2mer-0+113,0.17780117,2,0.17780117,-92.55641305,0.0001814965,13.872,9.346,9.346
2mer-0+54,0.06421963,2,0.06421963,-92.49219342,0.0001798973,12.42,9.374,9.374
2mer-0+38,-0.19883299,2,-0.19883299,-92.69102641,0.0001736654,13.195,9.485,9.485
2mer-0+46,-0.24093061,2,-0.24093061,-92.93195702,0.0001669422,13.89,9.61,9.61
2mer-0+107,-0.32083429,2,-0.32083429,-93.25279131,0.0001614951,13.989,9.717,9.717
2mer-0+84,-0.0468779,2,-0.0468779,-93.29966921,0.0001559373,14.678,9.831,9.831
2mer-0+70,0.11163621,2,0.11163621,-93.188033,0.0001428376,14.018,10.123,10.123
2mer-0+82,-0.03957222,2,-0.03957222,-93.22760522,0.000135335,14.088,10.307,10.307
2mer-0+77,0.32346447,2,0.32346447,-92.90414075,0.0001312216,15.505,10.414,10.414
2mer-0+49,-0.28020701,2,-0.28020701,-93.18434776,0.0001279462,13.778,10.502,10.502
2mer-0+57,0.03888696,2,0.03888696,-93.1454608,0.00012539,14.193,10.573,10.573
2mer-0+111,-0.17703391,2,-0.17703391,-93.32249471,0.000119921,14.125,10.731,10.731
2mer-0+93,-0.1715423,2,-0.1715423,-93.49403701,0.0001195519,14.501,10.742,10.742
2mer-0+85,-0.09485641,2,-0.09485641,-93.58889342,0.0001177879,15.078,10.795,10.795
2mer-0+81,-0.12577125,2,-0.12577125,-93.71466467,0.0001168018,15.215,10.826,10.826
2mer-0+76,0.02130202,2,0.02130202,-93.69336265,0.000116085,14.678,10.848,10.848
2mer-0+91,-0.2323617,2,-0.2323617,-93.92572435,0.00011297,14.193,10.947,10.947
2mer-0+102,0.13540224,2,0.13540224,-93.79032211,0.000112559,14.963,10.96,10.96
2mer-0+60,-0.18154327,2,-0.18154327,-93.97186538,0.0001124287,15.078,10.964,10.964
2mer-0+106,0.06197169,2,0.06197169,-93.90989369,0.0001111,15.368,11.008,11.008
2mer-0+66,0.06629249,2,0.06629249,-93.8436012,0.0001100819,14.088,11.042,11.042
2mer-0+79,-0.09732719,2,-0.09732719,-93.94092839,0.0001058909,14.9,11.185,11.185
2mer-0+98,-0.06913406,2,-0.06913406,-94.01006245,0.0001007274,16.254,11.373,11.373
2mer-0+68,-0.09265856,2,-0.09265856,-94.10272101,9.486744e-05,15.505,11.603,11.603
2mer-0+104,-0.18226461,2,-0.18226461,-94.28498562,9.269484e-05,15.169,11.693,11.693
2mer-0+83,-0.12021937,2,-0.12021937,-94.40520499,9.150401e-05,16.04,11.743,11.743
2mer-0+115,0.06033444,2,0.06033444,-94.34487055,9.051065e-05,16.294,11.786,11.786
2mer-0+71,-0.18754904,2,-0.18754904,-94.53241959,8.811695e-05,15.215,11.892,11.892
2mer-0+112,0.13094496,2,0.13094496,-94.40147463,8.753823e-05,15.977,11.918,11.918
2mer-0+67,-0.07610759,2,-0.07610759,-94.47758222,8.719906e-05,15.688,11.933,11.933
2mer-0+72,-0.08289934,2,-0.08289934,-94.56048156,8.147666e-05,15.169,12.206,12.206
2mer-0+103,0.0909805,2,0.0909805,-94.46950106,7.806072e-05,16.164,12.382,12.382
2mer-0+87,0.12609288,2,0.12609288,-94.34340818,7.613994e-05,17.417,12.485,12.485
2mer-0+180,-0.11994212,2,-0.11994212,-94.4633503,7.433386e-05,16.418,12.586,12.586
2mer-0+207,0.1139093,2,0.1139093,-94.349441,7.263878e-05,17.28,12.683,12.683
2mer-0+116,-0.00790255,2,-0.00790255,-94.35734355,7.193427e-05,17.399,12.724,12.724
2mer-0+194,-0.0351778,2,-0.0351778,-94.39252135,7.185173e-05,17.329,12.729,12.729
2mer-0+92,-0.02050002,2,-0.02050002,-94.41302137,7.158647e-05,17.167,12.745,12.745
2mer-0+134,-0.04575591,2,-0.04575591,-94.45877728,7.110469e-05,16.258,12.773,12.773
2mer-0+118,-0.03525257,2,-0.03525257,-94.49402985,7.090649e-05,16.164,12.785,12.785
2mer-0+130,0.03226864,2,0.03226864,-94.46176121,6.868329e-05,17.183,12.922,12.922
2mer-0+149,0.10233251,2,0.10233251,-94.3594287,6.866851e-05,17.141,12.923,12.923
2mer-0+119,0.0439446,2,0.0439446,-94.3154841,6.834036e-05,16.526,12.943,12.943
2mer-0+99,0.15605083,2,0.15605083,-94.15943327,6.544487e-05,18.313,13.131,13.131
2mer-0+110,0.00623053,2,0.00623053,-94.15320274,6.466983e-05,16.227,13.184,13.184
2mer-0+157,-0.06927284,2,-0.06927284,-94.22247558,6.460062e-05,17.399,13.188,13.188
2mer-0+94,0.01342412,2,0.01342412,-94.20905146,6.383851e-05,16.016,13.241,13.241
2mer-0+142,0.06312478,2,0.06312478,-94.14592668,6.312445e-05,17.141,13.29,13.29
2mer-0+101,0.0150339,2,0.0150339,-94.13089278,6.19391e-05,17.712,13.375,13.375
2mer-0+129,0.11474687,2,0.11474687,-94.01614591,6.076318e-05,18.491,13.46,13.46
2mer-0+219,-0.01191396,2,-0.01191396,-94.02805987,6.043879e-05,18.131,13.484,13.484
2mer-0+143,-0.09300429,2,-0.09300429,-94.12106416,5.665257e-05,18.505,13.778,13.778
2mer-0+255,0.12814152,2,0.12814152,-93.99292264,5.535373e-05,18.891,13.885,13.885
2mer-0+178,-0.01447426,2,-0.01447426,-94.0073969,5.529443e-05,18.197,13.89,13.89
2mer-0+159,0.01629774,2,0.01629774,-93.99109916,5.52268e-05,17.7,13.896,13.896
2mer-0+208,0.06908139,2,0.06908139,-93.92201777,5.496258e-05,18.446,13.918,13.918
2mer-0+124,-0.04646104,2,-0.04646104,-93.96847881,5.448667e-05,18.287,13.958,13.958
2mer-0+121,-0.02798804,2,-0.02798804,-93.99646685,4.950088e-05,18.491,14.412,14.412
2mer-0+179,-0.05639608,2,-0.05639608,-94.05286293,4.845289e-05,18.633,14.515,14.515
2mer-0+168,0.00427512,2,0.00427512,-94.04858781,4.839335e-05,18.871,14.521,14.521
2mer-0+172,0.03405638,2,0.03405638,-94.01453143,4.812293e-05,18.51,14.548,14.548
2mer-0+147,0.00758097,2,0.00758097,-94.00695046,4.762804e-05,18.197,14.599,14.599
2mer-0+264,-0.02111194,2,-0.02111194,-94.0280624,4.678379e-05,18.835,14.686,14.686
2mer-0+184,-0.06058479,2,-0.06058479,-94.08864719,4.646529e-05,18.521,14.719,14.719
2mer-0+221,-0.0881095,2,-0.0881095,-94.17675669,4.577507e-05,18.707,14.793,14.793
2mer-0+269,-0.01742844,2,-0.01742844,-94.19418513,4.474886e-05,19.383,14.905,14.905
2mer-0+174,0.01673138,2,0.01673138,-94.17745375,4.451637e-05,19.297,14.931,14.931
2mer-0+136,-0.01902423,2,-0.01902423,-94.19647798,4.447992e-05,18.121,14.935,14.935
2mer-0+140,-0.03872306,2,-0.03872306,-94.23520104,4.440808e-05,18.521,14.943,14.943
2mer-0+141,-0.0657975,2,-0.0657975,-94.30099854,4.146865e-05,18.871,15.288,15.288
2mer-0+170,0.01412752,2,0.01412752,-94.28687102,4.098213e-05,18.729,15.349,15.349
2mer-0+151,-0.04608231,2,-0.04608231,-94.33295333,4.085194e-05,19.283,15.365,15.365
2mer-0+188,-0.00087636,2,-0.00087636,-94.33382969,4.063368e-05,19.95,15.392,15.392
2mer-0+253,-0.02104445,2,-0.02104445,-94.35487414,4.006764e-05,19.427,15.465,15.465
2mer-0+230,-0.0359957,2,-0.0359957,-94.39086984,4.002667e-05,18.809,15.47,15.47
2mer-0+181,-0.00628302,2,-0.00628302,-94.39715286,3.982461e-05,18.63,15.496,15.496
2mer-0+150,-0.04509258,2,-0.04509258,-94.44224544,3.971755e-05,18.55,15.51,15.51
2mer-0+218,0.02659254,2,0.02659254,-94.4156529,3.944616e-05,19.446,15.545,15.545
2mer-0+212,-0.04447829,2,-0.04447829,-94.46013119,3.904468e-05,19.093,15.598,15.598
2mer-0+152,-0.05337397,2,-0.05337397,-94.51350516,3.891094e-05,18.633,15.616,15.616
2mer-0+173,0.05748293,2,0.05748293,-94.45602223,3.877631e-05,20.549,15.634,15.634
2mer-0+169,-0.04057608,2,-0.04057608,-94.49659831,3.854699e-05,19.961,15.665,15.665
2mer-0+155,-0.02124995,2,-0.02124995,-94.51784826,3.786073e-05,19.769,15.759,15.759
2mer-0+175,-0.00977633,2,-0.00977633,-94.52762459,3.778719e-05,19.398,15.77,15.77
2mer-0+158,0.01874001,2,0.01874001,-94.50888458,3.758718e-05,20.31,15.797,15.797
2mer-0+265,-0.02726144,2,-0.02726144,-94.53614602,3.749647e-05,20.146,15.81,15.81
2mer-0+232,-0.00130456,2,-0.00130456,-94.53745058,3.616175e-05,20.894,16.002,16.002
2mer-0+245,0.02184525,2,0.02184525,-94.51560533,3.545201e-05,20.688,16.108,16.108
2mer-0+191,-0.01316141,2,-0.01316141,-94.52876674,3.51472e-05,20.61,16.155,16.155
2mer-0+229,0.04052376,2,0.04052376,-94.48824298,3.499364e-05,20.236,16.178,16.178
2mer-0+186,0.00709448,2,0.00709448,-94.4811485,3.454008e-05,19.856,16.249,16.249
2mer-0+215,-0.0268237,2,-0.0268237,-94.5079722,3.443805e-05,20.905,16.265,16.265
2mer-0+270,0.03654635,2,0.03654635,-94.47142585,3.418248e-05,20.43,16.305,16.305
2mer-0+227,-0.01070584,2,-0.01070584,-94.48213169,3.414277e-05,19.781,16.312,16.312
2mer-0+193,-0.04735034,2,-0.04735034,-94.52948203,3.397133e-05,20.484,16.339,16.339
2mer-0+306,0.00532165,2,0.00532165,-94.52416038,3.353307e-05,21.151,16.41,16.41
2mer-0+214,0.05984588,2,0.05984588,-94.4643145,3.345103e-05,21.466,16.423,16.423
2mer-0+348,0.00753574,2,0.00753574,-94.45677876,3.341442e-05,20.833,16.429,16.429
2mer-0+226,0.01076062,2,0.01076062,-94.44601814,3.335457e-05,20.236,16.439,16.439
2mer-0+187,0.06901128,2,0.06901128,-94.37700686,3.331756e-05,21.553,16.445,16.445
2mer-0+203,0.0122069,2,0.0122069,-94.36479996,3.311061e-05,20.456,16.48,16.48
2mer-0+247,0.03335795,2,0.03335795,-94.33144201,3.196611e-05,20.679,16.674,16.674
