N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+1,-2.38715636,12,-14.32293819,-14.32293819,0.004942504,3.977,3.107,3.107
2mer-0+3,-1.00096778,6,-3.00290335,-17.32584154,0.001439304,5.624,4.687,4.687
2mer-0+7,-0.19774105,12,-1.18644632,-18.51228786,0.0009735,6.888,5.339,5.339
2mer-0+19,-0.10709428,6,-0.32128283,-18.83357069,0.000617813,7.954,6.213,6.213
2mer-0+8,-0.10284495,12,-0.61706967,-19.45064036,0.0005587125,6.888,6.425,6.425
2mer-0+42,0.05987951,2,0.05987951,-19.39076085,0.0003609208,9.741,7.432,7.432
2mer-0+27,0.00732428,12,0.04394569,-19.34681516,0.0003323634,8.892,7.639,7.639
2mer-0+25,-0.04698578,12,-0.28191465,-19.62872981,0.0003177448,8.892,7.755,7.755
2mer-0+30,0.03582905,6,0.10748715,-19.52124266,0.0002945252,7.954,7.954,7.954
2mer-0+39,0.0076134,12,0.0456804,-19.47556226,0.0002202785,10.522,8.762,8.762
2mer-0+57,-0.01193643,6,-0.03580928,-19.51137154,0.0001883426,9.741,9.232,9.232
2mer-0+43,-0.02950272,12,-0.17701629,-19.68838783,0.0001748753,10.522,9.463,9.463
2mer-0+48,0.00037796,12,0.00226775,-19.68612008,0.0001735823,10.522,9.486,9.486
2mer-0+64,-0.02057888,6,-0.06173664,-19.74785672,0.0001441389,11.248,10.093,10.093
2mer-0+68,-0.00325212,12,-0.01951273,-19.76736945,0.000138639,10.522,10.224,10.224
2mer-0+77,-0.003137,12,-0.01882199,-19.78619144,0.0001312901,11.93,10.412,10.412
2mer-0+100,-0.00984965,12,-0.05909791,-19.84528935,0.0001148756,12.576,10.886,10.886
2mer-0+89,-0.01159393,12,-0.06956355,-19.9148529,0.0001110907,11.93,11.008,11.008
2mer-0+86,-0.00698289,12,-0.04189736,-19.95675026,0.0001081053,11.93,11.108,11.108
2mer-0+133,0.00489584,6,0.01468751,-19.94206274,9.432858e-05,13.776,11.625,11.625
2mer-0+114,-0.00986718,12,-0.05920306,-20.00126581,8.942387e-05,13.189,11.834,11.834
2mer-0+111,0.00028683,12,0.001721,-19.99954481,8.189973e-05,12.576,12.185,12.185
2mer-0+148,-1.165e-05,12,-6.992e-05,-19.99961473,7.810954e-05,13.189,12.379,12.379
2mer-0+166,0.00412225,12,0.02473348,-19.97488125,7.556497e-05,14.338,12.517,12.517
2mer-0+140,-0.00501345,12,-0.03008067,-20.00496192,6.983907e-05,13.776,12.85,12.85
2mer-0+150,0.00318418,12,0.01910511,-19.98585681,6.692128e-05,14.338,13.034,13.034
2mer-0+168,-0.00569302,12,-0.03415812,-20.02001493,6.588509e-05,14.338,13.102,13.102
