N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+1,-3.32202929,12,-19.93217571,-19.93217571,0.004942504,3.977,3.107,3.107
2mer-0+3,-0.82560095,6,-2.47680285,-22.40897856,0.001439304,5.624,4.687,4.687
2mer-0+7,-0.18330991,12,-1.09985944,-23.508838,0.0009735,6.888,5.339,5.339
2mer-0+19,-0.10569121,6,-0.31707364,-23.82591164,0.000617813,7.954,6.213,6.213
2mer-0+8,-0.07486407,12,-0.4491844,-24.27509604,0.0005587125,6.888,6.425,6.425
2mer-0+42,0.04829563,2,0.04829563,-24.22680041,0.0003609208,9.741,7.432,7.432
2mer-0+27,0.00715373,12,0.04292236,-24.18387806,0.0003323634,8.892,7.639,7.639
2mer-0+25,-0.04263369,12,-0.25580216,-24.43968022,0.0003177448,8.892,7.755,7.755
2mer-0+30,0.04273205,6,0.12819614,-24.31148408,0.0002945252,7.954,7.954,7.954
2mer-0+39,0.00572881,12,0.03437287,-24.27711121,0.0002202785,10.522,8.762,8.762
2mer-0+57,-0.00914267,6,-0.027428,-24.3045392,0.0001883426,9.741,9.232,9.232
2mer-0+43,-0.02771638,12,-0.16629831,-24.47083751,0.0001748753,10.522,9.463,9.463
2mer-0+48,0.00115866,12,0.00695198,-24.46388553,0.0001735823,10.522,9.486,9.486
2mer-0+64,-0.01903331,6,-0.05709992,-24.52098545,0.0001441389,11.248,10.093,10.093
2mer-0+68,-0.00121178,12,-0.00727069,-24.52825614,0.000138639,10.522,10.224,10.224
2mer-0+77,-0.00308376,12,-0.01850257,-24.54675871,0.0001312901,11.93,10.412,10.412
2mer-0+100,-0.00952429,12,-0.05714575,-24.60390447,0.0001148756,12.576,10.886,10.886
2mer-0+89,-0.01066239,12,-0.06397437,-24.66787884,0.0001110907,11.93,11.008,11.008
2mer-0+86,-0.00596581,12,-0.03579487,-24.70367371,0.0001081053,11.93,11.108,11.108
2mer-0+133,0.00409276,6,0.01227828,-24.69139542,9.432858e-05,13.776,11.625,11.625
2mer-0+114,-0.00936472,12,-0.05618831,-24.74758374,8.942387e-05,13.189,11.834,11.834
2mer-0+111,0.00081937,12,0.0049162,-24.74266754,8.189973e-05,12.576,12.185,12.185
2mer-0+148,0.00035257,12,0.00211542,-24.74055211,7.810954e-05,13.189,12.379,12.379
2mer-0+166,0.00369672,12,0.02218033,-24.71837178,7.556497e-05,14.338,12.517,12.517
2mer-0+140,-0.00452575,12,-0.02715451,-24.74552629,6.983907e-05,13.776,12.85,12.85
2mer-0+150,0.00306419,12,0.01838512,-24.72714117,6.692128e-05,14.338,13.034,13.034
2mer-0+144,-0.00234134,12,-0.01404805,-24.74118922,6.588509e-05,14.338,13.102,13.102
2mer-0+168,-0.00534147,12,-0.03204879,-24.77323801,6.588509e-05,14.338,13.102,13.102
2mer-0+179,-0.00254406,12,-0.01526439,-24.78850239,5.916144e-05,14.338,13.581,13.581
2mer-0+185,0.00096558,12,0.0057935,-24.7827089,5.734911e-05,15.402,13.722,13.722
2mer-0+175,0.00365012,6,0.01095035,-24.77175854,5.66814e-05,13.776,13.776,13.776
2mer-0+234,-0.00199464,6,-0.00598391,-24.77774245,5.302806e-05,15.907,14.085,14.085
2mer-0+201,0.00036472,12,0.00218832,-24.77555413,5.261708e-05,14.338,14.122,14.122
2mer-0+213,0.00162792,12,0.00976754,-24.76578659,5.180108e-05,15.402,14.196,14.196
2mer-0+192,-0.00107606,12,-0.00645635,-24.77224294,5.180108e-05,15.402,14.196,14.196
2mer-0+286,0.00239088,6,0.00717265,-24.76507029,4.699451e-05,16.872,14.664,14.664
2mer-0+229,-0.00083955,12,-0.0050373,-24.7701076,4.59481e-05,15.402,14.774,14.774
2mer-0+259,-0.00181325,12,-0.01087948,-24.78098708,4.543363e-05,16.397,14.83,14.83
2mer-0+257,-0.00069323,12,-0.00415937,-24.78514645,4.162583e-05,16.397,15.269,15.269
2mer-0+245,-0.00210723,12,-0.01264335,-24.7977898,4.115453e-05,16.397,15.327,15.327
2mer-0+268,-0.00229817,12,-0.01378904,-24.81157884,3.863746e-05,16.872,15.653,15.653
2mer-0+296,0.00021114,12,0.00126687,-24.81031197,3.791089e-05,16.397,15.752,15.752
2mer-0+277,-0.00143206,12,-0.00859238,-24.81890435,3.714012e-05,17.334,15.861,15.861
2mer-0+298,-0.00031376,12,-0.00188254,-24.82078688,3.714012e-05,17.334,15.861,15.861
2mer-0+273,0.00184914,6,0.00554743,-24.81523945,3.681565e-05,15.907,15.907,15.907
2mer-0+325,-0.00178076,12,-0.01068456,-24.82592401,3.501158e-05,17.785,16.176,16.176
2mer-0+307,-0.00206075,12,-0.01236451,-24.83828853,3.448117e-05,17.334,16.258,16.258
2mer-0+338,0.00060215,12,0.00361288,-24.83467565,3.439444e-05,17.334,16.272,16.272
2mer-0+302,-0.00083391,12,-0.00500345,-24.8396791,3.405115e-05,17.334,16.326,16.326
2mer-0+359,0.00146819,12,0.00880914,-24.83086995,3.37384e-05,18.224,16.377,16.377
2mer-0+350,0.00076277,12,0.0045766,-24.82629336,3.249376e-05,16.872,16.583,16.583
2mer-0+389,-0.0002232,6,-0.00066959,-24.82696295,3.191935e-05,18.653,16.682,16.682
2mer-0+343,-0.00052881,12,-0.00317287,-24.83013582,3.174266e-05,17.334,16.713,16.713
2mer-0+357,-0.00046816,12,-0.00280898,-24.83294481,2.975331e-05,17.785,17.077,17.077
2mer-0+506,0.00199792,2,0.00199792,-24.83094689,2.925692e-05,19.482,17.173,17.173
2mer-0+378,-0.00141555,12,-0.00849329,-24.83944018,2.910407e-05,18.224,17.203,17.203
2mer-0+385,-0.00031363,12,-0.00188179,-24.84132198,2.903868e-05,18.224,17.216,17.216
2mer-0+427,0.00073754,12,0.00442526,-24.83689672,2.854305e-05,19.072,17.315,17.315
2mer-0+410,-0.00117236,12,-0.00703413,-24.84393085,2.737751e-05,18.653,17.558,17.558
2mer-0+428,-0.00087797,12,-0.0052678,-24.84919865,2.65286e-05,19.072,17.743,17.743
2mer-0+436,0.0001946,12,0.00116758,-24.84803107,2.518184e-05,18.224,18.054,18.054
2mer-0+446,-0.00071015,12,-0.00426088,-24.85229195,2.474043e-05,19.072,18.161,18.161
2mer-0+486,-0.00019893,12,-0.0011936,-24.85348555,2.455651e-05,19.884,18.206,18.206
2mer-0+453,0.00054288,6,0.00162865,-24.8518569,2.381915e-05,18.653,18.392,18.392
2mer-0+518,-0.00064004,12,-0.00384024,-24.85569715,2.347588e-05,20.278,18.481,18.481
2mer-0+488,0.00074783,12,0.00448695,-24.8512102,2.315778e-05,19.884,18.565,18.565
2mer-0+458,-0.00011571,12,-0.00069426,-24.85190446,2.31445e-05,19.072,18.569,18.569
2mer-0+507,-0.00121438,12,-0.00728626,-24.85919071,2.297988e-05,19.884,18.613,18.613
2mer-0+482,-0.0003564,12,-0.00213838,-24.8613291,2.297988e-05,19.884,18.613,18.613
2mer-0+548,-0.00014921,6,-0.00044763,-24.86177673,2.216403e-05,19.482,18.839,18.839
2mer-0+593,0.00040137,12,0.0024082,-24.85936854,2.185941e-05,21.043,18.926,18.926
2mer-0+511,-0.00073267,12,-0.00439601,-24.86376455,2.17653e-05,19.884,18.953,18.953
2mer-0+538,0.00021047,12,0.00126283,-24.86250172,2.1725e-05,19.884,18.965,18.965
2mer-0+585,-0.00025608,12,-0.00153648,-24.8640382,2.141866e-05,20.664,19.055,19.055
2mer-0+534,0.0001319,12,0.00079142,-24.86324679,2.141866e-05,20.664,19.055,19.055
2mer-0+578,0.00011061,12,0.00066364,-24.86258314,2.04341e-05,19.884,19.356,19.356
2mer-0+547,0.00053187,12,0.00319123,-24.85939191,2.030028e-05,20.664,19.398,19.398
2mer-0+537,0.00015027,12,0.00090164,-24.85849027,2.030028e-05,20.664,19.398,19.398
2mer-0+567,-0.0009271,12,-0.00556262,-24.86405289,2.015736e-05,20.664,19.444,19.444
2mer-0+617,-0.00079666,12,-0.00477999,-24.86883288,1.937615e-05,21.043,19.702,19.702
