N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+1,-1.72262962,12,-10.33577772,-10.33577772,0.004942504,3.977,3.107,3.107
2mer-0+3,-0.74216844,6,-2.22650532,-12.56228305,0.001439304,5.624,4.687,4.687
2mer-0+7,-0.12777937,12,-0.76667623,-13.32895928,0.0009735,6.888,5.339,5.339
2mer-0+19,-0.08878943,6,-0.2663683,-13.59532758,0.000617813,7.954,6.213,6.213
2mer-0+8,-0.03761042,12,-0.22566252,-13.8209901,0.0005587125,6.888,6.425,6.425
2mer-0+42,0.07207587,2,0.07207587,-13.74891423,0.0003609208,9.741,7.432,7.432
2mer-0+27,0.02270809,12,0.13624852,-13.61266571,0.0003323634,8.892,7.639,7.639
2mer-0+25,-0.03750657,12,-0.2250394,-13.83770511,0.0003177448,8.892,7.755,7.755
2mer-0+30,0.06998266,6,0.20994798,-13.62775713,0.0002945252,7.954,7.954,7.954
2mer-0+39,0.01302748,12,0.07816485,-13.54959227,0.0002202785,10.522,8.762,8.762
2mer-0+57,-0.00444941,6,-0.01334822,-13.56294049,0.0001883426,9.741,9.232,9.232
2mer-0+43,-0.02806603,12,-0.1683962,-13.73133669,0.0001748753,10.522,9.463,9.463
2mer-0+48,0.00589864,12,0.03539182,-13.69594487,0.0001735823,10.522,9.486,9.486
2mer-0+64,-0.01962093,6,-0.05886278,-13.75480766,0.0001441389,11.248,10.093,10.093
2mer-0+68,0.00234202,12,0.01405214,-13.74075551,0.000138639,10.522,10.224,10.224
2mer-0+77,-0.00122011,12,-0.00732069,-13.7480762,0.0001312901,11.93,10.412,10.412
2mer-0+100,-0.00953163,12,-0.05718979,-13.80526599,0.0001148756,12.576,10.886,10.886
2mer-0+89,-0.01054667,12,-0.06328003,-13.86854602,0.0001110907,11.93,11.008,11.008
2mer-0+86,-0.00514473,12,-0.03086841,-13.89941442,0.0001081053,11.93,11.108,11.108
2mer-0+133,0.00622729,6,0.01868186,-13.88073256,9.432858e-05,13.776,11.625,11.625
2mer-0+114,-0.00987963,12,-0.05927779,-13.94001035,8.942387e-05,13.189,11.834,11.834
2mer-0+111,0.00233808,12,0.01402849,-13.92598186,8.189973e-05,12.576,12.185,12.185
2mer-0+148,0.00149854,12,0.00899123,-13.91699063,7.810954e-05,13.189,12.379,12.379
2mer-0+166,0.00533581,12,0.03201487,-13.88497576,7.556497e-05,14.338,12.517,12.517
2mer-0+140,-0.00454174,12,-0.02725044,-13.9122262,6.983907e-05,13.776,12.85,12.85
2mer-0+150,0.00442131,12,0.02652787,-13.88569833,6.692128e-05,14.338,13.034,13.034
2mer-0+168,-0.00562455,12,-0.0337473,-13.91944563,6.588509e-05,14.338,13.102,13.102
2mer-0+144,-0.00207227,12,-0.01243361,-13.93187924,6.588509e-05,14.338,13.102,13.102
2mer-0+179,-0.00235619,12,-0.01413715,-13.94601639,5.916144e-05,14.338,13.581,13.581
2mer-0+185,0.00170995,12,0.0102597,-13.93575669,5.734911e-05,15.402,13.722,13.722
2mer-0+175,0.00511752,6,0.01535255,-13.92040414,5.66814e-05,13.776,13.776,13.776
2mer-0+234,-0.00191863,6,-0.0057559,-13.92616005,5.302806e-05,15.907,14.085,14.085
2mer-0+201,0.00103763,12,0.00622579,-13.91993425,5.261708e-05,14.338,14.122,14.122
2mer-0+213,0.00242591,12,0.01455544,-13.90537882,5.180108e-05,15.402,14.196,14.196
2mer-0+192,-0.00079005,12,-0.00474029,-13.91011911,5.180108e-05,15.402,14.196,14.196
2mer-0+286,0.00325896,6,0.00977687,-13.90034224,4.699451e-05,16.872,14.664,14.664
2mer-0+229,-0.00058458,12,-0.00350746,-13.9038497,4.59481e-05,15.402,14.774,14.774
2mer-0+259,-0.00179466,12,-0.01076797,-13.91461767,4.543363e-05,16.397,14.83,14.83
2mer-0+257,-0.00049348,12,-0.00296088,-13.91757855,4.162583e-05,16.397,15.269,15.269
2mer-0+245,-0.00219112,12,-0.01314675,-13.9307253,4.115453e-05,16.397,15.327,15.327
2mer-0+268,-0.00246951,12,-0.01481709,-13.94554239,3.863746e-05,16.872,15.653,15.653
2mer-0+296,0.00054435,12,0.0032661,-13.94227629,3.791089e-05,16.397,15.752,15.752
2mer-0+277,-0.00145062,12,-0.00870371,-13.95097999,3.714012e-05,17.334,15.861,15.861
2mer-0+298,-0.00011865,12,-0.00071188,-13.95169188,3.714012e-05,17.334,15.861,15.861
2mer-0+273,0.0025406,6,0.0076218,-13.94407007,3.681565e-05,15.907,15.907,15.907
2mer-0+325,-0.00190354,12,-0.01142125,-13.95549132,3.501158e-05,17.785,16.176,16.176
2mer-0+307,-0.00221273,12,-0.01327641,-13.96876773,3.448117e-05,17.334,16.258,16.258
2mer-0+338,0.00095233,12,0.005714,-13.96305373,3.439444e-05,17.334,16.272,16.272
2mer-0+302,-0.00076996,12,-0.00461977,-13.9676735,3.405115e-05,17.334,16.326,16.326
2mer-0+359,0.00197989,12,0.01187935,-13.95579415,3.37384e-05,18.224,16.377,16.377
2mer-0+350,0.00115424,12,0.00692545,-13.94886871,3.249376e-05,16.872,16.583,16.583
2mer-0+389,-7.021e-05,6,-0.00021062,-13.94907933,3.191935e-05,18.653,16.682,16.682
2mer-0+343,-0.00041262,12,-0.0024757,-13.95155503,3.174266e-05,17.334,16.713,16.713
2mer-0+357,-0.00037012,12,-0.0022207,-13.95377573,2.975331e-05,17.785,17.077,17.077
2mer-0+506,0.00257386,2,0.00257386,-13.95120187,2.925692e-05,19.482,17.173,17.173
2mer-0+378,-0.00150672,12,-0.00904029,-13.96024217,2.910407e-05,18.224,17.203,17.203
2mer-0+385,-0.00019751,12,-0.00118506,-13.96142723,2.903868e-05,18.224,17.216,17.216
2mer-0+427,0.00104834,12,0.00629003,-13.95513721,2.854305e-05,19.072,17.315,17.315
2mer-0+410,-0.00124745,12,-0.00748472,-13.96262192,2.737751e-05,18.653,17.558,17.558
2mer-0+428,-0.00090357,12,-0.00542144,-13.96804337,2.65286e-05,19.072,17.743,17.743
2mer-0+436,0.00038649,12,0.00231895,-13.96572442,2.518184e-05,18.224,18.054,18.054
2mer-0+446,-0.00071445,12,-0.00428667,-13.97001109,2.474043e-05,19.072,18.161,18.161
2mer-0+486,-0.00010865,12,-0.00065189,-13.97066298,2.455651e-05,19.884,18.206,18.206
2mer-0+453,0.00078778,6,0.00236335,-13.96829963,2.381915e-05,18.653,18.392,18.392
