N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+1,-2.95890528,12,-17.75343168,-17.75343168,0.004942504,3.977,3.107,3.107
2mer-0+3,-0.78873835,6,-2.36621505,-20.11964674,0.001439304,5.624,4.687,4.687
2mer-0+7,-0.17388737,12,-1.0433242,-21.16297094,0.0009735,6.888,5.339,5.339
2mer-0+19,-0.10189259,6,-0.30567776,-21.4686487,0.000617813,7.954,6.213,6.213
2mer-0+8,-0.06494126,12,-0.38964754,-21.85829624,0.0005587125,6.888,6.425,6.425
2mer-0+42,0.04932873,2,0.04932873,-21.80896751,0.0003609208,9.741,7.432,7.432
2mer-0+27,0.00911891,12,0.05471346,-21.75425405,0.0003323634,8.892,7.639,7.639
2mer-0+25,-0.04065093,12,-0.24390558,-21.99815964,0.0003177448,8.892,7.755,7.755
2mer-0+30,0.04672701,6,0.14018102,-21.85797862,0.0002945252,7.954,7.954,7.954
2mer-0+39,0.00641597,12,0.03849582,-21.8194828,0.0002202785,10.522,8.762,8.762
2mer-0+57,-0.00800865,6,-0.02402595,-21.84350875,0.0001883426,9.741,9.232,9.232
2mer-0+43,-0.02701438,12,-0.16208626,-22.00559501,0.0001748753,10.522,9.463,9.463
2mer-0+48,0.00185926,12,0.01115558,-21.99443942,0.0001735823,10.522,9.486,9.486
2mer-0+64,-0.01856768,6,-0.05570303,-22.05014245,0.0001441389,11.248,10.093,10.093
2mer-0+68,-0.00050736,12,-0.00304418,-22.05318663,0.000138639,10.522,10.224,10.224
2mer-0+77,-0.00276159,12,-0.01656953,-22.06975616,0.0001312901,11.93,10.412,10.412
2mer-0+100,-0.00929109,12,-0.05574651,-22.12550268,0.0001148756,12.576,10.886,10.886
2mer-0+89,-0.01033781,12,-0.06202685,-22.18752952,0.0001110907,11.93,11.008,11.008
2mer-0+86,-0.00564083,12,-0.03384496,-22.22137449,0.0001081053,11.93,11.108,11.108
2mer-0+133,0.00422518,6,0.01267554,-22.20869895,9.432858e-05,13.776,11.625,11.625
2mer-0+114,-0.00918944,12,-0.05513662,-22.26383557,8.942387e-05,13.189,11.834,11.834
2mer-0+111,0.00105507,12,0.00633039,-22.25750517,8.189973e-05,12.576,12.185,12.185
2mer-0+148,0.00052845,12,0.00317067,-22.2543345,7.810954e-05,13.189,12.379,12.379
2mer-0+166,0.00380139,12,0.02280836,-22.23152614,7.556497e-05,14.338,12.517,12.517
2mer-0+140,-0.00439083,12,-0.02634499,-22.25787113,6.983907e-05,13.776,12.85,12.85
2mer-0+150,0.00316953,12,0.01901717,-22.23885395,6.692128e-05,14.338,13.034,13.034
2mer-0+144,-0.00223585,12,-0.01341513,-22.25226908,6.588509e-05,14.338,13.102,13.102
2mer-0+168,-0.00523599,12,-0.03141596,-22.28368505,6.588509e-05,14.338,13.102,13.102
2mer-0+179,-0.00243837,12,-0.01463024,-22.29831528,5.916144e-05,14.338,13.581,13.581
2mer-0+185,0.00103358,12,0.00620149,-22.29211379,5.734911e-05,15.402,13.722,13.722
2mer-0+175,0.00378521,6,0.01135564,-22.28075815,5.66814e-05,13.776,13.776,13.776
2mer-0+234,-0.00193877,6,-0.00581631,-22.28657446,5.302806e-05,15.907,14.085,14.085
2mer-0+201,0.00047059,12,0.00282351,-22.28375095,5.261708e-05,14.338,14.122,14.122
2mer-0+213,0.00169619,12,0.01017712,-22.27357383,5.180108e-05,15.402,14.196,14.196
2mer-0+192,-0.0010078,12,-0.00604677,-22.2796206,5.180108e-05,15.402,14.196,14.196
2mer-0+286,0.00242978,6,0.00728935,-22.27233125,4.699451e-05,16.872,14.664,14.664
2mer-0+229,-0.0007711,12,-0.00462658,-22.27695783,4.59481e-05,15.402,14.774,14.774
2mer-0+259,-0.00176665,12,-0.0105999,-22.28755773,4.543363e-05,16.397,14.83,14.83
2mer-0+257,-0.00064652,12,-0.00387911,-22.29143684,4.162583e-05,16.397,15.269,15.269
2mer-0+245,-0.0020605,12,-0.01236297,-22.30379982,4.115453e-05,16.397,15.327,15.327
2mer-0+268,-0.00225888,12,-0.01355329,-22.31735311,3.863746e-05,16.872,15.653,15.653
2mer-0+296,0.00025795,12,0.00154768,-22.31580543,3.791089e-05,16.397,15.752,15.752
2mer-0+277,-0.00139877,12,-0.00839263,-22.32419806,3.714012e-05,17.334,15.861,15.861
2mer-0+298,-0.00028046,12,-0.00168277,-22.32588082,3.714012e-05,17.334,15.861,15.861
2mer-0+273,0.00190544,6,0.00571632,-22.32016451,3.681565e-05,15.907,15.907,15.907
2mer-0+325,-0.00175227,12,-0.0105136,-22.33067811,3.501158e-05,17.785,16.176,16.176
2mer-0+307,-0.00202742,12,-0.01216454,-22.34284264,3.448117e-05,17.334,16.258,16.258
2mer-0+338,0.0006355,12,0.00381303,-22.33902962,3.439444e-05,17.334,16.272,16.272
2mer-0+302,-0.00080054,12,-0.00480322,-22.34383284,3.405115e-05,17.334,16.326,16.326
2mer-0+359,0.00149271,12,0.00895628,-22.33487656,3.37384e-05,18.224,16.377,16.377
2mer-0+350,0.00080214,12,0.00481281,-22.33006375,3.249376e-05,16.872,16.583,16.583
2mer-0+389,-0.0002019,6,-0.00060571,-22.33066945,3.191935e-05,18.653,16.682,16.682
2mer-0+343,-0.00049542,12,-0.00297253,-22.33364198,3.174266e-05,17.334,16.713,16.713
2mer-0+357,-0.00043957,12,-0.00263743,-22.33627941,2.975331e-05,17.785,17.077,17.077
2mer-0+506,0.00201424,2,0.00201424,-22.33426518,2.925692e-05,19.482,17.173,17.173
2mer-0+378,-0.00139092,12,-0.00834554,-22.34261072,2.910407e-05,18.224,17.203,17.203
2mer-0+385,-0.000289,12,-0.00173398,-22.3443447,2.903868e-05,18.224,17.216,17.216
2mer-0+427,0.00075619,12,0.00453714,-22.33980756,2.854305e-05,19.072,17.315,17.315
2mer-0+410,-0.00115095,12,-0.0069057,-22.34671326,2.737751e-05,18.653,17.558,17.558
2mer-0+428,-0.00085928,12,-0.00515566,-22.35186892,2.65286e-05,19.072,17.743,17.743
2mer-0+436,0.00021928,12,0.00131565,-22.35055327,2.518184e-05,18.224,18.054,18.054
2mer-0+446,-0.00069144,12,-0.00414861,-22.35470188,2.474043e-05,19.072,18.161,18.161
2mer-0+486,-0.00018443,12,-0.00110659,-22.35580846,2.455651e-05,19.884,18.206,18.206
2mer-0+453,0.00056432,6,0.00169295,-22.35411551,2.381915e-05,18.653,18.392,18.392
2mer-0+518,-0.00062716,12,-0.00376299,-22.3578785,2.347588e-05,20.278,18.481,18.481
2mer-0+488,0.00076235,12,0.0045741,-22.3533044,2.315778e-05,19.884,18.565,18.565
2mer-0+458,-9.698e-05,12,-0.00058186,-22.35388625,2.31445e-05,19.072,18.569,18.569
2mer-0+507,-0.00119985,12,-0.00719913,-22.36108538,2.297988e-05,19.884,18.613,18.613
2mer-0+482,-0.00034187,12,-0.00205121,-22.36313659,2.297988e-05,19.884,18.613,18.613
2mer-0+548,-0.00013275,6,-0.00039825,-22.36353484,2.216403e-05,19.482,18.839,18.839
2mer-0+593,0.00041164,12,0.00246984,-22.361065,2.185941e-05,21.043,18.926,18.926
2mer-0+511,-0.00071813,12,-0.0043088,-22.3653738,2.17653e-05,19.884,18.953,18.953
2mer-0+538,0.00022502,12,0.0013501,-22.3640237,2.1725e-05,19.884,18.965,18.965
2mer-0+585,-0.00024458,12,-0.00146749,-22.36549119,2.141866e-05,20.664,19.055,19.055
2mer-0+534,0.0001434,12,0.00086041,-22.36463078,2.141866e-05,20.664,19.055,19.055
2mer-0+578,0.00012516,12,0.00075097,-22.36387981,2.04341e-05,19.884,19.356,19.356
2mer-0+547,0.00054339,12,0.00326032,-22.36061949,2.030028e-05,20.664,19.398,19.398
2mer-0+537,0.00016179,12,0.00097072,-22.35964877,2.030028e-05,20.664,19.398,19.398
2mer-0+567,-0.00091559,12,-0.00549356,-22.36514232,2.015736e-05,20.664,19.444,19.444
2mer-0+617,-0.00078635,12,-0.00471809,-22.36986041,1.937615e-05,21.043,19.702,19.702
2mer-0+633,-0.00010028,12,-0.00060168,-22.3704621,1.914482e-05,20.664,19.781,19.781
2mer-0+589,-0.0002495,12,-0.00149698,-22.37195908,1.901517e-05,20.664,19.826,19.826
