N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+1,-3.9333687,12,-23.60021222,-23.60021222,0.004942504,3.977,3.107,3.107
2mer-0+3,-0.94991884,6,-2.84975651,-26.44996873,0.001439304,5.624,4.687,4.687
2mer-0+7,-0.18065258,12,-1.08391547,-27.5338842,0.0009735,6.888,5.339,5.339
2mer-0+19,-0.09808264,6,-0.29424792,-27.82813212,0.000617813,7.954,6.213,6.213
2mer-0+8,-0.09061847,12,-0.54371081,-28.37184293,0.0005587125,6.888,6.425,6.425
2mer-0+42,0.05901987,2,0.05901987,-28.31282305,0.0003609208,9.741,7.432,7.432
2mer-0+27,0.00936086,12,0.05616517,-28.25665788,0.0003323634,8.892,7.639,7.639
2mer-0+25,-0.04254861,12,-0.25529164,-28.51194952,0.0003177448,8.892,7.755,7.755
2mer-0+30,0.03798407,6,0.1139522,-28.39799733,0.0002945252,7.954,7.954,7.954
2mer-0+39,0.00830966,12,0.04985798,-28.34813935,0.0002202785,10.522,8.762,8.762
2mer-0+57,-0.00999961,6,-0.02999883,-28.37813817,0.0001883426,9.741,9.232,9.232
2mer-0+43,-0.02719548,12,-0.16317287,-28.54131105,0.0001748753,10.522,9.463,9.463
2mer-0+48,0.00130895,12,0.0078537,-28.53345735,0.0001735823,10.522,9.486,9.486
2mer-0+64,-0.01898619,6,-0.05695857,-28.59041592,0.0001441389,11.248,10.093,10.093
2mer-0+68,-0.00220256,12,-0.01321536,-28.60363128,0.000138639,10.522,10.224,10.224
2mer-0+77,-0.00250765,12,-0.01504588,-28.61867716,0.0001312901,11.93,10.412,10.412
2mer-0+100,-0.0090616,12,-0.05436961,-28.67304677,0.0001148756,12.576,10.886,10.886
2mer-0+89,-0.01060962,12,-0.06365771,-28.73670448,0.0001110907,11.93,11.008,11.008
2mer-0+86,-0.00621359,12,-0.03728154,-28.77398602,0.0001081053,11.93,11.108,11.108
2mer-0+133,0.00489193,6,0.01467579,-28.75931023,9.432858e-05,13.776,11.625,11.625
2mer-0+114,-0.00917402,12,-0.05504414,-28.81435437,8.942387e-05,13.189,11.834,11.834
2mer-0+111,0.00061002,12,0.00366013,-28.81069423,8.189973e-05,12.576,12.185,12.185
2mer-0+148,0.0002481,12,0.00148861,-28.80920563,7.810954e-05,13.189,12.379,12.379
2mer-0+166,0.00410852,12,0.02465113,-28.7845545,7.556497e-05,14.338,12.517,12.517
2mer-0+140,-0.00458918,12,-0.0275351,-28.8120896,6.983907e-05,13.776,12.85,12.85
2mer-0+150,0.00319205,12,0.0191523,-28.79293731,6.692128e-05,14.338,13.034,13.034
2mer-0+168,-0.00527252,12,-0.03163512,-28.82457243,6.588509e-05,14.338,13.102,13.102
2mer-0+144,-0.00233218,12,-0.01399309,-28.83856551,6.588509e-05,14.338,13.102,13.102
2mer-0+179,-0.00260507,12,-0.01563043,-28.85419594,5.916144e-05,14.338,13.581,13.581
2mer-0+185,0.00112716,12,0.00676299,-28.84743296,5.734911e-05,15.402,13.722,13.722
2mer-0+175,0.00349832,6,0.01049496,-28.836938,5.66814e-05,13.776,13.776,13.776
2mer-0+234,-0.0018616,6,-0.00558481,-28.84252281,5.302806e-05,15.907,14.085,14.085
2mer-0+201,0.00019571,12,0.00117423,-28.84134858,5.261708e-05,14.338,14.122,14.122
2mer-0+213,0.00165894,12,0.00995366,-28.83139492,5.180108e-05,15.402,14.196,14.196
2mer-0+192,-0.0010285,12,-0.00617097,-28.8375659,5.180108e-05,15.402,14.196,14.196
2mer-0+286,0.00263656,6,0.00790968,-28.82965621,4.699451e-05,16.872,14.664,14.664
2mer-0+229,-0.00094259,12,-0.00565551,-28.83531173,4.59481e-05,15.402,14.774,14.774
2mer-0+259,-0.00174815,12,-0.01048888,-28.84580061,4.543363e-05,16.397,14.83,14.83
2mer-0+257,-0.0006815,12,-0.00408902,-28.84988963,4.162583e-05,16.397,15.269,15.269
2mer-0+245,-0.00212173,12,-0.01273036,-28.86261999,4.115453e-05,16.397,15.327,15.327
2mer-0+268,-0.00231307,12,-0.01387843,-28.87649842,3.863746e-05,16.872,15.653,15.653
2mer-0+296,0.00013121,12,0.00078726,-28.87571116,3.791089e-05,16.397,15.752,15.752
2mer-0+277,-0.0014035,12,-0.00842102,-28.88413218,3.714012e-05,17.334,15.861,15.861
2mer-0+298,-0.00029206,12,-0.00175235,-28.88588454,3.714012e-05,17.334,15.861,15.861
2mer-0+273,0.00176713,6,0.0053014,-28.88058313,3.681565e-05,15.907,15.907,15.907
2mer-0+325,-0.00175953,12,-0.01055721,-28.89114034,3.501158e-05,17.785,16.176,16.176
2mer-0+307,-0.00205873,12,-0.0123524,-28.90349274,3.448117e-05,17.334,16.258,16.258
2mer-0+338,0.00057758,12,0.0034655,-28.90002724,3.439444e-05,17.334,16.272,16.272
2mer-0+302,-0.00088178,12,-0.0052907,-28.90531794,3.405115e-05,17.334,16.326,16.326
2mer-0+359,0.00153784,12,0.00922703,-28.89609091,3.37384e-05,18.224,16.377,16.377
2mer-0+350,0.0006926,12,0.0041556,-28.89193531,3.249376e-05,16.872,16.583,16.583
2mer-0+389,-0.00015387,6,-0.00046162,-28.89239692,3.191935e-05,18.653,16.682,16.682
2mer-0+343,-0.00059126,12,-0.00354753,-28.89594446,3.174266e-05,17.334,16.713,16.713
2mer-0+357,-0.00052106,12,-0.00312637,-28.89907083,2.975331e-05,17.785,17.077,17.077
2mer-0+506,0.00208868,2,0.00208868,-28.89698215,2.925692e-05,19.482,17.173,17.173
2mer-0+378,-0.00141556,12,-0.00849334,-28.90547549,2.910407e-05,18.224,17.203,17.203
2mer-0+385,-0.00032667,12,-0.00196,-28.90743549,2.903868e-05,18.224,17.216,17.216
2mer-0+427,0.00077933,12,0.00467597,-28.90275952,2.854305e-05,19.072,17.315,17.315
2mer-0+410,-0.00120079,12,-0.00720476,-28.90996428,2.737751e-05,18.653,17.558,17.558
2mer-0+428,-0.00088651,12,-0.00531905,-28.91528333,2.65286e-05,19.072,17.743,17.743
2mer-0+436,0.00013131,12,0.00078787,-28.91449546,2.518184e-05,18.224,18.054,18.054
2mer-0+446,-0.0007442,12,-0.00446523,-28.91896069,2.474043e-05,19.072,18.161,18.161
2mer-0+486,-0.00017288,12,-0.00103728,-28.91999797,2.455651e-05,19.884,18.206,18.206
2mer-0+453,0.00049303,6,0.00147909,-28.91851888,2.381915e-05,18.653,18.392,18.392
2mer-0+518,-0.00063775,12,-0.00382649,-28.92234537,2.347588e-05,20.278,18.481,18.481
2mer-0+488,0.00075354,12,0.00452123,-28.91782414,2.315778e-05,19.884,18.565,18.565
2mer-0+458,-0.00017072,12,-0.00102431,-28.91884845,2.31445e-05,19.072,18.569,18.569
2mer-0+482,-0.0003669,12,-0.00220138,-28.92104983,2.297988e-05,19.884,18.613,18.613
2mer-0+507,-0.00121389,12,-0.00728337,-28.92833319,2.297988e-05,19.884,18.613,18.613
2mer-0+548,-0.00018736,6,-0.00056207,-28.92889526,2.216403e-05,19.482,18.839,18.839
2mer-0+593,0.00042616,12,0.00255697,-28.92633829,2.185941e-05,21.043,18.926,18.926
2mer-0+511,-0.00074592,12,-0.00447552,-28.93081381,2.17653e-05,19.884,18.953,18.953
2mer-0+538,0.00018819,12,0.00112915,-28.92968466,2.1725e-05,19.884,18.965,18.965
2mer-0+585,-0.00025014,12,-0.00150082,-28.93118548,2.141866e-05,20.664,19.055,19.055
2mer-0+534,0.00013717,12,0.00082302,-28.93036246,2.141866e-05,20.664,19.055,19.055
2mer-0+578,7.343e-05,12,0.00044056,-28.9299219,2.04341e-05,19.884,19.356,19.356
2mer-0+547,0.00052413,12,0.00314477,-28.92677713,2.030028e-05,20.664,19.398,19.398
2mer-0+537,0.00014328,12,0.00085967,-28.92591746,2.030028e-05,20.664,19.398,19.398
