N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+1,-3.41918683,12,-20.51512098,-20.51512098,0.004942504,3.977,3.107,3.107
2mer-0+3,-1.00152955,6,-3.00458865,-23.51970963,0.001439304,5.624,4.687,4.687
2mer-0+7,-0.15525281,12,-0.93151686,-24.45122649,0.0009735,6.888,5.339,5.339
2mer-0+19,-0.11373291,6,-0.34119873,-24.79242522,0.000617813,7.954,6.213,6.213
2mer-0+8,-0.04111063,12,-0.24666378,-25.039089,0.0005587125,6.888,6.425,6.425
2mer-0+42,0.10293489,2,0.10293489,-24.93615411,0.0003609208,9.741,7.432,7.432
2mer-0+27,0.03504866,12,0.21029196,-24.72586215,0.0003323634,8.892,7.639,7.639
2mer-0+25,-0.04956573,12,-0.29739438,-25.02325653,0.0003177448,8.892,7.755,7.755
2mer-0+30,0.10424574,6,0.31273722,-24.71051931,0.0002945252,7.954,7.954,7.954
2mer-0+39,0.01953807,12,0.11722842,-24.59329089,0.0002202785,10.522,8.762,8.762
2mer-0+57,-0.00502214,6,-0.01506642,-24.60835731,0.0001883426,9.741,9.232,9.232
2mer-0+43,-0.03838966,12,-0.23033796,-24.83869527,0.0001748753,10.522,9.463,9.463
2mer-0+48,0.00932692,12,0.05596152,-24.78273375,0.0001735823,10.522,9.486,9.486
2mer-0+64,-0.02698595,6,-0.08095785,-24.8636916,0.0001441389,11.248,10.093,10.093
2mer-0+68,0.00420005,12,0.0252003,-24.8384913,0.000138639,10.522,10.224,10.224
2mer-0+77,-0.00115483,12,-0.00692898,-24.84542028,0.0001312901,11.93,10.412,10.412
2mer-0+100,-0.01293903,12,-0.07763418,-24.92305446,0.0001148756,12.576,10.886,10.886
2mer-0+89,-0.01437506,12,-0.08625036,-25.00930482,0.0001110907,11.93,11.008,11.008
2mer-0+86,-0.00680161,12,-0.04080966,-25.05011448,0.0001081053,11.93,11.108,11.108
2mer-0+133,0.00900159,6,0.02700477,-25.02310971,9.432858e-05,13.776,11.625,11.625
2mer-0+114,-0.01359036,12,-0.08154216,-25.10465187,8.942387e-05,13.189,11.834,11.834
2mer-0+111,0.0035828,12,0.0214968,-25.08315507,8.189973e-05,12.576,12.185,12.185
2mer-0+148,0.0023622,12,0.0141732,-25.06898187,7.810954e-05,13.189,12.379,12.379
2mer-0+166,0.00767511,12,0.04605066,-25.02293121,7.556497e-05,14.338,12.517,12.517
2mer-0+140,-0.00622561,12,-0.03735366,-25.06028487,6.983907e-05,13.776,12.85,12.85
2mer-0+150,0.00638287,12,0.03829722,-25.02198765,6.692128e-05,14.338,13.034,13.034
2mer-0+144,-0.00274637,12,-0.01647822,-25.03846587,6.588509e-05,14.338,13.102,13.102
2mer-0+168,-0.00773923,12,-0.04643538,-25.08490125,6.588509e-05,14.338,13.102,13.102
2mer-0+179,-0.00316508,12,-0.01899048,-25.10389173,5.916144e-05,14.338,13.581,13.581
2mer-0+185,0.00252435,12,0.0151461,-25.08874563,5.734911e-05,15.402,13.722,13.722
2mer-0+175,0.00739953,6,0.02219859,-25.06654704,5.66814e-05,13.776,13.776,13.776
2mer-0+234,-0.00258425,6,-0.00775275,-25.07429979,5.302806e-05,15.907,14.085,14.085
2mer-0+201,0.00160885,12,0.0096531,-25.06464669,5.261708e-05,14.338,14.122,14.122
2mer-0+213,0.00352162,12,0.02112972,-25.04351697,5.180108e-05,15.402,14.196,14.196
2mer-0+192,-0.00100716,12,-0.00604296,-25.04955993,5.180108e-05,15.402,14.196,14.196
2mer-0+286,0.00465213,6,0.01395639,-25.03560354,4.699451e-05,16.872,14.664,14.664
2mer-0+229,-0.00072439,12,-0.00434634,-25.03994988,4.59481e-05,15.402,14.774,14.774
2mer-0+259,-0.00243879,12,-0.01463274,-25.05458262,4.543363e-05,16.397,14.83,14.83
2mer-0+257,-0.00062076,12,-0.00372456,-25.05830718,4.162583e-05,16.397,15.269,15.269
2mer-0+245,-0.00300774,12,-0.01804644,-25.07635362,4.115453e-05,16.397,15.327,15.327
2mer-0+268,-0.00341427,12,-0.02048562,-25.09683924,3.863746e-05,16.872,15.653,15.653
2mer-0+296,0.00083862,12,0.00503172,-25.09180752,3.791089e-05,16.397,15.752,15.752
2mer-0+277,-0.0019793,12,-0.0118758,-25.10368332,3.714012e-05,17.334,15.861,15.861
2mer-0+298,-0.00010614,12,-0.00063684,-25.10432016,3.714012e-05,17.334,15.861,15.861
2mer-0+273,0.00366244,6,0.01098732,-25.09333284,3.681565e-05,15.907,15.907,15.907
2mer-0+325,-0.00262257,12,-0.01573542,-25.10906826,3.501158e-05,17.785,16.176,16.176
2mer-0+307,-0.00305637,12,-0.01833822,-25.12740648,3.448117e-05,17.334,16.258,16.258
2mer-0+338,0.00139618,12,0.00837708,-25.1190294,3.439444e-05,17.334,16.272,16.272
2mer-0+302,-0.00102879,12,-0.00617274,-25.12520214,3.405115e-05,17.334,16.326,16.326
2mer-0+359,0.0028288,12,0.0169728,-25.10822934,3.37384e-05,18.224,16.377,16.377
2mer-0+350,0.00168381,12,0.01010286,-25.09812648,3.249376e-05,16.872,16.583,16.583
2mer-0+389,-5.254e-05,6,-0.00015762,-25.0982841,3.191935e-05,18.653,16.682,16.682
2mer-0+343,-0.00052807,12,-0.00316842,-25.10145252,3.174266e-05,17.334,16.713,16.713
2mer-0+357,-0.00047891,12,-0.00287346,-25.10432598,2.975331e-05,17.785,17.077,17.077
2mer-0+506,0.00364739,2,0.00364739,-25.10067859,2.925692e-05,19.482,17.173,17.173
2mer-0+378,-0.00207712,12,-0.01246272,-25.11314131,2.910407e-05,18.224,17.203,17.203
2mer-0+385,-0.00023608,12,-0.00141648,-25.11455779,2.903868e-05,18.224,17.216,17.216
2mer-0+427,0.00151082,12,0.00906492,-25.10549287,2.854305e-05,19.072,17.315,17.315
2mer-0+410,-0.00172094,12,-0.01032564,-25.11581851,2.737751e-05,18.653,17.558,17.558
2mer-0+428,-0.00123561,12,-0.00741366,-25.12323217,2.65286e-05,19.072,17.743,17.743
2mer-0+436,0.00058496,12,0.00350976,-25.11972241,2.518184e-05,18.224,18.054,18.054
2mer-0+446,-0.00097234,12,-0.00583404,-25.12555645,2.474043e-05,19.072,18.161,18.161
2mer-0+486,-0.00012284,12,-0.00073704,-25.12629349,2.455651e-05,19.884,18.206,18.206
2mer-0+453,0.00114457,6,0.00343371,-25.12285978,2.381915e-05,18.653,18.392,18.392
2mer-0+518,-0.00088464,12,-0.00530784,-25.12816762,2.347588e-05,20.278,18.481,18.481
2mer-0+488,0.00145143,12,0.00870858,-25.11945904,2.315778e-05,19.884,18.565,18.565
2mer-0+458,1.194e-05,12,7.164e-05,-25.1193874,2.31445e-05,19.072,18.569,18.569
2mer-0+507,-0.00184604,12,-0.01107624,-25.13046364,2.297988e-05,19.884,18.613,18.613
2mer-0+482,-0.00041209,12,-0.00247254,-25.13293618,2.297988e-05,19.884,18.613,18.613
2mer-0+548,-6.304e-05,6,-0.00018912,-25.1331253,2.216403e-05,19.482,18.839,18.839
2mer-0+593,0.00085143,12,0.00510858,-25.12801672,2.185941e-05,21.043,18.926,18.926
2mer-0+511,-0.00104747,12,-0.00628482,-25.13430154,2.17653e-05,19.884,18.953,18.953
2mer-0+538,0.00053086,12,0.00318516,-25.13111638,2.1725e-05,19.884,18.965,18.965
2mer-0+585,-0.00026173,12,-0.00157038,-25.13268676,2.141866e-05,20.664,19.055,19.055
2mer-0+534,0.00038969,12,0.00233814,-25.13034862,2.141866e-05,20.664,19.055,19.055
