N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+5,-30.92702549,2,-30.92702549,-30.92702549,0.03295058,4.283,1.651,1.651
2mer-0+2,-1.35903243,2,-1.35903243,-32.28605792,0.007997347,5.431,2.646,2.646
2mer-0+1,-2.47156517,2,-2.47156517,-34.75762309,0.007472645,5.619,2.707,2.707
2mer-0+3,-2.34070849,2,-2.34070849,-37.09833158,0.007452393,4.09,2.709,2.709
2mer-0+4,-0.3644061,2,-0.3644061,-37.46273769,0.00532638,5.769,3.03,3.03
2mer-0+10,-6.35864627,2,-6.35864627,-43.82138396,0.004459041,4.283,3.215,3.215
2mer-0+7,-0.38682249,2,-0.38682249,-44.20820644,0.004322371,7.072,3.249,3.249
2mer-0+8,-1.32063681,2,-1.32063681,-45.52884326,0.002102541,6.66,4.131,4.131
2mer-0+21,-1.65183,2,-1.65183,-47.18067325,0.001648892,7.682,4.479,4.479
2mer-0+23,-0.17598995,2,-0.17598995,-47.3566632,0.001393036,7.803,4.738,4.738
2mer-0+18,-1.47911364,2,-1.47911364,-48.83577684,0.001192246,7.197,4.991,4.991
2mer-0+19,0.4168639,2,0.4168639,-48.41891295,0.0008603999,7.072,5.564,5.564
2mer-0+32,-0.16887769,2,-0.16887769,-48.58779064,0.0007874066,8.811,5.731,5.731
2mer-0+34,-0.33322723,2,-0.33322723,-48.92101786,0.0007829436,9.215,5.741,5.741
2mer-0+11,-0.13708412,2,-0.13708412,-49.05810198,0.00077209,8.192,5.768,5.768
2mer-0+15,-0.24543981,2,-0.24543981,-49.30354179,0.0006868144,7.947,5.998,5.998
2mer-0+26,-0.68552068,2,-0.68552068,-49.98906247,0.0006577275,7.197,6.085,6.085
2mer-0+33,0.10473687,2,0.10473687,-49.8843256,0.0005820969,9.82,6.338,6.338
2mer-0+24,0.13301009,2,0.13301009,-49.75131551,0.0005552637,9.906,6.438,6.438
2mer-0+22,0.05874904,2,0.05874904,-49.69256647,0.0004895839,8.18,6.714,6.714
2mer-0+28,-0.07875722,2,-0.07875722,-49.7713237,0.0004846912,10.01,6.737,6.737
2mer-0+53,-0.28571244,2,-0.28571244,-50.05703613,0.0004665812,9.607,6.823,6.823
2mer-0+25,0.03849213,2,0.03849213,-50.01854401,0.0004629912,9.801,6.84,6.84
2mer-0+20,-0.20099716,2,-0.20099716,-50.21954117,0.0004515621,8.811,6.898,6.898
2mer-0+48,-0.28229914,2,-0.28229914,-50.5018403,0.0004411524,9.215,6.951,6.951
2mer-0+47,-0.21098892,2,-0.21098892,-50.71282923,0.0004060822,10.88,7.146,7.146
2mer-0+76,0.81799131,2,0.81799131,-49.89483792,0.0003871767,9.686,7.26,7.26
2mer-0+35,-0.1400463,2,-0.1400463,-50.03488422,0.0003828304,9.607,7.288,7.288
2mer-0+68,-0.17428124,2,-0.17428124,-50.20916546,0.0003487152,10.35,7.518,7.518
2mer-0+72,0.06428684,2,0.06428684,-50.14487862,0.0003128455,9.793,7.795,7.795
2mer-0+30,-0.17385534,2,-0.17385534,-50.31873396,0.0002931252,9.82,7.966,7.966
2mer-0+46,0.08678654,2,0.08678654,-50.23194742,0.0002803385,11.453,8.086,8.086
2mer-0+42,0.07518758,2,0.07518758,-50.15675984,0.0002794918,11.561,8.094,8.094
2mer-0+57,0.10425654,2,0.10425654,-50.05250329,0.0002606685,11.538,8.284,8.284
2mer-0+65,0.17699044,2,0.17699044,-49.87551286,0.0002590461,10.01,8.301,8.301
2mer-0+37,0.06443075,2,0.06443075,-49.8110821,0.0002571049,11.453,8.322,8.322
2mer-0+56,0.06137935,2,0.06137935,-49.74970276,0.0002530433,12.242,8.366,8.366
2mer-0+81,-0.13319704,2,-0.13319704,-49.88289979,0.0002489459,11.213,8.412,8.412
2mer-0+52,-0.05477947,2,-0.05477947,-49.93767927,0.0002285849,11.289,8.655,8.655
2mer-0+62,-0.20949711,2,-0.20949711,-50.14717637,0.0002216253,10.896,8.744,8.744
2mer-0+121,0.52525319,2,0.52525319,-49.62192318,0.0002146055,11.19,8.839,8.839
2mer-0+64,0.06668933,2,0.06668933,-49.55523385,0.0002034507,12.194,8.997,8.997
2mer-0+41,-0.01600594,2,-0.01600594,-49.57123979,0.0002002481,10.743,9.045,9.045
2mer-0+108,-0.0633047,2,-0.0633047,-49.63454449,0.0001959375,11.849,9.111,9.111
2mer-0+83,-0.00640148,2,-0.00640148,-49.64094597,0.000189435,11.849,9.214,9.214
2mer-0+69,0.0500795,2,0.0500795,-49.59086647,0.0001845576,12.831,9.294,9.294
2mer-0+93,-0.15297509,2,-0.15297509,-49.74384156,0.0001824619,10.88,9.33,9.33
2mer-0+107,-0.12968814,2,-0.12968814,-49.8735297,0.0001684903,11.464,9.581,9.581
2mer-0+55,0.01252207,2,0.01252207,-49.86100764,0.0001673767,11.666,9.602,9.602
2mer-0+85,0.10006003,2,0.10006003,-49.7609476,0.0001598911,12.242,9.75,9.75
2mer-0+50,0.0344592,2,0.0344592,-49.72648841,0.000157939,12.831,9.79,9.79
2mer-0+113,0.07939654,2,0.07939654,-49.64709186,0.0001552511,13.322,9.846,9.846
2mer-0+73,-0.15662851,2,-0.15662851,-49.80372037,0.0001546981,10.896,9.858,9.858
2mer-0+100,-0.10114091,2,-0.10114091,-49.90486128,0.000142538,13.612,10.13,10.13
2mer-0+120,0.08750687,2,0.08750687,-49.81735441,0.0001391773,14.01,10.211,10.211
2mer-0+94,0.02317032,2,0.02317032,-49.79418409,0.0001380712,14.144,10.238,10.238
