N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+5,-36.70875834,2,-36.70875834,-36.70875834,0.03295058,4.283,1.651,1.651
2mer-0+2,-2.57605317,2,-2.57605317,-39.28481151,0.007997347,5.431,2.646,2.646
2mer-0+1,-3.11742406,2,-3.11742406,-42.40223557,0.007472645,5.619,2.707,2.707
2mer-0+3,-3.83775105,2,-3.83775105,-46.23998662,0.007452393,4.09,2.709,2.709
2mer-0+4,-0.86605764,2,-0.86605764,-47.10604426,0.00532638,5.769,3.03,3.03
2mer-0+10,-8.05995792,2,-8.05995792,-55.16600218,0.004459041,4.283,3.215,3.215
2mer-0+7,-0.43620396,2,-0.43620396,-55.60220614,0.004322371,7.072,3.249,3.249
2mer-0+8,-1.64178447,2,-1.64178447,-57.2439906,0.002102541,6.66,4.131,4.131
2mer-0+21,-1.78713202,2,-1.78713202,-59.03112262,0.001648892,7.682,4.479,4.479
2mer-0+23,-0.24201035,2,-0.24201035,-59.27313298,0.001393036,7.803,4.738,4.738
2mer-0+18,-1.65141418,2,-1.65141418,-60.92454716,0.001192246,7.197,4.991,4.991
2mer-0+19,0.44005035,2,0.44005035,-60.48449681,0.0008603999,7.072,5.564,5.564
2mer-0+32,-0.23729084,2,-0.23729084,-60.72178765,0.0007874066,8.811,5.731,5.731
2mer-0+34,-0.38930438,2,-0.38930438,-61.11109203,0.0007829436,9.215,5.741,5.741
2mer-0+11,-0.12801448,2,-0.12801448,-61.23910651,0.00077209,8.192,5.768,5.768
2mer-0+15,-0.29782374,2,-0.29782374,-61.53693026,0.0006868144,7.947,5.998,5.998
2mer-0+26,-0.78484884,2,-0.78484884,-62.32177909,0.0006577275,7.197,6.085,6.085
2mer-0+33,0.09534887,2,0.09534887,-62.22643022,0.0005820969,9.82,6.338,6.338
2mer-0+24,0.13230473,2,0.13230473,-62.09412549,0.0005552637,9.906,6.438,6.438
2mer-0+22,0.09428033,2,0.09428033,-61.99984516,0.0004895839,8.18,6.714,6.714
2mer-0+28,-0.05406071,2,-0.05406071,-62.05390586,0.0004846912,10.01,6.737,6.737
2mer-0+53,-0.33749118,2,-0.33749118,-62.39139704,0.0004665812,9.607,6.823,6.823
2mer-0+25,0.02088305,2,0.02088305,-62.37051399,0.0004629912,9.801,6.84,6.84
2mer-0+20,-0.24495059,2,-0.24495059,-62.61546458,0.0004515621,8.811,6.898,6.898
2mer-0+48,-0.33355319,2,-0.33355319,-62.94901778,0.0004411524,9.215,6.951,6.951
2mer-0+47,-0.24047767,2,-0.24047767,-63.18949544,0.0004060822,10.88,7.146,7.146
