N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+5,-36.82293964,2,-36.82293964,-36.82293964,0.03295058,4.283,1.651,1.651
2mer-0+2,-2.62752309,2,-2.62752309,-39.45046272,0.007997347,5.431,2.646,2.646
2mer-0+1,-3.15258911,2,-3.15258911,-42.60305184,0.007472645,5.619,2.707,2.707
2mer-0+3,-3.97479044,2,-3.97479044,-46.57784228,0.007452393,4.09,2.709,2.709
2mer-0+4,-0.97418087,2,-0.97418087,-47.55202314,0.00532638,5.769,3.03,3.03
2mer-0+10,-8.09707751,2,-8.09707751,-55.64910065,0.004459041,4.283,3.215,3.215
2mer-0+7,-0.47663317,2,-0.47663317,-56.12573382,0.004322371,7.072,3.249,3.249
2mer-0+8,-1.60705705,2,-1.60705705,-57.73279087,0.002102541,6.66,4.131,4.131
2mer-0+21,-1.74041875,2,-1.74041875,-59.47320962,0.001648892,7.682,4.479,4.479
2mer-0+23,-0.24431031,2,-0.24431031,-59.71751993,0.001393036,7.803,4.738,4.738
2mer-0+18,-1.61410537,2,-1.61410537,-61.3316253,0.001192246,7.197,4.991,4.991
2mer-0+19,0.39284382,2,0.39284382,-60.93878148,0.0008603999,7.072,5.564,5.564
2mer-0+32,-0.22964,2,-0.22964,-61.16842148,0.0007874066,8.811,5.731,5.731
2mer-0+34,-0.37485663,2,-0.37485663,-61.54327811,0.0007829436,9.215,5.741,5.741
2mer-0+11,-0.14032541,2,-0.14032541,-61.68360352,0.00077209,8.192,5.768,5.768
2mer-0+15,-0.29352827,2,-0.29352827,-61.97713179,0.0006868144,7.947,5.998,5.998
2mer-0+26,-0.75319634,2,-0.75319634,-62.73032814,0.0006577275,7.197,6.085,6.085
2mer-0+33,0.09009862,2,0.09009862,-62.64022952,0.0005820969,9.82,6.338,6.338
2mer-0+24,0.12603419,2,0.12603419,-62.51419532,0.0005552637,9.906,6.438,6.438
2mer-0+22,0.07343931,2,0.07343931,-62.44075601,0.0004895839,8.18,6.714,6.714
2mer-0+28,-0.06286207,2,-0.06286207,-62.50361808,0.0004846912,10.01,6.737,6.737
2mer-0+53,-0.32191337,2,-0.32191337,-62.82553145,0.0004665812,9.607,6.823,6.823
2mer-0+25,0.01939292,2,0.01939292,-62.80613853,0.0004629912,9.801,6.84,6.84
2mer-0+20,-0.24089322,2,-0.24089322,-63.04703175,0.0004515621,8.811,6.898,6.898
2mer-0+48,-0.31913209,2,-0.31913209,-63.36616384,0.0004411524,9.215,6.951,6.951
2mer-0+47,-0.2302971,2,-0.2302971,-63.59646094,0.0004060822,10.88,7.146,7.146
2mer-0+76,0.83190905,2,0.83190905,-62.76455189,0.0003871767,9.686,7.26,7.26
2mer-0+35,-0.14707943,2,-0.14707943,-62.91163132,0.0003828304,9.607,7.288,7.288
2mer-0+68,-0.18093184,2,-0.18093184,-63.09256316,0.0003487152,10.35,7.518,7.518
2mer-0+72,0.09104295,2,0.09104295,-63.00152021,0.0003128455,9.793,7.795,7.795
2mer-0+30,-0.19043828,2,-0.19043828,-63.19195849,0.0002931252,9.82,7.966,7.966
2mer-0+46,0.09611922,2,0.09611922,-63.09583927,0.0002803385,11.453,8.086,8.086
2mer-0+42,0.07437941,2,0.07437941,-63.02145986,0.0002794918,11.561,8.094,8.094
2mer-0+57,0.11223672,2,0.11223672,-62.90922315,0.0002606685,11.538,8.284,8.284
2mer-0+65,0.18385462,2,0.18385462,-62.72536853,0.0002590461,10.01,8.301,8.301
2mer-0+37,0.07609156,2,0.07609156,-62.64927697,0.0002571049,11.453,8.322,8.322
2mer-0+56,0.07154467,2,0.07154467,-62.5777323,0.0002530433,12.242,8.366,8.366
2mer-0+81,-0.14702945,2,-0.14702945,-62.72476175,0.0002489459,11.213,8.412,8.412
2mer-0+52,-0.06901703,2,-0.06901703,-62.79377878,0.0002285849,11.289,8.655,8.655
