N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+5,-31.09113293,2,-31.09113293,-31.09113293,0.03295058,4.283,1.651,1.651
2mer-0+2,-1.19705427,2,-1.19705427,-32.28818721,0.007997347,5.431,2.646,2.646
2mer-0+1,-2.36605848,2,-2.36605848,-34.65424569,0.007472645,5.619,2.707,2.707
2mer-0+3,-1.81113588,2,-1.81113588,-36.46538157,0.007452393,4.09,2.709,2.709
2mer-0+4,-0.3312613,2,-0.3312613,-36.79664287,0.00532638,5.769,3.03,3.03
2mer-0+10,-6.07159589,2,-6.07159589,-42.86823876,0.004459041,4.283,3.215,3.215
2mer-0+7,-0.39829498,2,-0.39829498,-43.26653374,0.004322371,7.072,3.249,3.249
2mer-0+8,-1.30496438,2,-1.30496438,-44.57149812,0.002102541,6.66,4.131,4.131
2mer-0+21,-1.64689427,2,-1.64689427,-46.21839238,0.001648892,7.682,4.479,4.479
2mer-0+23,-0.1684443,2,-0.1684443,-46.38683669,0.001393036,7.803,4.738,4.738
2mer-0+18,-1.47060082,2,-1.47060082,-47.85743751,0.001192246,7.197,4.991,4.991
2mer-0+19,0.43173649,2,0.43173649,-47.42570102,0.0008603999,7.072,5.564,5.564
2mer-0+32,-0.16677147,2,-0.16677147,-47.59247249,0.0007874066,8.811,5.731,5.731
2mer-0+34,-0.33174636,2,-0.33174636,-47.92421886,0.0007829436,9.215,5.741,5.741
2mer-0+11,-0.13033299,2,-0.13033299,-48.05455185,0.00077209,8.192,5.768,5.768
2mer-0+15,-0.23860404,2,-0.23860404,-48.29315589,0.0006868144,7.947,5.998,5.998
2mer-0+26,-0.67382966,2,-0.67382966,-48.96698555,0.0006577275,7.197,6.085,6.085
2mer-0+33,0.10609061,2,0.10609061,-48.86089494,0.0005820969,9.82,6.338,6.338
2mer-0+24,0.1347764,2,0.1347764,-48.72611853,0.0005552637,9.906,6.438,6.438
2mer-0+22,0.06475253,2,0.06475253,-48.661366,0.0004895839,8.18,6.714,6.714
2mer-0+28,-0.07729291,2,-0.07729291,-48.73865891,0.0004846912,10.01,6.737,6.737
2mer-0+53,-0.28379674,2,-0.28379674,-49.02245565,0.0004665812,9.607,6.823,6.823
2mer-0+25,0.04064439,2,0.04064439,-48.98181127,0.0004629912,9.801,6.84,6.84
2mer-0+20,-0.19723625,2,-0.19723625,-49.17904752,0.0004515621,8.811,6.898,6.898
2mer-0+48,-0.27994692,2,-0.27994692,-49.45899444,0.0004411524,9.215,6.951,6.951
2mer-0+47,-0.21027678,2,-0.21027678,-49.66927122,0.0004060822,10.88,7.146,7.146
2mer-0+76,0.81939347,2,0.81939347,-48.84987775,0.0003871767,9.686,7.26,7.26
2mer-0+35,-0.13791056,2,-0.13791056,-48.98778831,0.0003828304,9.607,7.288,7.288
2mer-0+68,-0.17294511,2,-0.17294511,-49.16073343,0.0003487152,10.35,7.518,7.518
2mer-0+72,0.06562838,2,0.06562838,-49.09510505,0.0003128455,9.793,7.795,7.795
2mer-0+30,-0.17189345,2,-0.17189345,-49.26699851,0.0002931252,9.82,7.966,7.966
2mer-0+46,0.08770333,2,0.08770333,-49.17929518,0.0002803385,11.453,8.086,8.086
2mer-0+42,0.07590636,2,0.07590636,-49.10338882,0.0002794918,11.561,8.094,8.094
2mer-0+57,0.10491649,2,0.10491649,-48.99847233,0.0002606685,11.538,8.284,8.284
2mer-0+65,0.17870878,2,0.17870878,-48.81976355,0.0002590461,10.01,8.301,8.301
2mer-0+37,0.06537558,2,0.06537558,-48.75438797,0.0002571049,11.453,8.322,8.322
2mer-0+56,0.0618139,2,0.0618139,-48.69257407,0.0002530433,12.242,8.366,8.366
2mer-0+81,-0.13226277,2,-0.13226277,-48.82483685,0.0002489459,11.213,8.412,8.412
2mer-0+52,-0.05385221,2,-0.05385221,-48.87868905,0.0002285849,11.289,8.655,8.655
2mer-0+62,-0.20856884,2,-0.20856884,-49.0872579,0.0002216253,10.896,8.744,8.744
2mer-0+121,0.52593003,2,0.52593003,-48.56132787,0.0002146055,11.19,8.839,8.839
2mer-0+64,0.06715684,2,0.06715684,-48.49417103,0.0002034507,12.194,8.997,8.997
2mer-0+41,-0.01492126,2,-0.01492126,-48.50909229,0.0002002481,10.743,9.045,9.045
2mer-0+108,-0.06269307,2,-0.06269307,-48.57178536,0.0001959375,11.849,9.111,9.111
2mer-0+83,-0.00579521,2,-0.00579521,-48.57758057,0.000189435,11.849,9.214,9.214
2mer-0+69,0.05052433,2,0.05052433,-48.52705624,0.0001845576,12.831,9.294,9.294
2mer-0+93,-0.15201108,2,-0.15201108,-48.67906732,0.0001824619,10.88,9.33,9.33
2mer-0+107,-0.1291113,2,-0.1291113,-48.80817862,0.0001684903,11.464,9.581,9.581
2mer-0+55,0.01324354,2,0.01324354,-48.79493508,0.0001673767,11.666,9.602,9.602
2mer-0+85,0.10055639,2,0.10055639,-48.6943787,0.0001598911,12.242,9.75,9.75
2mer-0+50,0.03491801,2,0.03491801,-48.65946069,0.000157939,12.831,9.79,9.79
2mer-0+113,0.07966572,2,0.07966572,-48.57979497,0.0001552511,13.322,9.846,9.846
2mer-0+73,-0.15565835,2,-0.15565835,-48.73545332,0.0001546981,10.896,9.858,9.858
2mer-0+100,-0.10090734,2,-0.10090734,-48.83636066,0.000142538,13.612,10.13,10.13
2mer-0+120,0.08770497,2,0.08770497,-48.74865569,0.0001391773,14.01,10.211,10.211
2mer-0+94,0.02336361,2,0.02336361,-48.72529208,0.0001380712,14.144,10.238,10.238
2mer-0+133,-0.17408279,2,-0.17408279,-48.89937487,0.0001319581,12.746,10.394,10.394
2mer-0+89,-0.14803214,2,-0.14803214,-49.04740701,0.000130864,13.31,10.423,10.423
2mer-0+139,-0.08480562,2,-0.08480562,-49.13221263,0.0001272768,12.664,10.52,10.52
2mer-0+71,-0.04527894,2,-0.04527894,-49.17749157,0.000126689,12.194,10.536,10.536
2mer-0+92,0.00681631,2,0.00681631,-49.17067527,0.0001222736,13.559,10.662,10.662
2mer-0+80,0.04588456,2,0.04588456,-49.12479071,0.0001209609,12.27,10.7,10.7
2mer-0+138,0.03568646,2,0.03568646,-49.08910424,0.0001208315,13.861,10.704,10.704
2mer-0+82,-0.07190839,2,-0.07190839,-49.16101263,0.0001141258,13.322,10.91,10.91
2mer-0+123,-0.0929762,2,-0.0929762,-49.25398883,0.0001131649,13.924,10.94,10.94
2mer-0+86,0.03211647,2,0.03211647,-49.22187237,0.0001093107,14.062,11.067,11.067
2mer-0+98,0.02473115,2,0.02473115,-49.19714121,0.0001086008,14.236,11.091,11.091
2mer-0+129,-0.06374751,2,-0.06374751,-49.26088872,0.000108078,13.867,11.109,11.109
2mer-0+77,0.03317994,2,0.03317994,-49.22770879,0.0001069183,14.062,11.149,11.149
2mer-0+136,-0.04880743,2,-0.04880743,-49.27651622,0.0001051607,14.766,11.211,11.211
2mer-0+96,-0.11956726,2,-0.11956726,-49.39608348,0.000104725,13.924,11.227,11.227
2mer-0+171,0.02328764,2,0.02328764,-49.37279584,0.0001042269,13.737,11.245,11.245
2mer-0+137,-0.09131538,2,-0.09131538,-49.46411122,9.648926e-05,14.507,11.537,11.537
2mer-0+103,-0.0334114,2,-0.0334114,-49.49752262,9.636149e-05,13.861,11.543,11.543
2mer-0+187,0.00871978,2,0.00871978,-49.48880284,9.375956e-05,13.848,11.648,11.648
2mer-0+213,0.16247793,2,0.16247793,-49.32632491,9.242289e-05,13.786,11.704,11.704
2mer-0+102,-0.05939156,2,-0.05939156,-49.38571647,9.161918e-05,14.01,11.738,11.738
2mer-0+127,0.01649035,2,0.01649035,-49.36922612,9.0584e-05,15.207,11.783,11.783
2mer-0+169,-0.1220272,2,-0.1220272,-49.49125332,9.055719e-05,14.071,11.784,11.784
2mer-0+128,-0.00164022,2,-0.00164022,-49.49289354,8.99231e-05,15.139,11.812,11.812
2mer-0+140,0.06488685,2,0.06488685,-49.42800669,8.935241e-05,13.559,11.837,11.837
2mer-0+124,0.01708005,2,0.01708005,-49.41092665,8.864198e-05,15.217,11.868,11.868
2mer-0+158,-0.04642148,2,-0.04642148,-49.45734812,8.846228e-05,14.766,11.876,11.876
2mer-0+144,-0.09226303,2,-0.09226303,-49.54961115,8.659063e-05,15.072,11.961,11.961
2mer-0+132,0.02041084,2,0.02041084,-49.52920032,8.620396e-05,15.205,11.979,11.979
2mer-0+156,-0.0450645,2,-0.0450645,-49.57426482,8.594258e-05,15.859,11.991,11.991
2mer-0+161,-0.03781527,2,-0.03781527,-49.61208009,8.500215e-05,15.072,12.035,12.035
2mer-0+165,0.05582511,2,0.05582511,-49.55625498,8.482165e-05,15.765,12.044,12.044
2mer-0+101,0.02755173,2,0.02755173,-49.52870325,8.378294e-05,15.205,12.093,12.093
2mer-0+167,-0.07115255,2,-0.07115255,-49.59985581,8.272976e-05,13.612,12.145,12.145
2mer-0+114,-0.06860448,2,-0.06860448,-49.66846029,8.170633e-05,14.507,12.195,12.195
2mer-0+146,0.06661023,2,0.06661023,-49.60185006,8.134488e-05,14.144,12.213,12.213
2mer-0+182,0.03089229,2,0.03089229,-49.57095776,8.054844e-05,14.899,12.253,12.253
2mer-0+104,0.01843536,2,0.01843536,-49.5525224,8.041339e-05,15.217,12.26,12.26
2mer-0+201,-0.06819089,2,-0.06819089,-49.6207133,7.928612e-05,14.967,12.318,12.318
2mer-0+211,0.01663614,2,0.01663614,-49.60407715,7.835795e-05,14.899,12.366,12.366
2mer-0+176,-0.06198572,2,-0.06198572,-49.66606287,7.761817e-05,14.157,12.405,12.405
2mer-0+111,0.02170435,2,0.02170435,-49.64435852,7.751526e-05,14.182,12.411,12.411
2mer-0+142,0.03742328,2,0.03742328,-49.60693524,7.664531e-05,15.311,12.458,12.458
2mer-0+147,-0.04490658,2,-0.04490658,-49.65184182,7.337733e-05,15.072,12.64,12.64
2mer-0+152,-0.0708058,2,-0.0708058,-49.72264762,7.221453e-05,14.802,12.707,12.707
2mer-0+203,0.01881305,2,0.01881305,-49.70383457,7.139155e-05,15.5,12.756,12.756
2mer-0+149,0.01582046,2,0.01582046,-49.68801411,7.127776e-05,16.334,12.763,12.763
2mer-0+197,-0.01913319,2,-0.01913319,-49.70714731,7.042784e-05,15.623,12.814,12.814
2mer-0+115,-0.0669427,2,-0.0669427,-49.77409001,6.834107e-05,15.072,12.943,12.943
2mer-0+135,-0.0727134,2,-0.0727134,-49.8468034,6.717638e-05,15.623,13.018,13.018
2mer-0+157,0.00380375,2,0.00380375,-49.84299965,6.648253e-05,15.5,13.063,13.063
2mer-0+163,-0.02177217,2,-0.02177217,-49.86477183,6.630833e-05,16.142,13.074,13.074
2mer-0+170,0.0117872,2,0.0117872,-49.85298463,6.505928e-05,16.843,13.157,13.157
2mer-0+236,0.00614585,2,0.00614585,-49.84683878,6.204517e-05,16.654,13.367,13.367
2mer-0+150,0.00956151,2,0.00956151,-49.83727727,5.977358e-05,15.445,13.534,13.534
2mer-0+226,-0.03801931,2,-0.03801931,-49.87529658,5.916298e-05,15.859,13.581,13.581
2mer-0+195,-0.05767351,2,-0.05767351,-49.93297009,5.818605e-05,16.654,13.656,13.656
2mer-0+306,0.15946113,2,0.15946113,-49.77350896,5.766478e-05,16.119,13.697,13.697
2mer-0+288,0.14750505,2,0.14750505,-49.62600391,5.766478e-05,16.119,13.697,13.697
2mer-0+200,-0.04919257,2,-0.04919257,-49.67519648,5.765201e-05,16.901,13.698,13.698
2mer-0+286,0.01832116,2,0.01832116,-49.65687532,5.663738e-05,16.019,13.779,13.779
2mer-0+153,-0.02301413,2,-0.02301413,-49.67988944,5.657432e-05,15.765,13.785,13.785
2mer-0+179,-0.05998256,2,-0.05998256,-49.73987201,5.623556e-05,14.802,13.812,13.812
2mer-0+155,0.00158241,2,0.00158241,-49.73828959,5.621092e-05,15.311,13.814,13.814
2mer-0+219,0.03322546,2,0.03322546,-49.70506414,5.457366e-05,17.307,13.951,13.951
2mer-0+224,-0.03561309,2,-0.03561309,-49.74067723,5.427336e-05,17.844,13.977,13.977
2mer-0+218,0.02607053,2,0.02607053,-49.7146067,5.400175e-05,17.784,14.0,14.0
2mer-0+223,0.00672701,2,0.00672701,-49.70787969,5.319951e-05,17.266,14.07,14.07
2mer-0+154,0.01645053,2,0.01645053,-49.69142916,5.290778e-05,17.266,14.096,14.096
2mer-0+254,-0.05766183,2,-0.05766183,-49.74909098,5.117902e-05,16.34,14.253,14.253
2mer-0+233,-0.01034165,2,-0.01034165,-49.75943263,5.075385e-05,16.654,14.293,14.293
2mer-0+259,-0.04278969,2,-0.04278969,-49.80222232,5.034269e-05,17.047,14.331,14.331
2mer-0+265,-0.00595287,2,-0.00595287,-49.80817519,5.016805e-05,17.615,14.348,14.348
2mer-0+285,-0.05237373,2,-0.05237373,-49.86054892,4.981565e-05,17.132,14.382,14.382
2mer-0+284,-0.06138436,2,-0.06138436,-49.92193328,4.908731e-05,17.193,14.453,14.453
2mer-0+162,-0.05362692,2,-0.05362692,-49.97556019,4.90721e-05,16.654,14.454,14.454
2mer-0+205,0.02886972,2,0.02886972,-49.94669047,4.878337e-05,17.874,14.483,14.483
2mer-0+206,0.00821668,2,0.00821668,-49.9384738,4.733731e-05,17.467,14.629,14.629
2mer-0+199,0.0226986,2,0.0226986,-49.9157752,4.689213e-05,16.36,14.675,14.675
2mer-0+215,0.01111071,2,0.01111071,-49.90466449,4.686921e-05,17.348,14.677,14.677
2mer-0+290,0.01134229,2,0.01134229,-49.89332219,4.591074e-05,18.084,14.778,14.778
2mer-0+267,0.0311361,2,0.0311361,-49.8621861,4.563028e-05,18.283,14.809,14.809
2mer-0+228,0.00789501,2,0.00789501,-49.85429109,4.528647e-05,18.324,14.846,14.846
2mer-0+339,0.10046964,2,0.10046964,-49.75382145,4.508246e-05,17.126,14.868,14.868
2mer-0+320,0.07808086,2,0.07808086,-49.67574058,4.508246e-05,17.126,14.868,14.868
2mer-0+208,0.02898447,2,0.02898447,-49.64675612,4.49235e-05,17.932,14.886,14.886
2mer-0+253,0.02168657,2,0.02168657,-49.62506955,4.426155e-05,18.732,14.96,14.96
2mer-0+260,0.03315248,2,0.03315248,-49.59191706,4.369533e-05,17.784,15.024,15.024
2mer-0+300,0.02869143,2,0.02869143,-49.56322563,4.36466e-05,18.544,15.03,15.03
2mer-0+204,0.0166114,2,0.0166114,-49.54661423,4.349726e-05,18.19,15.047,15.047
2mer-0+282,-0.01731908,2,-0.01731908,-49.56393331,4.346848e-05,18.084,15.05,15.05
2mer-0+230,0.00285214,2,0.00285214,-49.56108117,4.282197e-05,18.219,15.126,15.126
2mer-0+379,0.0451396,2,0.0451396,-49.51594157,4.267411e-05,16.981,15.143,15.143
2mer-0+345,0.02985225,2,0.02985225,-49.48608932,4.257418e-05,17.428,15.155,15.155
2mer-0+214,0.01313694,2,0.01313694,-49.47295238,4.239307e-05,18.19,15.176,15.176
2mer-0+271,0.03806029,2,0.03806029,-49.43489209,4.234343e-05,16.843,15.182,15.182
2mer-0+264,0.01682111,2,0.01682111,-49.41807098,4.225289e-05,19.143,15.193,15.193
2mer-0+327,0.01787947,2,0.01787947,-49.40019151,4.131022e-05,17.939,15.308,15.308
2mer-0+303,0.02961385,2,0.02961385,-49.37057766,4.115073e-05,19.045,15.328,15.328
2mer-0+257,-0.02697042,2,-0.02697042,-49.39754808,4.092313e-05,18.039,15.356,15.356
2mer-0+277,0.01619269,2,0.01619269,-49.38135539,4.090509e-05,17.939,15.358,15.358
2mer-0+202,0.00586418,2,0.00586418,-49.37549122,4.071606e-05,18.219,15.382,15.382
2mer-0+337,-0.03077749,2,-0.03077749,-49.40626871,4.029466e-05,18.025,15.435,15.435
2mer-0+313,0.01013572,2,0.01013572,-49.39613298,4.011347e-05,18.103,15.459,15.459
2mer-0+326,0.02214146,2,0.02214146,-49.37399153,3.971116e-05,18.935,15.511,15.511
2mer-0+296,-0.02930648,2,-0.02930648,-49.403298,3.961911e-05,17.403,15.523,15.523
2mer-0+289,-0.03586206,2,-0.03586206,-49.43916006,3.958425e-05,16.901,15.527,15.527
2mer-0+336,-0.04949166,2,-0.04949166,-49.48865172,3.878982e-05,18.197,15.633,15.633
2mer-0+273,0.02835347,2,0.02835347,-49.46029825,3.869726e-05,17.348,15.645,15.645
2mer-0+250,-0.00896398,2,-0.00896398,-49.46926223,3.863544e-05,18.544,15.653,15.653
2mer-0+334,0.01789694,2,0.01789694,-49.45136529,3.841584e-05,19.0,15.683,15.683
2mer-0+231,-0.04036688,2,-0.04036688,-49.49173217,3.832843e-05,18.103,15.695,15.695
2mer-0+225,-0.02843145,2,-0.02843145,-49.52016362,3.80203e-05,17.615,15.737,15.737
2mer-0+356,0.02656873,2,0.02656873,-49.49359489,3.775031e-05,18.358,15.775,15.775
2mer-0+384,0.03997899,2,0.03997899,-49.4536159,3.748416e-05,18.066,15.812,15.812
2mer-0+364,0.01993054,2,0.01993054,-49.43368536,3.69922e-05,19.422,15.882,15.882
2mer-0+240,0.01449496,2,0.01449496,-49.4191904,3.668642e-05,19.087,15.926,15.926
2mer-0+402,0.05494799,2,0.05494799,-49.36424241,3.656769e-05,18.066,15.943,15.943
