N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+5,-45.44666162,2,-45.44666162,-45.44666162,0.03295058,4.283,1.651,1.651
2mer-0+2,-4.6327035,2,-4.6327035,-50.07936512,0.007997347,5.431,2.646,2.646
2mer-0+1,-4.48842277,2,-4.48842277,-54.56778789,0.007472645,5.619,2.707,2.707
2mer-0+3,-5.65129807,2,-5.65129807,-60.21908596,0.007452393,4.09,2.709,2.709
2mer-0+4,-2.13505441,2,-2.13505441,-62.35414036,0.00532638,5.769,3.03,3.03
2mer-0+10,-8.50557932,2,-8.50557932,-70.85971968,0.004459041,4.283,3.215,3.215
2mer-0+7,-0.82116874,2,-0.82116874,-71.68088842,0.004322371,7.072,3.249,3.249
2mer-0+8,-1.83469927,2,-1.83469927,-73.51558769,0.002102541,6.66,4.131,4.131
2mer-0+21,-1.76040134,2,-1.76040134,-75.27598904,0.001648892,7.682,4.479,4.479
2mer-0+23,-0.34987024,2,-0.34987024,-75.62585928,0.001393036,7.803,4.738,4.738
2mer-0+18,-1.74290487,2,-1.74290487,-77.36876415,0.001192246,7.197,4.991,4.991
2mer-0+19,0.38367594,2,0.38367594,-76.98508822,0.0008603999,7.072,5.564,5.564
2mer-0+32,-0.2161838,2,-0.2161838,-77.20127202,0.0007874066,8.811,5.731,5.731
2mer-0+34,-0.41292437,2,-0.41292437,-77.61419639,0.0007829436,9.215,5.741,5.741
2mer-0+11,-0.1175233,2,-0.1175233,-77.73171968,0.00077209,8.192,5.768,5.768
2mer-0+15,-0.31871871,2,-0.31871871,-78.05043839,0.0006868144,7.947,5.998,5.998
2mer-0+26,-0.74237117,2,-0.74237117,-78.79280956,0.0006577275,7.197,6.085,6.085
2mer-0+33,0.10082721,2,0.10082721,-78.69198235,0.0005820969,9.82,6.338,6.338
2mer-0+24,0.12692794,2,0.12692794,-78.56505441,0.0005552637,9.906,6.438,6.438
2mer-0+22,0.07428295,2,0.07428295,-78.49077146,0.0004895839,8.18,6.714,6.714
2mer-0+28,-0.06018612,2,-0.06018612,-78.55095757,0.0004846912,10.01,6.737,6.737
2mer-0+53,-0.30313776,2,-0.30313776,-78.85409533,0.0004665812,9.607,6.823,6.823
2mer-0+25,0.01243522,2,0.01243522,-78.84166011,0.0004629912,9.801,6.84,6.84
2mer-0+20,-0.30017156,2,-0.30017156,-79.14183167,0.0004515621,8.811,6.898,6.898
2mer-0+48,-0.33942243,2,-0.33942243,-79.4812541,0.0004411524,9.215,6.951,6.951
2mer-0+47,-0.25305636,2,-0.25305636,-79.73431047,0.0004060822,10.88,7.146,7.146
2mer-0+76,0.86345354,2,0.86345354,-78.87085692,0.0003871767,9.686,7.26,7.26
2mer-0+35,-0.17297073,2,-0.17297073,-79.04382765,0.0003828304,9.607,7.288,7.288
2mer-0+68,-0.17046246,2,-0.17046246,-79.21429011,0.0003487152,10.35,7.518,7.518
2mer-0+72,0.10802738,2,0.10802738,-79.10626273,0.0003128455,9.793,7.795,7.795
2mer-0+30,-0.21732758,2,-0.21732758,-79.32359031,0.0002931252,9.82,7.966,7.966
2mer-0+46,0.10009154,2,0.10009154,-79.22349878,0.0002803385,11.453,8.086,8.086
2mer-0+42,0.07736201,2,0.07736201,-79.14613677,0.0002794918,11.561,8.094,8.094
2mer-0+57,0.11504863,2,0.11504863,-79.03108814,0.0002606685,11.538,8.284,8.284
2mer-0+65,0.19428308,2,0.19428308,-78.83680507,0.0002590461,10.01,8.301,8.301
2mer-0+37,0.08407621,2,0.08407621,-78.75272885,0.0002571049,11.453,8.322,8.322
2mer-0+56,0.07266307,2,0.07266307,-78.68006578,0.0002530433,12.242,8.366,8.366
2mer-0+81,-0.16072037,2,-0.16072037,-78.84078615,0.0002489459,11.213,8.412,8.412
2mer-0+52,-0.07878347,2,-0.07878347,-78.91956963,0.0002285849,11.289,8.655,8.655
2mer-0+62,-0.25056203,2,-0.25056203,-79.17013166,0.0002216253,10.896,8.744,8.744
2mer-0+121,0.55330538,2,0.55330538,-78.61682629,0.0002146055,11.19,8.839,8.839
2mer-0+64,0.07717365,2,0.07717365,-78.53965264,0.0002034507,12.194,8.997,8.997
2mer-0+41,-0.0121761,2,-0.0121761,-78.55182874,0.0002002481,10.743,9.045,9.045
2mer-0+108,-0.06284194,2,-0.06284194,-78.61467068,0.0001959375,11.849,9.111,9.111
2mer-0+83,-0.00464726,2,-0.00464726,-78.61931794,0.000189435,11.849,9.214,9.214
2mer-0+69,0.0578966,2,0.0578966,-78.56142134,0.0001845576,12.831,9.294,9.294
2mer-0+93,-0.16957724,2,-0.16957724,-78.73099858,0.0001824619,10.88,9.33,9.33
2mer-0+107,-0.12812545,2,-0.12812545,-78.85912404,0.0001684903,11.464,9.581,9.581
2mer-0+55,0.02070531,2,0.02070531,-78.83841873,0.0001673767,11.666,9.602,9.602
2mer-0+85,0.11074151,2,0.11074151,-78.72767722,0.0001598911,12.242,9.75,9.75
2mer-0+50,0.04951579,2,0.04951579,-78.67816143,0.000157939,12.831,9.79,9.79
2mer-0+113,0.07906613,2,0.07906613,-78.5990953,0.0001552511,13.322,9.846,9.846
2mer-0+73,-0.17792859,2,-0.17792859,-78.77702389,0.0001546981,10.896,9.858,9.858
2mer-0+100,-0.12084444,2,-0.12084444,-78.89786833,0.000142538,13.612,10.13,10.13
2mer-0+120,0.09000561,2,0.09000561,-78.80786272,0.0001391773,14.01,10.211,10.211
2mer-0+94,0.03065914,2,0.03065914,-78.77720358,0.0001380712,14.144,10.238,10.238
2mer-0+133,-0.17140418,2,-0.17140418,-78.94860776,0.0001319581,12.746,10.394,10.394
2mer-0+89,-0.16428528,2,-0.16428528,-79.11289304,0.000130864,13.31,10.423,10.423
2mer-0+139,-0.07500582,2,-0.07500582,-79.18789887,0.0001272768,12.664,10.52,10.52
2mer-0+71,-0.05172639,2,-0.05172639,-79.23962526,0.000126689,12.194,10.536,10.536
2mer-0+92,0.01367772,2,0.01367772,-79.22594753,0.0001222736,13.559,10.662,10.662
2mer-0+80,0.05493849,2,0.05493849,-79.17100904,0.0001209609,12.27,10.7,10.7
2mer-0+138,0.03589962,2,0.03589962,-79.13510943,0.0001208315,13.861,10.704,10.704
2mer-0+82,-0.07636242,2,-0.07636242,-79.21147185,0.0001141258,13.322,10.91,10.91
2mer-0+123,-0.0987913,2,-0.0987913,-79.31026315,0.0001131649,13.924,10.94,10.94
2mer-0+86,0.04071199,2,0.04071199,-79.26955116,0.0001093107,14.062,11.067,11.067
2mer-0+98,0.02521945,2,0.02521945,-79.24433171,0.0001086008,14.236,11.091,11.091
2mer-0+129,-0.07676239,2,-0.07676239,-79.3210941,0.000108078,13.867,11.109,11.109
2mer-0+77,0.04479467,2,0.04479467,-79.27629943,0.0001069183,14.062,11.149,11.149
2mer-0+136,-0.06114213,2,-0.06114213,-79.33744156,0.0001051607,14.766,11.211,11.211
2mer-0+96,-0.14086332,2,-0.14086332,-79.47830488,0.000104725,13.924,11.227,11.227
2mer-0+171,0.02874884,2,0.02874884,-79.44955604,0.0001042269,13.737,11.245,11.245
2mer-0+137,-0.09541698,2,-0.09541698,-79.54497302,9.648926e-05,14.507,11.537,11.537
2mer-0+103,-0.03477666,2,-0.03477666,-79.57974969,9.636149e-05,13.861,11.543,11.543
2mer-0+187,0.01679547,2,0.01679547,-79.56295422,9.375956e-05,13.848,11.648,11.648
2mer-0+213,0.17635857,2,0.17635857,-79.38659564,9.242289e-05,13.786,11.704,11.704
2mer-0+102,-0.06313466,2,-0.06313466,-79.4497303,9.161918e-05,14.01,11.738,11.738
2mer-0+127,0.00976708,2,0.00976708,-79.43996322,9.0584e-05,15.207,11.783,11.783
2mer-0+169,-0.12795736,2,-0.12795736,-79.56792058,9.055719e-05,14.071,11.784,11.784
2mer-0+128,-0.01001057,2,-0.01001057,-79.57793114,8.99231e-05,15.139,11.812,11.812
2mer-0+140,0.07376316,2,0.07376316,-79.50416798,8.935241e-05,13.559,11.837,11.837
2mer-0+124,0.01957447,2,0.01957447,-79.48459351,8.864198e-05,15.217,11.868,11.868
2mer-0+158,-0.05655215,2,-0.05655215,-79.54114566,8.846228e-05,14.766,11.876,11.876
2mer-0+144,-0.09883685,2,-0.09883685,-79.63998251,8.659063e-05,15.072,11.961,11.961
2mer-0+132,0.02390396,2,0.02390396,-79.61607855,8.620396e-05,15.205,11.979,11.979
2mer-0+156,-0.05573849,2,-0.05573849,-79.67181704,8.594258e-05,15.859,11.991,11.991
2mer-0+161,-0.03878763,2,-0.03878763,-79.71060467,8.500215e-05,15.072,12.035,12.035
2mer-0+165,0.06020365,2,0.06020365,-79.65040102,8.482165e-05,15.765,12.044,12.044
2mer-0+101,0.0355879,2,0.0355879,-79.61481312,8.378294e-05,15.205,12.093,12.093
2mer-0+167,-0.07859123,2,-0.07859123,-79.69340435,8.272976e-05,13.612,12.145,12.145
2mer-0+114,-0.08542927,2,-0.08542927,-79.77883362,8.170633e-05,14.507,12.195,12.195
2mer-0+146,0.07501594,2,0.07501594,-79.70381768,8.134488e-05,14.144,12.213,12.213
2mer-0+182,0.03506696,2,0.03506696,-79.66875072,8.054844e-05,14.899,12.253,12.253
2mer-0+104,0.02356017,2,0.02356017,-79.64519055,8.041339e-05,15.217,12.26,12.26
2mer-0+201,-0.07736435,2,-0.07736435,-79.7225549,7.928612e-05,14.967,12.318,12.318
2mer-0+211,0.02036315,2,0.02036315,-79.70219176,7.835795e-05,14.899,12.366,12.366
2mer-0+176,-0.06929388,2,-0.06929388,-79.77148564,7.761817e-05,14.157,12.405,12.405
2mer-0+111,0.02763521,2,0.02763521,-79.74385043,7.751526e-05,14.182,12.411,12.411
2mer-0+142,0.04447192,2,0.04447192,-79.69937851,7.664531e-05,15.311,12.458,12.458
2mer-0+147,-0.05196554,2,-0.05196554,-79.75134405,7.337733e-05,15.072,12.64,12.64
2mer-0+152,-0.08397178,2,-0.08397178,-79.83531584,7.221453e-05,14.802,12.707,12.707
2mer-0+203,0.02079011,2,0.02079011,-79.81452573,7.139155e-05,15.5,12.756,12.756
2mer-0+149,0.01164963,2,0.01164963,-79.8028761,7.127776e-05,16.334,12.763,12.763
2mer-0+197,-0.0189869,2,-0.0189869,-79.821863,7.042784e-05,15.623,12.814,12.814
2mer-0+115,-0.08706103,2,-0.08706103,-79.90892403,6.834107e-05,15.072,12.943,12.943
2mer-0+135,-0.08815741,2,-0.08815741,-79.99708144,6.717638e-05,15.623,13.018,13.018
2mer-0+157,0.00526009,2,0.00526009,-79.99182135,6.648253e-05,15.5,13.063,13.063
2mer-0+163,-0.02948438,2,-0.02948438,-80.02130573,6.630833e-05,16.142,13.074,13.074
2mer-0+170,0.01560601,2,0.01560601,-80.00569972,6.505928e-05,16.843,13.157,13.157
2mer-0+236,0.00733273,2,0.00733273,-79.998367,6.204517e-05,16.654,13.367,13.367
2mer-0+150,0.01152861,2,0.01152861,-79.98683838,5.977358e-05,15.445,13.534,13.534
2mer-0+226,-0.04414876,2,-0.04414876,-80.03098714,5.916298e-05,15.859,13.581,13.581
2mer-0+195,-0.06370975,2,-0.06370975,-80.09469689,5.818605e-05,16.654,13.656,13.656
2mer-0+306,0.17136639,2,0.17136639,-79.9233305,5.766478e-05,16.119,13.697,13.697
