N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+5,-47.48133025,2,-47.48133025,-47.48133025,0.03295058,4.283,1.651,1.651
2mer-0+2,-1.60840003,2,-1.60840003,-49.08973028,0.007997347,5.431,2.646,2.646
2mer-0+1,-3.10130831,2,-3.10130831,-52.19103859,0.007472645,5.619,2.707,2.707
2mer-0+3,-2.17292495,2,-2.17292495,-54.36396354,0.007452393,4.09,2.709,2.709
2mer-0+4,-0.01831632,2,-0.01831632,-54.38227986,0.00532638,5.769,3.03,3.03
2mer-0+10,-8.96455392,2,-8.96455392,-63.34683378,0.004459041,4.283,3.215,3.215
2mer-0+7,-0.24034245,2,-0.24034245,-63.58717623,0.004322371,7.072,3.249,3.249
2mer-0+8,-2.03151896,2,-2.03151896,-65.61869519,0.002102541,6.66,4.131,4.131
2mer-0+21,-2.28929925,2,-2.28929925,-67.90799444,0.001648892,7.682,4.479,4.479
2mer-0+23,-0.18399497,2,-0.18399497,-68.09198941,0.001393036,7.803,4.738,4.738
2mer-0+18,-1.92636685,2,-1.92636685,-70.01835626,0.001192246,7.197,4.991,4.991
2mer-0+19,0.74814621,2,0.74814621,-69.27021005,0.0008603999,7.072,5.564,5.564
2mer-0+32,-0.29035173,2,-0.29035173,-69.56056178,0.0007874066,8.811,5.731,5.731
2mer-0+34,-0.46680348,2,-0.46680348,-70.02736526,0.0007829436,9.215,5.741,5.741
2mer-0+11,-0.0943941,2,-0.0943941,-70.12175936,0.00077209,8.192,5.768,5.768
2mer-0+15,-0.34466727,2,-0.34466727,-70.46642663,0.0006868144,7.947,5.998,5.998
2mer-0+26,-1.07270944,2,-1.07270944,-71.53913607,0.0006577275,7.197,6.085,6.085
2mer-0+33,0.13016457,2,0.13016457,-71.4089715,0.0005820969,9.82,6.338,6.338
2mer-0+24,0.17441239,2,0.17441239,-71.23455911,0.0005552637,9.906,6.438,6.438
2mer-0+22,0.20496021,2,0.20496021,-71.0295989,0.0004895839,8.18,6.714,6.714
2mer-0+28,-0.01470353,2,-0.01470353,-71.04430243,0.0004846912,10.01,6.737,6.737
