N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+1,-12.43761086,8,-49.75044344,-49.75044344,0.00966271,6.475,2.484,2.484
2mer-0+5,-10.81467052,4,-21.62934104,-71.37978448,0.00794005,6.64,2.653,2.653
2mer-0+13,-1.32861771,2,-1.32861771,-72.70840218,0.001909289,8.919,4.266,4.266
2mer-0+15,-0.8338924,4,-1.6677848,-74.37618698,0.001514838,9.39,4.608,4.608
2mer-0+19,-0.2315193,8,-0.92607719,-75.30226417,0.0005622003,11.119,6.412,6.412
2mer-0+23,-0.18960484,8,-0.75841935,-76.06068352,0.0004581592,11.406,6.864,6.864
2mer-0+26,-0.19755558,8,-0.79022232,-76.85090584,0.000432603,11.406,6.997,6.997
2mer-0+43,-0.08176621,8,-0.32706485,-77.17797069,0.0002159451,12.951,8.82,8.82
2mer-0+51,-0.06884986,4,-0.13769972,-77.31567041,0.0001956777,13.279,9.115,9.115
2mer-0+55,-0.0454629,8,-0.18185159,-77.497522,0.0001798615,14.178,9.375,9.375
2mer-0+67,-0.03347061,4,-0.06694121,-77.56446321,0.0001438398,14.847,10.1,10.1
2mer-0+63,-0.03446828,8,-0.1378731,-77.70233631,0.0001430019,14.774,10.119,10.119
2mer-0+71,-0.03302481,4,-0.06604963,-77.76838594,0.0001400989,14.847,10.189,10.189
2mer-0+79,-0.02047224,8,-0.08188895,-77.85027489,9.757696e-05,15.997,11.494,11.494
2mer-0+87,-0.01362301,8,-0.05449204,-77.90476693,7.629491e-05,17.006,12.477,12.477
2mer-0+88,-0.01394056,8,-0.05576225,-77.96052918,7.488784e-05,17.006,12.554,12.554
2mer-0+95,-0.012307,8,-0.04922801,-78.00975719,7.291536e-05,17.32,12.667,12.667
2mer-0+102,-0.01223338,8,-0.04893351,-78.0586907,6.881573e-05,17.32,12.913,12.913
2mer-0+110,-0.01141084,8,-0.04564335,-78.10433404,6.706137e-05,17.506,13.025,13.025
2mer-0+116,-0.01142387,8,-0.04569549,-78.15002953,6.609722e-05,17.506,13.088,13.088
2mer-0+121,-0.0101899,2,-0.0101899,-78.16021943,6.609091e-05,17.838,13.088,13.088
2mer-0+139,-0.00724545,4,-0.0144909,-78.17471033,5.422847e-05,18.78,13.981,13.981
2mer-0+137,-0.00670596,8,-0.02682382,-78.20153415,5.073588e-05,19.033,14.294,14.294
2mer-0+153,-0.0051228,8,-0.02049122,-78.22202537,4.392608e-05,19.865,14.998,14.998
2mer-0+149,-0.00591418,8,-0.02365672,-78.24568208,4.166533e-05,19.426,15.264,15.264
2mer-0+157,-0.0050827,8,-0.02033081,-78.26601289,4.05751e-05,19.865,15.4,15.4
2mer-0+165,-0.00467829,8,-0.01871317,-78.28472607,4.00824e-05,20.158,15.463,15.463
2mer-0+176,-0.00500052,4,-0.01000103,-78.2947271,3.850844e-05,19.919,15.67,15.67
2mer-0+185,-0.00386846,8,-0.01547385,-78.31020095,3.481149e-05,20.79,16.207,16.207
2mer-0+191,-0.00363297,4,-0.00726595,-78.3174669,3.445086e-05,20.997,16.263,16.263
2mer-0+196,-0.00360229,4,-0.00720459,-78.32467149,3.257152e-05,20.997,16.57,16.57
2mer-0+201,-0.00311601,8,-0.01246404,-78.33713552,3.149733e-05,21.576,16.756,16.756
2mer-0+207,-0.00289388,8,-0.01157551,-78.34871103,2.89538e-05,21.825,17.233,17.233
2mer-0+206,-0.00307641,8,-0.01230564,-78.36101668,2.833168e-05,21.576,17.358,17.358
2mer-0+220,-0.0026052,8,-0.0104208,-78.37143748,2.752666e-05,22.238,17.526,17.526
2mer-0+230,-0.00225081,8,-0.00900323,-78.38044071,2.582112e-05,22.786,17.904,17.904
2mer-0+238,-0.0022326,8,-0.00893039,-78.3893711,2.478197e-05,22.812,18.151,18.151
2mer-0+237,-0.00222274,8,-0.00889095,-78.39826205,2.453852e-05,22.812,18.21,18.21
2mer-0+256,-0.00203175,8,-0.00812701,-78.40638906,2.290083e-05,23.208,18.634,18.634
2mer-0+261,-0.00201616,8,-0.00806465,-78.41445371,2.213107e-05,23.208,18.848,18.848
2mer-0+265,-0.00187837,8,-0.00751348,-78.42196719,2.147559e-05,23.531,19.038,19.038
2mer-0+266,-0.00188225,8,-0.00752899,-78.42949618,2.125031e-05,23.531,19.105,19.105
2mer-0+291,-0.00169458,4,-0.00338917,-78.43288535,2.114509e-05,23.94,19.137,19.137
2mer-0+282,-0.00169854,8,-0.00679416,-78.43967951,2.096084e-05,23.895,19.193,19.193
2mer-0+298,-0.00169645,4,-0.0033929,-78.4430724,2.068843e-05,23.94,19.276,19.276
2mer-0+290,-0.0017041,8,-0.0068164,-78.4498888,2.007166e-05,23.895,19.472,19.472
2mer-0+304,-0.00169815,8,-0.00679259,-78.45668139,1.998526e-05,23.895,19.5,19.5
2mer-0+321,-0.00142897,8,-0.0057159,-78.46239729,1.936442e-05,24.645,19.706,19.706
