N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+1,-7.18834609,8,-28.75338437,-28.75338437,0.00966271,6.475,2.484,2.484
2mer-0+5,-6.44434509,4,-12.88869018,-41.64207455,0.00794005,6.64,2.653,2.653
2mer-0+13,-1.02509781,2,-1.02509781,-42.66717236,0.001909289,8.919,4.266,4.266
2mer-0+15,-0.6504021,4,-1.3008042,-43.96797656,0.001514838,9.39,4.608,4.608
2mer-0+19,-0.19221233,8,-0.76884933,-44.73682588,0.0005622003,11.119,6.412,6.412
2mer-0+23,-0.1580123,8,-0.6320492,-45.36887509,0.0004581592,11.406,6.864,6.864
2mer-0+26,-0.16134079,8,-0.64536317,-46.01423826,0.000432603,11.406,6.997,6.997
2mer-0+43,-0.06983439,8,-0.27933755,-46.29357581,0.0002159451,12.951,8.82,8.82
2mer-0+51,-0.05858752,4,-0.11717504,-46.41075085,0.0001956777,13.279,9.115,9.115
2mer-0+55,-0.03889044,8,-0.15556178,-46.56631262,0.0001798615,14.178,9.375,9.375
2mer-0+67,-0.02847577,4,-0.05695154,-46.62326417,0.0001438398,14.847,10.1,10.1
2mer-0+63,-0.02942267,8,-0.11769069,-46.74095485,0.0001430019,14.774,10.119,10.119
2mer-0+71,-0.02858605,4,-0.0571721,-46.79812695,0.0001400989,14.847,10.189,10.189
2mer-0+79,-0.01755191,8,-0.07020762,-46.86833457,9.757696e-05,15.997,11.494,11.494
2mer-0+87,-0.01213715,8,-0.0485486,-46.91688318,7.629491e-05,17.006,12.477,12.477
2mer-0+88,-0.01209764,8,-0.04839057,-46.96527374,7.488784e-05,17.006,12.554,12.554
2mer-0+95,-0.01070938,8,-0.04283753,-47.00811127,7.291536e-05,17.32,12.667,12.667
2mer-0+102,-0.01079063,8,-0.04316252,-47.05127379,6.881573e-05,17.32,12.913,12.913
2mer-0+110,-0.01002905,8,-0.04011619,-47.09138998,6.706137e-05,17.506,13.025,13.025
2mer-0+116,-0.01001847,8,-0.04007389,-47.13146388,6.609722e-05,17.506,13.088,13.088
2mer-0+121,-0.00903895,2,-0.00903895,-47.14050283,6.609091e-05,17.838,13.088,13.088
2mer-0+139,-0.00645967,4,-0.01291934,-47.15342217,5.422847e-05,18.78,13.981,13.981
2mer-0+137,-0.00600489,8,-0.02401956,-47.17744174,5.073588e-05,19.033,14.294,14.294
2mer-0+153,-0.00460009,8,-0.01840038,-47.19584212,4.392608e-05,19.865,14.998,14.998
2mer-0+149,-0.00522673,8,-0.0209069,-47.21674902,4.166533e-05,19.426,15.264,15.264
2mer-0+157,-0.0045521,8,-0.0182084,-47.23495742,4.05751e-05,19.865,15.4,15.4
2mer-0+165,-0.00421126,8,-0.01684504,-47.25180246,4.00824e-05,20.158,15.463,15.463
2mer-0+176,-0.00451725,4,-0.0090345,-47.26083697,3.850844e-05,19.919,15.67,15.67
2mer-0+185,-0.00345082,8,-0.01380327,-47.27464024,3.481149e-05,20.79,16.207,16.207
2mer-0+191,-0.00323811,4,-0.00647623,-47.28111647,3.445086e-05,20.997,16.263,16.263
2mer-0+196,-0.00326308,4,-0.00652616,-47.28764263,3.257152e-05,20.997,16.57,16.57
2mer-0+201,-0.0027692,8,-0.01107679,-47.29871942,3.149733e-05,21.576,16.756,16.756
2mer-0+207,-0.00254348,8,-0.0101739,-47.30889332,2.89538e-05,21.825,17.233,17.233
2mer-0+206,-0.00275807,8,-0.01103229,-47.31992561,2.833168e-05,21.576,17.358,17.358
2mer-0+220,-0.00227926,8,-0.00911705,-47.32904266,2.752666e-05,22.238,17.526,17.526
2mer-0+230,-0.00197875,8,-0.00791499,-47.33695765,2.582112e-05,22.786,17.904,17.904
2mer-0+238,-0.00193857,8,-0.00775428,-47.34471194,2.478197e-05,22.812,18.151,18.151
2mer-0+237,-0.00194394,8,-0.00777574,-47.35248768,2.453852e-05,22.812,18.21,18.21
2mer-0+256,-0.00176123,8,-0.00704494,-47.35953261,2.290083e-05,23.208,18.634,18.634
2mer-0+261,-0.00176478,8,-0.00705914,-47.36659175,2.213107e-05,23.208,18.848,18.848
2mer-0+265,-0.00160327,8,-0.00641309,-47.37300484,2.147559e-05,23.531,19.038,19.038
2mer-0+266,-0.00160861,8,-0.00643442,-47.37943926,2.125031e-05,23.531,19.105,19.105
2mer-0+291,-0.00144771,4,-0.00289542,-47.38233467,2.114509e-05,23.94,19.137,19.137
2mer-0+282,-0.00146664,8,-0.00586657,-47.38820124,2.096084e-05,23.895,19.193,19.193
2mer-0+298,-0.00143982,4,-0.00287964,-47.39108088,2.068843e-05,23.94,19.276,19.276
2mer-0+290,-0.00145871,8,-0.00583484,-47.39691572,2.007166e-05,23.895,19.472,19.472
2mer-0+304,-0.00145834,8,-0.00583334,-47.40274907,1.998526e-05,23.895,19.5,19.5
2mer-0+321,-0.00122188,8,-0.00488752,-47.40763658,1.936442e-05,24.645,19.706,19.706
