N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+1,-8.1205918,8,-32.48236721,-32.48236721,0.00966271,6.475,2.484,2.484
2mer-0+5,-7.08648795,4,-14.17297589,-46.6553431,0.00794005,6.64,2.653,2.653
2mer-0+13,-1.05772383,2,-1.05772383,-47.71306693,0.001909289,8.919,4.266,4.266
2mer-0+15,-0.65248759,4,-1.30497517,-49.01804211,0.001514838,9.39,4.608,4.608
2mer-0+19,-0.18558683,8,-0.74234732,-49.76038943,0.0005622003,11.119,6.412,6.412
2mer-0+23,-0.15078094,8,-0.60312374,-50.36351317,0.0004581592,11.406,6.864,6.864
2mer-0+26,-0.1572433,8,-0.62897321,-50.99248638,0.000432603,11.406,6.997,6.997
2mer-0+43,-0.06720735,8,-0.26882938,-51.26131576,0.0002159451,12.951,8.82,8.82
2mer-0+51,-0.05601154,4,-0.11202308,-51.37333884,0.0001956777,13.279,9.115,9.115
2mer-0+55,-0.03797043,8,-0.15188172,-51.52522056,0.0001798615,14.178,9.375,9.375
2mer-0+67,-0.0278594,4,-0.05571881,-51.58093937,0.0001438398,14.847,10.1,10.1
2mer-0+63,-0.02848376,8,-0.11393505,-51.69487442,0.0001430019,14.774,10.119,10.119
2mer-0+71,-0.02733161,4,-0.05466322,-51.74953764,0.0001400989,14.847,10.189,10.189
2mer-0+79,-0.01693459,8,-0.06773835,-51.81727599,9.757696e-05,15.997,11.494,11.494
2mer-0+87,-0.01173315,8,-0.0469326,-51.86420859,7.629491e-05,17.006,12.477,12.477
2mer-0+88,-0.0116606,8,-0.04664239,-51.91085097,7.488784e-05,17.006,12.554,12.554
2mer-0+95,-0.01037702,8,-0.04150807,-51.95235904,7.291536e-05,17.32,12.667,12.667
2mer-0+102,-0.01040187,8,-0.04160747,-51.99396652,6.881573e-05,17.32,12.913,12.913
2mer-0+110,-0.00968234,8,-0.03872934,-52.03269586,6.706137e-05,17.506,13.025,13.025
2mer-0+116,-0.00966885,8,-0.03867539,-52.07137125,6.609722e-05,17.506,13.088,13.088
2mer-0+121,-0.00900776,2,-0.00900776,-52.08037901,6.609091e-05,17.838,13.088,13.088
2mer-0+139,-0.00636986,4,-0.01273972,-52.09311873,5.422847e-05,18.78,13.981,13.981
2mer-0+137,-0.00596423,8,-0.02385694,-52.11697567,5.073588e-05,19.033,14.294,14.294
2mer-0+153,-0.00455396,8,-0.01821586,-52.13519153,4.392608e-05,19.865,14.998,14.998
2mer-0+149,-0.00518118,8,-0.0207247,-52.15591623,4.166533e-05,19.426,15.264,15.264
2mer-0+157,-0.00451344,8,-0.01805374,-52.17396998,4.05751e-05,19.865,15.4,15.4
2mer-0+165,-0.00420216,8,-0.01680864,-52.19077861,4.00824e-05,20.158,15.463,15.463
2mer-0+176,-0.00442701,4,-0.00885403,-52.19963264,3.850844e-05,19.919,15.67,15.67
2mer-0+185,-0.00345301,8,-0.01381204,-52.21344468,3.481149e-05,20.79,16.207,16.207
2mer-0+191,-0.00326113,4,-0.00652226,-52.21996694,3.445086e-05,20.997,16.263,16.263
2mer-0+196,-0.00325687,4,-0.00651374,-52.22648068,3.257152e-05,20.997,16.57,16.57
2mer-0+201,-0.00278694,8,-0.01114774,-52.23762842,3.149733e-05,21.576,16.756,16.756
2mer-0+207,-0.00258801,8,-0.01035204,-52.24798046,2.89538e-05,21.825,17.233,17.233
2mer-0+206,-0.00279881,8,-0.01119524,-52.2591757,2.833168e-05,21.576,17.358,17.358
2mer-0+220,-0.00235612,8,-0.00942447,-52.26860018,2.752666e-05,22.238,17.526,17.526
2mer-0+230,-0.00209062,8,-0.00836247,-52.27696265,2.582112e-05,22.786,17.904,17.904
2mer-0+238,-0.00202331,8,-0.00809324,-52.28505588,2.478197e-05,22.812,18.151,18.151
2mer-0+237,-0.00202236,8,-0.00808945,-52.29314533,2.453852e-05,22.812,18.21,18.21
2mer-0+256,-0.00184533,8,-0.00738132,-52.30052665,2.290083e-05,23.208,18.634,18.634
2mer-0+261,-0.00184782,8,-0.00739127,-52.30791792,2.213107e-05,23.208,18.848,18.848
2mer-0+265,-0.00169678,8,-0.00678711,-52.31470503,2.147559e-05,23.531,19.038,19.038
2mer-0+266,-0.00170959,8,-0.00683835,-52.32154338,2.125031e-05,23.531,19.105,19.105
2mer-0+291,-0.00154849,4,-0.00309699,-52.32464036,2.114509e-05,23.94,19.137,19.137
2mer-0+282,-0.00156791,8,-0.00627164,-52.330912,2.096084e-05,23.895,19.193,19.193
2mer-0+298,-0.0015516,4,-0.0031032,-52.3340152,2.068843e-05,23.94,19.276,19.276
2mer-0+290,-0.00156006,8,-0.00624024,-52.34025544,2.007166e-05,23.895,19.472,19.472
2mer-0+304,-0.00155319,8,-0.00621275,-52.34646819,1.998526e-05,23.895,19.5,19.5
2mer-0+321,-0.00134693,8,-0.0053877,-52.3518559,1.936442e-05,24.645,19.706,19.706
