N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+1,-6.40118863,8,-25.60475454,-25.60475454,0.00966271,6.475,2.484,2.484
2mer-0+5,-5.8063323,4,-11.61266459,-37.21741913,0.00794005,6.64,2.653,2.653
2mer-0+13,-0.94810292,2,-0.94810292,-38.16552205,0.001909289,8.919,4.266,4.266
2mer-0+15,-0.5939117,4,-1.1878234,-39.35334545,0.001514838,9.39,4.608,4.608
2mer-0+19,-0.17235855,8,-0.68943418,-40.04277963,0.0005622003,11.119,6.412,6.412
2mer-0+23,-0.14071803,8,-0.56287213,-40.60565176,0.0004581592,11.406,6.864,6.864
2mer-0+26,-0.14464315,8,-0.57857261,-41.18422437,0.000432603,11.406,6.997,6.997
2mer-0+43,-0.06229821,8,-0.24919286,-41.43341723,0.0002159451,12.951,8.82,8.82
2mer-0+51,-0.0521086,4,-0.1042172,-41.53763443,0.0001956777,13.279,9.115,9.115
2mer-0+55,-0.0347605,8,-0.139042,-41.67667642,0.0001798615,14.178,9.375,9.375
2mer-0+67,-0.02533369,4,-0.05066739,-41.72734381,0.0001438398,14.847,10.1,10.1
2mer-0+63,-0.02616542,8,-0.10466167,-41.83200548,0.0001430019,14.774,10.119,10.119
2mer-0+71,-0.02539775,4,-0.05079551,-41.88280099,0.0001400989,14.847,10.189,10.189
2mer-0+79,-0.01551888,8,-0.06207553,-41.94487652,9.757696e-05,15.997,11.494,11.494
2mer-0+87,-0.01074106,8,-0.04296422,-41.98784074,7.629491e-05,17.006,12.477,12.477
2mer-0+88,-0.01075646,8,-0.04302585,-42.03086659,7.488784e-05,17.006,12.554,12.554
2mer-0+95,-0.00947239,8,-0.03788958,-42.06875617,7.291536e-05,17.32,12.667,12.667
2mer-0+102,-0.00956368,8,-0.03825474,-42.1070109,6.881573e-05,17.32,12.913,12.913
2mer-0+110,-0.00885061,8,-0.03540245,-42.14241335,6.706137e-05,17.506,13.025,13.025
2mer-0+116,-0.00888052,8,-0.03552209,-42.17793544,6.609722e-05,17.506,13.088,13.088
2mer-0+121,-0.00805674,2,-0.00805674,-42.18599218,6.609091e-05,17.838,13.088,13.088
2mer-0+139,-0.00572214,4,-0.01144428,-42.19743646,5.422847e-05,18.78,13.981,13.981
2mer-0+137,-0.00533553,8,-0.02134213,-42.2187786,5.073588e-05,19.033,14.294,14.294
2mer-0+153,-0.00406987,8,-0.01627949,-42.23505809,4.392608e-05,19.865,14.998,14.998
2mer-0+149,-0.00462117,8,-0.01848469,-42.25354278,4.166533e-05,19.426,15.264,15.264
2mer-0+157,-0.00402958,8,-0.01611831,-42.26966109,4.05751e-05,19.865,15.4,15.4
2mer-0+165,-0.00373714,8,-0.01494856,-42.28460964,4.00824e-05,20.158,15.463,15.463
2mer-0+176,-0.00399425,4,-0.00798851,-42.29259815,3.850844e-05,19.919,15.67,15.67
2mer-0+185,-0.00305198,8,-0.01220791,-42.30480606,3.481149e-05,20.79,16.207,16.207
2mer-0+191,-0.0028624,4,-0.00572481,-42.31053087,3.445086e-05,20.997,16.263,16.263
2mer-0+196,-0.00288507,4,-0.00577013,-42.316301,3.257152e-05,20.997,16.57,16.57
2mer-0+201,-0.00245904,8,-0.00983615,-42.32613715,3.149733e-05,21.576,16.756,16.756
2mer-0+207,-0.00224394,8,-0.00897575,-42.3351129,2.89538e-05,21.825,17.233,17.233
2mer-0+206,-0.00243057,8,-0.0097223,-42.34483519,2.833168e-05,21.576,17.358,17.358
2mer-0+220,-0.00201656,8,-0.00806624,-42.35290144,2.752666e-05,22.238,17.526,17.526
2mer-0+230,-0.0017575,8,-0.00703001,-42.35993144,2.582112e-05,22.786,17.904,17.904
2mer-0+238,-0.00171023,8,-0.00684091,-42.36677235,2.478197e-05,22.812,18.151,18.151
2mer-0+237,-0.00171688,8,-0.00686754,-42.37363989,2.453852e-05,22.812,18.21,18.21
2mer-0+256,-0.0015584,8,-0.00623361,-42.3798735,2.290083e-05,23.208,18.634,18.634
2mer-0+261,-0.00156256,8,-0.00625023,-42.38612374,2.213107e-05,23.208,18.848,18.848
2mer-0+265,-0.00141807,8,-0.00567227,-42.39179601,2.147559e-05,23.531,19.038,19.038
2mer-0+266,-0.00141851,8,-0.00567402,-42.39747003,2.125031e-05,23.531,19.105,19.105
2mer-0+291,-0.0012789,4,-0.0025578,-42.40002783,2.114509e-05,23.94,19.137,19.137
2mer-0+282,-0.00129651,8,-0.00518605,-42.40521388,2.096084e-05,23.895,19.193,19.193
2mer-0+298,-0.00127165,4,-0.0025433,-42.40775719,2.068843e-05,23.94,19.276,19.276
2mer-0+290,-0.00128451,8,-0.00513802,-42.41289521,2.007166e-05,23.895,19.472,19.472
2mer-0+304,-0.0012882,8,-0.0051528,-42.41804801,1.998526e-05,23.895,19.5,19.5
2mer-0+321,-0.00108184,8,-0.00432738,-42.42237539,1.936442e-05,24.645,19.706,19.706
