N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+1,-8.31806968,8,-33.27227872,-33.27227872,0.00966271,6.475,2.484,2.484
2mer-0+5,-7.2154943,4,-14.4309886,-47.70326732,0.00794005,6.64,2.653,2.653
2mer-0+13,-1.07452365,2,-1.07452365,-48.77779097,0.001909289,8.919,4.266,4.266
2mer-0+15,-0.6629406,4,-1.3258812,-50.10367217,0.001514838,9.39,4.608,4.608
2mer-0+19,-0.19054699,8,-0.76218795,-50.86586013,0.0005622003,11.119,6.412,6.412
2mer-0+23,-0.15572233,8,-0.6228893,-51.48874943,0.0004581592,11.406,6.864,6.864
2mer-0+26,-0.16061603,8,-0.64246414,-52.13121357,0.000432603,11.406,6.997,6.997
2mer-0+43,-0.06898942,8,-0.27595769,-52.40717125,0.0002159451,12.951,8.82,8.82
2mer-0+51,-0.05755727,4,-0.11511454,-52.52228579,0.0001956777,13.279,9.115,9.115
2mer-0+55,-0.0388191,8,-0.15527641,-52.6775622,0.0001798615,14.178,9.375,9.375
2mer-0+67,-0.02851077,4,-0.05702153,-52.73458373,0.0001438398,14.847,10.1,10.1
2mer-0+63,-0.02918904,8,-0.11675615,-52.85133988,0.0001430019,14.774,10.119,10.119
2mer-0+71,-0.02805724,4,-0.05611448,-52.90745437,0.0001400989,14.847,10.189,10.189
2mer-0+79,-0.01742703,8,-0.06970812,-52.97716249,9.757696e-05,15.997,11.494,11.494
2mer-0+87,-0.01208236,8,-0.04832944,-53.02549193,7.629491e-05,17.006,12.477,12.477
2mer-0+88,-0.01193318,8,-0.04773273,-53.07322466,7.488784e-05,17.006,12.554,12.554
2mer-0+95,-0.01066731,8,-0.04266925,-53.11589392,7.291536e-05,17.32,12.667,12.667
2mer-0+102,-0.01068113,8,-0.04272452,-53.15861844,6.881573e-05,17.32,12.913,12.913
2mer-0+110,-0.00998085,8,-0.0399234,-53.19854184,6.706137e-05,17.506,13.025,13.025
2mer-0+116,-0.00991132,8,-0.03964529,-53.23818713,6.609722e-05,17.506,13.088,13.088
2mer-0+121,-0.00919424,2,-0.00919424,-53.24738137,6.609091e-05,17.838,13.088,13.088
2mer-0+139,-0.00652758,4,-0.01305515,-53.26043652,5.422847e-05,18.78,13.981,13.981
2mer-0+137,-0.00610133,8,-0.0244053,-53.28484183,5.073588e-05,19.033,14.294,14.294
2mer-0+153,-0.00467602,8,-0.01870409,-53.30354592,4.392608e-05,19.865,14.998,14.998
2mer-0+149,-0.005317,8,-0.02126798,-53.3248139,4.166533e-05,19.426,15.264,15.264
2mer-0+157,-0.00462422,8,-0.0184969,-53.34331079,4.05751e-05,19.865,15.4,15.4
2mer-0+165,-0.00430296,8,-0.01721183,-53.36052262,4.00824e-05,20.158,15.463,15.463
2mer-0+176,-0.00454851,4,-0.00909702,-53.36961964,3.850844e-05,19.919,15.67,15.67
2mer-0+185,-0.0035425,8,-0.01416998,-53.38378962,3.481149e-05,20.79,16.207,16.207
2mer-0+191,-0.00334448,4,-0.00668897,-53.39047859,3.445086e-05,20.997,16.263,16.263
2mer-0+196,-0.00334483,4,-0.00668965,-53.39716824,3.257152e-05,20.997,16.57,16.57
2mer-0+201,-0.00284844,8,-0.01139378,-53.40856202,3.149733e-05,21.576,16.756,16.756
2mer-0+207,-0.00265836,8,-0.01063344,-53.41919546,2.89538e-05,21.825,17.233,17.233
2mer-0+206,-0.00288169,8,-0.01152676,-53.43072221,2.833168e-05,21.576,17.358,17.358
2mer-0+220,-0.00241266,8,-0.00965064,-53.44037285,2.752666e-05,22.238,17.526,17.526
2mer-0+230,-0.0021334,8,-0.00853361,-53.44890646,2.582112e-05,22.786,17.904,17.904
2mer-0+238,-0.00207613,8,-0.00830452,-53.45721098,2.478197e-05,22.812,18.151,18.151
2mer-0+237,-0.00207417,8,-0.00829666,-53.46550764,2.453852e-05,22.812,18.21,18.21
2mer-0+256,-0.00188921,8,-0.00755684,-53.47306448,2.290083e-05,23.208,18.634,18.634
2mer-0+261,-0.00189092,8,-0.00756368,-53.48062816,2.213107e-05,23.208,18.848,18.848
2mer-0+265,-0.00173472,8,-0.00693889,-53.48756706,2.147559e-05,23.531,19.038,19.038
2mer-0+266,-0.00175397,8,-0.00701587,-53.49458293,2.125031e-05,23.531,19.105,19.105
2mer-0+291,-0.0015866,4,-0.00317319,-53.49775612,2.114509e-05,23.94,19.137,19.137
2mer-0+282,-0.00160482,8,-0.00641929,-53.50417542,2.096084e-05,23.895,19.193,19.193
2mer-0+298,-0.00158763,4,-0.00317525,-53.50735067,2.068843e-05,23.94,19.276,19.276
2mer-0+290,-0.00160196,8,-0.00640782,-53.51375849,2.007166e-05,23.895,19.472,19.472
2mer-0+304,-0.00158911,8,-0.00635643,-53.52011492,1.998526e-05,23.895,19.5,19.5
2mer-0+321,-0.00137672,8,-0.00550689,-53.52562181,1.936442e-05,24.645,19.706,19.706
