N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+1,-12.19067368,8,-48.76269473,-48.76269473,0.00966271,6.475,2.484,2.484
2mer-0+5,-11.01124821,4,-22.02249641,-70.78519115,0.00794005,6.64,2.653,2.653
2mer-0+13,-1.47081156,2,-1.47081156,-72.25600271,0.001909289,8.919,4.266,4.266
2mer-0+15,-0.88282917,4,-1.76565833,-74.02166104,0.001514838,9.39,4.608,4.608
2mer-0+19,-0.23047217,8,-0.92188867,-74.94354971,0.0005622003,11.119,6.412,6.412
2mer-0+23,-0.18797179,8,-0.75188717,-75.69543687,0.0004581592,11.406,6.864,6.864
2mer-0+26,-0.19715521,8,-0.78862084,-76.48405771,0.000432603,11.406,6.997,6.997
2mer-0+43,-0.08159106,8,-0.32636425,-76.81042195,0.0002159451,12.951,8.82,8.82
2mer-0+51,-0.06899583,4,-0.13799166,-76.94841362,0.0001956777,13.279,9.115,9.115
2mer-0+55,-0.04562795,8,-0.1825118,-77.13092541,0.0001798615,14.178,9.375,9.375
2mer-0+67,-0.03366268,4,-0.06732535,-77.19825076,0.0001438398,14.847,10.1,10.1
2mer-0+63,-0.03460444,8,-0.13841775,-77.33666852,0.0001430019,14.774,10.119,10.119
2mer-0+71,-0.03346851,4,-0.06693701,-77.40360553,0.0001400989,14.847,10.189,10.189
2mer-0+79,-0.02054636,8,-0.08218544,-77.48579097,9.757696e-05,15.997,11.494,11.494
2mer-0+87,-0.01387,8,-0.05548,-77.54127097,7.629491e-05,17.006,12.477,12.477
2mer-0+88,-0.01404675,8,-0.056187,-77.59745797,7.488784e-05,17.006,12.554,12.554
2mer-0+95,-0.01240133,8,-0.04960531,-77.64706328,7.291536e-05,17.32,12.667,12.667
2mer-0+102,-0.01241723,8,-0.04966893,-77.69673221,6.881573e-05,17.32,12.913,12.913
2mer-0+110,-0.01152119,8,-0.04608477,-77.74281697,6.706137e-05,17.506,13.025,13.025
2mer-0+116,-0.01163641,8,-0.04654566,-77.78936263,6.609722e-05,17.506,13.088,13.088
2mer-0+121,-0.01036165,2,-0.01036165,-77.79972428,6.609091e-05,17.838,13.088,13.088
2mer-0+139,-0.00742279,4,-0.01484557,-77.81456985,5.422847e-05,18.78,13.981,13.981
2mer-0+137,-0.00685545,8,-0.02742181,-77.84199166,5.073588e-05,19.033,14.294,14.294
2mer-0+153,-0.00520457,8,-0.02081828,-77.86280994,4.392608e-05,19.865,14.998,14.998
2mer-0+149,-0.00598285,8,-0.02393141,-77.88674135,4.166533e-05,19.426,15.264,15.264
2mer-0+157,-0.00522379,8,-0.02089516,-77.90763651,4.05751e-05,19.865,15.4,15.4
2mer-0+165,-0.00477996,8,-0.01911985,-77.92675635,4.00824e-05,20.158,15.463,15.463
2mer-0+176,-0.0051182,4,-0.0102364,-77.93699276,3.850844e-05,19.919,15.67,15.67
2mer-0+185,-0.00391027,8,-0.0156411,-77.95263385,3.481149e-05,20.79,16.207,16.207
2mer-0+191,-0.00370772,4,-0.00741543,-77.96004929,3.445086e-05,20.997,16.263,16.263
2mer-0+196,-0.00367719,4,-0.00735439,-77.96740367,3.257152e-05,20.997,16.57,16.57
2mer-0+201,-0.00312622,8,-0.0125049,-77.97990857,3.149733e-05,21.576,16.756,16.756
2mer-0+207,-0.0029129,8,-0.01165158,-77.99156016,2.89538e-05,21.825,17.233,17.233
2mer-0+206,-0.00309863,8,-0.01239452,-78.00395468,2.833168e-05,21.576,17.358,17.358
2mer-0+220,-0.00260126,8,-0.01040505,-78.01435973,2.752666e-05,22.238,17.526,17.526
2mer-0+230,-0.00223204,8,-0.00892814,-78.02328787,2.582112e-05,22.786,17.904,17.904
2mer-0+238,-0.00220541,8,-0.00882162,-78.03210949,2.478197e-05,22.812,18.151,18.151
2mer-0+237,-0.00220527,8,-0.00882106,-78.04093055,2.453852e-05,22.812,18.21,18.21
2mer-0+256,-0.0019966,8,-0.0079864,-78.04891695,2.290083e-05,23.208,18.634,18.634
2mer-0+261,-0.00199565,8,-0.00798259,-78.05689954,2.213107e-05,23.208,18.848,18.848
2mer-0+265,-0.00183778,8,-0.00735111,-78.06425065,2.147559e-05,23.531,19.038,19.038
2mer-0+266,-0.00181213,8,-0.00724854,-78.07149919,2.125031e-05,23.531,19.105,19.105
2mer-0+291,-0.0016551,4,-0.0033102,-78.07480939,2.114509e-05,23.94,19.137,19.137
2mer-0+282,-0.00165358,8,-0.0066143,-78.08142369,2.096084e-05,23.895,19.193,19.193
2mer-0+298,-0.00165356,4,-0.00330713,-78.08473082,2.068843e-05,23.94,19.276,19.276
2mer-0+290,-0.00165286,8,-0.00661146,-78.09134228,2.007166e-05,23.895,19.472,19.472
2mer-0+304,-0.00165545,8,-0.0066218,-78.09796408,1.998526e-05,23.895,19.5,19.5
2mer-0+321,-0.0013664,8,-0.00546558,-78.10342966,1.936442e-05,24.645,19.706,19.706
