N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+1,-9.6030056,8,-38.4120224,-38.4120224,0.00966271,6.475,2.484,2.484
2mer-0+5,-8.1759816,4,-16.3519632,-54.7639856,0.00794005,6.64,2.653,2.653
2mer-0+13,-1.13981202,2,-1.13981202,-55.90379762,0.001909289,8.919,4.266,4.266
2mer-0+15,-0.71182669,4,-1.42365338,-57.327451,0.001514838,9.39,4.608,4.608
2mer-0+19,-0.20679096,8,-0.82716384,-58.15461484,0.0005622003,11.119,6.412,6.412
2mer-0+23,-0.16900409,8,-0.67601636,-58.8306312,0.0004581592,11.406,6.864,6.864
2mer-0+26,-0.17492545,8,-0.6997018,-59.530333,0.000432603,11.406,6.997,6.997
2mer-0+43,-0.07536204,8,-0.30144816,-59.83178116,0.0002159451,12.951,8.82,8.82
2mer-0+51,-0.06291797,4,-0.12583594,-59.9576171,0.0001956777,13.279,9.115,9.115
2mer-0+55,-0.04245708,8,-0.16982832,-60.12744542,0.0001798615,14.178,9.375,9.375
2mer-0+67,-0.03134449,4,-0.06268898,-60.1901344,0.0001438398,14.847,10.1,10.1
2mer-0+63,-0.03204975,8,-0.128199,-60.3183334,0.0001430019,14.774,10.119,10.119
2mer-0+71,-0.03080306,4,-0.06160612,-60.37993952,0.0001400989,14.847,10.189,10.189
2mer-0+79,-0.01915522,8,-0.07662088,-60.4565604,9.757696e-05,15.997,11.494,11.494
2mer-0+87,-0.01332925,8,-0.053317,-60.5098774,7.629491e-05,17.006,12.477,12.477
2mer-0+88,-0.01316098,8,-0.05264392,-60.56252132,7.488784e-05,17.006,12.554,12.554
2mer-0+95,-0.01176697,8,-0.04706788,-60.6095892,7.291536e-05,17.32,12.667,12.667
2mer-0+102,-0.0117946,8,-0.0471784,-60.6567676,6.881573e-05,17.32,12.913,12.913
2mer-0+110,-0.01101699,8,-0.04406796,-60.70083556,6.706137e-05,17.506,13.025,13.025
2mer-0+116,-0.01094495,8,-0.0437798,-60.74461536,6.609722e-05,17.506,13.088,13.088
2mer-0+121,-0.01013688,2,-0.01013688,-60.75475224,6.609091e-05,17.838,13.088,13.088
2mer-0+139,-0.00721927,4,-0.01443854,-60.76919078,5.422847e-05,18.78,13.981,13.981
2mer-0+137,-0.00673927,8,-0.02695708,-60.79614786,5.073588e-05,19.033,14.294,14.294
2mer-0+153,-0.00517849,8,-0.02071396,-60.81686182,4.392608e-05,19.865,14.998,14.998
2mer-0+149,-0.00588198,8,-0.02352792,-60.84038974,4.166533e-05,19.426,15.264,15.264
2mer-0+157,-0.00511575,8,-0.020463,-60.86085274,4.05751e-05,19.865,15.4,15.4
2mer-0+165,-0.00476131,8,-0.01904524,-60.87989798,4.00824e-05,20.158,15.463,15.463
2mer-0+176,-0.00503817,4,-0.01007634,-60.88997432,3.850844e-05,19.919,15.67,15.67
2mer-0+185,-0.00392591,8,-0.01570364,-60.90567796,3.481149e-05,20.79,16.207,16.207
2mer-0+191,-0.0037077,4,-0.0074154,-60.91309336,3.445086e-05,20.997,16.263,16.263
2mer-0+196,-0.00370752,4,-0.00741504,-60.9205084,3.257152e-05,20.997,16.57,16.57
2mer-0+201,-0.00316045,8,-0.0126418,-60.9331502,3.149733e-05,21.576,16.756,16.756
2mer-0+207,-0.00294678,8,-0.01178712,-60.94493732,2.89538e-05,21.825,17.233,17.233
2mer-0+206,-0.00319674,8,-0.01278696,-60.95772428,2.833168e-05,21.576,17.358,17.358
2mer-0+220,-0.00267874,8,-0.01071496,-60.96843924,2.752666e-05,22.238,17.526,17.526
2mer-0+230,-0.00236702,8,-0.00946808,-60.97790732,2.582112e-05,22.786,17.904,17.904
2mer-0+238,-0.00230389,8,-0.00921556,-60.98712288,2.478197e-05,22.812,18.151,18.151
2mer-0+237,-0.00230177,8,-0.00920708,-60.99632996,2.453852e-05,22.812,18.21,18.21
2mer-0+256,-0.00209998,8,-0.00839992,-61.00472988,2.290083e-05,23.208,18.634,18.634
2mer-0+261,-0.00210384,8,-0.00841536,-61.01314524,2.213107e-05,23.208,18.848,18.848
2mer-0+265,-0.00192807,8,-0.00771228,-61.02085752,2.147559e-05,23.531,19.038,19.038
2mer-0+266,-0.00195016,8,-0.00780064,-61.02865816,2.125031e-05,23.531,19.105,19.105
2mer-0+291,-0.00176302,4,-0.00352604,-61.0321842,2.114509e-05,23.94,19.137,19.137
2mer-0+282,-0.0017853,8,-0.0071412,-61.0393254,2.096084e-05,23.895,19.193,19.193
2mer-0+298,-0.00176571,4,-0.00353142,-61.04285682,2.068843e-05,23.94,19.276,19.276
2mer-0+290,-0.00178132,8,-0.00712528,-61.0499821,2.007166e-05,23.895,19.472,19.472
2mer-0+304,-0.00176571,8,-0.00706284,-61.05704494,1.998526e-05,23.895,19.5,19.5
2mer-0+321,-0.00153346,8,-0.00613384,-61.06317878,1.936442e-05,24.645,19.706,19.706
