N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+7,-10.20264557,6,-30.6079367,-30.6079367,0.01035114,3.418,2.428,2.428
2mer-0+1,-1.32803771,6,-3.98411314,-34.59204984,0.008552206,3.883,2.588,2.588
2mer-0+13,-1.07720849,6,-3.23162546,-37.8236753,0.002413713,5.13,3.945,3.945
2mer-0+25,-0.61831992,6,-1.85495976,-39.67863507,0.001389709,6.165,4.742,4.742
2mer-0+19,-0.07456699,6,-0.22370097,-39.90233604,0.001177252,6.434,5.012,5.012
2mer-0+16,0.12945507,6,0.38836522,-39.51397082,0.0010229,6.692,5.252,5.252
2mer-0+43,0.55590587,6,1.66771762,-37.8462532,0.0008634158,5.883,5.557,5.557
2mer-0+40,0.35079805,6,1.05239414,-36.79385905,0.0007499443,7.256,5.824,5.824
2mer-0+34,-0.42848942,6,-1.28546827,-38.07932733,0.0005466677,7.256,6.472,6.472
2mer-0+61,-0.37821876,6,-1.13465627,-39.2139836,0.0004863604,8.02,6.729,6.729
2mer-0+80,0.00589589,6,0.01768766,-39.19629593,0.0004665696,7.806,6.823,6.823
2mer-0+46,0.0977055,6,0.29311651,-38.90317942,0.0004140415,8.433,7.1,7.1
2mer-0+49,-0.13439828,6,-0.40319485,-39.30637427,0.0004023541,8.229,7.168,7.168
2mer-0+68,0.10175402,6,0.30526206,-39.00111221,0.0003644116,8.886,7.409,7.409
2mer-0+92,-0.00984377,6,-0.0295313,-39.0306435,0.0002991027,9.697,7.913,7.913
2mer-0+77,-0.07010107,6,-0.21030321,-39.24094671,0.0002864545,9.697,8.028,8.028
2mer-0+65,0.01304322,6,0.03912966,-39.20181705,0.000249798,9.871,8.402,8.402
2mer-0+110,-0.07211601,6,-0.21634802,-39.41816507,0.0002473172,9.521,8.43,8.43
2mer-0+64,-0.2937697,2,-0.2937697,-39.71193477,0.0002345022,8.886,8.581,8.581
2mer-0+143,0.31365445,6,0.94096336,-38.77097142,0.0002301459,9.158,8.635,8.635
2mer-0+104,-0.16966703,6,-0.50900109,-39.27997251,0.0002275514,9.521,8.668,8.668
2mer-0+125,-0.16088099,6,-0.48264298,-39.76261549,0.0002264903,9.341,8.681,8.681
