N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+7,-10.55430839,6,-31.66292516,-31.66292516,0.01035114,3.418,2.428,2.428
2mer-0+1,-1.09862705,6,-3.29588114,-34.9588063,0.008552206,3.883,2.588,2.588
2mer-0+13,-1.03620085,6,-3.10860256,-38.06740886,0.002413713,5.13,3.945,3.945
2mer-0+25,-0.61524605,6,-1.84573815,-39.91314702,0.001389709,6.165,4.742,4.742
2mer-0+19,-0.07243668,6,-0.21731004,-40.13045706,0.001177252,6.434,5.012,5.012
2mer-0+16,0.13045537,6,0.39136611,-39.73909095,0.0010229,6.692,5.252,5.252
2mer-0+43,0.55291073,6,1.65873219,-38.08035876,0.0008634158,5.883,5.557,5.557
2mer-0+40,0.34905494,6,1.04716483,-37.03319393,0.0007499443,7.256,5.824,5.824
2mer-0+34,-0.43126863,6,-1.29380588,-38.3269998,0.0005466677,7.256,6.472,6.472
2mer-0+61,-0.38030634,6,-1.14091901,-39.46791882,0.0004863604,8.02,6.729,6.729
2mer-0+80,0.00340174,6,0.01020523,-39.45771359,0.0004665696,7.806,6.823,6.823
2mer-0+46,0.09616137,6,0.28848411,-39.16922948,0.0004140415,8.433,7.1,7.1
2mer-0+49,-0.13621583,6,-0.40864748,-39.57787697,0.0004023541,8.229,7.168,7.168
2mer-0+68,0.10034314,6,0.30102943,-39.27684754,0.0003644116,8.886,7.409,7.409
2mer-0+92,-0.01079866,6,-0.03239598,-39.30924352,0.0002991027,9.697,7.913,7.913
2mer-0+77,-0.07107096,6,-0.21321287,-39.52245638,0.0002864545,9.697,8.028,8.028
2mer-0+65,0.01216658,6,0.03649975,-39.48595663,0.000249798,9.871,8.402,8.402
2mer-0+110,-0.07321401,6,-0.21964203,-39.70559866,0.0002473172,9.521,8.43,8.43
2mer-0+64,-0.29529625,2,-0.29529625,-40.00089491,0.0002345022,8.886,8.581,8.581
2mer-0+143,0.31228779,6,0.93686338,-39.06403153,0.0002301459,9.158,8.635,8.635
2mer-0+104,-0.17076832,6,-0.51230497,-39.57633651,0.0002275514,9.521,8.668,8.668
2mer-0+125,-0.16211041,6,-0.48633123,-40.06266774,0.0002264903,9.341,8.681,8.681
2mer-0+74,0.1008106,6,0.30243181,-39.76023593,0.0002133562,10.041,8.856,8.856
2mer-0+107,-0.01862177,6,-0.05586531,-39.81610123,0.0002024847,10.261,9.012,9.012
2mer-0+171,-0.03060943,6,-0.0918283,-39.90792953,0.0001815655,10.657,9.345,9.345
2mer-0+177,-0.10225696,6,-0.30677088,-40.21470041,0.0001685765,10.657,9.579,9.579
2mer-0+113,0.06776949,6,0.20330847,-40.01139194,0.0001625171,11.276,9.697,9.697
2mer-0+131,0.02517509,6,0.07552526,-39.93586668,0.0001579587,11.124,9.789,9.789
2mer-0+128,-0.00017169,6,-0.00051507,-39.93638175,0.0001554371,11.124,9.842,9.842
2mer-0+174,0.06413501,6,0.19240504,-39.74397671,0.0001491415,11.472,9.979,9.979
2mer-0+198,0.11792791,6,0.35378374,-39.39019297,0.0001485141,10.497,9.993,9.993
2mer-0+162,0.06849134,6,0.20547401,-39.18471896,0.0001434837,11.472,10.108,10.108
2mer-0+201,-0.06195021,6,-0.18585062,-39.37056958,0.0001268389,11.971,10.532,10.532
2mer-0+159,-0.07792543,6,-0.23377628,-39.60434587,0.0001235423,11.472,10.625,10.625
2mer-0+140,-0.07304094,6,-0.21912283,-39.82346869,0.0001235423,11.472,10.625,10.625
2mer-0+183,-0.03726681,6,-0.11180044,-39.93526914,0.0001197594,12.111,10.736,10.736
2mer-0+255,0.00025267,6,0.00075802,-39.93451112,0.000114324,11.684,10.903,10.903
2mer-0+237,0.06613054,6,0.19839161,-39.73611951,0.0001119786,12.567,10.979,10.979
2mer-0+153,0.03043366,6,0.09130097,-39.64481853,0.0001073345,12.388,11.135,11.135
2mer-0+204,0.01727193,6,0.05181579,-39.59300275,0.0001049051,12.567,11.22,11.22
2mer-0+264,-0.02374629,6,-0.07123887,-39.66424161,0.0001029792,13.024,11.29,11.29
2mer-0+219,0.01310489,6,0.03931467,-39.62492695,0.0001017364,12.567,11.336,11.336
2mer-0+216,-0.00200307,6,-0.00600921,-39.63093616,9.317695e-05,13.282,11.673,11.673
2mer-0+252,-0.07783627,6,-0.23350881,-39.86444496,9.216023e-05,13.024,11.715,11.715
2mer-0+315,0.02776391,6,0.08329172,-39.78115324,9.168751e-05,12.761,11.735,11.735
2mer-0+291,-0.04115437,6,-0.12346312,-39.90461636,8.947805e-05,12.893,11.831,11.831
2mer-0+192,0.02237469,6,0.06712408,-39.83749228,8.719771e-05,13.409,11.933,11.933
2mer-0+231,0.0320887,6,0.09626611,-39.74122616,8.649445e-05,13.409,11.966,11.966
2mer-0+267,-0.01267385,6,-0.03802155,-39.77924772,8.628702e-05,13.153,11.975,11.975
2mer-0+222,-0.0537495,6,-0.16124849,-39.94049621,8.628702e-05,13.153,11.975,11.975
2mer-0+195,-0.09945707,6,-0.29837121,-40.23886742,8.550892e-05,12.567,12.012,12.012
2mer-0+210,0.05229812,6,0.15689437,-40.08197306,8.497992e-05,13.534,12.036,12.036
2mer-0+312,-0.00189091,6,-0.00567274,-40.0876458,7.988157e-05,12.761,12.287,12.287
2mer-0+348,0.12887624,6,0.38662872,-39.70101708,7.879305e-05,12.627,12.344,12.344
2mer-0+300,0.00684458,6,0.02053374,-39.68048334,7.650791e-05,14.238,12.465,12.465
2mer-0+282,-0.03996193,6,-0.11988578,-39.80036912,7.575374e-05,14.118,12.506,12.506
2mer-0+360,-0.01248014,6,-0.03744042,-39.83780955,7.170707e-05,13.876,12.737,12.737
