N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+7,-11.27547701,6,-33.82643104,-33.82643104,0.01035114,3.418,2.428,2.428
2mer-0+1,-1.11463078,6,-3.34389233,-37.17032338,0.008552206,3.883,2.588,2.588
2mer-0+13,-0.52364105,6,-1.57092315,-38.74124652,0.002413713,5.13,3.945,3.945
2mer-0+25,-0.66421682,6,-1.99265045,-40.73389697,0.001389709,6.165,4.742,4.742
2mer-0+19,-0.15331731,6,-0.45995192,-41.19384889,0.001177252,6.434,5.012,5.012
2mer-0+16,0.51585457,6,1.54756371,-39.64628518,0.0010229,6.692,5.252,5.252
2mer-0+43,0.98676092,6,2.96028277,-36.68600241,0.0008634158,5.883,5.557,5.557
2mer-0+40,0.52903532,6,1.58710597,-35.09889645,0.0007499443,7.256,5.824,5.824
2mer-0+34,-0.59718953,6,-1.79156858,-36.89046503,0.0005466677,7.256,6.472,6.472
2mer-0+61,-0.55659173,6,-1.66977518,-38.56024021,0.0004863604,8.02,6.729,6.729
2mer-0+80,0.09540683,6,0.2862205,-38.2740197,0.0004665696,7.806,6.823,6.823
2mer-0+46,0.18052302,6,0.54156907,-37.73245064,0.0004140415,8.433,7.1,7.1
2mer-0+49,-0.31634854,6,-0.94904561,-38.68149625,0.0004023541,8.229,7.168,7.168
2mer-0+68,0.1776286,6,0.53288581,-38.14861044,0.0003644116,8.886,7.409,7.409
2mer-0+92,-0.04252354,6,-0.12757061,-38.27618104,0.0002991027,9.697,7.913,7.913
2mer-0+77,-0.15729932,6,-0.47189797,-38.74807901,0.0002864545,9.697,8.028,8.028
2mer-0+65,-0.00607141,6,-0.01821423,-38.76629324,0.000249798,9.871,8.402,8.402
2mer-0+110,-0.10211115,6,-0.30633344,-39.07262668,0.0002473172,9.521,8.43,8.43
2mer-0+64,-0.54932782,2,-0.54932782,-39.6219545,0.0002345022,8.886,8.581,8.581
2mer-0+143,0.42504246,6,1.27512739,-38.34682711,0.0002301459,9.158,8.635,8.635
2mer-0+104,-0.25199922,6,-0.75599766,-39.10282477,0.0002275514,9.521,8.668,8.668
2mer-0+125,-0.17601109,6,-0.52803328,-39.63085806,0.0002264903,9.341,8.681,8.681
2mer-0+74,0.21953909,6,0.65861726,-38.9722408,0.0002133562,10.041,8.856,8.856
2mer-0+107,-0.01015688,6,-0.03047064,-39.00271143,0.0002024847,10.261,9.012,9.012
2mer-0+171,-0.01974477,6,-0.0592343,-39.06194573,0.0001815655,10.657,9.345,9.345
2mer-0+177,-0.11488053,6,-0.34464158,-39.40658731,0.0001685765,10.657,9.579,9.579
2mer-0+113,0.12960303,6,0.3888091,-39.01777821,0.0001625171,11.276,9.697,9.697
2mer-0+131,0.03310426,6,0.09931277,-38.91846544,0.0001579587,11.124,9.789,9.789
2mer-0+128,-0.01844373,6,-0.05533119,-38.97379663,0.0001554371,11.124,9.842,9.842
2mer-0+174,0.10498796,6,0.31496387,-38.65883276,0.0001491415,11.472,9.979,9.979
2mer-0+198,0.17937259,6,0.53811778,-38.12071498,0.0001485141,10.497,9.993,9.993
2mer-0+162,0.10966368,6,0.32899104,-37.79172394,0.0001434837,11.472,10.108,10.108
2mer-0+201,-0.09424539,6,-0.28273617,-38.07446011,0.0001268389,11.971,10.532,10.532
2mer-0+159,-0.11589696,6,-0.34769089,-38.422151,0.0001235423,11.472,10.625,10.625
2mer-0+140,-0.110888,6,-0.33266401,-38.75481501,0.0001235423,11.472,10.625,10.625
2mer-0+183,-0.06977115,6,-0.20931346,-38.96412847,0.0001197594,12.111,10.736,10.736
2mer-0+255,0.02412551,6,0.07237653,-38.89175194,0.000114324,11.684,10.903,10.903
