N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+7,-9.20502293,6,-27.61506878,-27.61506878,0.01035114,3.418,2.428,2.428
2mer-0+1,0.28012051,6,0.84036152,-26.77470726,0.008552206,3.883,2.588,2.588
2mer-0+13,-0.73131707,6,-2.19395122,-28.96865847,0.002413713,5.13,3.945,3.945
2mer-0+25,-0.57572883,6,-1.72718648,-30.69584495,0.001389709,6.165,4.742,4.742
2mer-0+19,-0.01602855,6,-0.04808564,-30.74393059,0.001177252,6.434,5.012,5.012
2mer-0+16,0.21361186,6,0.64083557,-30.10309502,0.0010229,6.692,5.252,5.252
2mer-0+43,0.70133477,6,2.10400431,-27.99909071,0.0008634158,5.883,5.557,5.557
2mer-0+40,0.39480249,6,1.18440748,-26.81468323,0.0007499443,7.256,5.824,5.824
2mer-0+34,-0.43284816,6,-1.29854447,-28.1132277,0.0005466677,7.256,6.472,6.472
2mer-0+61,-0.39652461,6,-1.18957383,-29.30280153,0.0004863604,8.02,6.729,6.729
2mer-0+80,0.01716241,6,0.05148724,-29.25131429,0.0004665696,7.806,6.823,6.823
2mer-0+46,0.11329857,6,0.33989572,-28.91141857,0.0004140415,8.433,7.1,7.1
2mer-0+49,-0.13867532,6,-0.41602597,-29.32744453,0.0004023541,8.229,7.168,7.168
2mer-0+68,0.11328055,6,0.33984164,-28.98760289,0.0003644116,8.886,7.409,7.409
2mer-0+92,-0.00871173,6,-0.02613518,-29.01373807,0.0002991027,9.697,7.913,7.913
2mer-0+77,-0.07387916,6,-0.22163748,-29.23537555,0.0002864545,9.697,8.028,8.028
2mer-0+65,0.01594216,6,0.04782649,-29.18754905,0.000249798,9.871,8.402,8.402
2mer-0+110,-0.07450743,6,-0.22352229,-29.41107135,0.0002473172,9.521,8.43,8.43
2mer-0+64,-0.31294659,2,-0.31294659,-29.72401794,0.0002345022,8.886,8.581,8.581
2mer-0+143,0.33560815,6,1.00682446,-28.71719347,0.0002301459,9.158,8.635,8.635
2mer-0+104,-0.17925123,6,-0.53775369,-29.25494717,0.0002275514,9.521,8.668,8.668
2mer-0+125,-0.16776375,6,-0.50329124,-29.7582384,0.0002264903,9.341,8.681,8.681
2mer-0+74,0.11202657,6,0.33607972,-29.42215868,0.0002133562,10.041,8.856,8.856
2mer-0+107,-0.01723941,6,-0.05171822,-29.4738769,0.0002024847,10.261,9.012,9.012
2mer-0+171,-0.03064766,6,-0.09194299,-29.5658199,0.0001815655,10.657,9.345,9.345
2mer-0+177,-0.10704016,6,-0.32112047,-29.88694037,0.0001685765,10.657,9.579,9.579
2mer-0+113,0.07446264,6,0.22338793,-29.66355244,0.0001625171,11.276,9.697,9.697
2mer-0+131,0.02823691,6,0.08471072,-29.57884172,0.0001579587,11.124,9.789,9.789
2mer-0+128,0.00090802,6,0.00272406,-29.57611766,0.0001554371,11.124,9.842,9.842
2mer-0+174,0.06981288,6,0.20943864,-29.36667902,0.0001491415,11.472,9.979,9.979
2mer-0+198,0.12766176,6,0.38298528,-28.98369374,0.0001485141,10.497,9.993,9.993
2mer-0+162,0.07455765,6,0.22367295,-28.76002079,0.0001434837,11.472,10.108,10.108
2mer-0+201,-0.06550956,6,-0.19652869,-28.95654948,0.0001268389,11.971,10.532,10.532
2mer-0+159,-0.08228327,6,-0.24684981,-29.20339929,0.0001235423,11.472,10.625,10.625
2mer-0+140,-0.07695431,6,-0.23086292,-29.43426221,0.0001235423,11.472,10.625,10.625
2mer-0+183,-0.03942243,6,-0.1182673,-29.55252951,0.0001197594,12.111,10.736,10.736
2mer-0+255,0.0017458,6,0.00523741,-29.5472921,0.000114324,11.684,10.903,10.903
2mer-0+237,0.07142626,6,0.21427879,-29.33301331,0.0001119786,12.567,10.979,10.979
2mer-0+153,0.03351491,6,0.10054472,-29.23246859,0.0001073345,12.388,11.135,11.135
2mer-0+204,0.01930902,6,0.05792705,-29.17454154,0.0001049051,12.567,11.22,11.22
2mer-0+264,-0.02493559,6,-0.07480677,-29.24934831,0.0001029792,13.024,11.29,11.29
2mer-0+219,0.01476728,6,0.04430183,-29.20504648,0.0001017364,12.567,11.336,11.336
