N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+7,-8.5504989,6,-25.6514967,-25.6514967,0.01035114,3.418,2.428,2.428
2mer-0+1,1.21768704,6,3.65306112,-21.99843558,0.008552206,3.883,2.588,2.588
2mer-0+13,-0.59566595,6,-1.78699784,-23.78543342,0.002413713,5.13,3.945,3.945
2mer-0+25,-0.64146949,6,-1.92440848,-25.70984191,0.001389709,6.165,4.742,4.742
2mer-0+19,0.00123672,6,0.00371017,-25.70613174,0.001177252,6.434,5.012,5.012
2mer-0+16,0.36251176,6,1.08753529,-24.61859645,0.0010229,6.692,5.252,5.252
2mer-0+43,0.9401639,6,2.8204917,-21.79810475,0.0008634158,5.883,5.557,5.557
2mer-0+40,0.51621896,6,1.54865687,-20.24944788,0.0007499443,7.256,5.824,5.824
2mer-0+34,-0.53379233,6,-1.60137699,-21.85082487,0.0005466677,7.256,6.472,6.472
2mer-0+61,-0.50123085,6,-1.50369255,-23.35451741,0.0004863604,8.02,6.729,6.729
2mer-0+80,0.0460219,6,0.13806571,-23.2164517,0.0004665696,7.806,6.823,6.823
2mer-0+46,0.1600878,6,0.48026339,-22.73618831,0.0004140415,8.433,7.1,7.1
2mer-0+49,-0.19618614,6,-0.58855843,-23.32474674,0.0004023541,8.229,7.168,7.168
2mer-0+68,0.15713791,6,0.47141372,-22.85333302,0.0003644116,8.886,7.409,7.409
2mer-0+92,-0.01560178,6,-0.04680535,-22.90013838,0.0002991027,9.697,7.913,7.913
2mer-0+77,-0.1046806,6,-0.3140418,-23.21418018,0.0002864545,9.697,8.028,8.028
2mer-0+65,0.01814461,6,0.05443383,-23.15974635,0.000249798,9.871,8.402,8.402
2mer-0+110,-0.09262063,6,-0.27786189,-23.43760823,0.0002473172,9.521,8.43,8.43
2mer-0+64,-0.4317437,2,-0.4317437,-23.86935194,0.0002345022,8.886,8.581,8.581
2mer-0+143,0.43232257,6,1.29696771,-22.57238423,0.0002301459,9.158,8.635,8.635
2mer-0+104,-0.22777921,6,-0.68333762,-23.25572185,0.0002275514,9.521,8.668,8.668
2mer-0+125,-0.20320527,6,-0.60961581,-23.86533766,0.0002264903,9.341,8.681,8.681
