N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+7,-9.42909247,6,-28.28727741,-28.28727741,0.01035114,3.418,2.428,2.428
2mer-0+1,0.1637594,6,0.49127821,-27.7959992,0.008552206,3.883,2.588,2.588
2mer-0+13,-0.76352929,6,-2.29058786,-30.08658706,0.002413713,5.13,3.945,3.945
2mer-0+25,-0.58457948,6,-1.75373844,-31.84032549,0.001389709,6.165,4.742,4.742
2mer-0+19,-0.02116474,6,-0.06349421,-31.9038197,0.001177252,6.434,5.012,5.012
2mer-0+16,0.20165357,6,0.6049607,-31.298859,0.0010229,6.692,5.252,5.252
2mer-0+43,0.69524974,6,2.08574921,-29.21310978,0.0008634158,5.883,5.557,5.557
2mer-0+40,0.39123126,6,1.17369378,-28.039416,0.0007499443,7.256,5.824,5.824
2mer-0+34,-0.43393,6,-1.30179,-29.341206,0.0005466677,7.256,6.472,6.472
2mer-0+61,-0.39636019,6,-1.18908057,-30.53028657,0.0004863604,8.02,6.729,6.729
2mer-0+80,0.0144179,6,0.04325369,-30.48703288,0.0004665696,7.806,6.823,6.823
2mer-0+46,0.11100279,6,0.33300836,-30.15402452,0.0004140415,8.433,7.1,7.1
2mer-0+49,-0.13695707,6,-0.41087121,-30.56489573,0.0004023541,8.229,7.168,7.168
2mer-0+68,0.11171798,6,0.33515394,-30.22974179,0.0003644116,8.886,7.409,7.409
2mer-0+92,-0.00857256,6,-0.02571768,-30.25545948,0.0002991027,9.697,7.913,7.913
2mer-0+77,-0.07299286,6,-0.21897857,-30.47443804,0.0002864545,9.697,8.028,8.028
2mer-0+65,0.01588416,6,0.04765249,-30.42678555,0.000249798,9.871,8.402,8.402
2mer-0+110,-0.07482445,6,-0.22447335,-30.6512589,0.0002473172,9.521,8.43,8.43
2mer-0+64,-0.30979076,2,-0.30979076,-30.96104966,0.0002345022,8.886,8.581,8.581
2mer-0+143,0.33515308,6,1.00545924,-29.95559041,0.0002301459,9.158,8.635,8.635
2mer-0+104,-0.17911023,6,-0.53733069,-30.4929211,0.0002275514,9.521,8.668,8.668
2mer-0+125,-0.16891581,6,-0.50674742,-30.99966852,0.0002264903,9.341,8.681,8.681
2mer-0+74,0.11000042,6,0.33000126,-30.66966727,0.0002133562,10.041,8.856,8.856
2mer-0+107,-0.01786949,6,-0.05360846,-30.72327573,0.0002024847,10.261,9.012,9.012
2mer-0+171,-0.03123841,6,-0.09371524,-30.81699097,0.0001815655,10.657,9.345,9.345
2mer-0+177,-0.10763805,6,-0.32291415,-31.13990512,0.0001685765,10.657,9.579,9.579
2mer-0+113,0.07350134,6,0.22050401,-30.91940111,0.0001625171,11.276,9.697,9.697
2mer-0+131,0.02804682,6,0.08414046,-30.83526065,0.0001579587,11.124,9.789,9.789
2mer-0+128,0.0010644,6,0.0031932,-30.83206745,0.0001554371,11.124,9.842,9.842
2mer-0+174,0.06929715,6,0.20789144,-30.62417601,0.0001491415,11.472,9.979,9.979
2mer-0+198,0.1270631,6,0.38118931,-30.2429867,0.0001485141,10.497,9.993,9.993
2mer-0+162,0.07405963,6,0.22217889,-30.02080782,0.0001434837,11.472,10.108,10.108
2mer-0+201,-0.06535862,6,-0.19607586,-30.21688367,0.0001268389,11.971,10.532,10.532
2mer-0+159,-0.08218266,6,-0.24654799,-30.46343166,0.0001235423,11.472,10.625,10.625
2mer-0+140,-0.07682906,6,-0.23048718,-30.69391884,0.0001235423,11.472,10.625,10.625
2mer-0+183,-0.03911615,6,-0.11734845,-30.81126729,0.0001197594,12.111,10.736,10.736
2mer-0+255,0.00116921,6,0.00350762,-30.80775967,0.000114324,11.684,10.903,10.903
2mer-0+237,0.0710582,6,0.21317461,-30.59458505,0.0001119786,12.567,10.979,10.979
2mer-0+153,0.0331661,6,0.0994983,-30.49508675,0.0001073345,12.388,11.135,11.135
2mer-0+204,0.01902026,6,0.05706079,-30.43802596,0.0001049051,12.567,11.22,11.22
2mer-0+264,-0.02489536,6,-0.07468608,-30.51271204,0.0001029792,13.024,11.29,11.29
2mer-0+219,0.01445741,6,0.04337224,-30.4693398,0.0001017364,12.567,11.336,11.336
2mer-0+216,-0.00170274,6,-0.00510821,-30.47444802,9.317695e-05,13.282,11.673,11.673
2mer-0+252,-0.0825804,6,-0.2477412,-30.72218922,9.216023e-05,13.024,11.715,11.715
2mer-0+315,0.03014003,6,0.09042009,-30.63176912,9.168751e-05,12.761,11.735,11.735
2mer-0+291,-0.04334795,6,-0.13004385,-30.76181298,8.947805e-05,12.893,11.831,11.831
2mer-0+192,0.02431622,6,0.07294867,-30.68886431,8.719771e-05,13.409,11.933,11.933
2mer-0+231,0.03465683,6,0.10397049,-30.58489382,8.649445e-05,13.409,11.966,11.966
