N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+7,-8.80983976,6,-26.42951928,-26.42951928,0.01035114,3.418,2.428,2.428
2mer-0+1,1.13545576,6,3.40636728,-23.023152,0.008552206,3.883,2.588,2.588
2mer-0+13,-0.62560288,6,-1.87680864,-24.89996064,0.002413713,5.13,3.945,3.945
2mer-0+25,-0.65438581,6,-1.96315743,-26.86311807,0.001389709,6.165,4.742,4.742
2mer-0+19,-0.00233084,6,-0.00699253,-26.87011059,0.001177252,6.434,5.012,5.012
2mer-0+16,0.35640494,6,1.06921482,-25.80089578,0.0010229,6.692,5.252,5.252
2mer-0+43,0.94559155,6,2.83677464,-22.96412114,0.0008634158,5.883,5.557,5.557
2mer-0+40,0.51869999,6,1.55609997,-21.40802118,0.0007499443,7.256,5.824,5.824
2mer-0+34,-0.5397675,6,-1.61930249,-23.02732367,0.0005466677,7.256,6.472,6.472
2mer-0+61,-0.50608832,6,-1.51826495,-24.54558862,0.0004863604,8.02,6.729,6.729
2mer-0+80,0.04434851,6,0.13304552,-24.4125431,0.0004665696,7.806,6.823,6.823
2mer-0+46,0.15998574,6,0.47995723,-23.93258586,0.0004140415,8.433,7.1,7.1
2mer-0+49,-0.19649027,6,-0.58947081,-24.52205667,0.0004023541,8.229,7.168,7.168
2mer-0+68,0.15762058,6,0.47286173,-24.04919494,0.0003644116,8.886,7.409,7.409
2mer-0+92,-0.01556333,6,-0.04669,-24.09588494,0.0002991027,9.697,7.913,7.913
2mer-0+77,-0.10492061,6,-0.31476184,-24.41064678,0.0002864545,9.697,8.028,8.028
2mer-0+65,0.01842527,6,0.05527581,-24.35537097,0.000249798,9.871,8.402,8.402
2mer-0+110,-0.09377308,6,-0.28131924,-24.63669022,0.0002473172,9.521,8.43,8.43
2mer-0+64,-0.43362051,2,-0.43362051,-25.07031073,0.0002345022,8.886,8.581,8.581
2mer-0+143,0.43679811,6,1.31039434,-23.75991638,0.0002301459,9.158,8.635,8.635
2mer-0+104,-0.22993611,6,-0.68980833,-24.44972472,0.0002275514,9.521,8.668,8.668
2mer-0+125,-0.20634493,6,-0.61903479,-25.06875951,0.0002264903,9.341,8.681,8.681
2mer-0+74,0.16043611,6,0.48130833,-24.58745118,0.0002133562,10.041,8.856,8.856
2mer-0+107,-0.01588824,6,-0.04766473,-24.63511591,0.0002024847,10.261,9.012,9.012
2mer-0+171,-0.03305666,6,-0.09916997,-24.73428589,0.0001815655,10.657,9.345,9.345
2mer-0+177,-0.12988245,6,-0.38964734,-25.12393323,0.0001685765,10.657,9.579,9.579
2mer-0+113,0.10298241,6,0.30894724,-24.81498599,0.0001625171,11.276,9.697,9.697
2mer-0+131,0.03744843,6,0.1123453,-24.70264069,0.0001579587,11.124,9.789,9.789
2mer-0+128,-0.00060828,6,-0.00182485,-24.70446554,0.0001554371,11.124,9.842,9.842
2mer-0+174,0.09360483,6,0.2808145,-24.42365104,0.0001491415,11.472,9.979,9.979
2mer-0+198,0.16865482,6,0.50596447,-23.91768657,0.0001485141,10.497,9.993,9.993
2mer-0+162,0.09857563,6,0.29572688,-23.62195969,0.0001434837,11.472,10.108,10.108
2mer-0+201,-0.08480018,6,-0.25440053,-23.87636022,0.0001268389,11.971,10.532,10.532
2mer-0+159,-0.10518637,6,-0.31555912,-24.19191934,0.0001235423,11.472,10.625,10.625
2mer-0+140,-0.09944713,6,-0.29834138,-24.49026072,0.0001235423,11.472,10.625,10.625
2mer-0+183,-0.05295449,6,-0.15886347,-24.64912419,0.0001197594,12.111,10.736,10.736
2mer-0+255,0.00756982,6,0.02270946,-24.62641473,0.000114324,11.684,10.903,10.903
2mer-0+237,0.09386646,6,0.28159938,-24.34481535,0.0001119786,12.567,10.979,10.979
2mer-0+153,0.04568382,6,0.13705147,-24.20776388,0.0001073345,12.388,11.135,11.135
2mer-0+204,0.02714101,6,0.08142302,-24.12634085,0.0001049051,12.567,11.22,11.22
2mer-0+264,-0.03229495,6,-0.09688484,-24.2232257,0.0001029792,13.024,11.29,11.29
2mer-0+219,0.02239034,6,0.06717102,-24.15605468,0.0001017364,12.567,11.336,11.336
2mer-0+216,-0.00405466,6,-0.01216397,-24.16821865,9.317695e-05,13.282,11.673,11.673
2mer-0+252,-0.10931094,6,-0.32793283,-24.49615148,9.216023e-05,13.024,11.715,11.715
2mer-0+315,0.04122089,6,0.12366267,-24.37248881,9.168751e-05,12.761,11.735,11.735
2mer-0+291,-0.05397204,6,-0.16191613,-24.53440494,8.947805e-05,12.893,11.831,11.831
2mer-0+192,0.03248363,6,0.09745088,-24.43695407,8.719771e-05,13.409,11.933,11.933
2mer-0+231,0.04693006,6,0.14079017,-24.2961639,8.649445e-05,13.409,11.966,11.966
2mer-0+267,-0.01770099,6,-0.05310298,-24.34926688,8.628702e-05,13.153,11.975,11.975
2mer-0+222,-0.07839596,6,-0.23518788,-24.58445476,8.628702e-05,13.153,11.975,11.975
2mer-0+195,-0.14258242,6,-0.42774727,-25.01220204,8.550892e-05,12.567,12.012,12.012
2mer-0+210,0.07918144,6,0.23754433,-24.77465771,8.497992e-05,13.534,12.036,12.036
2mer-0+312,0.00111926,6,0.00335777,-24.77129994,7.988157e-05,12.761,12.287,12.287
2mer-0+348,0.17823734,6,0.53471201,-24.23658793,7.879305e-05,12.627,12.344,12.344
2mer-0+300,0.00888502,6,0.02665506,-24.20993287,7.650791e-05,14.238,12.465,12.465
2mer-0+282,-0.05822944,6,-0.17468831,-24.38462118,7.575374e-05,14.118,12.506,12.506
2mer-0+360,-0.01591586,6,-0.04774758,-24.43236876,7.170707e-05,13.876,12.737,12.737
2mer-0+261,-0.02964165,6,-0.08892495,-24.52129371,7.148961e-05,14.238,12.75,12.75
2mer-0+405,0.10737037,6,0.3221111,-24.19918261,6.938438e-05,13.63,12.878,12.878
2mer-0+351,0.06019955,6,0.18059865,-24.01858396,6.651479e-05,14.511,13.061,13.061
2mer-0+345,-0.08158251,6,-0.24474752,-24.26333148,6.64262e-05,13.876,13.066,13.066
2mer-0+330,-0.07890548,6,-0.23671643,-24.50004791,6.443431e-05,13.998,13.2,13.2
2mer-0+297,0.05876568,6,0.17629704,-24.32375087,6.269866e-05,14.474,13.32,13.32
2mer-0+381,-0.03453067,6,-0.10359201,-24.42734288,6.130883e-05,14.908,13.42,13.42
2mer-0+366,-0.02384973,6,-0.07154919,-24.49889207,5.999005e-05,15.022,13.518,13.518
2mer-0+402,-0.06275407,6,-0.18826222,-24.68715429,5.950084e-05,14.794,13.555,13.555
2mer-0+321,-0.05991388,6,-0.17974165,-24.86689594,5.818259e-05,14.511,13.656,13.656
2mer-0+465,-0.00798631,6,-0.02395893,-24.89085487,5.663191e-05,14.679,13.78,13.78
2mer-0+408,0.04442012,6,0.13326035,-24.75759452,5.589985e-05,15.392,13.84,13.84
2mer-0+432,0.04364953,6,0.1309486,-24.62664592,5.478041e-05,15.392,13.933,13.933
2mer-0+336,-0.02548391,6,-0.07645173,-24.70309765,5.475864e-05,15.134,13.935,13.935
2mer-0+342,0.01507759,6,0.04523277,-24.65786488,5.442192e-05,15.246,13.964,13.964
2mer-0+495,0.0483536,6,0.14506079,-24.51280409,5.372422e-05,14.563,14.024,14.024
2mer-0+303,0.03799126,6,0.11397378,-24.39883031,5.338167e-05,15.357,14.054,14.054
2mer-0+384,-0.001973,6,-0.00591899,-24.4047493,5.258797e-05,15.392,14.124,14.124
2mer-0+390,-0.00267112,6,-0.00801335,-24.41276265,5.258797e-05,15.392,14.124,14.124
2mer-0+450,-0.0471846,6,-0.14155379,-24.55431645,5.127378e-05,15.766,14.244,14.244
2mer-0+525,0.0051508,6,0.01545239,-24.53886406,5.055115e-05,15.55,14.312,14.312
2mer-0+420,-0.00593619,6,-0.01780857,-24.55667262,4.938894e-05,15.98,14.423,14.423
2mer-0+504,-0.02487019,6,-0.07461058,-24.63128321,4.86748e-05,15.659,14.493,14.493
2mer-0+399,0.03538758,6,0.10616273,-24.52512048,4.762783e-05,16.191,14.599,14.599
2mer-0+429,0.017227,6,0.05168099,-24.47343949,4.703061e-05,16.086,14.66,14.66
2mer-0+564,0.03061367,6,0.091841,-24.38159849,4.699202e-05,15.44,14.664,14.664
2mer-0+507,-0.03412883,6,-0.10238648,-24.48398496,4.673094e-05,15.55,14.692,14.692
2mer-0+567,0.04670601,6,0.14011803,-24.34386693,4.624711e-05,15.44,14.743,14.743
2mer-0+498,0.02421224,6,0.07263671,-24.27123022,4.608165e-05,16.224,14.76,14.76
2mer-0+441,-0.03718888,6,-0.11156664,-24.38279686,4.550027e-05,15.874,14.823,14.823
2mer-0+522,-0.00910633,6,-0.027319,-24.41011585,4.534136e-05,16.682,14.84,14.84
2mer-0+375,-0.08335122,6,-0.25005367,-24.66016952,4.532742e-05,15.392,14.842,14.842
2mer-0+468,0.02513324,6,0.07539971,-24.58476981,4.526868e-05,16.224,14.848,14.848
2mer-0+378,-0.00196176,6,-0.00588529,-24.5906551,4.500763e-05,16.086,14.877,14.877
2mer-0+393,0.02909909,6,0.08729726,-24.50335784,4.476464e-05,16.191,14.904,14.904
