N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),mol
2mer-0+7,-15.82448845,6,-47.47346536,-47.47346536,0.01035114,3.418,2.428,2.428,"Molecule(name='H6N2', formula='H6N2', hash='0457f0b')"
2mer-0+1,-1.78553002,6,-5.35659005,-52.83005541,0.008552206,3.883,2.588,2.588,"Molecule(name='H6N2', formula='H6N2', hash='8ab3edb')"
2mer-0+13,-0.71958457,6,-2.1587537,-54.98880911,0.002413713,5.13,3.945,3.945,"Molecule(name='H6N2', formula='H6N2', hash='f5880e1')"
2mer-0+25,-0.72895245,6,-2.18685736,-57.17566647,0.001389709,6.165,4.742,4.742,"Molecule(name='H6N2', formula='H6N2', hash='49e751e')"
2mer-0+19,-0.08573451,6,-0.25720354,-57.43287001,0.001177252,6.434,5.012,5.012,"Molecule(name='H6N2', formula='H6N2', hash='517cd16')"
2mer-0+16,0.45275025,6,1.35825074,-56.07461927,0.0010229,6.692,5.252,5.252,"Molecule(name='H6N2', formula='H6N2', hash='c097c0a')"
2mer-0+43,1.0653176,6,3.19595281,-52.87866647,0.0008634158,5.883,5.557,5.557,"Molecule(name='H6N2', formula='H6N2', hash='e8d35ba')"
2mer-0+40,0.56236357,6,1.6870907,-51.19157576,0.0007499443,7.256,5.824,5.824,"Molecule(name='H6N2', formula='H6N2', hash='c7a65f6')"
2mer-0+34,-0.61668348,6,-1.85005043,-53.04162619,0.0005466677,7.256,6.472,6.472,"Molecule(name='H6N2', formula='H6N2', hash='3dfa45f')"
2mer-0+61,-0.5763129,6,-1.72893869,-54.77056488,0.0004863604,8.02,6.729,6.729,"Molecule(name='H6N2', formula='H6N2', hash='670ffa1')"
2mer-0+80,0.07440418,6,0.22321253,-54.54735235,0.0004665696,7.806,6.823,6.823,"Molecule(name='H6N2', formula='H6N2', hash='73a6d32')"
2mer-0+46,0.18349664,6,0.55048993,-53.99686242,0.0004140415,8.433,7.1,7.1,"Molecule(name='H6N2', formula='H6N2', hash='d3ad106')"
2mer-0+49,-0.27338532,6,-0.82015595,-54.81701837,0.0004023541,8.229,7.168,7.168,"Molecule(name='H6N2', formula='H6N2', hash='d280cde')"
2mer-0+68,0.18219599,6,0.54658797,-54.27043041,0.0003644116,8.886,7.409,7.409,"Molecule(name='H6N2', formula='H6N2', hash='2fee92c')"
2mer-0+92,-0.02594407,6,-0.0778322,-54.34826261,0.0002991027,9.697,7.913,7.913,"Molecule(name='H6N2', formula='H6N2', hash='b498318')"
2mer-0+77,-0.13814604,6,-0.41443811,-54.76270072,0.0002864545,9.697,8.028,8.028,"Molecule(name='H6N2', formula='H6N2', hash='940f6cd')"
2mer-0+65,0.00598385,6,0.01795156,-54.74474915,0.000249798,9.871,8.402,8.402,"Molecule(name='H6N2', formula='H6N2', hash='be0da1b')"
2mer-0+110,-0.10714982,6,-0.32144945,-55.0661986,0.0002473172,9.521,8.43,8.43,"Molecule(name='H6N2', formula='H6N2', hash='ea20203')"
2mer-0+64,-0.52800943,2,-0.52800943,-55.59420803,0.0002345022,8.886,8.581,8.581,"Molecule(name='H6N2', formula='H6N2', hash='c971fdd')"
2mer-0+143,0.46414483,6,1.3924345,-54.20177354,0.0002301459,9.158,8.635,8.635,"Molecule(name='H6N2', formula='H6N2', hash='4cccee8')"
2mer-0+104,-0.26317988,6,-0.78953965,-54.99131319,0.0002275514,9.521,8.668,8.668,"Molecule(name='H6N2', formula='H6N2', hash='485c4ca')"
2mer-0+125,-0.20982565,6,-0.62947696,-55.62079015,0.0002264903,9.341,8.681,8.681,"Molecule(name='H6N2', formula='H6N2', hash='81b42b5')"
2mer-0+74,0.20418288,6,0.61254863,-55.00824152,0.0002133562,10.041,8.856,8.856,"Molecule(name='H6N2', formula='H6N2', hash='f1250c1')"
2mer-0+107,-0.01811805,6,-0.05435415,-55.06259567,0.0002024847,10.261,9.012,9.012,"Molecule(name='H6N2', formula='H6N2', hash='b5c0776')"
2mer-0+171,-0.02871148,6,-0.08613444,-55.1487301,0.0001815655,10.657,9.345,9.345,"Molecule(name='H6N2', formula='H6N2', hash='d5b11bc')"
2mer-0+177,-0.13642052,6,-0.40926155,-55.55799165,0.0001685765,10.657,9.579,9.579,"Molecule(name='H6N2', formula='H6N2', hash='6d4493f')"
2mer-0+113,0.12428908,6,0.37286723,-55.18512443,0.0001625171,11.276,9.697,9.697,"Molecule(name='H6N2', formula='H6N2', hash='1208a47')"
2mer-0+131,0.04096584,6,0.12289753,-55.06222689,0.0001579587,11.124,9.789,9.789,"Molecule(name='H6N2', formula='H6N2', hash='aed51f4')"
2mer-0+128,-0.01085281,6,-0.03255842,-55.09478531,0.0001554371,11.124,9.842,9.842,"Molecule(name='H6N2', formula='H6N2', hash='e32d6ce')"
2mer-0+174,0.10426212,6,0.31278635,-54.78199897,0.0001491415,11.472,9.979,9.979,"Molecule(name='H6N2', formula='H6N2', hash='ba0c2fa')"
