N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+7,-9.78476782,6,-29.35430346,-29.35430346,0.01035114,3.418,2.428,2.428
2mer-0+1,1.00055966,6,3.00167898,-26.35262448,0.008552206,3.883,2.588,2.588
2mer-0+13,-0.58511283,6,-1.75533849,-28.10796297,0.002413713,5.13,3.945,3.945
2mer-0+25,-0.66116117,6,-1.98348351,-30.09144648,0.001389709,6.165,4.742,4.742
2mer-0+19,-0.01122753,6,-0.03368259,-30.12512907,0.001177252,6.434,5.012,5.012
2mer-0+16,0.39269649,6,1.17808947,-28.9470396,0.0010229,6.692,5.252,5.252
2mer-0+43,0.98891199,6,2.96673597,-25.98030363,0.0008634158,5.883,5.557,5.557
2mer-0+40,0.5334385,6,1.6003155,-24.37998813,0.0007499443,7.256,5.824,5.824
2mer-0+34,-0.55294478,6,-1.65883434,-26.03882247,0.0005466677,7.256,6.472,6.472
2mer-0+61,-0.52106742,6,-1.56320226,-27.60202473,0.0004863604,8.02,6.729,6.729
2mer-0+80,0.05483437,6,0.16450311,-27.43752162,0.0004665696,7.806,6.823,6.823
2mer-0+46,0.16761675,6,0.50285025,-26.93467137,0.0004140415,8.433,7.1,7.1
2mer-0+49,-0.21362302,6,-0.64086906,-27.57554043,0.0004023541,8.229,7.168,7.168
2mer-0+68,0.16374208,6,0.49122624,-27.08431419,0.0003644116,8.886,7.409,7.409
2mer-0+92,-0.01794479,6,-0.05383437,-27.13814856,0.0002991027,9.697,7.913,7.913
2mer-0+77,-0.11229148,6,-0.33687444,-27.475023,0.0002864545,9.697,8.028,8.028
2mer-0+65,0.01708,6,0.05124,-27.423783,0.000249798,9.871,8.402,8.402
2mer-0+110,-0.09553401,6,-0.28660203,-27.71038503,0.0002473172,9.521,8.43,8.43
2mer-0+64,-0.45469605,2,-0.45469605,-28.16508108,0.0002345022,8.886,8.581,8.581
2mer-0+143,0.44261184,6,1.32783552,-26.83724556,0.0002301459,9.158,8.635,8.635
2mer-0+104,-0.23639219,6,-0.70917657,-27.54642213,0.0002275514,9.521,8.668,8.668
2mer-0+125,-0.20404727,6,-0.61214181,-28.15856394,0.0002264903,9.341,8.681,8.681
2mer-0+74,0.17074204,6,0.51222612,-27.64633782,0.0002133562,10.041,8.856,8.856
2mer-0+107,-0.01483942,6,-0.04451826,-27.69085608,0.0002024847,10.261,9.012,9.012
2mer-0+171,-0.03195801,6,-0.09587403,-27.78673011,0.0001815655,10.657,9.345,9.345
2mer-0+177,-0.13035547,6,-0.39106641,-28.17779652,0.0001685765,10.657,9.579,9.579
2mer-0+113,0.10836277,6,0.32508831,-27.85270821,0.0001625171,11.276,9.697,9.697
2mer-0+131,0.03760165,6,0.11280495,-27.73990326,0.0001579587,11.124,9.789,9.789
2mer-0+128,-0.00267099,6,-0.00801297,-27.74791623,0.0001554371,11.124,9.842,9.842
2mer-0+174,0.0967003,6,0.2901009,-27.45781533,0.0001491415,11.472,9.979,9.979
2mer-0+198,0.17320968,6,0.51962904,-26.93818629,0.0001485141,10.497,9.993,9.993
2mer-0+162,0.10207351,6,0.30622053,-26.63196576,0.0001434837,11.472,10.108,10.108
2mer-0+201,-0.08746477,6,-0.26239431,-26.89436007,0.0001268389,11.971,10.532,10.532
