N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),mol
2mer-0+1,-6.20422968,4,-12.40845937,-12.40845937,0.009001449,5.986,2.544,2.544,"Molecule(name='C12H12', formula='C12H12', hash='9715394')"
2mer-0+2,-7.78894153,4,-15.57788306,-27.98634243,0.008127517,5.812,2.632,2.632,"Molecule(name='C12H12', formula='C12H12', hash='de44407')"
2mer-0+6,-11.6680205,4,-23.33604099,-51.32238342,0.007702494,5.025,2.68,2.68,"Molecule(name='C12H12', formula='C12H12', hash='505a3ca')"
2mer-0+16,-1.84254135,2,-1.84254135,-53.16492477,0.001412501,6.81,4.716,4.716,"Molecule(name='C12H12', formula='C12H12', hash='9d4c4c9')"
2mer-0+5,-0.26372456,2,-0.26372456,-53.42864933,0.001216975,9.42,4.956,4.956,"Molecule(name='C12H12', formula='C12H12', hash='6c34dc2')"
2mer-0+21,-1.16838754,2,-1.16838754,-54.59703687,0.001144258,7.39,5.059,5.059,"Molecule(name='C12H12', formula='C12H12', hash='98fdf4d')"
2mer-0+12,-0.29782969,4,-0.59565938,-55.19269625,0.001080953,9.402,5.156,5.156,"Molecule(name='C12H12', formula='C12H12', hash='d95b1af')"
2mer-0+14,-0.40010873,4,-0.80021746,-55.9929137,0.0009506992,9.067,5.382,5.382,"Molecule(name='C12H12', formula='C12H12', hash='4db0bfd')"
2mer-0+37,-0.08876677,2,-0.08876677,-56.08168047,0.0008840221,10.049,5.514,5.514,"Molecule(name='C12H12', formula='C12H12', hash='7cf817d')"
2mer-0+15,-0.26106064,4,-0.52212128,-56.60380175,0.0006261051,9.067,6.186,6.186,"Molecule(name='C12H12', formula='C12H12', hash='67cca24')"
2mer-0+8,-0.1131073,4,-0.2262146,-56.83001634,0.0006236921,10.676,6.194,6.194,"Molecule(name='C12H12', formula='C12H12', hash='af69bf8')"
2mer-0+10,-0.11284236,4,-0.22568472,-57.05570106,0.0004827827,10.676,6.746,6.746,"Molecule(name='C12H12', formula='C12H12', hash='129f706')"
