N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+1,-7.16745083,4,-14.33490167,-14.33490167,0.009001449,5.986,2.544,2.544
2mer-0+2,-8.73227626,4,-17.46455252,-31.79945419,0.008127517,5.812,2.632,2.632
2mer-0+6,-12.68846969,4,-25.37693938,-57.17639357,0.007702494,5.025,2.68,2.68
2mer-0+16,-2.41873176,2,-2.41873176,-59.59512533,0.001412501,6.81,4.716,4.716
2mer-0+5,-0.32323194,2,-0.32323194,-59.91835726,0.001216975,9.42,4.956,4.956
2mer-0+21,-1.44640611,2,-1.44640611,-61.36476337,0.001144258,7.39,5.059,5.059
2mer-0+12,-0.34543492,4,-0.69086984,-62.05563322,0.001080953,9.402,5.156,5.156
2mer-0+14,-0.45630413,4,-0.91260825,-62.96824147,0.0009506992,9.067,5.382,5.382
2mer-0+37,-0.11750596,2,-0.11750596,-63.08574743,0.0008840221,10.049,5.514,5.514
2mer-0+15,-0.29274382,4,-0.58548764,-63.67123508,0.0006261051,9.067,6.186,6.186
2mer-0+8,-0.12290377,4,-0.24580754,-63.91704262,0.0006236921,10.676,6.194,6.194
2mer-0+10,-0.11895038,4,-0.23790077,-64.15494338,0.0004827827,10.676,6.746,6.746
2mer-0+27,-0.19488603,4,-0.38977206,-64.54471545,0.0003528237,9.402,7.489,7.489
2mer-0+18,-0.04624031,2,-0.04624031,-64.59095576,0.0003523333,11.624,7.492,7.492
2mer-0+22,-0.04248032,2,-0.04248032,-64.63343608,0.0003505125,11.973,7.505,7.505
2mer-0+45,-0.06382564,4,-0.12765128,-64.76108736,0.0002987386,10.863,7.916,7.916
2mer-0+40,-0.10887156,4,-0.21774311,-64.97883047,0.0002902837,11.249,7.992,7.992
2mer-0+60,-0.0400613,4,-0.08012259,-65.05895306,0.0002569059,11.596,8.324,8.324
2mer-0+26,-0.08947139,2,-0.08947139,-65.14842445,0.0002364929,11.624,8.557,8.557
2mer-0+43,-0.01517489,4,-0.03034977,-65.17877422,0.0002333832,12.044,8.595,8.595
2mer-0+59,-0.01137606,4,-0.02275211,-65.20152633,0.0002207595,13.459,8.756,8.756
2mer-0+32,-0.07928088,2,-0.07928088,-65.28080722,0.0002142829,11.973,8.843,8.843
2mer-0+44,-0.01069084,2,-0.01069084,-65.29149806,0.0002040349,13.774,8.989,8.989
2mer-0+39,-0.00913712,2,-0.00913712,-65.30063518,0.0001695377,13.774,9.561,9.561
2mer-0+55,0.00687195,2,0.00687195,-65.29376324,0.0001624869,10.049,9.698,9.698
2mer-0+33,-0.00576161,4,-0.01152323,-65.30528646,0.0001476099,14.534,10.013,10.013
2mer-0+47,-0.03332639,2,-0.03332639,-65.33861285,0.0001472482,13.774,10.021,10.021
2mer-0+34,-0.01464758,4,-0.02929517,-65.36790802,0.0001431179,14.605,10.117,10.117
2mer-0+64,-0.02082241,4,-0.04164481,-65.40955284,0.0001306538,13.836,10.429,10.429
2mer-0+54,-0.00967531,4,-0.01935062,-65.42890345,0.0001303341,14.378,10.437,10.437
2mer-0+58,-0.01298602,4,-0.02597203,-65.45487548,0.0001194838,14.94,10.744,10.744
2mer-0+52,-0.02181032,4,-0.04362064,-65.49849612,0.0001163359,14.378,10.84,10.84
2mer-0+98,-0.03616068,2,-0.03616068,-65.53465681,0.0001145894,13.62,10.895,10.895
2mer-0+77,-0.0309458,4,-0.0618916,-65.5965484,0.0001108473,13.836,11.016,11.016
2mer-0+95,-0.01091253,4,-0.02182507,-65.61837347,0.0001069138,14.878,11.15,11.15
2mer-0+132,-0.00724907,2,-0.00724907,-65.62562254,0.0001023768,15.496,11.312,11.312
2mer-0+80,-0.00399294,4,-0.00798588,-65.63360841,9.688024e-05,14.94,11.522,11.522
2mer-0+57,-0.00571528,4,-0.01143057,-65.64503898,9.587804e-05,16.115,11.562,11.562
2mer-0+129,-0.02230532,2,-0.02230532,-65.6673443,9.370198e-05,14.78,11.651,11.651
2mer-0+94,-0.00161363,4,-0.00322726,-65.67057156,9.361866e-05,14.878,11.654,11.654
2mer-0+63,-0.00225454,4,-0.00450909,-65.67508065,9.064675e-05,16.305,11.78,11.78
2mer-0+153,-0.00724025,2,-0.00724025,-65.68232089,8.893838e-05,16.273,11.855,11.855
2mer-0+88,-0.00289688,4,-0.00579376,-65.68811465,8.367519e-05,13.459,12.099,12.099
2mer-0+104,-0.01387937,4,-0.02775873,-65.71587339,8.351303e-05,15.882,12.106,12.106
2mer-0+82,-0.00971116,2,-0.00971116,-65.72558455,8.011105e-05,13.774,12.275,12.275
2mer-0+71,-0.00753671,4,-0.01507342,-65.74065797,7.985817e-05,16.115,12.288,12.288
2mer-0+102,-0.00927861,2,-0.00927861,-65.74993658,7.947901e-05,16.56,12.308,12.308
2mer-0+74,-0.01081286,4,-0.02162571,-65.77156229,7.688576e-05,16.305,12.445,12.445
2mer-0+119,-0.02164227,4,-0.04328454,-65.81484683,7.620951e-05,15.074,12.481,12.481
2mer-0+147,0.00029098,2,0.00029098,-65.81455586,6.338558e-05,18.134,13.272,13.272
2mer-0+127,-0.00922023,4,-0.01844046,-65.83299632,6.052864e-05,15.882,13.478,13.478
2mer-0+89,-0.00653401,4,-0.01306803,-65.84606435,6.007389e-05,17.436,13.512,13.512
2mer-0+116,-0.00528421,4,-0.01056841,-65.85663276,5.829474e-05,17.775,13.648,13.648
2mer-0+113,-0.01089849,2,-0.01089849,-65.86753125,5.7461e-05,16.56,13.713,13.713
2mer-0+137,-0.00430566,2,-0.00430566,-65.8718369,5.704305e-05,18.134,13.747,13.747
2mer-0+123,-0.00679112,2,-0.00679112,-65.87862802,5.625858e-05,17.527,13.81,13.81
2mer-0+106,-0.00389315,4,-0.00778629,-65.88641432,5.520033e-05,17.959,13.898,13.898
2mer-0+173,-0.00095844,4,-0.00191688,-65.8883312,5.328932e-05,18.574,14.062,14.062
2mer-0+145,-0.00064969,2,-0.00064969,-65.88898089,5.178484e-05,18.803,14.197,14.197
2mer-0+93,-0.00166584,2,-0.00166584,-65.89064673,5.16271e-05,18.84,14.212,14.212
2mer-0+195,0.00068225,4,0.0013645,-65.88928223,5.071315e-05,17.421,14.296,14.296
2mer-0+183,-0.00788516,4,-0.01577033,-65.90505256,4.986371e-05,17.665,14.377,14.377
2mer-0+170,0.00062082,2,0.00062082,-65.90443174,4.976511e-05,15.496,14.387,14.387
2mer-0+121,-0.00020821,4,-0.00041643,-65.90484817,4.854035e-05,18.937,14.507,14.507
2mer-0+155,-0.00876389,2,-0.00876389,-65.91361206,4.797668e-05,17.527,14.563,14.563
2mer-0+185,-0.00429358,2,-0.00429358,-65.91790564,4.710875e-05,18.803,14.652,14.652
2mer-0+109,-0.00186257,4,-0.00372515,-65.92163079,4.675616e-05,19.499,14.689,14.689
2mer-0+136,-0.00206992,4,-0.00413984,-65.92577063,4.651702e-05,19.207,14.714,14.714
2mer-0+215,-0.00282407,4,-0.00564814,-65.93141877,4.556939e-05,19.148,14.815,14.815
2mer-0+143,-0.00800979,4,-0.01601957,-65.94743834,4.444464e-05,17.775,14.939,14.939
2mer-0+196,-0.00066822,2,-0.00066822,-65.94810656,4.429399e-05,16.273,14.956,14.956
2mer-0+166,-0.00697533,4,-0.01395065,-65.96205721,4.362766e-05,18.181,15.032,15.032
2mer-0+161,-0.00735014,2,-0.00735014,-65.96940736,4.233111e-05,18.134,15.184,15.184
2mer-0+135,0.0001709,2,0.0001709,-65.96923646,4.146952e-05,20.238,15.288,15.288
2mer-0+233,7.652e-05,4,0.00015304,-65.96908341,4.138575e-05,18.786,15.299,15.299
2mer-0+125,-0.00225095,4,-0.0045019,-65.97358532,4.049275e-05,19.499,15.41,15.41
2mer-0+273,0.00049159,2,0.00049159,-65.97309373,4.033339e-05,20.099,15.43,15.43
2mer-0+180,-0.0056851,2,-0.0056851,-65.97877883,3.950664e-05,18.803,15.537,15.537
2mer-0+159,-0.00172511,4,-0.00345022,-65.98222904,3.93334e-05,19.97,15.56,15.56
2mer-0+214,0.0012126,4,0.00242519,-65.97980385,3.924758e-05,19.066,15.571,15.571
2mer-0+182,-0.00722964,4,-0.01445928,-65.99426313,3.871885e-05,18.181,15.642,15.642
2mer-0+141,0.00031424,2,0.00031424,-65.99394889,3.83914e-05,20.033,15.686,15.686
2mer-0+150,-0.00580281,4,-0.01160562,-66.00555451,3.8029e-05,18.937,15.736,15.736
2mer-0+144,-0.00339673,2,-0.00339673,-66.00895124,3.734765e-05,20.033,15.831,15.831
2mer-0+148,-0.00436772,4,-0.00873544,-66.01768668,3.716021e-05,19.207,15.858,15.858
2mer-0+211,-4.287e-05,4,-8.573e-05,-66.01777241,3.709499e-05,19.805,15.867,15.867
2mer-0+207,-0.0019268,4,-0.00385359,-66.02162601,3.461759e-05,19.805,16.237,16.237
2mer-0+156,-0.00344014,2,-0.00344014,-66.02506615,3.232156e-05,20.238,16.613,16.613
2mer-0+191,-0.00213124,4,-0.00426247,-66.02932862,3.228107e-05,20.729,16.62,16.62
2mer-0+174,-0.00051653,4,-0.00103307,-66.03036169,3.21167e-05,19.97,16.648,16.648
2mer-0+172,-0.00073098,2,-0.00073098,-66.03109267,3.199967e-05,21.353,16.668,16.668
2mer-0+175,-0.00051767,2,-0.00051767,-66.03161034,3.122714e-05,21.353,16.804,16.804
2mer-0+186,-0.0006506,2,-0.0006506,-66.03226094,3.042341e-05,21.353,16.951,16.951
2mer-0+205,0.00071825,2,0.00071825,-66.03154269,3.033152e-05,18.134,16.968,16.968
2mer-0+235,-0.00061059,4,-0.00122118,-66.03276387,3.018566e-05,20.246,16.996,16.996
2mer-0+267,-0.00175496,4,-0.00350992,-66.03627379,3.018566e-05,20.246,16.996,16.996
2mer-0+238,0.00179717,4,0.00359435,-66.03267945,2.938898e-05,18.574,17.148,17.148
2mer-0+232,-0.00138427,4,-0.00276854,-66.03544799,2.923713e-05,21.016,17.177,17.177
2mer-0+220,-0.00353001,4,-0.00706002,-66.04250801,2.895761e-05,20.729,17.232,17.232
2mer-0+268,0.00012909,2,0.00012909,-66.04237892,2.864482e-05,22.197,17.295,17.295
2mer-0+250,-0.00058618,4,-0.00117236,-66.04355128,2.829344e-05,19.148,17.366,17.366
2mer-0+202,-0.00104635,4,-0.00209269,-66.04564398,2.821611e-05,22.123,17.382,17.382
2mer-0+231,-0.00028193,2,-0.00028193,-66.0459259,2.820131e-05,18.803,17.385,17.385
2mer-0+289,-0.00333784,4,-0.00667568,-66.05260158,2.794722e-05,20.316,17.438,17.438
2mer-0+324,-0.00410426,2,-0.00410426,-66.05670584,2.742739e-05,20.43,17.547,17.547
2mer-0+201,-0.00115857,4,-0.00231715,-66.05902299,2.734571e-05,21.747,17.565,17.565
2mer-0+194,-0.00180738,4,-0.00361477,-66.06263776,2.721812e-05,21.747,17.592,17.592
2mer-0+319,6.993e-05,2,6.993e-05,-66.06256783,2.714497e-05,22.197,17.608,17.608
2mer-0+326,-0.00070926,4,-0.00141851,-66.06398634,2.683544e-05,21.289,17.675,17.675
2mer-0+359,-0.00195572,2,-0.00195572,-66.06594206,2.609851e-05,21.725,17.84,17.84
2mer-0+277,0.00077699,4,0.00155399,-66.06438807,2.573556e-05,21.016,17.924,17.924
2mer-0+323,0.00061834,4,0.00123667,-66.0631514,2.516062e-05,21.289,18.059,18.059
2mer-0+329,-0.00249437,4,-0.00498875,-66.06814015,2.508322e-05,21.111,18.078,18.078
2mer-0+218,-0.00303401,2,-0.00303401,-66.07117415,2.493547e-05,21.353,18.113,18.113
2mer-0+265,-0.00015772,4,-0.00031545,-66.0714896,2.444557e-05,22.857,18.233,18.233
2mer-0+249,-0.00135391,4,-0.00270781,-66.07419742,2.442986e-05,22.54,18.237,18.237
2mer-0+228,-0.00075625,4,-0.0015125,-66.07570992,2.371018e-05,22.123,18.42,18.42
2mer-0+332,-0.00227206,2,-0.00227206,-66.07798198,2.367988e-05,22.497,18.428,18.428
2mer-0+251,-0.00246201,4,-0.00492402,-66.08290599,2.358647e-05,22.125,18.452,18.452
2mer-0+362,4.683e-05,4,9.365e-05,-66.08281234,2.348031e-05,23.032,18.48,18.48
2mer-0+288,-0.00113548,4,-0.00227095,-66.08508329,2.271702e-05,22.393,18.685,18.685
2mer-0+291,-0.00075004,4,-0.00150008,-66.08658337,2.231722e-05,23.326,18.796,18.796
2mer-0+398,-0.00262889,2,-0.00262889,-66.08921227,2.214468e-05,22.17,18.844,18.844
2mer-0+260,-0.00027877,2,-0.00027877,-66.08949103,2.187407e-05,23.248,18.922,18.922
2mer-0+431,-0.00164208,2,-0.00164208,-66.09113311,2.170273e-05,23.192,18.971,18.971
2mer-0+390,-0.00056145,2,-0.00056145,-66.09169456,2.131605e-05,23.68,19.085,19.085
2mer-0+368,-0.00213117,4,-0.00426235,-66.0959569,2.116914e-05,22.919,19.129,19.129
2mer-0+241,2.758e-05,4,5.517e-05,-66.09590173,2.112878e-05,23.795,19.142,19.142
2mer-0+314,-0.00150397,4,-0.00300794,-66.09890967,2.112557e-05,23.117,19.142,19.142
2mer-0+242,-0.00084968,4,-0.00169937,-66.10060904,2.094952e-05,23.838,19.196,19.196
2mer-0+269,-0.00179344,4,-0.00358688,-66.10419592,2.074088e-05,22.54,19.26,19.26
2mer-0+280,-0.00042291,2,-0.00042291,-66.10461883,2.042901e-05,23.946,19.358,19.358
2mer-0+339,-0.00195834,2,-0.00195834,-66.10657717,2.014296e-05,22.197,19.449,19.449
2mer-0+358,0.00223799,2,0.00223799,-66.10433918,2.013729e-05,20.099,19.451,19.451
2mer-0+346,-0.00226368,2,-0.00226368,-66.10660286,2.013434e-05,22.497,19.452,19.452
2mer-0+370,-0.00157412,2,-0.00157412,-66.10817698,2.006132e-05,23.68,19.475,19.475
2mer-0+320,0.00014256,2,0.00014256,-66.10803442,1.979397e-05,24.394,19.562,19.562
2mer-0+318,-0.00056331,4,-0.00112663,-66.10916105,1.967131e-05,23.259,19.603,19.603
2mer-0+317,-0.00265181,4,-0.00530362,-66.11446467,1.963653e-05,22.393,19.615,19.615
2mer-0+285,-0.0019885,2,-0.0019885,-66.11645317,1.909035e-05,23.248,19.8,19.8
2mer-0+297,-0.00075638,4,-0.00151277,-66.11796594,1.893315e-05,24.128,19.855,19.855
2mer-0+416,-0.00091866,2,-0.00091866,-66.1188846,1.887039e-05,21.725,19.877,19.877
