N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+1,-6.26859579,4,-12.53719158,-12.53719158,0.009001449,5.986,2.544,2.544
2mer-0+2,-7.52682592,4,-15.05365184,-27.59084341,0.008127517,5.812,2.632,2.632
2mer-0+6,-11.04807322,4,-22.09614644,-49.68698985,0.007702494,5.025,2.68,2.68
2mer-0+16,-2.35306531,2,-2.35306531,-52.04005516,0.001412501,6.81,4.716,4.716
2mer-0+5,-0.33923018,2,-0.33923018,-52.37928535,0.001216975,9.42,4.956,4.956
2mer-0+21,-1.45336788,2,-1.45336788,-53.83265322,0.001144258,7.39,5.059,5.059
2mer-0+12,-0.36358021,4,-0.72716043,-54.55981365,0.001080953,9.402,5.156,5.156
2mer-0+14,-0.47679845,4,-0.9535969,-55.51341055,0.0009506992,9.067,5.382,5.382
2mer-0+37,-0.13389623,2,-0.13389623,-55.64730677,0.0008840221,10.049,5.514,5.514
2mer-0+15,-0.31940896,4,-0.63881792,-56.28612469,0.0006261051,9.067,6.186,6.186
2mer-0+8,-0.13809068,4,-0.27618136,-56.56230605,0.0006236921,10.676,6.194,6.194
2mer-0+10,-0.13438626,4,-0.26877251,-56.83107857,0.0004827827,10.676,6.746,6.746
2mer-0+27,-0.22008595,4,-0.4401719,-57.27125047,0.0003528237,9.402,7.489,7.489
2mer-0+18,-0.05720262,2,-0.05720262,-57.32845309,0.0003523333,11.624,7.492,7.492
2mer-0+22,-0.05200276,2,-0.05200276,-57.38045585,0.0003505125,11.973,7.505,7.505
2mer-0+45,-0.07784275,4,-0.1556855,-57.53614135,0.0002987386,10.863,7.916,7.916
2mer-0+40,-0.12098589,4,-0.24197178,-57.77811313,0.0002902837,11.249,7.992,7.992
2mer-0+60,-0.0503969,4,-0.1007938,-57.87890692,0.0002569059,11.596,8.324,8.324
2mer-0+26,-0.0998856,2,-0.0998856,-57.97879253,0.0002364929,11.624,8.557,8.557
2mer-0+43,-0.02384552,4,-0.04769105,-58.02648358,0.0002333832,12.044,8.595,8.595
2mer-0+59,-0.0166941,4,-0.03338821,-58.05987178,0.0002207595,13.459,8.756,8.756
2mer-0+32,-0.08825395,2,-0.08825395,-58.14812573,0.0002142829,11.973,8.843,8.843
2mer-0+44,-0.01537451,2,-0.01537451,-58.16350024,0.0002040349,13.774,8.989,8.989
2mer-0+39,-0.01382957,2,-0.01382957,-58.17732981,0.0001695377,13.774,9.561,9.561
2mer-0+55,-0.01129971,2,-0.01129971,-58.18862952,0.0001624869,10.049,9.698,9.698
2mer-0+33,-0.00924114,4,-0.01848228,-58.2071118,0.0001476099,14.534,10.013,10.013
2mer-0+47,-0.03777351,2,-0.03777351,-58.24488531,0.0001472482,13.774,10.021,10.021
2mer-0+34,-0.01801874,4,-0.03603747,-58.28092278,0.0001431179,14.605,10.117,10.117
2mer-0+64,-0.02511138,4,-0.05022276,-58.33114554,0.0001306538,13.836,10.429,10.429
2mer-0+54,-0.01324405,4,-0.0264881,-58.35763364,0.0001303341,14.378,10.437,10.437
2mer-0+58,-0.01593405,4,-0.0318681,-58.38950174,0.0001194838,14.94,10.744,10.744
2mer-0+52,-0.02531066,4,-0.05062132,-58.44012306,0.0001163359,14.378,10.84,10.84
2mer-0+98,-0.04070761,2,-0.04070761,-58.48083067,0.0001145894,13.62,10.895,10.895
2mer-0+77,-0.03512966,4,-0.07025931,-58.55108999,0.0001108473,13.836,11.016,11.016
2mer-0+95,-0.01383585,4,-0.02767171,-58.57876169,0.0001069138,14.878,11.15,11.15
2mer-0+132,-0.00970102,2,-0.00970102,-58.58846271,0.0001023768,15.496,11.312,11.312
2mer-0+80,-0.00676871,4,-0.01353741,-58.60200013,9.688024e-05,14.94,11.522,11.522
2mer-0+57,-0.00771523,4,-0.01543046,-58.61743058,9.587804e-05,16.115,11.562,11.562
2mer-0+129,-0.02523664,2,-0.02523664,-58.64266722,9.370198e-05,14.78,11.651,11.651
2mer-0+94,-0.00442651,4,-0.00885302,-58.65152025,9.361866e-05,14.878,11.654,11.654
2mer-0+63,-0.00411896,4,-0.00823792,-58.65975817,9.064675e-05,16.305,11.78,11.78
2mer-0+153,-0.00912259,2,-0.00912259,-58.66888076,8.893838e-05,16.273,11.855,11.855
2mer-0+88,-0.00739161,4,-0.01478321,-58.68366398,8.367519e-05,13.459,12.099,12.099
2mer-0+104,-0.01597238,4,-0.03194476,-58.71560873,8.351303e-05,15.882,12.106,12.106
2mer-0+82,-0.0137218,2,-0.0137218,-58.72933053,8.011105e-05,13.774,12.275,12.275
2mer-0+71,-0.00946103,4,-0.01892205,-58.74825259,7.985817e-05,16.115,12.288,12.288
2mer-0+102,-0.01096889,2,-0.01096889,-58.75922148,7.947901e-05,16.56,12.308,12.308
2mer-0+74,-0.01262538,4,-0.02525077,-58.78447224,7.688576e-05,16.305,12.445,12.445
2mer-0+119,-0.0243086,4,-0.0486172,-58.83308944,7.620951e-05,15.074,12.481,12.481
2mer-0+147,-0.00076457,2,-0.00076457,-58.83385401,6.338558e-05,18.134,13.272,13.272
2mer-0+127,-0.0111634,4,-0.0223268,-58.85618081,6.052864e-05,15.882,13.478,13.478
2mer-0+89,-0.0077994,4,-0.0155988,-58.87177961,6.007389e-05,17.436,13.512,13.512
2mer-0+116,-0.00641939,4,-0.01283878,-58.88461839,5.829474e-05,17.775,13.648,13.648
2mer-0+113,-0.01249617,2,-0.01249617,-58.89711456,5.7461e-05,16.56,13.713,13.713
2mer-0+137,-0.00533611,2,-0.00533611,-58.90245067,5.704305e-05,18.134,13.747,13.747
2mer-0+123,-0.00802792,2,-0.00802792,-58.9104786,5.625858e-05,17.527,13.81,13.81
2mer-0+106,-0.00497455,4,-0.0099491,-58.9204277,5.520033e-05,17.959,13.898,13.898
2mer-0+173,-0.00189153,4,-0.00378306,-58.92421075,5.328932e-05,18.574,14.062,14.062
2mer-0+145,-0.00152077,2,-0.00152077,-58.92573152,5.178484e-05,18.803,14.197,14.197
2mer-0+93,-0.00251938,2,-0.00251938,-58.92825091,5.16271e-05,18.84,14.212,14.212
2mer-0+195,-0.00054324,4,-0.00108648,-58.92933738,5.071315e-05,17.421,14.296,14.296
2mer-0+183,-0.00903402,4,-0.01806804,-58.94740543,4.986371e-05,17.665,14.377,14.377
2mer-0+170,-0.00150989,2,-0.00150989,-58.94891531,4.976511e-05,15.496,14.387,14.387
2mer-0+121,-0.00102402,4,-0.00204804,-58.95096336,4.854035e-05,18.937,14.507,14.507
2mer-0+155,-0.00995653,2,-0.00995653,-58.96091989,4.797668e-05,17.527,14.563,14.563
2mer-0+185,-0.00514061,2,-0.00514061,-58.9660605,4.710875e-05,18.803,14.652,14.652
2mer-0+109,-0.00256425,4,-0.0051285,-58.971189,4.675616e-05,19.499,14.689,14.689
2mer-0+136,-0.0028338,4,-0.0056676,-58.9768566,4.651702e-05,19.207,14.714,14.714
2mer-0+215,-0.0035856,4,-0.00717121,-58.98402781,4.556939e-05,19.148,14.815,14.815
2mer-0+143,-0.00912459,4,-0.01824918,-59.00227699,4.444464e-05,17.775,14.939,14.939
2mer-0+196,-0.002334,2,-0.002334,-59.00461099,4.429399e-05,16.273,14.956,14.956
2mer-0+166,-0.00797165,4,-0.01594331,-59.0205543,4.362766e-05,18.181,15.032,15.032
2mer-0+161,-0.00834621,2,-0.00834621,-59.02890051,4.233111e-05,18.134,15.184,15.184
2mer-0+135,-0.00040122,2,-0.00040122,-59.02930174,4.146952e-05,20.238,15.288,15.288
2mer-0+233,-0.00076005,4,-0.0015201,-59.03082184,4.138575e-05,18.786,15.299,15.299
2mer-0+125,-0.00294014,4,-0.00588027,-59.03670211,4.049275e-05,19.499,15.41,15.41
2mer-0+273,-9.896e-05,2,-9.896e-05,-59.03680107,4.033339e-05,20.099,15.43,15.43
2mer-0+180,-0.00651412,2,-0.00651412,-59.04331518,3.950664e-05,18.803,15.537,15.537
2mer-0+159,-0.00233801,4,-0.00467603,-59.04799121,3.93334e-05,19.97,15.56,15.56
2mer-0+214,0.00044743,4,0.00089487,-59.04709634,3.924758e-05,19.066,15.571,15.571
2mer-0+182,-0.00822007,4,-0.01644014,-59.06353648,3.871885e-05,18.181,15.642,15.642
2mer-0+141,-0.00026879,2,-0.00026879,-59.06380527,3.83914e-05,20.033,15.686,15.686
2mer-0+150,-0.00660145,4,-0.0132029,-59.07700817,3.8029e-05,18.937,15.736,15.736
