N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+1,-5.26016782,4,-10.52033564,-10.52033564,0.009001449,5.986,2.544,2.544
2mer-0+2,-6.73917822,4,-13.47835644,-23.99869207,0.008127517,5.812,2.632,2.632
2mer-0+6,-10.41299012,4,-20.82598023,-44.8246723,0.007702494,5.025,2.68,2.68
2mer-0+16,-2.01103027,2,-2.01103027,-46.83570257,0.001412501,6.81,4.716,4.716
2mer-0+5,-0.28249534,2,-0.28249534,-47.11819791,0.001216975,9.42,4.956,4.956
2mer-0+21,-1.24585726,2,-1.24585726,-48.36405517,0.001144258,7.39,5.059,5.059
2mer-0+12,-0.31463742,4,-0.62927484,-48.99333001,0.001080953,9.402,5.156,5.156
2mer-0+14,-0.4211778,4,-0.84235561,-49.83568562,0.0009506992,9.067,5.382,5.382
2mer-0+37,-0.08853476,2,-0.08853476,-49.92422038,0.0008840221,10.049,5.514,5.514
2mer-0+15,-0.2667807,4,-0.53356141,-50.45778179,0.0006261051,9.067,6.186,6.186
2mer-0+8,-0.12066445,4,-0.2413289,-50.69911069,0.0006236921,10.676,6.194,6.194
2mer-0+10,-0.11979617,4,-0.23959234,-50.93870302,0.0004827827,10.676,6.746,6.746
2mer-0+27,-0.18011857,4,-0.36023714,-51.29894016,0.0003528237,9.402,7.489,7.489
2mer-0+18,-0.04530961,2,-0.04530961,-51.34424977,0.0003523333,11.624,7.492,7.492
2mer-0+22,-0.0435255,2,-0.0435255,-51.38777527,0.0003505125,11.973,7.505,7.505
2mer-0+45,-0.05797154,4,-0.11594308,-51.50371835,0.0002987386,10.863,7.916,7.916
2mer-0+40,-0.11560399,4,-0.23120798,-51.73492633,0.0002902837,11.249,7.992,7.992
2mer-0+60,-0.03707331,4,-0.07414663,-51.80907296,0.0002569059,11.596,8.324,8.324
2mer-0+26,-0.09672466,2,-0.09672466,-51.90579762,0.0002364929,11.624,8.557,8.557
2mer-0+43,-0.01053956,4,-0.02107911,-51.92687674,0.0002333832,12.044,8.595,8.595
2mer-0+59,-0.0117725,4,-0.023545,-51.95042174,0.0002207595,13.459,8.756,8.756
2mer-0+32,-0.08581095,2,-0.08581095,-52.03623269,0.0002142829,11.973,8.843,8.843
2mer-0+44,-0.0113751,2,-0.0113751,-52.04760779,0.0002040349,13.774,8.989,8.989
2mer-0+39,-0.00937037,2,-0.00937037,-52.05697816,0.0001695377,13.774,9.561,9.561
2mer-0+55,0.03847387,2,0.03847387,-52.01850428,0.0001624869,10.049,9.698,9.698
2mer-0+33,-0.00591132,4,-0.01182263,-52.03032692,0.0001476099,14.534,10.013,10.013
2mer-0+47,-0.03741122,2,-0.03741122,-52.06773814,0.0001472482,13.774,10.021,10.021
2mer-0+34,-0.01632439,4,-0.03264877,-52.10038691,0.0001431179,14.605,10.117,10.117
2mer-0+64,-0.02204533,4,-0.04409065,-52.14447757,0.0001306538,13.836,10.429,10.429
2mer-0+54,-0.01005933,4,-0.02011866,-52.16459623,0.0001303341,14.378,10.437,10.437
2mer-0+58,-0.01450318,4,-0.02900635,-52.19360258,0.0001194838,14.94,10.744,10.744
2mer-0+52,-0.02400206,4,-0.04800411,-52.24160669,0.0001163359,14.378,10.84,10.84
2mer-0+98,-0.03957796,2,-0.03957796,-52.28118465,0.0001145894,13.62,10.895,10.895
2mer-0+77,-0.03398852,4,-0.06797704,-52.34916169,0.0001108473,13.836,11.016,11.016
2mer-0+95,-0.01163414,4,-0.02326827,-52.37242996,0.0001069138,14.878,11.15,11.15
2mer-0+132,-0.00821715,2,-0.00821715,-52.38064711,0.0001023768,15.496,11.312,11.312
